SA4_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
501,3359,2883,7376,9672,10280,8042,2024,240,12,43894,1695,613,2286,2167,1979,4347,8372,5078,2041,28585,270,216,611,615,636,643,571,465,318,4355,5321,3715,10281,12456,12901,13034,10973,5787,2373,76829,1491,3508,9064,10890,12236,9005,1869,220,13,48311,3918,1914,4399,6327,6124,5808,2672,394,28,31581,277,278,892,869,881,1030,280,36,0,4548,143,148,295,304,267,184,85,38,14,1487,5822,5846,14655,18392,19511,16026,4905,695,62,85928,234,275,462,360,370,363,57,0,0,2120,487,175,241,262,243,266,72,8,0,1758,726,455,701,625,615,622,128,8,0,3876,6548,6301,15356,19013,20127,16648,5031,711,62,89800,3773,1070,3089,3157,3175,7016,15551,9607,3353,49792,555,448,1273,1286,1392,1327,1176,856,518,8837,10879,7823,19718,23457,24694,24998,21763,11168,3938,148427
502,1793,1971,3806,4435,5016,4088,864,72,5,22055,1011,485,1519,1436,1360,2865,6072,4115,1452,20314,137,128,273,282,282,220,249,333,326,2225,2940,2587,5601,6151,6659,7170,7185,4520,1781,44587,591,1778,4230,4922,5855,4416,793,51,0,22630,2149,1558,2299,2687,2709,2785,1077,163,12,15431,112,167,481,399,449,515,124,12,5,2268,61,81,205,155,143,105,44,19,4,822,2919,3581,7214,8166,9151,7817,2040,241,21,41151,166,269,384,329,338,280,46,4,0,1825,410,133,202,162,163,203,57,12,0,1345,579,401,586,491,504,487,102,14,0,3169,3503,3987,7803,8659,9654,8306,2142,252,18,44321,2146,809,1974,1969,2097,4512,11087,7898,2546,35037,275,257,511,524,539,445,518,579,489,4133,5918,5051,10293,11150,12292,13259,13743,8732,3054,83493
503,2831,5456,12895,10386,9546,6641,2092,304,19,50180,2263,1104,1770,2104,1911,3174,5788,4336,2459,24903,198,375,930,678,484,412,470,381,356,4288,5297,6943,15595,13173,11937,10226,8350,5018,2832,79371,339,3390,17006,14400,13115,8663,2012,208,14,59153,3906,5610,6450,5819,5165,4515,2804,618,53,34937,235,343,967,800,473,509,201,43,5,3575,58,161,358,228,151,93,49,31,10,1132,4534,9507,24777,21241,18915,13783,5059,903,80,98798,47,254,572,440,474,387,62,13,0,2249,707,438,396,261,214,220,85,13,0,2331,763,691,963,700,692,607,147,22,0,4581,5298,10193,25741,21948,19608,14391,5201,918,80,103372,4756,2344,2971,2860,2834,5003,10141,7832,3879,42618,364,764,2096,1605,1230,1044,962,755,576,9392,10411,13294,30810,26406,23669,20437,16307,9510,4535,155384
504,4447,6421,15803,15589,14307,10388,2407,205,11,69576,2843,1162,3892,3722,3134,5071,9059,5763,2388,37024,294,320,852,750,624,470,418,423,334,4481,7581,7896,20552,20065,18065,15926,11881,6392,2736,111088,1400,5971,20175,20536,18825,13088,2484,150,8,82636,5623,5481,8312,8984,7398,6535,2714,393,21,45458,233,359,1601,1180,864,940,260,24,0,5466,137,329,670,441,352,221,66,20,5,2247,7387,12137,30758,31153,27438,20782,5525,589,37,135811,320,638,961,732,755,618,91,3,0,4123,1131,448,533,476,391,362,127,7,0,3467,1452,1082,1492,1209,1146,985,216,10,0,7588,8836,13219,32250,32358,28582,21769,5739,597,38,143397,6374,2398,5917,5628,5066,8172,16318,10724,3863,64455,590,671,1737,1570,1320,1026,811,743,520,8987,15799,16282,39898,39560,34969,30966,22875,12071,4421,216841
505,10158,13918,32022,33944,31777,22163,5206,393,24,149618,5982,2151,6555,7241,6019,10120,20304,13580,6004,77949,468,584,1591,1412,1049,807,828,876,680,8290,16608,16654,40172,42602,38848,33084,26339,14845,6714,235862,2612,11917,40093,43098,41528,26540,4681,255,15,170732,13087,12824,17003,20037,17490,14950,6316,840,57,102599,480,729,3306,2553,1701,1864,585,71,6,11295,225,541,1241,947,696,467,142,53,9,4318,16402,26004,61647,66632,61409,43810,11730,1220,83,288942,607,1125,1685,1428,1450,1143,161,11,0,7602,2878,985,1054,1028,767,782,248,22,3,7768,3483,2108,2734,2453,2221,1926,413,37,6,15367,19884,28117,64380,69082,63630,45738,12142,1256,91,304317,13451,4353,8991,9604,8968,15770,35988,24377,9697,131198,979,1262,3107,2876,2221,1626,1483,1466,1049,16072,34317,33732,76475,81562,74817,63133,49614,27093,10834,451582
506,8272,13321,29954,29880,24794,17621,4431,362,23,128657,6036,3052,8094,8249,6124,9564,17373,10990,4646,74118,572,781,1902,1625,1178,943,856,950,914,9723,14879,17149,39948,39756,32096,28131,22657,12297,5589,212503,2447,11537,38503,40688,33917,22528,4354,243,21,154233,10259,12677,17218,17347,13276,11314,5206,738,44,88080,460,703,2676,2160,1456,1537,484,46,6,9537,204,651,1353,886,692,441,134,45,13,4426,13373,25570,59753,61084,49342,35826,10182,1072,82,256274,619,1134,2037,1681,1520,1123,176,5,0,8298,2189,1192,1294,1080,765,666,235,20,0,7429,2803,2332,3324,2758,2283,1790,414,23,0,15727,16173,27903,63081,63842,51627,37615,10595,1088,81,272002,13158,5832,11591,11242,9455,14996,31135,20201,7615,125227,1238,1709,3917,3393,2558,1995,1647,1610,1408,19468,30569,35431,78589,78476,63638,54609,43371,22906,9105,416693
507,7956,10649,23484,25118,23533,16501,3820,290,17,111367,4567,1989,5446,5856,5030,8480,15554,10126,4589,61635,454,532,1337,1154,957,767,759,854,762,7571,12970,13175,30263,32124,29516,25745,20135,11267,5370,180570,2314,9333,29593,31782,30669,20156,3520,199,8,127570,9906,9330,12178,14532,12480,10748,4532,611,32,74357,363,618,2586,1956,1477,1548,472,43,5,9068,212,373,861,658,514,331,108,28,18,3101,12800,19658,45224,48931,45144,32783,8627,876,60,214103,551,932,1430,1169,1180,882,123,9,0,6276,2149,860,909,793,673,626,219,15,0,6243,2702,1791,2335,1961,1854,1507,346,26,3,12522,15499,21444,47561,50887,46995,34293,8972,904,63,226621,9929,3766,7854,8039,7629,13283,27635,18723,7537,104404,920,1170,2758,2455,1995,1603,1465,1497,1221,15082,26349,26385,58167,61384,56617,49179,38073,21128,8823,346110
509,1764,1915,4747,5801,6806,6427,2032,307,15,29811,1370,480,1533,1300,1455,3126,5966,3858,1570,20650,284,243,609,656,739,745,681,526,280,4755,3416,2635,6886,7755,8995,10296,8683,4691,1864,55217,1110,2637,6450,7055,8821,7941,2298,334,34,36687,1979,1136,2676,3746,3836,4555,2258,496,52,20731,130,169,604,468,584,792,289,53,12,3087,110,123,245,192,217,180,126,58,17,1276,3326,4071,9974,11461,13459,13467,4967,942,112,61780,136,197,297,265,306,281,56,8,0,1549,237,80,156,145,161,190,87,6,0,1054,378,280,454,407,464,470,139,4,5,2605,3702,4356,10426,11867,13922,13935,5103,951,116,64384,2918,871,2385,2182,2479,5241,11487,7443,2678,37675,608,589,1370,1454,1725,1756,1439,991,448,10380,7223,5813,14180,15507,18130,20931,18033,9382,3243,112439
510,1054,1882,6571,5741,4616,3520,845,68,4,24305,958,723,1803,1424,1158,2270,3088,842,114,12376,329,643,1955,1365,1298,1132,651,202,34,7617,2340,3253,10324,8528,7074,6923,4587,1112,150,44303,706,2787,11294,11048,9635,6559,1236,64,0,43334,1103,666,2314,2497,1712,1386,579,79,0,10339,82,252,1200,1275,1197,1422,475,45,0,5937,54,114,363,283,179,166,37,17,0,1205,1940,3816,15170,15105,12722,9528,2331,202,5,60812,137,199,317,260,196,166,20,4,0,1299,144,79,160,141,107,81,28,0,0,743,282,276,480,400,306,241,47,3,3,2037,2220,4095,15642,15503,13028,9771,2376,206,13,62856,1967,1305,2910,2388,2062,3852,6409,1954,230,23075,773,1534,5776,5469,5044,3907,1613,454,68,24639,4955,6936,24330,23363,20138,17532,10391,2612,309,110573
511,1789,2423,5800,5867,6270,5308,1357,164,8,28988,1039,613,1728,1377,1254,2771,5146,2639,856,17424,352,539,1236,1139,1002,1025,793,372,164,6627,3177,3573,8762,8390,8528,9106,7299,3167,1036,53030,1168,3435,9173,8941,9666,7562,1667,171,12,41800,1921,1157,2798,3098,2946,3037,1285,223,14,16479,135,287,966,838,905,1247,377,44,4,4806,85,141,288,237,252,203,62,41,6,1321,3312,5021,13230,13113,13765,12050,3392,478,36,64403,159,210,284,272,311,258,41,0,0,1528,231,97,157,158,137,184,61,3,0,1032,392,306,438,432,444,438,102,5,0,2561,3707,5327,13671,13545,14214,12490,3489,487,42,66966,2228,1063,2501,2103,2192,4761,10239,5359,1502,31940,778,1376,3847,3574,3414,2945,1882,837,285,18936,6708,7768,20017,19219,19812,20196,15615,6688,1826,117842
597,7,21,54,28,32,29,5,5,0,190,0,0,0,0,6,24,36,11,0,81,3,15,28,20,23,24,12,5,0,123,8,36,89,49,60,77,61,17,0,392,12,74,263,456,430,220,25,6,0,1478,0,0,15,24,15,15,7,0,0,77,0,0,18,29,37,30,9,5,0,120,0,3,5,6,3,4,0,0,0,20,10,71,297,516,486,267,40,8,0,1697,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,0,0,0,0,5,5,0,0,0,7,8,76,301,517,488,269,40,8,0,1711,0,0,4,7,10,45,86,21,0,165,6,43,219,425,390,221,49,6,0,1367,20,116,518,957,896,533,176,32,0,3249
601,3533,5674,15864,13096,12373,9613,2299,206,17,62661,2677,1381,3171,2560,2558,5362,10584,7206,3160,38660,240,317,824,635,519,474,556,505,323,4400,6445,7372,19858,16294,15444,15448,13434,7923,3498,105720,930,4562,17475,15142,15013,10391,1721,117,4,65356,4149,4958,11057,8733,7211,6993,2966,401,24,46485,262,386,1418,1008,846,920,295,35,5,5169,96,220,605,298,226,176,67,18,13,1722,5438,10124,30552,25184,23295,18477,5046,573,43,118737,310,725,1410,680,477,370,49,0,0,4021,1072,682,938,420,321,296,90,6,0,3826,1381,1406,2349,1102,794,667,139,7,4,7844,6823,11532,32903,26286,24090,19147,5185,581,42,126585,5997,2714,5166,4180,4450,9397,19178,12876,5058,69013,508,620,1679,1265,1071,1008,1067,880,493,8596,13335,14867,39747,31729,29613,29553,25431,14326,5593,204195
602,2337,3114,7224,6745,7605,6465,1548,149,11,35200,1549,796,1922,1712,1929,3755,7370,4928,1963,25926,165,234,440,370,385,465,456,427,270,3208,4052,4150,9589,8825,9917,10679,9373,5503,2246,64330,825,3093,8654,7791,8847,6791,1355,135,15,37502,2662,2339,4844,4543,4674,4893,1980,295,30,26247,212,208,702,483,498,636,183,23,7,2947,80,145,290,170,195,154,53,33,8,1131,3776,5783,14494,12986,14214,12475,3573,475,54,67824,198,441,638,359,391,314,52,5,0,2397,469,288,341,210,229,274,59,5,0,1879,664,734,976,574,624,587,105,12,0,4273,4438,6520,15473,13562,14836,13060,3677,483,54,72102,3479,1461,2902,2599,3275,6650,13806,9156,3208,46541,388,500,999,767,824,928,930,745,429,6509,8307,8482,19368,16926,18932,20643,18414,10385,3695,125152
603,401,560,1506,1809,1978,1940,449,62,4,8705,437,180,414,459,591,1420,2335,1071,328,7233,67,64,169,150,155,214,173,133,59,1182,909,801,2092,2415,2722,3575,2955,1259,391,17122,213,691,1696,1915,2285,1859,425,63,4,9146,422,382,1017,1327,1389,1711,630,104,3,6995,38,47,200,187,187,262,91,16,3,1026,31,44,67,84,102,71,42,16,4,458,707,1166,2987,3511,3962,3898,1187,196,13,17630,66,96,113,76,98,120,15,0,0,579,80,49,62,64,49,93,19,0,3,422,147,142,171,139,144,210,35,0,0,998,860,1303,3156,3643,4110,4113,1223,198,17,18625,1009,313,646,724,1071,2627,4648,2299,588,13911,146,135,333,302,340,445,411,272,113,2498,2017,1753,4132,4670,5516,7182,6276,2764,722,35036
604,1765,2231,5000,4853,5727,4891,1075,121,9,25668,1184,518,1443,1303,1600,3383,6057,3870,1569,20917,149,157,375,339,338,368,410,390,163,2697,3098,2905,6820,6496,7668,8638,7539,4383,1744,49284,757,2496,5993,5587,6581,5357,1031,84,4,27892,2107,1458,3144,3153,3458,3668,1349,225,17,18573,109,180,621,399,507,604,143,30,3,2596,76,103,189,146,177,144,63,36,8,946,3052,4235,9942,9285,10726,9771,2589,373,34,50010,163,276,394,288,324,254,32,0,0,1726,250,138,197,171,182,202,38,6,0,1187,412,416,592,457,505,457,68,6,0,2918,3463,4649,10536,9739,11238,10229,2659,377,36,52926,2529,904,2102,1996,2799,5724,11250,7310,2517,37129,320,324,790,721,757,788,825,692,313,5535,6312,5878,13429,12452,14790,16738,14731,8389,2867,95593
697,0,6,12,12,16,12,0,0,0,50,4,0,0,0,4,4,8,0,0,24,0,0,0,0,0,0,0,0,0,0,4,6,13,12,18,11,9,0,0,73,0,9,48,67,64,40,7,0,0,237,0,0,4,0,3,5,0,0,0,19,0,0,4,3,4,5,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,9,58,76,70,53,12,0,0,277,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,58,76,69,53,12,0,0,282,4,6,0,0,6,15,19,5,0,58,0,0,4,4,15,11,0,0,0,31,5,15,62,80,90,75,33,3,0,362
701,2088,3327,10730,9244,7605,5350,1362,107,4,39832,1418,650,1936,1570,1227,2378,4057,1772,425,15430,350,478,1462,1184,1048,943,641,242,67,6413,3858,4452,14133,12003,9886,8667,6060,2121,493,61675,892,4177,14120,12837,11193,7272,1608,113,10,52225,2450,2107,4776,3796,2710,2334,1111,144,7,19434,145,262,1279,1020,882,1034,342,23,0,4988,100,182,442,281,227,174,64,12,7,1466,3578,6730,20614,17934,15008,10814,3123,290,25,78112,198,289,531,347,303,295,62,6,0,2028,380,160,284,177,134,136,49,6,0,1324,571,448,813,523,438,431,113,10,0,3346,4151,7173,21425,18457,15449,11244,3232,299,21,81457,2998,1346,3153,2600,2274,4260,8022,3633,761,29045,681,1051,2919,2375,2179,1999,1432,478,111,13233,7824,9571,27502,23427,19906,17510,12685,4411,895,123737
702,943,1645,5257,4193,3865,3265,851,71,6,20078,1942,1537,3127,2353,1964,2614,2919,778,190,17420,274,384,1080,791,809,932,632,134,19,5055,3159,3562,9463,7341,6634,6808,4393,983,211,42552,616,1921,6706,5464,5101,4118,1028,87,3,25049,721,632,1823,1808,1292,1228,578,71,4,8154,56,169,748,682,793,1130,338,17,0,3932,58,117,282,196,149,132,45,14,0,991,1459,2832,9554,8153,7330,6601,1989,189,7,38122,249,373,688,472,313,170,23,3,4,2291,158,151,261,196,129,90,34,7,0,1016,408,521,944,666,441,256,56,8,4,3307,1868,3358,10500,8818,7772,6858,2048,201,14,41429,4129,3003,5698,4354,3663,4570,5961,1716,309,33403,597,874,2460,1936,1964,2061,1424,333,35,11674,6589,7230,18656,15108,13401,13484,9432,2249,357,86513
797,0,12,4,6,4,3,4,0,0,35,0,0,0,0,0,3,7,4,0,15,0,0,5,0,0,0,5,0,0,17,0,15,12,3,7,12,21,5,0,64,0,17,30,61,69,60,6,0,0,235,0,0,6,5,4,0,0,0,0,16,0,0,0,0,4,3,6,0,0,18,0,5,7,0,0,0,0,0,0,13,0,17,42,59,79,62,11,0,0,282,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,42,67,79,64,11,0,0,285,0,5,0,0,3,4,18,5,0,47,4,3,17,43,43,34,11,3,0,151,11,27,58,105,120,106,42,10,0,482
801,7984,14309,33075,30017,24039,14322,3267,295,29,127340,4471,2087,4269,3788,3381,8273,14759,9637,3886,54548,576,882,1639,1128,811,598,639,516,429,7219,13041,17284,38978,34928,28226,23191,18666,10447,4337,189109,2197,13272,46209,43047,36454,19247,3259,198,16,163899,9929,11916,14779,13539,9276,7687,3632,601,46,71409,697,903,3023,2544,1523,1360,421,50,10,10529,124,387,951,534,361,179,65,16,4,2628,12953,26478,64959,59663,47612,28478,7380,866,76,248458,324,754,1406,920,724,536,78,3,0,4748,2100,998,780,493,354,376,150,15,0,5259,2428,1749,2186,1411,1074,913,230,19,0,10012,15375,28230,67145,61071,48688,29385,7606,886,82,258467,9945,4403,6950,5611,5603,14029,26058,17205,6435,96249,1160,1873,3522,2480,1761,1334,1207,948,687,14982,26482,34507,77621,69171,56053,44750,34875,19042,7200,369698
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,66,89,204,234,271,278,108,20,0,1269,28,16,24,40,40,92,151,95,30,511,15,25,62,56,68,70,44,29,6,371,109,123,296,332,379,437,307,142,34,2156,54,123,319,303,361,358,116,12,0,1648,73,47,99,125,119,171,100,29,0,766,7,9,24,20,32,33,24,6,0,151,4,3,9,7,9,10,8,0,0,54,136,177,451,462,524,572,247,44,3,2614,0,0,3,9,6,10,0,0,0,23,0,0,0,3,4,14,5,0,0,30,0,6,3,9,10,23,5,0,0,58,136,183,451,473,526,599,255,50,0,2670,60,46,141,102,96,149,310,182,53,1136,26,50,147,120,144,150,105,64,8,801,220,272,741,697,767,893,669,295,60,4603
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
