SA4_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
101,3160,619,70,21,2516,638,4,7026,2228,1017,163,72,2232,553,14,6277,3980,3958,885,339,3446,1407,75,14102,3313,4764,1472,690,2298,1169,21,13733,3942,5582,1652,653,2777,1342,19,15962,4107,5910,1999,1022,3589,1410,19,18061,2682,4591,2258,1405,3800,1140,27,15903,1172,1861,1037,737,2406,683,4,7904,284,347,192,149,1090,256,3,2323,24865,28650,9729,5098,24159,8600,193,101284,3128,771,109,27,1811,508,6,6358,1869,1564,353,230,1329,409,20,5773,2215,4599,2082,2185,2037,1001,57,14189,1400,4946,3123,2538,1342,952,23,14332,1852,6502,3506,1997,1591,987,17,16449,1933,6206,3916,2551,2372,1140,28,18156,1101,3692,3494,3051,3101,1030,18,15489,690,1518,1407,1375,2528,751,11,8272,355,436,247,207,1769,430,0,3444,14545,30234,18235,14169,17875,7217,180,102450,6291,1386,174,49,4321,1143,11,13384,4100,2576,511,306,3556,956,38,12049,6198,8559,2968,2527,5487,2405,141,28285,4712,9716,4601,3229,3644,2119,40,28059,5793,12086,5157,2652,4362,2328,33,32411
102,4716,830,74,29,4308,589,7,10555,3463,1471,229,114,3604,486,16,9390,5100,5318,1354,621,5001,1126,12,18534,4502,7058,2339,1156,3686,1086,28,19843,4928,7629,2404,1035,4173,1127,26,21319,4457,7129,2414,1191,4913,974,25,21099,2966,5260,2671,1481,5340,981,27,18722,1661,2710,1446,927,4107,941,11,11802,460,553,276,216,1715,684,9,3909,32261,37955,13200,6764,36838,7993,150,135157,4571,1144,137,62,3359,508,7,9790,3066,2248,565,372,2391,473,4,9116,2885,6144,2853,3385,3201,1104,20,19590,1773,6381,4844,5087,2320,1098,17,21512,2321,7903,5006,3583,3003,994,29,22835,2468,7714,4866,3367,4148,968,41,23572,1633,4978,4528,3588,5700,1199,31,21652,1188,2327,1983,1883,5009,1381,8,13778,642,782,397,309,3029,1447,4,6603,20540,39604,25179,21634,32152,9175,160,148441,9290,1973,217,88,7665,1101,12,20344,6527,3717,790,490,5999,967,12,18498,7981,11458,4209,4001,8201,2236,32,38123,6273,13435,7176,6240,6003,2183,41,41348,7252,15529,7416,4616,7170,2117,53,44154
103,2803,563,61,28,2751,603,0,6811,1871,996,152,83,2203,671,7,5978,3257,3536,829,376,3130,1449,23,12597,2916,3913,1192,524,2262,1371,22,12195,3168,4247,1194,538,2759,1191,13,13116,3203,4160,1300,775,3442,1106,18,14004,2138,3170,1481,952,3579,927,10,12252,962,1391,767,567,2578,640,8,6904,264,319,152,105,1016,218,0,2065,20570,22299,7120,3938,23721,8164,108,85916,2647,816,81,52,2101,507,0,6201,1449,1591,394,299,1358,397,9,5508,1695,3840,1977,2354,1937,875,15,12686,951,3791,2793,2526,1301,872,6,12245,1324,4730,2979,1815,1665,873,22,13397,1339,4442,2940,2096,2282,861,17,13974,833,2637,2529,2395,2946,796,4,12151,612,1262,1137,1108,2625,694,7,7439,325,410,234,198,1822,407,0,3396,11174,23520,15063,12842,18034,6276,85,86997,5448,1378,141,78,4855,1110,4,13010,3324,2587,545,380,3558,1068,20,11489,4949,7376,2803,2730,5063,2314,40,25280,3867,7704,3985,3047,3558,2238,35,24432,4488,8975,4179,2351,4424,2064,32,26515
104,1768,336,43,14,1619,354,0,4130,1093,538,117,48,1185,365,31,3373,1889,1965,536,225,1895,958,83,7540,1724,2436,799,388,1543,882,34,7797,1955,2880,967,431,1687,768,21,8712,2190,3178,1202,660,2294,716,8,10253,1690,2945,1581,902,2777,649,11,10560,738,1303,759,511,1864,459,6,5647,213,248,156,124,798,241,0,1781,13254,15825,6154,3306,15655,5390,207,59797,1716,468,65,28,1284,321,0,3889,867,850,234,157,810,240,30,3185,1088,2230,1121,1297,1372,654,42,7806,746,2642,1762,1555,951,640,21,8322,1111,3453,1982,1246,1188,603,20,9592,1263,3636,2378,1501,1761,603,26,11173,836,2510,2426,1948,2372,623,14,10722,456,1054,1033,1003,2035,591,3,6174,268,354,193,161,1304,443,0,2728,8354,17205,11188,8896,13070,4722,155,63589,3480,803,110,41,2900,677,3,8022,1960,1385,349,203,1992,602,63,6563,2972,4195,1655,1520,3266,1613,123,15346,2467,5081,2564,1945,2493,1522,60,16128,3067,6338,2946,1680,2871,1372,41,18301
105,1233,288,23,7,1356,531,0,3442,883,482,74,42,1183,450,9,3123,1830,1900,458,197,2123,1104,38,7654,1346,1924,533,253,1396,931,7,6400,1535,1881,551,285,1681,873,6,6806,1704,2100,583,351,2197,927,3,7869,1137,1487,714,427,2189,773,11,6732,474,655,365,274,1316,496,0,3583,138,135,53,62,521,195,0,1097,10282,10850,3357,1906,13961,6281,78,46716,1192,392,56,30,1063,421,6,3155,737,801,212,151,804,369,8,3085,970,2276,1048,1262,1516,915,26,8018,502,1971,1302,1198,880,831,7,6684,686,2287,1271,815,1126,779,5,6961,811,2285,1411,1074,1559,770,8,7916,485,1317,1162,1100,1692,686,10,6458,322,564,514,612,1372,612,3,4001,162,172,101,95,895,346,0,1763,5864,12059,7085,6334,10908,5731,63,48041,2421,676,83,40,2419,952,5,6601,1625,1284,286,195,1986,821,17,6211,2797,4172,1515,1462,3641,2025,64,15668,1839,3893,1838,1453,2277,1768,13,13083,2219,4161,1821,1098,2800,1653,11,13769
106,3806,787,61,27,3953,632,3,9275,2676,1278,205,84,3437,665,3,8355,4663,5267,1246,520,4838,1612,24,18174,4071,6049,1779,798,3298,1404,22,17430,4038,6064,1784,766,3883,1177,14,17727,3925,5740,1956,979,4255,1030,16,17897,2437,4307,2170,1427,4561,844,19,15764,1137,1870,1026,788,2979,676,5,8484,272,339,166,135,1050,289,0,2253,27043,31700,10391,5529,32256,8318,112,115357,3710,1062,120,50,3038,494,5,8483,2208,2071,584,406,2181,407,7,7870,2358,5793,3053,3422,2936,946,24,18536,1473,5712,3933,3879,1996,861,14,17877,1754,6560,3983,2732,2669,775,11,18488,1770,5726,4141,3001,3314,749,24,18727,1060,3475,3495,3347,4117,753,14,16269,703,1579,1378,1420,3266,742,5,9092,376,464,240,198,1858,512,4,3661,15419,32444,20935,18469,25383,6240,121,118998,7515,1847,184,82,6992,1123,8,17758,4887,3349,791,494,5621,1072,12,16225,7027,11054,4301,3944,7780,2554,43,36708,5544,11759,5719,4680,5291,2268,36,35306,5793,12623,5769,3498,6550,1953,29,36219
107,4206,785,70,23,4053,509,3,9657,3813,1788,243,105,4172,566,18,10704,5552,5878,1301,616,5418,1011,24,19798,4205,6856,2138,956,3700,895,12,18759,4398,6752,2124,878,4053,846,17,19069,4145,6185,2131,1015,4661,713,15,18873,2336,4419,2231,1185,4342,683,26,15214,1319,2076,1067,732,3183,676,6,9055,383,455,243,175,1424,509,0,3192,30361,35199,11546,5676,35006,6407,121,124317,4313,1226,116,41,3128,506,5,9342,3536,2739,614,293,2674,495,11,10359,3189,6560,2991,3002,3337,987,21,20097,1670,6015,4529,4424,2287,848,26,19795,1949,6918,4651,3145,2686,754,15,20126,1904,6216,4395,3205,3615,683,32,20047,1207,3816,3615,3040,4250,742,27,16688,896,1983,1627,1570,3647,843,5,10568,540,647,344,253,2361,934,7,5076,19196,36121,22884,18966,27991,6792,147,132105,8522,2013,186,65,7184,1017,8,19003,7348,4528,857,397,6851,1056,27,21061,8743,12438,4293,3619,8755,2000,51,39901,5873,12875,6667,5378,5983,1740,35,38557,6347,13668,6778,4019,6737,1600,37,39191
108,2669,506,55,37,2470,606,6,6343,1654,824,123,77,1738,481,3,4900,2501,2686,671,324,2466,1048,28,9722,2324,3499,1101,593,1905,973,25,10430,2904,4325,1372,708,2588,956,25,12872,3347,5175,1872,1143,3896,1100,23,16553,2847,5167,2782,1713,5020,1216,15,18757,1402,2406,1443,1146,3710,883,4,10994,385,466,255,226,1604,465,6,3412,20035,25058,9674,5968,25398,7717,131,93978,2654,724,89,43,2025,487,3,6028,1370,1235,321,259,1143,330,5,4663,1351,3156,1695,1760,1626,779,14,10384,1024,3626,2440,2324,1239,764,23,11428,1590,5070,2851,1976,1870,818,19,14188,1929,5942,3944,2706,3102,995,12,18628,1303,4340,4207,3665,4409,1151,9,19078,971,2006,1807,1879,3961,1097,8,11719,533,577,324,310,2558,853,0,5161,12720,26673,17673,14920,21931,7274,95,101280,5322,1232,142,77,4495,1087,9,12368,3026,2060,444,335,2878,809,11,9564,3858,5841,2363,2082,4089,1830,44,20110,3351,7120,3539,2919,3144,1739,44,21859,4493,9393,4223,2685,4464,1774,41,27067
109,1467,281,30,17,1415,362,3,3570,1064,520,83,36,1162,286,9,3161,1881,1890,437,189,1782,610,50,6828,1645,2171,630,256,1287,582,14,6587,1936,2303,649,261,1469,641,5,7269,2080,2481,683,338,1992,633,11,8209,1432,2039,845,485,2414,614,5,7827,613,866,507,344,1526,384,3,4251,161,190,110,80,625,194,0,1362,12276,12718,3966,2007,13678,4312,101,49064,1532,440,78,18,1101,315,0,3482,854,888,234,139,724,240,0,3091,941,2163,1077,1166,1105,552,31,7041,633,2145,1584,1420,749,547,18,7089,809,2689,1592,1006,975,499,8,7570,875,2851,1740,1196,1389,594,8,8655,491,1716,1609,1435,1869,556,0,7676,356,780,698,799,1631,540,0,4791,190,244,143,124,1047,275,0,2030,6677,13913,8754,7308,10599,4116,68,51428,3002,718,98,33,2514,684,5,7049,1918,1406,313,178,1888,526,16,6250,2817,4053,1515,1357,2890,1161,81,13864,2276,4310,2215,1673,2041,1130,32,13680,2741,4991,2244,1266,2448,1133,13,14841
110,2200,512,71,43,2247,734,4,5813,1522,923,157,73,1866,736,14,5294,2739,2875,684,331,2973,1292,109,11003,2266,3095,967,444,2086,1144,65,10068,2481,3392,993,464,2434,1212,25,10999,2771,3467,1126,561,3077,1238,9,12244,1808,2705,1248,881,3164,1012,3,10824,864,1237,650,572,2102,739,6,6161,241,233,122,114,779,313,4,1789,16881,18440,6012,3484,20728,8420,235,74203,2220,788,104,60,1841,809,5,5823,1206,1374,352,298,1284,644,14,5163,1326,3240,1805,1899,1971,1162,43,11444,821,3154,2267,1947,1290,1053,26,10567,1059,3847,2378,1479,1578,1065,11,11413,1177,3799,2561,1772,2176,1084,10,12581,732,2251,2215,2087,2475,944,10,10707,536,1199,974,1136,2261,859,3,6969,268,350,189,173,1417,495,0,2896,9357,19999,12840,10848,16290,8116,118,77560,4420,1301,173,107,4089,1544,9,11634,2721,2302,506,372,3150,1385,26,10462,4069,6118,2488,2230,4938,2454,148,22449,3086,6253,3231,2399,3378,2197,92,20635,3542,7235,3368,1940,4004,2271,41,22415
111,5086,782,71,39,4821,598,0,11394,4746,2236,275,119,5006,760,16,13155,7436,7979,1605,633,6504,1332,46,25534,5656,8881,2684,1014,4222,1126,31,23616,5815,8550,2405,910,4680,1010,20,23389,5172,7603,2406,1054,5332,914,30,22520,3174,5604,2779,1403,5341,948,20,19277,1638,2607,1457,939,3956,837,8,11448,478,586,308,183,1869,550,0,3975,39202,44821,13989,6302,41735,8078,174,154293,5169,1238,119,63,3763,574,7,10933,4461,3480,630,330,3242,674,14,12835,4791,9144,3671,3338,3976,1160,36,26118,2434,8312,5701,4655,2581,995,26,24702,2842,9158,5415,3109,3131,882,16,24562,2695,8181,5128,3163,4194,850,33,24244,1596,5057,4692,3621,5362,994,41,21362,1225,2463,2179,1964,4684,1183,8,13706,722,876,414,305,3420,1142,8,6881,25949,47908,27944,20548,34350,8462,192,165341,10259,2018,191,97,8578,1168,8,22324,9208,5717,905,446,8248,1433,33,25990,12224,17124,5280,3976,10484,2489,80,51648,8089,17193,8384,5674,6802,2123,53,48321,8654,17706,7824,4023,7816,1894,41,47950
112,3076,487,50,24,2765,682,0,7077,2068,955,144,59,1992,528,34,5778,3490,3476,806,329,3069,1221,74,12468,3315,5014,1524,666,2380,1322,24,14242,3705,5558,1684,731,2835,1288,35,15836,3962,5905,2034,956,3851,1306,22,18042,2818,5138,2455,1355,4430,1229,23,17452,1346,2130,1133,786,3022,799,15,9239,382,452,219,175,1540,466,3,3236,24162,29105,10054,5068,25895,8842,248,103370,3164,765,78,29,2075,610,3,6723,1825,1440,319,222,1348,528,24,5707,2406,4169,1882,1880,2199,1229,73,13843,1633,5023,3378,3037,1518,1302,35,15924,2068,6371,3690,2224,1858,1230,22,17460,2404,6706,3966,2401,2881,1237,27,19631,1521,4547,3979,3049,3897,1159,29,18173,886,1863,1684,1579,3368,977,9,10360,518,605,307,271,2523,885,3,5119,16426,31490,19295,14692,21661,9159,233,112948,6241,1250,126,48,4841,1286,10,13803,3888,2394,469,282,3345,1053,53,11481,5896,7645,2696,2210,5274,2451,151,26310,4950,10032,4903,3698,3896,2626,64,30172,5768,11931,5373,2949,4694,2517,60,33295
113,2155,450,39,23,2434,534,8,5640,1550,825,115,58,2223,578,37,5377,2758,2780,591,249,3284,1182,106,10942,2309,2867,802,363,2232,1078,89,9739,2458,2927,833,309,2246,987,15,9779,2429,2955,846,396,2776,796,10,10216,1556,2062,841,550,2637,654,8,8307,718,938,493,334,1739,454,0,4670,214,190,101,74,785,217,0,1586,16138,16003,4649,2350,20357,6488,273,66251,2210,670,88,26,1814,411,0,5212,1362,1475,291,225,1395,389,13,5150,1406,3121,1544,1692,2022,739,34,10564,808,2870,2084,1924,1321,646,12,9668,950,3449,2096,1295,1384,660,7,9834,949,3209,2079,1514,1901,666,17,10344,560,1773,1717,1576,2138,615,9,8386,413,914,774,781,1849,529,11,5259,263,326,181,136,1360,373,0,2631,8918,17800,10855,9155,15181,5033,100,67053,4362,1121,122,49,4245,946,4,10850,2913,2299,406,279,3615,971,46,10530,4164,5903,2132,1938,5304,1921,138,21505,3119,5741,2885,2289,3555,1721,106,19409,3404,6373,2932,1601,3634,1643,23,19614
114,1973,332,36,11,1735,331,6,4417,1308,549,100,38,1375,337,4,3714,2183,2225,546,258,1932,791,12,7945,1898,2805,897,415,1403,753,8,8171,2178,3295,982,480,1607,702,11,9260,2348,3787,1392,712,2205,649,12,11111,1841,3592,1836,1104,2772,604,8,11760,942,1727,1035,719,2300,493,6,7216,253,374,193,137,932,265,0,2155,14919,18682,7009,3870,16268,4920,78,65747,1928,464,60,19,1335,314,4,4119,1089,879,197,163,846,219,10,3406,1144,2445,1219,1418,1238,498,16,7971,736,2664,1896,1847,864,488,11,8503,1023,3634,2185,1496,1091,515,4,9950,1262,4088,2799,1813,1702,552,11,12231,895,3208,3021,2457,2639,589,12,12814,609,1444,1322,1331,2392,598,10,7707,319,429,234,161,1489,445,0,3087,9002,19262,12934,10702,13590,4222,78,69788,3892,795,94,29,3074,644,11,8537,2403,1425,301,195,2220,559,18,7121,3321,4671,1767,1669,3174,1290,28,15915,2631,5469,2789,2263,2264,1238,23,16672,3200,6932,3161,1975,2697,1224,22,19211
115,4485,957,84,36,3655,270,10,9500,3486,1261,154,64,2988,235,13,8193,3842,3502,783,367,3639,470,37,12641,3904,6788,2361,1058,3921,623,20,18674,4177,7221,2433,882,3051,539,25,18339,3285,5641,1985,916,2913,406,41,15186,1960,3661,1877,1057,2704,376,66,11706,986,1612,826,514,2010,327,28,6301,227,325,148,109,877,306,7,2005,26356,30968,10654,4992,25762,3549,249,102538,4421,1195,104,31,2788,204,6,8744,3042,1851,305,125,1899,202,14,7430,2431,4053,1823,1899,2565,496,22,13287,1449,5678,4877,4836,3022,618,34,20510,1425,6400,5081,3797,2163,492,23,19385,1206,4905,3913,3051,2334,409,82,15906,810,3020,3042,2663,2592,403,103,12632,621,1377,1209,1172,2045,421,16,6859,318,362,228,141,1474,505,10,3036,15728,28839,20581,17713,20879,3748,319,107799,8914,2154,189,65,6443,469,20,18248,6527,3110,461,186,4888,437,20,15625,6274,7555,2598,2263,6206,958,59,25927,5354,12465,7243,5893,6935,1241,58,39186,5601,13628,7510,4677,5214,1031,53,37720
116,4406,1379,160,66,5820,859,10,12696,3828,2066,358,167,6327,1195,12,13953,6175,6490,1686,955,11061,2788,49,29196,5927,10048,3727,1932,10209,2433,40,34311,4781,7003,2324,1269,7153,1552,23,24100,3611,5074,1693,1007,6211,1088,71,18754,2000,2815,1331,909,5071,708,114,12949,813,1055,502,361,2647,471,27,5875,206,165,88,54,883,199,4,1590,31745,36087,11861,6706,55374,11302,336,153421,4192,1687,288,139,4734,729,7,11776,3142,2869,747,481,4584,831,21,12682,3651,7264,3983,4851,8980,2208,35,30974,2211,7797,6679,7404,7759,2091,28,33973,1928,6384,4494,4132,5576,1297,42,23857,1676,4639,3418,3155,5556,941,189,19578,1138,2691,2333,2245,5099,833,161,14488,692,1099,768,664,2957,549,24,6757,254,269,118,85,1691,408,5,2831,18891,34695,22831,23152,46932,9898,520,156916,8597,3061,443,207,10552,1591,11,24474,6969,4938,1105,649,10912,2032,32,26631,9829,13751,5670,5802,20046,4993,80,60170,8137,17841,10405,9332,17968,4528,63,68282,6709,13385,6824,5393,12731,2853,65,47956
117,2030,470,50,21,2080,402,46,5098,3964,2831,414,194,6546,1721,127,15788,13159,13653,2054,747,15525,4463,415,50020,8229,10483,2462,895,7592,2695,239,32590,5094,6940,1891,652,4674,1868,165,21285,3568,4880,1379,495,4119,1440,152,16036,1856,2745,974,394,3271,939,90,10275,892,1088,381,179,2005,628,31,5199,243,207,79,39,759,303,0,1626,39034,43295,9680,3609,46575,14454,1266,157905,2125,662,66,33,1829,385,32,5131,4184,3954,676,235,5492,1325,120,15980,10553,15534,3471,1793,12172,3561,324,47412,4619,9005,4005,2834,5220,1861,151,27692,2688,6191,3079,1773,2807,1112,127,17782,2021,4574,2171,1280,2787,885,177,13897,1153,2724,1765,1011,2716,701,93,10161,638,1161,737,512,1938,612,24,5624,291,303,132,102,1011,484,3,2326,28268,44101,16101,9566,35976,10934,1053,145996,4154,1130,111,54,3910,791,85,10230,8149,6784,1088,418,12033,3045,248,31766,23712,29189,5524,2537,27692,8026,736,97428,12846,19486,6466,3725,12809,4557,389,60276,7784,13130,4973,2422,7488,2986,294,39063
118,2890,432,35,11,2512,365,19,6268,2660,1205,137,69,2833,533,70,7507,7327,6146,843,270,6818,1811,120,23330,5148,6908,1723,599,3547,1333,79,19334,4218,6266,1640,571,2606,967,70,16340,3424,4581,1299,409,2493,729,65,13000,2265,3084,921,341,2580,572,58,9824,1196,1457,535,262,2147,522,20,6138,380,422,144,68,1019,439,6,2473,29506,30491,7279,2610,26552,7270,507,104213,2923,603,43,29,1961,283,14,5859,2995,2124,247,84,2113,469,79,8111,7217,8782,1982,1120,5445,1566,119,26229,3031,6683,3748,3251,2434,1014,61,20225,2189,6188,3954,2356,1781,731,63,17268,1785,4936,2787,1525,1953,551,68,13596,1290,3316,2166,1301,2484,581,55,11198,910,1760,1196,833,2162,743,23,7633,520,593,241,137,1477,974,8,3944,22861,34992,16367,10631,21815,6900,499,114061,5811,1038,75,40,4476,652,33,12122,5655,3331,376,153,4945,1008,148,15613,14541,14919,2828,1390,12260,3370,239,49557,8179,13593,5470,3848,5978,2349,136,39555,6407,12456,5594,2928,4383,1700,135,33609
119,5798,1449,170,70,8870,1119,27,17503,5732,2763,472,286,11286,1740,58,22329,10248,9664,2294,1294,21166,4105,122,48892,8115,10882,3667,1989,14231,3079,96,42060,7456,9752,3177,1636,11675,2172,88,35963,6404,8809,3117,1687,11557,1944,89,33605,3960,5735,2588,1328,9116,1460,88,24281,2203,2798,1252,717,5923,1261,30,14177,788,748,359,215,2916,890,7,5926,50714,52590,17100,9217,96746,17769,596,244738,5850,2087,288,108,6782,993,25,16128,5295,4124,992,579,7833,1394,31,20244,6788,10839,4741,5725,15516,3548,102,47252,3517,9683,7021,8587,10455,2812,72,42138,3060,9678,7314,6832,9153,2200,82,38318,2951,8352,6491,5742,9620,1818,175,35149,2165,5377,4745,4101,8215,1523,125,26247,1595,3039,2217,1898,6016,1493,45,16298,959,1050,556,338,4073,1781,12,8760,32161,54226,34356,33903,77667,17564,660,250532,11642,3538,463,183,15651,2114,50,33634,11024,6882,1455,874,19120,3131,85,42576,17038,20499,7038,7014,36682,7654,221,96142,11631,20561,10690,10574,24687,5888,164,84199,10520,19432,10485,8467,20830,4371,170,74277
