SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
101,2318,2104,4421,6811,6191,13006,2166,1950,4116,811,824,1635,9804,8976,18775,4430,4175,8598,1991,1947,3942,952,984,1940,7383,7116,14492,297,263,561,236,337,575,1086,751,1837,1057,1808,2859,28,20,45,2705,3174,5880,869,1307,2172,466,718,1184,216,393,605,913,1861,2774,17,16,29,2479,4294,6772,5186,7477,12657,282,245,528,372,645,1020,10,14,22,663,905,1571,9289,7867,17155,206,192,397,34845,34623,69472
102,4261,3854,8112,10310,9476,19790,2343,2272,4612,1804,1617,3420,14483,13396,27879,7326,7055,14378,2018,1953,3968,1789,1873,3663,11155,10886,22046,415,573,997,339,654,993,1791,1009,2795,1415,2602,4023,24,21,46,3988,4859,8845,1875,2755,4632,659,1185,1844,414,640,1049,1030,2286,3315,11,20,32,3983,6890,10872,7985,11759,19740,259,314,565,503,823,1327,13,10,17,768,1146,1912,8532,9721,18252,177,174,354,47362,50928,98295
103,2369,2201,4564,6545,6069,12612,2221,2191,4409,638,630,1262,9414,8904,18315,4253,3890,8146,1774,2036,3814,1187,1116,2306,7224,7053,14278,210,277,485,151,328,477,1024,748,1771,915,1640,2553,15,16,35,2311,3010,5320,725,1286,2011,279,510,789,180,337,513,676,1387,2062,9,7,10,1857,3528,5382,4176,6542,10716,143,145,286,232,435,666,4,12,17,374,591,973,9030,7268,16303,109,93,208,32703,32650,65353
104,1427,1360,2792,3986,3743,7731,1073,1078,2154,745,650,1394,5817,5484,11298,2904,2928,5833,749,766,1512,765,687,1453,4418,4392,8807,181,218,403,179,341,521,556,398,955,680,1140,1821,12,11,23,1613,2109,3725,295,616,919,179,417,593,87,174,263,388,944,1335,6,9,11,955,2160,3123,2577,4278,6862,100,122,217,167,325,498,10,9,16,283,450,731,5761,5089,10851,221,160,379,20500,21220,41718
105,1313,1233,2538,3083,2900,5985,1235,1324,2561,407,368,768,4730,4598,9323,2327,2266,4589,529,526,1055,418,483,898,3277,3271,6548,115,136,249,106,191,295,454,334,785,403,856,1252,12,8,18,1087,1517,2600,189,414,598,119,252,375,41,130,168,258,738,999,4,12,8,605,1541,2150,1693,3064,4757,106,86,193,141,217,356,4,3,11,244,313,558,7160,6645,13806,89,62,148,18506,19180,37684
106,3502,3292,6793,8931,8420,17352,2756,2557,5314,1410,1382,2795,13113,12376,25495,6015,5765,11778,2095,2234,4328,1459,1420,2885,9580,9425,19000,412,522,941,275,513,784,1533,1002,2538,1139,2256,3391,26,16,43,3389,4306,7694,1044,1716,2753,403,821,1230,256,496,751,826,1871,2700,9,13,21,2538,4915,7450,5933,9230,15159,284,248,531,390,704,1096,20,14,28,682,974,1663,8942,6866,15808,122,124,248,41875,42289,84162
107,3851,3496,7348,9627,8839,18466,2281,2292,4574,923,939,1861,12844,12094,24933,6488,6330,12815,2510,2551,5063,1067,1031,2102,10073,9930,20001,460,553,1012,410,687,1091,1787,1037,2829,1338,2241,3583,17,20,42,4007,4545,8553,3246,4403,7649,1304,1471,2774,534,722,1257,1151,2226,3381,13,12,23,6246,8838,15082,10276,13390,23667,288,297,583,434,717,1154,12,11,23,734,1018,1754,6861,7247,14109,136,155,296,44780,47341,92119
108,2053,1903,3956,5699,5533,11231,1565,1489,3049,999,986,1987,8275,8020,16295,3892,3764,7655,1769,1768,3536,954,970,1927,6614,6517,13132,255,326,583,179,428,609,831,624,1456,727,1606,2334,22,17,31,2021,2998,5015,618,1195,1811,255,604,858,111,248,361,508,1225,1730,5,6,12,1499,3277,4775,3520,6282,9795,125,149,275,219,450,664,13,9,21,352,607,966,8395,7982,16384,150,112,260,29362,31414,60775
109,1316,1221,2539,3165,2915,6077,1111,1143,2252,669,638,1305,4942,4696,9644,2210,2276,4486,782,754,1539,683,799,1487,3689,3838,7523,157,199,355,157,248,407,528,339,871,477,909,1389,11,4,16,1327,1700,3027,274,691,961,138,297,437,77,149,223,288,700,987,3,4,5,776,1840,2622,2112,3548,5653,119,104,226,175,323,497,10,3,12,300,438,738,4785,4460,9251,110,75,183,17257,18265,35519
110,2003,1802,3807,5283,5025,10312,1797,1721,3517,709,711,1421,7801,7466,15265,4073,3620,7699,923,1137,2059,829,1107,1934,5827,5860,11691,203,199,404,143,331,474,683,533,1215,711,1446,2157,10,10,25,1748,2525,4274,645,1128,1770,359,542,905,169,330,500,517,1180,1695,0,9,5,1691,3186,4879,3445,5716,9164,121,161,281,178,352,529,8,5,12,307,516,826,9592,9307,18896,241,121,365,29214,30797,60016
111,4482,4125,8605,11586,10612,22199,2626,2583,5214,1701,1634,3331,15934,14850,30782,7943,7651,15598,1982,2103,4092,1841,1811,3651,11777,11582,23360,589,653,1243,471,725,1196,1889,1097,2982,1741,2586,4333,16,12,27,4708,5079,9786,4058,5347,9403,1684,2161,3846,633,907,1544,1906,3346,5250,15,9,23,8293,11766,20065,13021,16857,29884,346,340,689,653,1037,1682,15,12,25,1004,1392,2400,8300,8490,16790,191,212,408,54713,57513,112225
