SOSR_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,5,16,8,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,24,0,0,0,10,40
SOSR501,64,15,14,17,60540,60648,1234,81,43,32,61946,63332,40033,1900,1940,118,93945,137925,85145,5129,7332,204,42503,140322,78665,6171,12832,696,25387,123749,69407,4806,15605,1606,14851,106272,58504,3215,12414,3327,6152,83614,32378,1288,5027,4585,1956,45232,8983,269,955,4667,476,15345,1250,83,177,72,869,2453,375668,22954,56329,15322,308629,778901,69,21,10,21,57922,58036,2864,204,79,34,59475,62657,57789,3626,3452,195,83410,148478,93918,7196,10976,821,36574,149485,81521,7636,19109,2157,21453,131874,69671,5693,22922,5609,11454,115347,53623,3270,18352,12815,4853,92912,24045,1021,7660,18304,1673,52702,4699,170,1755,17290,627,24539,1042,60,169,380,735,2380,389246,28895,84490,57610,278163,838412,134,32,24,37,118461,118685,4097,283,126,61,121420,125988,97819,5529,5389,312,177350,286403,179063,12331,18305,1029,79080,289808,160182,13805,31940,2852,46842,255624,139080,10496,38521,7206,26310,221618,112129,6483,30761,16142,11012,176529,56423,2311,12695,22890,3621,97942,13679,438,2710,21958,1101,39885,2292,146,344,455,1600,4837,764914,51847,140821,72933,586797,1617314
SOSR511,0,0,0,0,2288,2294,58,3,0,0,1864,1933,1257,87,64,6,2964,4376,2595,224,295,3,1524,4645,2664,260,545,26,995,4493,2721,201,726,66,540,4249,2361,156,525,157,177,3369,1311,51,188,194,46,1790,341,8,27,168,19,561,11,3,8,0,22,44,13325,992,2375,626,10430,27749,9,0,0,0,2318,2323,96,5,0,5,1751,1856,1779,159,124,18,2620,4693,2902,317,417,42,1329,5009,2875,334,776,95,902,4973,2693,246,1025,216,416,4584,2147,148,726,531,138,3696,989,39,251,806,45,2122,173,5,50,700,21,949,13,0,0,7,21,41,13661,1247,3374,2413,9566,30255,8,0,4,0,4606,4624,152,8,0,0,3619,3782,3038,242,187,16,5582,9066,5498,537,713,47,2854,9652,5535,595,1314,124,1894,9467,5405,445,1750,282,954,8839,4511,301,1253,689,310,7068,2304,85,434,997,93,3914,510,18,75,866,37,1511,30,4,6,4,40,89,26988,2239,5744,3040,19993,58003
SOSR512,5,0,0,4,3709,3722,95,13,0,3,3144,3255,2032,114,119,6,5122,7389,3866,354,410,15,2741,7385,4191,442,832,53,1948,7462,4457,393,1127,165,1326,7471,3973,257,971,302,478,5974,2270,98,354,398,140,3262,651,14,77,362,27,1137,50,5,8,5,49,110,21593,1680,3901,1314,18678,47164,7,0,0,0,3474,3480,169,21,4,4,2897,3091,2611,196,174,14,4396,7389,4208,471,632,55,2399,7758,4431,502,1232,167,1695,8020,4382,397,1578,415,983,7752,3671,234,1163,914,337,6322,1756,62,488,1354,106,3757,363,21,104,1251,28,1766,26,3,0,19,34,84,21618,1900,5374,4193,16345,49428,14,0,3,3,7183,7202,263,30,3,8,6041,6346,4643,306,293,22,9518,14779,8075,819,1046,74,5135,15147,8621,942,2059,225,3643,15483,8837,794,2708,577,2308,15223,7645,486,2136,1222,813,12300,4020,162,837,1752,248,7025,1014,40,182,1606,57,2895,79,4,10,22,76,192,43208,3582,9274,5512,35017,96591
SOSR513,5,0,0,0,2019,2025,48,5,0,0,1912,1958,1635,88,94,10,4418,6234,3745,264,365,19,2428,6824,3359,363,642,41,1558,5957,3122,243,785,85,788,5016,2299,162,405,120,206,3191,921,27,127,157,60,1288,127,8,15,73,10,231,66,4,12,3,112,199,15321,1165,2439,503,13514,32940,3,0,0,0,1782,1788,63,5,4,0,1785,1864,2116,148,135,7,4074,6488,3250,270,388,46,1983,5938,2581,282,638,68,1133,4697,2512,213,740,207,510,4188,1925,108,440,364,144,2978,591,37,136,380,33,1174,66,5,26,219,11,330,32,0,14,4,87,131,13141,1070,2525,1289,11547,29578,8,0,0,0,3806,3812,107,11,4,0,3699,3818,3748,237,229,14,8490,12717,7000,535,752,67,4410,12761,5931,643,1284,103,2692,10658,5634,457,1530,287,1299,9210,4225,269,843,489,351,6176,1508,64,265,537,93,2466,194,12,43,291,24,563,97,7,15,4,198,332,28459,2238,4963,1788,25066,62518
SOSR514,0,0,0,0,858,856,16,4,0,0,574,595,353,28,23,3,1115,1518,904,77,96,10,662,1751,937,112,189,8,471,1709,953,83,286,35,268,1620,1021,68,284,81,142,1593,555,23,87,66,26,756,116,5,13,77,9,221,45,0,0,0,20,62,4899,389,981,285,4128,10676,0,0,0,0,728,729,21,0,0,0,481,510,521,50,37,5,1029,1648,1105,131,169,10,659,2067,980,161,305,31,459,1934,1005,109,382,90,208,1792,958,68,299,203,80,1608,400,11,100,288,23,830,63,0,27,241,7,340,5,0,0,0,3,20,5068,528,1331,868,3677,11464,4,0,0,0,1585,1589,36,6,0,3,1058,1098,873,75,61,4,2143,3163,2010,207,268,14,1321,3817,1911,268,497,37,924,3638,1961,186,666,121,472,3411,1981,133,585,283,217,3201,959,34,190,354,47,1587,181,5,39,322,14,561,45,0,3,0,21,77,9964,915,2308,1148,7803,22147
SOSR515,5,0,0,0,2649,2651,84,9,0,0,2310,2402,1754,96,74,6,4287,6217,3214,286,303,20,2343,6165,3531,394,763,42,1826,6560,3952,341,1110,121,1154,6667,3992,242,1034,271,476,6025,1952,90,360,327,157,2885,443,10,57,261,37,804,98,13,10,3,194,320,19031,1483,3715,1043,15430,40698,6,3,0,0,2429,2440,139,13,0,0,2125,2277,2146,159,149,22,3937,6408,3376,348,419,54,2066,6265,3293,410,852,143,1415,6107,3930,358,1252,307,787,6627,3651,208,1005,750,279,5898,1371,51,337,982,63,2804,224,4,84,760,27,1095,39,5,11,8,99,160,18168,1566,4106,3023,13218,40084,7,5,0,0,5080,5095,225,15,0,4,4432,4676,3899,255,224,29,8222,12625,6591,635,719,71,4405,12427,6821,806,1617,181,3240,12665,7876,699,2355,423,1941,13292,7645,456,2046,1022,753,11923,3321,141,697,1309,217,5689,668,17,136,1017,61,1898,145,16,20,5,294,480,37200,3046,7819,4066,28652,80781
SOSR521,5,0,0,4,964,975,52,4,0,6,917,976,681,41,40,3,1772,2531,1275,128,160,12,978,2545,1458,159,311,30,908,2865,1792,201,532,64,694,3280,1770,121,521,159,293,2863,815,59,164,157,81,1281,180,3,22,105,11,317,13,0,4,0,26,51,8049,710,1754,522,6646,17680,11,0,0,0,931,945,68,6,3,4,790,867,787,61,43,12,1578,2474,1222,125,168,36,904,2451,1295,182,349,54,708,2580,1722,167,530,186,433,3040,1556,104,422,342,144,2574,597,28,153,408,41,1226,82,0,27,296,11,423,14,0,3,9,47,67,7349,681,1702,1333,5584,16650,14,0,0,4,1898,1916,120,13,3,6,1708,1841,1464,102,80,12,3343,5007,2492,256,328,44,1879,4996,2754,339,658,86,1614,5446,3513,367,1065,247,1128,6323,3333,218,950,500,435,5435,1415,90,321,561,120,2507,259,6,48,401,25,738,26,0,6,9,73,118,15394,1391,3457,1859,12231,34335
SOSR522,14,0,0,0,601,620,62,0,3,0,547,617,381,32,24,3,1049,1478,706,57,47,3,645,1448,762,92,153,14,541,1563,1020,124,306,47,329,1832,1158,92,310,90,166,1807,528,22,127,79,49,796,113,8,10,43,8,179,0,0,0,0,29,28,4740,418,972,274,3958,10373,21,0,0,0,564,587,73,3,3,0,580,663,450,31,27,9,902,1420,638,80,67,15,542,1345,670,90,185,37,371,1355,1027,107,311,102,262,1814,982,45,245,207,102,1575,365,12,65,229,18,685,45,8,12,133,3,199,11,4,3,0,29,47,4282,378,918,735,3379,9688,42,0,0,0,1166,1204,133,10,8,0,1128,1279,833,63,43,8,1949,2895,1346,136,110,12,1185,2793,1436,182,342,50,917,2915,2050,230,619,150,594,3647,2132,134,552,295,269,3384,890,33,186,309,63,1481,157,11,23,173,6,369,7,4,3,0,56,79,9028,798,1894,1006,7336,20052
SOSR531,19,4,8,3,4774,4805,194,7,3,9,5673,5878,4310,239,272,19,11573,16417,9860,692,1077,26,6358,18019,12003,1043,2223,106,4433,19811,12578,972,2794,315,2541,19205,9422,532,1970,488,854,13265,3557,163,530,457,166,4870,505,17,56,225,40,842,170,12,30,4,266,483,52621,3681,8968,1643,36681,103590,19,3,0,0,4167,4189,155,17,0,4,3622,3795,3039,157,194,20,5993,9400,6553,388,647,55,3022,10667,8364,604,1559,203,2337,13071,10105,520,2082,510,1265,14487,7719,236,1286,953,329,10520,2293,52,373,1001,77,3798,216,8,48,531,17,820,45,5,13,9,174,251,38502,1998,6193,3288,21008,70987,39,4,8,6,8939,8990,343,27,7,7,9291,9679,7352,396,461,36,17567,25814,16417,1080,1721,85,9383,28684,20376,1650,3781,307,6772,32883,22689,1497,4874,819,3809,33687,17138,771,3250,1444,1184,23786,5843,215,901,1453,246,8666,720,22,105,758,58,1662,220,17,37,12,438,733,91129,5676,15155,4933,57685,174575
SOSR579,0,0,0,0,13,13,0,0,0,0,81,81,116,6,0,0,301,430,528,48,48,3,285,908,565,42,76,3,153,842,314,24,65,3,37,449,91,6,12,4,0,117,8,0,0,0,0,15,0,0,0,0,0,0,95,4,12,0,33,143,1728,131,216,13,908,3002,0,0,0,0,8,8,3,0,0,0,33,36,9,0,0,0,68,89,15,4,5,0,30,49,15,5,11,0,18,60,45,7,19,0,9,77,48,0,6,4,0,61,14,0,0,0,0,17,0,0,0,0,0,0,9,0,3,4,5,16,163,19,40,13,173,405,0,0,0,0,20,20,3,0,0,0,115,116,128,8,3,0,370,518,546,44,48,3,311,957,575,49,87,5,173,896,360,32,84,3,50,533,139,9,18,7,0,176,23,0,0,4,0,32,0,0,0,0,0,0,104,4,16,4,39,164,1892,147,262,29,1085,3410
SOSR603,3,4,0,0,5381,5381,161,7,8,4,6121,6303,5120,192,216,21,11619,17165,6574,422,647,21,4711,12380,5993,525,1365,80,3103,11063,6037,522,1794,230,2007,10594,5959,334,1501,427,961,9183,3496,140,632,628,254,5156,968,25,91,644,52,1785,119,6,9,0,157,300,34441,2172,6267,2066,34368,79311,4,0,0,7,5101,5111,375,18,6,0,5821,6215,6059,356,322,20,10198,16957,6701,626,1032,71,4637,13066,6218,705,1939,191,2968,12024,6236,642,2731,593,1733,11931,5551,351,2420,1623,753,10693,2686,112,1037,2466,280,6591,490,18,218,2238,104,3064,63,6,14,23,45,154,34381,2834,9726,7227,31644,85810,8,4,0,4,10478,10496,533,24,12,4,11939,12516,11181,545,538,41,21822,34119,13273,1051,1678,93,9350,25445,12210,1233,3306,266,6072,23082,12274,1164,4532,818,3736,22522,11513,679,3916,2048,1716,19880,6188,254,1672,3101,534,11745,1450,44,313,2880,158,4848,178,12,24,31,206,456,68820,5006,15994,9294,66009,165114
SOSR611,0,0,0,0,2395,2402,74,3,3,5,2728,2808,1857,87,73,3,4333,6356,2471,177,308,17,1761,4730,2522,241,608,24,1291,4681,2569,223,741,85,812,4433,2401,143,585,215,361,3711,1579,51,243,314,115,2300,408,15,60,273,31,781,14,0,6,3,61,85,13893,952,2628,936,13892,32293,3,0,0,0,2367,2380,151,8,6,0,2500,2669,2236,155,143,9,3528,6066,2536,292,459,38,1724,5050,2681,341,921,108,1188,5236,2605,292,1099,304,644,4947,2220,192,1012,687,306,4422,1208,51,411,1133,119,2916,237,6,86,1014,53,1396,12,3,6,11,47,74,13889,1341,4157,3295,12476,35156,8,0,0,0,4769,4780,222,12,5,3,5226,5480,4093,241,221,13,7855,12428,5001,469,773,47,3487,9780,5199,584,1530,130,2485,9920,5174,514,1848,388,1457,9379,4621,341,1601,904,665,8130,2785,100,657,1445,230,5218,647,19,143,1281,83,2180,30,0,12,8,108,159,27781,2291,6783,4234,26365,67450
SOSR612,0,0,0,0,1310,1310,52,3,0,0,1234,1283,787,52,48,0,1994,2880,1063,119,173,8,933,2294,1257,180,420,22,735,2614,1476,157,525,51,440,2650,1473,113,447,142,194,2361,1021,38,160,216,69,1515,262,0,27,168,10,472,18,0,3,0,14,32,7411,665,1793,607,6937,17422,0,0,0,0,1286,1284,82,5,4,0,1234,1320,935,107,74,7,1844,2964,1239,207,243,19,924,2632,1316,216,572,81,678,2860,1548,180,724,218,401,3077,1473,106,599,436,143,2756,743,32,187,706,37,1710,137,3,44,579,20,787,5,0,10,6,14,33,7481,858,2451,2057,6583,19424,0,4,0,0,2597,2599,134,5,4,0,2463,2606,1723,154,120,12,3839,5842,2305,325,418,26,1855,4920,2575,395,991,99,1418,5478,3022,340,1247,272,845,5734,2949,219,1039,579,332,5115,1764,72,353,923,112,3221,398,8,72,753,34,1261,22,0,8,6,33,69,14887,1520,4242,2667,13523,36845
SOSR613,0,0,0,0,355,353,10,0,0,0,295,306,158,5,9,0,413,591,283,35,39,0,223,584,354,42,93,9,200,692,510,39,149,13,124,833,559,32,108,37,68,809,370,9,49,90,14,526,111,0,5,64,6,184,0,0,0,0,0,4,2353,164,454,214,1694,4875,0,0,0,0,358,358,11,0,0,0,302,322,231,29,17,5,378,654,330,44,63,4,212,654,405,52,142,19,187,806,543,59,210,67,106,987,545,37,159,152,45,935,279,10,72,279,19,654,54,5,20,203,8,278,0,0,0,0,0,3,2399,229,688,725,1615,5659,0,0,0,0,712,714,24,0,0,0,599,625,389,33,21,5,794,1247,615,79,103,3,437,1238,759,96,236,29,380,1499,1053,96,358,83,231,1818,1100,66,267,188,118,1743,643,19,123,361,32,1183,165,5,24,259,10,463,6,0,3,0,0,6,4752,390,1144,933,3310,10535
SOSR614,0,0,0,0,436,436,12,0,0,0,411,425,232,19,18,0,654,924,415,42,59,0,401,915,384,65,136,5,311,908,645,78,229,24,232,1205,650,27,168,52,95,993,338,18,73,68,24,517,68,4,8,54,6,142,0,0,0,0,5,7,2740,261,690,204,2576,6471,0,0,0,0,446,449,20,0,0,0,389,410,279,28,21,0,675,1001,447,45,72,4,413,982,478,81,196,21,270,1045,646,73,246,71,156,1189,581,41,211,188,74,1087,268,15,69,304,13,666,33,0,10,170,4,215,0,0,0,0,0,7,2756,285,823,748,2439,7055,0,0,0,0,883,881,30,4,0,0,800,837,512,49,35,0,1333,1932,863,87,126,4,816,1898,868,148,334,28,577,1958,1289,155,471,94,388,2398,1236,69,376,235,173,2082,603,26,140,367,38,1177,107,5,19,221,5,361,0,0,0,0,5,8,5498,542,1512,960,5020,13527
SOSR615,0,0,0,0,1732,1729,53,4,4,0,1506,1574,1122,52,67,4,2427,3669,1696,138,193,5,1217,3246,1825,216,483,27,992,3537,2383,239,740,98,680,4133,2769,185,686,248,349,4235,1624,60,272,294,110,2365,414,13,35,253,43,751,22,0,3,0,42,70,11900,912,2481,923,9088,25307,0,0,0,0,1504,1504,95,7,0,3,1479,1590,1430,118,102,0,2266,3921,1823,226,326,32,1187,3589,2007,276,735,88,867,3977,2538,252,995,279,509,4566,2604,170,861,751,211,4590,1244,52,335,1171,89,2884,207,9,62,861,31,1173,16,0,0,9,15,43,11970,1104,3410,3187,8148,27830,0,0,0,0,3234,3233,148,12,6,3,2989,3154,2549,174,171,6,4688,7586,3517,367,513,34,2401,6839,3837,492,1220,115,1858,7512,4925,486,1733,372,1188,8702,5372,351,1546,996,553,8825,2870,118,603,1458,200,5250,618,21,102,1114,71,1923,39,0,5,9,53,109,23873,2019,5893,4109,17244,53136
SOSR621,0,0,0,0,531,531,12,0,0,0,482,487,308,18,17,4,804,1146,594,46,68,7,496,1205,756,78,156,15,391,1403,998,85,321,32,278,1709,1085,53,292,63,120,1611,581,30,114,116,35,875,100,0,12,75,8,202,13,0,4,0,23,36,4435,313,982,304,3173,9210,0,0,0,0,469,469,21,4,0,0,399,418,406,24,28,5,722,1180,651,54,91,8,408,1212,822,82,195,34,295,1424,1086,88,342,92,209,1814,966,57,271,219,79,1590,390,11,103,297,19,820,43,0,18,187,7,265,4,0,3,6,6,18,4389,321,1045,847,2611,9216,0,0,0,0,997,997,27,4,0,0,876,912,710,40,43,7,1526,2330,1246,102,154,11,901,2414,1580,167,351,43,690,2825,2080,169,667,129,488,3525,2051,108,558,283,199,3204,967,43,221,415,53,1699,145,4,26,267,19,463,17,0,8,3,36,55,8823,639,2025,1149,5782,18429
SOSR622,0,0,0,0,197,197,6,0,0,0,181,188,105,9,7,0,283,410,199,21,22,0,181,424,292,35,77,4,186,590,480,38,127,20,146,815,498,44,202,35,53,831,243,15,48,51,21,378,42,5,9,39,0,99,0,0,0,0,6,6,1881,162,499,149,1254,3941,4,0,0,0,204,204,10,0,0,0,159,165,132,13,16,0,252,415,229,21,38,0,167,461,337,36,96,14,121,606,511,29,159,41,82,820,436,19,134,100,45,739,164,8,45,125,8,352,24,0,6,96,0,138,0,0,0,0,0,0,1846,133,502,382,1038,3901,4,0,0,0,399,397,11,0,0,0,341,356,242,23,23,0,540,820,435,39,64,0,354,881,631,68,177,22,301,1196,986,68,290,64,224,1636,934,63,334,136,98,1575,413,22,97,177,27,732,71,3,21,134,6,235,3,0,0,0,6,7,3727,293,995,529,2292,7841
SOSR631,5,0,0,0,3112,3117,57,0,0,3,2309,2375,1448,83,77,3,3563,5178,3209,198,325,13,2232,5977,4353,350,885,58,1976,7619,5762,426,1542,163,1497,9391,5188,345,1285,370,640,7821,2177,93,383,373,143,3166,330,15,43,172,27,588,36,0,6,0,47,89,22562,1505,4554,1153,15546,45324,5,0,0,0,2733,2742,94,10,10,0,2007,2115,1883,104,121,12,3081,5201,3764,235,424,35,1923,6379,4818,319,952,146,1518,7764,5936,332,1412,398,932,9010,4400,169,930,689,297,6485,1397,24,260,725,64,2470,134,4,46,366,7,565,21,0,3,0,12,41,22455,1196,4159,2366,12591,42774,11,0,0,0,5847,5861,153,10,12,0,4314,4492,3333,181,202,16,6648,10379,6976,435,750,47,4153,12363,9171,669,1832,204,3497,15378,11693,759,2959,560,2433,18400,9589,512,2212,1060,943,14309,3573,114,644,1093,203,5634,465,15,93,541,38,1154,49,0,9,0,58,124,45013,2705,8715,3524,28140,88099
SOSR679,0,0,0,0,0,0,0,0,0,0,9,9,8,0,4,0,39,58,28,0,3,0,38,65,37,6,4,0,24,70,36,3,12,0,4,62,13,0,0,0,5,25,4,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,0,8,125,12,35,4,122,296,0,0,0,0,4,4,0,0,0,0,6,6,0,0,0,0,10,13,3,0,0,0,6,12,4,0,4,0,7,18,10,0,0,0,0,11,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,12,0,32,75,0,0,0,0,5,5,0,0,0,0,15,15,10,0,4,0,48,62,33,3,3,0,43,80,40,8,11,6,30,90,42,3,20,0,8,75,24,0,0,0,5,33,4,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,13,154,13,49,7,158,374
SOSR703,23,0,0,3,3382,3406,220,13,6,0,4433,4673,3984,135,168,12,8085,12383,5945,338,521,25,3422,10260,4845,413,919,64,2276,8516,4291,387,1141,129,1439,7389,3417,262,986,219,612,5506,1232,75,242,212,159,1926,175,14,34,114,29,362,676,9,61,4,1271,2027,24805,1651,4083,795,25121,56444,16,0,0,0,3312,3327,341,21,5,7,3718,4084,4969,280,295,20,7578,13140,5885,498,765,70,3484,10705,4557,454,1145,191,2068,8421,4044,397,1316,446,1123,7334,2715,211,1015,785,396,5127,687,41,323,709,85,1845,60,6,56,308,16,442,163,15,29,37,250,491,23438,1919,4954,2576,22026,54913,32,0,0,3,6690,6730,559,32,12,5,8149,8761,8959,411,463,30,15656,25522,11834,842,1285,96,6914,20971,9401,863,2065,261,4346,16938,8331,785,2457,586,2564,14722,6128,479,2005,1007,1011,10630,1922,113,562,924,245,3766,237,14,91,422,48,808,838,24,95,43,1526,2519,48248,3568,9035,3366,47143,111361
SOSR712,3,0,0,0,738,743,29,0,3,0,595,630,668,34,31,3,1568,2300,1080,64,82,4,820,2049,853,91,174,20,470,1613,988,85,228,25,337,1659,743,56,185,43,132,1162,221,19,33,34,28,336,31,3,3,12,6,55,24,0,6,0,29,50,4637,351,747,152,4714,10603,12,0,0,0,722,729,60,0,0,0,644,714,868,52,36,5,1750,2723,1041,107,121,16,851,2139,849,101,223,42,598,1810,962,71,293,101,399,1822,605,46,185,164,158,1162,131,14,66,116,43,369,16,5,10,75,12,120,16,0,0,6,23,43,4561,402,938,525,5205,11630,9,0,0,0,1462,1474,98,9,5,3,1237,1347,1539,86,69,8,3315,5017,2126,170,204,20,1676,4187,1704,189,397,62,1069,3420,1946,159,521,125,737,3483,1343,104,370,208,289,2322,349,37,95,153,71,706,52,4,15,92,19,180,30,0,4,11,46,96,9199,758,1681,672,9924,22232
SOSR714,4,0,0,0,165,167,14,5,0,0,218,238,158,7,13,0,448,624,232,15,27,0,217,493,150,21,33,8,182,396,246,18,55,3,118,445,182,23,56,11,57,323,58,4,16,16,10,110,8,0,0,3,0,16,4,0,0,0,14,20,1059,94,201,44,1426,2823,4,0,0,0,144,154,29,7,0,0,209,241,216,14,14,9,456,704,201,32,22,8,211,476,182,35,68,7,178,474,207,31,80,39,117,477,145,7,34,49,32,267,30,0,10,22,3,71,0,0,0,14,5,20,7,0,0,3,4,11,1016,127,236,153,1362,2889,4,0,0,0,310,317,48,10,0,0,425,483,368,17,31,9,900,1323,438,47,50,8,427,965,329,61,103,12,366,868,458,48,134,44,236,919,324,31,95,59,84,593,87,3,27,42,18,173,8,0,0,21,7,32,12,0,0,3,14,29,2076,219,439,194,2792,5716
