SOSR_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SOSR522,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,4,3,10,11,12,15,0,0,0,0,0,0,0,66,3,15,15,0,3,0,3,7,0,0,0,0,0,0,0,49,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,0,0,3,0,3,0,0,0,0,0,3,25,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,13,0,37,8,3,11,6,4,0,3,0,3,0,0,0,3,82,0,3,28,79,138,95,121,66,16,6,11,11,7,3,35,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10
SOSR531,0,0,4,0,0,0,40,105,0,0,0,0,0,15,12,0,0,0,0,0,0,0,15,46,0,10,63,69,129,62,180,184,10,5,21,62,22,0,21,847,51,278,187,22,15,7,36,73,13,9,9,41,15,0,32,790,0,3,6,4,9,26,30,16,0,4,3,9,5,0,3,109,0,0,0,7,7,15,30,16,0,0,0,12,3,0,5,91,0,0,4,8,0,0,0,0,0,0,0,0,0,0,15,33,5,13,34,51,86,34,76,43,17,25,32,21,0,0,36,468,0,0,0,0,0,4,8,4,0,4,0,0,0,0,3,25,35,300,80,58,83,55,78,25,7,5,8,8,4,0,21,763,7,15,223,769,1237,986,1355,737,68,66,82,116,21,48,376,6108,0,5,0,3,11,3,4,0,0,0,0,0,0,0,0,40,0,0,0,3,4,7,10,21,8,4,9,0,0,3,9,74
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,13,14,27,37,27,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR603,35,40,12,18,12,0,0,258,0,0,0,0,0,6,15,21,10,5,0,6,0,0,0,67,4,15,45,43,68,24,56,29,8,3,3,9,0,0,11,315,20,173,108,19,10,13,27,35,9,3,9,5,3,0,18,446,0,3,4,12,14,46,86,53,6,3,8,15,7,0,10,270,0,0,0,11,58,40,122,96,37,31,26,34,10,0,18,479,0,0,8,14,7,7,3,5,8,3,0,4,0,0,3,67,0,20,34,50,62,54,155,187,73,61,50,42,22,0,8,821,0,0,0,0,0,11,381,1443,633,675,486,279,59,4,77,4060,26,293,67,45,49,26,35,15,3,7,3,6,3,0,19,594,7,31,125,287,336,248,301,115,25,20,17,25,20,23,45,1625,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,4,4,59,397,64,41,92,95,26,0,19,808
SOSR611,42,34,4,21,6,0,0,233,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,11,5,8,8,28,14,4,18,19,3,0,0,8,0,0,8,107,0,72,29,8,3,0,3,5,3,3,0,0,4,0,9,147,0,0,0,5,0,8,13,9,3,0,0,3,6,0,0,50,0,0,4,3,13,16,24,33,0,5,8,7,3,0,3,118,0,0,0,8,0,3,0,0,0,3,0,0,0,0,0,16,0,5,15,17,20,12,55,78,39,36,26,26,12,0,4,342,0,0,0,0,0,0,142,418,229,271,184,94,15,4,22,1393,14,163,33,23,28,8,9,3,0,0,4,0,0,0,11,293,0,11,51,87,135,113,119,57,9,0,0,5,5,4,19,628,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,25,140,24,29,56,54,16,4,3,355
SOSR612,0,4,0,4,3,0,0,15,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,17,3,9,5,5,5,0,0,7,0,0,0,0,0,0,0,34,0,8,15,0,3,0,5,0,0,0,0,4,4,0,0,40,0,0,0,0,0,0,7,0,0,0,5,3,0,0,0,19,0,0,0,0,0,5,11,4,3,0,4,6,0,0,0,29,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,4,3,8,5,10,14,0,0,3,8,3,0,0,64,0,0,0,0,0,0,12,52,42,78,42,22,3,0,7,254,7,68,18,14,4,3,3,3,0,0,0,0,0,0,0,127,4,5,36,68,65,74,51,15,0,0,4,0,7,0,10,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,27,10,10,8,7,3,0,0,62
SOSR613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,5,13,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,0,11,3,0,0,0,24,7,77,15,0,7,0,0,0,0,0,0,0,0,0,0,111,5,6,9,16,17,14,3,14,0,0,0,4,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
SOSR614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,4,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,9,3,4,3,6,0,0,0,26,4,22,17,3,6,3,6,0,0,0,0,0,0,0,4,57,0,0,16,29,49,33,17,3,7,0,0,3,8,0,4,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8
SOSR615,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,13,0,7,11,14,14,9,4,3,0,0,0,0,0,0,3,59,0,32,12,5,4,5,4,0,0,0,0,4,0,0,5,75,0,0,0,0,3,3,6,6,0,5,0,3,0,0,0,32,0,0,0,0,0,4,14,6,0,8,0,0,4,0,0,42,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,3,10,8,9,3,14,6,6,0,0,0,0,0,0,68,0,0,0,0,0,0,20,67,27,58,37,26,0,0,8,240,25,143,38,40,28,15,7,6,0,0,0,0,0,0,16,317,3,9,56,156,188,98,106,43,5,10,10,11,5,0,41,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,8,13,7,11,0,0,0,95
SOSR621,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,7,5,3,3,0,0,0,0,0,0,0,22,3,9,4,0,3,0,3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,12,0,0,0,4,3,3,5,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,5,4,3,0,0,0,0,0,33,0,0,0,0,0,0,0,22,11,29,0,7,0,0,0,83,7,56,24,5,6,7,0,0,0,0,0,0,0,0,0,109,0,0,20,70,68,45,32,12,4,0,0,0,0,0,14,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SOSR622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,15,4,9,4,9,5,4,6,0,0,0,0,0,0,0,0,42,0,0,4,26,31,15,10,4,0,0,0,0,0,0,19,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12
SOSR631,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,18,39,34,18,20,12,5,0,3,3,3,0,4,164,4,30,22,7,0,3,9,7,0,3,0,0,0,0,9,108,0,0,0,0,9,13,20,9,5,0,7,8,0,0,0,73,0,0,0,0,16,3,15,13,0,3,0,0,0,0,5,61,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,16,16,11,8,17,8,0,6,6,0,0,0,0,102,0,0,0,0,0,0,5,48,20,28,26,7,3,0,10,153,29,138,62,40,43,33,50,10,7,0,3,6,0,0,9,422,11,7,117,290,342,280,216,85,12,9,8,20,10,6,63,1472,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,63,10,15,3,18,15,3,0,129
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,7,0,7,6,0,0,9,98,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,16,0,5,34,21,30,26,147,205,22,14,19,50,25,6,14,608,5,60,80,37,11,14,31,72,10,17,14,11,0,0,19,376,0,0,3,3,11,22,32,54,3,10,0,12,0,5,4,160,0,0,0,0,16,26,105,72,19,16,8,11,0,3,9,284,0,0,0,3,0,3,13,14,0,0,4,0,0,5,0,48,4,7,44,86,135,47,95,79,28,39,19,29,6,0,8,635,0,0,0,0,3,8,302,632,404,444,365,261,78,0,37,2529,8,73,32,18,21,16,24,16,7,7,0,10,0,0,11,242,3,11,122,373,428,339,381,301,32,38,37,36,21,26,98,2254,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,15,11,98,222,44,58,53,69,24,5,5,607
SOSR712,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,12,6,20,17,0,0,0,0,0,0,0,79,0,19,12,10,0,5,8,10,0,3,4,3,0,0,6,70,0,0,0,0,0,3,13,0,0,0,0,9,0,0,0,33,0,0,0,0,7,0,18,15,6,5,3,0,0,0,0,45,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,7,0,0,3,7,0,7,10,3,6,3,3,5,0,0,0,48,0,0,0,0,0,0,41,45,45,45,27,19,3,0,0,221,3,15,4,10,5,4,6,5,0,4,0,0,4,0,0,68,0,5,16,88,95,90,146,210,34,11,47,38,14,14,20,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,4,6,3,0,0,5,64
SOSR714,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,13,0,0,4,4,5,0,7,0,0,0,4,0,0,0,0,23,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,45,30,23,16,6,3,0,12,153,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,9,17,25,22,13,12,3,0,0,3,4,0,11,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,11
SOSR715,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,5,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,3,6,0,0,0,0,0,0,28,0,0,0,0,0,0,10,12,0,4,3,9,0,0,3,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,22,28,31,46,39,0,3,9,7,5,3,8,196,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
SOSR721,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,4,0,0,0,0,3,4,0,0,18,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,4,6,3,3,5,0,0,0,0,23,0,9,3,0,4,0,3,0,3,0,0,3,0,0,0,26,0,0,0,18,25,22,36,18,3,3,3,4,6,0,6,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,9,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,25,0,0,6,41,19,19,20,15,0,3,0,4,3,0,9,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR731,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,16,3,15,9,0,0,3,3,3,0,4,101,0,13,22,10,4,0,3,4,0,0,0,16,8,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,10,3,4,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,10,8,3,3,5,0,3,0,9,0,0,7,70,0,0,0,0,0,0,3,0,10,4,3,4,0,0,0,18,7,43,34,3,10,5,3,4,0,0,4,0,0,0,4,126,0,4,44,172,169,102,112,61,9,3,5,13,4,3,24,740,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,38,49,50,72,45,5,15,1115,0,0,6,3,19,81,239,160,105,35,41,34,8,3,9,742,11,47,92,95,151,93,162,183,13,10,9,22,7,0,10,900,42,552,596,201,82,62,87,145,11,20,21,22,13,0,56,1899,0,16,14,45,77,134,282,145,27,20,22,16,21,12,14,846,0,0,5,53,184,278,901,637,87,89,87,93,55,13,77,2554,6,3,38,57,120,57,87,32,11,13,16,5,4,0,17,464,11,40,222,343,557,246,466,375,113,112,90,100,67,27,63,2836,0,0,0,3,17,36,559,1322,733,1310,1028,483,90,7,111,5699,35,408,132,73,74,46,84,61,10,8,10,14,10,3,15,990,34,93,354,689,877,887,945,617,87,79,96,72,61,57,142,5087,3,3,85,83,110,72,68,28,8,5,5,5,5,0,8,476,0,0,9,20,61,226,806,927,179,175,189,140,86,35,50,2902
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69,74,15,25,16,8,0,3,0,0,0,12,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
SOSR921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,22,39,41,36,29,15,7,9,9,0,4,5,47,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR931,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,15,38,0,7,0,0,0,0,0,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,12,6,0,7,6,0,0,0,0,0,19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
