SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR522,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,3,4,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,23,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,15,13,14,11,6,5,3,8,9,0,0,3,6,0,0,4,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,5,6,7,6,3,7,10,24,3,0,0,7,6,0,3,79,0,4,0,0,0,3,9,3,4,6,0,0,0,0,0,27,0,0,0,0,0,0,0,0
SOSR531,0,0,0,0,0,3,13,27,0,0,0,0,0,3,24,75,0,0,0,0,6,9,11,5,0,0,0,0,0,0,6,42,0,0,42,56,64,54,75,42,9,0,24,27,14,8,12,424,0,0,0,7,10,13,131,105,16,21,9,35,0,0,26,383,0,24,59,16,6,21,9,0,0,0,0,0,0,0,7,156,5,6,12,3,4,5,8,0,0,0,0,0,0,0,3,44,0,3,4,3,10,14,14,11,3,5,6,16,9,5,14,116,84,85,81,80,172,94,177,74,17,8,34,33,21,0,28,980,0,14,16,11,4,0,4,0,0,0,0,0,0,0,0,54,0,0,10,5,16,18,21,10,0,0,0,0,6,0,14,107,17,10,75,50,35,35,142,86,13,16,16,17,0,0,49,554,5,12,6,6,14,45,75,39,14,18,20,14,11,0,10,283,0,0,0,0,5,8,15,28
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,6,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
SOSR603,0,0,0,0,0,0,3,49,26,6,7,4,3,0,0,107,0,0,0,3,0,0,81,163,30,47,55,49,13,0,16,456,6,5,22,66,52,70,89,41,12,12,21,21,0,0,0,411,6,15,17,10,45,88,804,1693,735,654,593,458,118,13,100,5357,0,31,70,18,6,13,3,6,0,0,0,0,0,0,3,154,3,3,9,0,10,0,17,8,5,8,12,15,6,0,0,97,0,7,14,12,30,24,12,9,5,4,7,8,0,0,4,131,104,192,107,59,101,51,92,45,11,12,10,19,6,0,23,819,5,73,164,40,18,7,5,18,0,0,5,3,0,0,6,349,0,3,18,22,40,26,90,136,37,45,41,76,46,8,7,591,23,4,43,26,28,65,513,1255,424,425,438,450,138,40,72,3940,3,14,3,5,13,27,73,82,23,20,14,19,10,0,10,328,0,0,0,0,21,19,27,61
SOSR611,0,0,0,0,0,4,6,70,31,20,3,25,0,3,0,168,0,0,0,0,0,0,11,27,9,11,11,12,5,0,0,87,0,0,13,19,28,17,31,24,6,7,10,3,6,0,0,156,4,4,8,4,12,22,113,209,87,98,93,83,25,0,17,770,0,6,7,0,4,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,3,9,0,0,0,5,0,0,0,31,0,0,0,5,7,7,6,5,0,0,0,0,0,0,0,31,12,60,38,21,29,7,22,17,0,0,0,5,0,0,14,210,0,7,15,3,6,0,0,0,0,0,0,0,0,0,0,31,0,0,0,6,14,10,18,33,3,7,7,8,6,0,0,105,5,0,7,8,15,29,182,315,128,128,160,166,81,11,18,1264,0,10,0,5,5,4,15,20,8,0,0,12,3,0,0,81,0,0,0,0,0,4,21,99
SOSR612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,5,0,0,0,0,17,0,0,0,4,0,5,6,0,3,0,0,10,0,0,0,29,0,0,0,0,8,9,43,47,31,20,8,23,4,0,0,194,0,0,8,0,0,0,5,0,0,0,0,0,0,0,3,11,0,0,0,0,0,3,0,3,0,6,4,11,0,0,0,30,0,0,0,5,5,14,5,0,0,0,0,0,0,0,4,34,17,30,18,6,18,3,16,0,0,3,0,0,0,0,0,114,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,3,3,4,7,0,0,5,3,3,4,0,46,3,3,3,4,6,13,67,82,28,40,60,28,17,7,14,371,5,0,0,0,4,4,13,7,0,0,0,7,0,0,0,38,0,0,0,0,3,0,3,0
SOSR613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,0,8,0,9,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,3,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,4,0,0,0,5,3,6,0,6,4,3,0,4,32,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0
SOSR614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,6,0,4,0,0,0,0,0,25,0,0,0,0,0,0,5,3,3,0,0,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17,9,3,6,11,0,3,4,0,0,0,0,0,0,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,17,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
SOSR615,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,17,0,0,17,19,15,8,11,5,4,0,5,0,0,0,0,93,0,0,3,0,0,9,30,36,13,10,21,25,4,0,5,159,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,21,0,0,3,5,0,0,3,3,0,0,0,0,0,0,0,24,17,57,35,22,25,4,21,9,0,0,0,0,0,0,7,204,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,4,0,8,0,6,14,3,0,4,0,0,0,0,39,0,0,11,6,4,9,37,71,14,26,24,20,10,9,19,252,5,0,0,4,0,3,12,7,6,0,5,6,0,0,0,45,0,0,0,0,3,0,0,3
SOSR621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,0,3,10,6,3,0,0,0,0,0,0,41,0,0,0,0,6,0,3,14,7,3,9,7,0,0,4,51,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,6,7,16,15,5,12,7,14,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,3,0,0,10,11,0,5,5,0,0,0,0,45,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
SOSR622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,6,14,7,4,5,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
SOSR631,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,10,0,3,22,41,37,29,56,21,0,3,0,11,0,0,3,236,0,3,0,4,13,9,49,32,18,18,13,14,6,0,3,173,0,7,3,4,0,5,0,0,0,0,0,0,0,0,0,14,0,8,3,3,3,0,0,0,0,0,0,0,0,0,0,17,0,0,4,4,15,4,4,3,0,0,0,0,0,0,0,35,38,80,74,42,103,37,72,25,6,0,3,11,3,0,17,518,0,9,13,3,3,0,0,0,0,3,0,0,0,0,5,34,0,0,5,10,4,6,4,9,0,0,3,6,4,0,0,52,4,4,23,11,13,4,21,44,14,34,18,11,3,0,6,206,0,18,8,0,8,11,18,9,5,3,0,4,0,0,0,77,0,0,0,0,0,0,7,10
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,0,0,0,0,0,3,20,8,0,0,0,0,3,0,5,34,0,0,0,5,12,19,114,192,49,87,70,60,23,3,3,631,0,8,14,34,20,22,52,50,9,9,4,10,4,0,5,244,4,13,15,11,53,55,383,346,117,124,115,105,40,0,41,1412,0,5,14,0,0,0,0,0,0,0,0,0,0,0,3,26,3,0,3,4,0,7,17,5,5,0,4,0,7,3,0,63,0,5,3,12,53,40,57,54,9,9,19,16,11,0,4,299,29,75,72,37,71,49,104,67,5,9,16,11,8,3,23,585,0,78,269,182,93,95,119,203,17,11,0,5,4,0,56,1138,0,7,15,29,50,38,35,48,9,3,9,22,8,3,8,280,9,12,31,42,73,90,935,1104,302,329,354,372,134,75,75,3923,5,9,9,75,99,192,259,205,60,72,87,82,46,7,24,1221,4,0,0,0,3,8,24,34
SOSR712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,16,5,5,3,0,0,0,0,36,0,0,6,9,15,3,16,14,0,0,4,4,0,4,0,61,0,0,0,0,3,6,21,19,8,16,36,63,8,0,7,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,3,9,9,31,17,5,11,4,5,0,0,0,107,0,23,16,6,4,17,18,19,0,4,0,0,0,3,3,123,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,4,8,7,11,0,8,8,0,0,0,0,41,0,0,5,0,4,11,305,231,90,78,85,95,28,20,14,981,0,0,0,0,0,4,14,8,6,0,7,16,6,0,0,62,0,0,0,0,0,0,0,3
SOSR714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,3,0,4,5,0,4,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,5,0,5,0,0,9,33,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,26,31,12,11,9,3,6,0,0,113,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0
SOSR715,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,0,6,3,6,10,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,9,3,8,0,0,5,3,0,0,3,52,0,8,0,0,0,4,4,0,0,0,0,5,0,0,0,26,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,20,14,9,9,12,13,0,0,0,86,0,0,0,0,0,4,8,10,7,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
SOSR721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,3,0,0,0,4,0,0,16,0,0,0,0,0,0,6,6,0,0,3,9,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,0,4,4,0,0,16,0,3,3,3,3,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,9,8,3,0,0,0,0,0,34,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0
SOSR722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,3,5,0,0,4,0,0,0,0,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,7,0,0,4,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0
SOSR731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,4,3,3,12,16,6,14,9,0,0,0,3,0,0,0,66,0,0,0,0,4,0,5,6,5,3,6,8,3,0,0,47,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,0,6,3,0,4,5,0,0,0,3,30,13,31,22,10,31,14,31,22,0,0,0,15,0,0,0,204,0,5,5,3,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,9,0,4,8,10,18,0,0,0,4,0,0,5,64,0,5,0,7,12,16,19,21,6,7,4,6,5,0,6,94,0,0,0,0,0,0,0,4
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
SOSR802,0,0,0,6,41,105,194,258,23,33,30,13,8,11,4,734,0,0,6,16,65,278,761,381,86,107,79,56,61,12,25,1928,0,14,84,191,160,219,280,184,22,48,43,52,46,12,18,1371,12,40,45,108,588,1120,3311,2781,898,1011,875,813,276,33,240,12165,7,135,617,233,113,127,38,33,4,0,6,0,0,0,27,1345,17,18,47,30,36,42,120,112,22,31,33,23,7,5,9,544,4,14,21,54,219,220,287,108,17,21,17,17,19,12,24,1058,360,465,231,151,185,187,277,117,32,28,22,38,9,3,45,2166,27,220,403,151,37,21,23,51,3,5,7,4,5,0,41,1003,9,22,70,179,392,357,332,241,44,51,46,44,55,16,41,1900,28,31,141,212,444,1129,5559,4252,1002,1161,1293,1184,465,95,265,17244,9,32,31,66,124,165,294,206,48,75,85,84,68,15,14,1313,0,0,6,17,118,127,218,335
SOSR822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,6,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0
SOSR921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,4,0,0,0,0,0,3,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
