UCL_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL422059,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,0,..,0,0,4,3,4,8,7,0,25,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,53,15,21,28,23,36,31,19,4,218,..,0,19,20,22,45,36,12,0,152,..,5,14,9,4,5,4,5,0,45,..,0,0,3,3,0,0,0,0,12,79,..,..,..,..,..,..,..,..,79,..,12,..,..,..,..,..,..,..,12,..,8,0,0,0,0,0,0,0,15,..,0,0,0,0,3,0,0,0,15,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,4,0,0,0,5,..,0,0,4,11,5,11,14,7,48,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,79,36,44,39,40,67,60,30,7,398
UCL422060,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,8,5,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,7,20,23,12,8,90,..,0,0,7,7,13,33,8,4,81,..,0,0,4,5,4,3,0,0,20,..,0,0,0,0,4,0,0,0,5,20,..,..,..,..,..,..,..,..,20,..,3,..,..,..,..,..,..,..,3,..,3,9,0,0,0,0,0,0,9,..,0,0,0,0,4,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,17,13,7,0,49,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,10,8,13,20,42,44,22,10,189
UCL422061,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,4,0,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,8,13,13,0,3,0,54,..,0,4,5,7,9,0,0,0,24,..,0,3,3,6,7,0,0,0,25,..,0,0,0,0,0,0,0,0,0,18,..,..,..,..,..,..,..,..,18,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,3,..,5,10,5,10,10,3,0,0,39,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17,13,17,19,22,24,5,3,0,119
UCL422062,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,19,14,9,14,9,5,0,111,..,0,10,15,20,24,14,6,0,92,..,0,13,3,4,0,0,0,0,15,..,0,0,3,0,0,0,0,0,8,50,..,..,..,..,..,..,..,..,50,..,12,..,..,..,..,..,..,..,12,..,9,5,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,20,22,24,28,24,19,6,0,202
UCL422063,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,32,28,22,12,27,10,3,0,0,141,..,4,9,0,18,4,0,0,0,33,..,8,20,9,10,6,0,0,0,55,..,3,6,4,5,7,3,0,0,20,68,..,..,..,..,..,..,..,..,68,..,6,..,..,..,..,..,..,..,6,..,12,13,0,0,0,0,0,0,27,..,22,3,5,5,5,0,0,0,42,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,6,..,0,4,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,70,61,45,32,52,19,3,0,0,276
UCL431001,..,178,122,47,39,39,21,8,0,460,..,95,117,70,155,247,156,46,12,895,..,114,180,194,454,1018,1150,808,309,4233,178,271,196,117,157,175,175,84,33,1377,0,6,10,0,5,5,5,0,0,38,11339,6172,5576,7418,9606,10708,8158,3331,776,63083,..,206,4128,9147,12397,14483,12111,4800,664,57938,..,840,2754,2308,2697,2513,1162,252,23,12557,..,83,401,723,1086,663,344,233,152,3680,23094,..,..,..,..,..,..,..,..,23094,..,5681,..,..,..,..,..,..,..,5681,..,4659,1984,684,472,253,36,0,0,8092,..,412,214,106,173,338,343,297,156,2025,..,340,277,121,110,126,66,26,3,1057,..,221,350,209,333,532,358,106,18,2121,..,328,645,750,1616,3070,2968,1637,517,11525,371,529,434,275,300,339,332,146,40,2767,0,29,55,20,12,3,6,5,0,146,23467,13322,11230,14344,19203,22318,17724,7502,1577,130687
UCL479997,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL501001,..,2815,2886,857,512,408,180,52,22,7744,..,7315,9178,2456,2057,2295,1577,600,126,25603,..,3875,11707,9247,10433,18079,22926,18514,9799,104574,2182,3119,2662,1575,1430,1688,1439,768,369,15227,117,142,247,146,175,428,381,101,30,1764,181979,114072,141479,143653,127302,111674,89363,48284,17520,975321,..,3346,89034,168678,151899,130741,105465,51620,10796,711576,..,17134,67021,37366,24941,16235,7385,2116,325,172522,..,1739,10520,20563,24385,14112,6192,3659,2427,83585,369346,..,..,..,..,..,..,..,..,369346,..,101843,..,..,..,..,..,..,..,101843,..,61135,33736,9980,6151,3251,694,20,0,114965,..,11421,8929,3201,3208,5615,5954,3547,2066,43942,..,5833,7447,2677,1628,1100,519,176,36,19422,..,15346,23036,7025,5215,5080,3445,1286,269,60708,..,7523,25665,23221,24262,33371,36440,26329,13243,190055,4394,5807,5617,3790,3225,3085,2491,1255,519,30184,234,249,471,317,349,673,654,195,47,3191,373970,231372,271466,276821,245264,213261,169248,90197,29735,1901339
UCL511001,..,124,89,43,25,12,10,5,0,304,..,180,206,69,89,105,83,37,5,777,..,134,279,253,470,817,945,773,399,4069,107,162,111,62,57,80,74,28,15,698,3,5,4,4,3,6,4,7,0,37,6925,3989,4444,4806,4758,4360,3544,1963,657,35448,..,143,2772,5080,5148,4956,4178,2122,401,24801,..,972,2323,1263,992,777,346,92,9,6764,..,122,577,1059,976,372,194,127,84,3520,14121,..,..,..,..,..,..,..,..,14121,..,2833,..,..,..,..,..,..,..,2833,..,2380,747,312,188,112,31,0,0,3760,..,315,222,91,101,178,167,99,52,1223,..,249,214,109,68,39,18,7,3,708,..,365,478,190,209,222,166,55,7,1691,..,305,758,718,1028,1446,1467,1082,536,7337,221,295,243,156,130,145,123,56,21,1384,5,9,14,10,7,12,6,3,0,72,14348,7973,8355,8985,8847,8247,6688,3639,1114,68201
UCL512001,..,61,36,6,8,8,0,0,0,122,..,103,63,17,29,50,31,14,0,310,..,61,117,112,241,427,547,495,266,2267,42,65,52,39,31,62,32,16,7,350,0,0,0,0,0,3,0,0,0,9,2521,1559,1561,1673,1940,1979,1743,1168,434,14587,..,76,1014,1583,1887,2017,1948,1184,322,10028,..,394,789,545,458,361,183,55,11,2788,..,35,195,384,401,189,78,57,52,1389,5064,..,..,..,..,..,..,..,..,5064,..,1071,..,..,..,..,..,..,..,1071,..,895,338,117,87,65,19,0,0,1519,..,162,85,33,49,79,86,54,25,566,..,110,89,39,29,30,5,0,0,297,..,181,156,56,69,98,54,29,0,641,..,128,271,239,440,741,824,684,382,3702,103,123,101,92,77,107,60,29,14,696,0,0,0,0,0,3,0,6,0,23,5171,3174,3042,3084,3504,3679,3257,2088,800,27786
UCL512002,..,44,27,9,8,5,5,0,0,96,..,36,68,24,34,43,26,9,5,239,..,24,74,72,164,320,456,388,241,1752,25,53,30,23,26,41,33,17,9,263,0,0,0,0,0,0,0,0,0,5,2300,1185,1226,1628,1781,1696,1721,989,383,12918,..,24,767,1670,1863,1817,2060,1150,230,9575,..,239,653,505,422,296,198,52,9,2369,..,23,143,325,370,157,55,39,22,1137,4638,..,..,..,..,..,..,..,..,4638,..,957,..,..,..,..,..,..,..,957,..,784,264,76,67,41,8,4,0,1238,..,96,53,17,29,55,67,34,25,378,..,84,62,19,22,14,5,6,0,214,..,92,148,60,76,97,45,19,4,540,..,57,176,206,327,515,714,534,315,2842,68,90,73,54,51,68,66,37,6,520,3,0,6,0,0,4,0,0,0,17,4712,2449,2336,2938,3225,3062,3218,1870,622,24428
UCL512003,..,51,23,16,4,5,9,3,0,113,..,89,61,32,35,56,26,15,0,319,..,108,161,104,223,362,389,321,175,1842,72,85,62,43,41,67,39,24,10,454,0,0,5,0,3,0,0,3,0,11,2877,1750,1774,1890,2036,1923,1482,869,293,14881,..,66,1001,1746,1993,1987,1664,860,190,9508,..,461,902,561,477,399,143,44,15,3012,..,68,264,435,417,226,112,76,31,1632,5694,..,..,..,..,..,..,..,..,5694,..,1036,..,..,..,..,..,..,..,1036,..,1003,341,171,121,50,8,0,0,1702,..,224,96,59,67,91,88,64,21,704,..,98,76,38,26,12,11,6,0,262,..,173,178,80,70,108,63,23,3,699,..,195,369,318,500,742,673,478,241,3515,136,157,120,104,87,110,79,39,20,844,0,4,5,3,5,3,0,0,5,28,5833,3474,3352,3520,3759,3731,2840,1590,529,28635
UCL512004,..,40,29,11,8,3,0,0,0,95,..,73,82,31,27,32,16,0,0,262,..,104,168,95,186,214,172,96,42,1083,38,41,46,27,30,37,30,13,0,269,5,3,0,3,3,3,6,0,0,25,2833,1476,2037,1850,1640,1336,689,278,74,12220,..,52,1207,2036,1794,1611,762,246,30,7742,..,567,1311,708,541,308,80,20,0,3539,..,55,210,292,244,133,61,39,15,1051,5773,..,..,..,..,..,..,..,..,5773,..,758,..,..,..,..,..,..,..,758,..,907,274,91,72,28,4,0,0,1379,..,170,102,66,63,84,76,39,17,618,..,94,76,38,30,16,6,4,0,262,..,199,267,108,93,77,31,6,4,790,..,207,451,361,486,564,412,186,46,2718,72,100,126,76,57,81,55,20,5,595,7,3,3,7,7,10,15,0,0,45,5850,3119,4025,3780,3380,2917,1507,559,121,25265
UCL513001,..,35,63,15,17,4,3,0,0,136,..,53,131,44,22,17,18,0,0,284,..,29,100,69,97,152,88,36,0,560,46,70,82,58,56,112,104,39,10,581,0,6,14,0,0,0,0,0,0,25,1429,701,1178,1136,857,733,383,131,20,6576,..,18,413,916,723,526,283,58,11,2942,..,123,694,512,349,211,58,13,0,1959,..,29,109,202,153,76,48,14,4,634,2858,..,..,..,..,..,..,..,..,2858,..,348,..,..,..,..,..,..,..,348,..,338,105,47,26,0,5,0,0,515,..,123,49,29,45,38,20,17,8,341,..,59,110,29,28,17,0,0,0,245,..,81,217,81,52,48,39,8,5,523,..,56,164,153,197,283,177,63,8,1102,94,116,158,112,98,193,211,92,14,1085,0,9,23,0,0,0,5,0,0,40,2951,1303,2043,2079,1671,1392,845,267,42,12592
UCL513002,..,16,8,0,5,0,0,0,0,31,..,21,33,12,14,11,3,3,0,97,..,25,44,20,62,108,138,163,79,636,6,20,20,10,10,16,22,10,0,98,0,0,0,0,0,0,0,0,0,0,826,450,554,545,550,577,475,340,117,4429,..,16,329,524,559,656,534,310,61,2987,..,145,311,219,166,125,41,16,0,1010,..,20,54,116,99,54,25,20,22,411,1693,..,..,..,..,..,..,..,..,1693,..,287,..,..,..,..,..,..,..,287,..,242,86,32,39,20,0,0,0,424,..,44,24,13,18,22,28,16,7,173,..,31,19,8,3,6,0,0,0,65,..,55,73,29,26,24,15,9,0,234,..,72,103,85,156,213,234,248,104,1210,19,39,33,13,14,27,35,10,3,192,0,0,6,0,0,0,0,0,0,8,1706,958,1041,1031,1078,1142,912,630,198,8703
UCL513003,..,15,25,7,3,0,0,0,0,53,..,30,57,15,18,21,4,0,0,149,..,48,133,63,70,59,34,16,4,419,16,21,37,13,22,64,55,28,5,255,3,0,6,0,0,0,9,0,0,15,1841,684,1338,1305,902,485,190,59,8,6813,..,15,895,1654,1126,593,140,22,0,4446,..,259,866,543,300,124,35,0,0,2125,..,13,73,122,112,37,9,0,0,373,3782,..,..,..,..,..,..,..,..,3782,..,476,..,..,..,..,..,..,..,476,..,365,80,28,8,0,0,0,0,473,..,70,40,16,19,38,18,11,0,221,..,49,61,23,10,14,0,0,0,147,..,70,148,66,64,37,24,3,0,409,..,105,304,211,206,178,79,21,0,1103,33,50,67,41,45,100,126,52,3,517,5,0,6,6,0,0,11,0,0,30,3816,1471,2536,2704,1900,1122,433,114,10,14104
UCL513004,..,17,13,9,6,7,0,0,0,48,..,18,36,20,24,4,7,0,0,116,..,54,106,61,71,87,38,5,0,431,29,25,37,27,21,36,31,11,0,213,0,0,4,0,3,0,4,0,0,12,1646,629,1270,1092,698,533,198,41,9,6123,..,23,741,1182,731,575,144,18,0,3423,..,224,863,507,287,155,35,5,0,2083,..,28,113,152,105,60,28,6,5,495,3271,..,..,..,..,..,..,..,..,3271,..,299,..,..,..,..,..,..,..,299,..,362,117,43,12,3,0,0,0,539,..,130,65,37,35,60,35,13,6,372,..,36,43,15,23,12,3,0,0,131,..,42,101,56,59,46,22,0,0,325,..,106,286,230,237,265,85,22,7,1242,55,45,67,49,53,70,67,21,3,424,0,0,5,4,3,0,4,0,0,14,3329,1292,2404,2280,1532,1259,415,97,17,12611
UCL513005,..,16,4,4,7,4,0,0,0,28,..,13,13,6,10,18,6,0,0,58,..,11,29,32,53,74,101,67,18,381,17,20,20,7,7,4,9,4,0,84,0,0,0,0,0,0,0,0,0,0,1283,507,747,784,669,533,436,199,41,5198,..,23,492,772,740,616,541,260,24,3470,..,90,376,273,156,92,28,8,0,1018,..,16,123,162,147,66,25,16,6,565,2606,..,..,..,..,..,..,..,..,2606,..,450,..,..,..,..,..,..,..,450,..,369,128,45,24,13,3,0,0,574,..,42,38,16,23,25,26,15,11,191,..,27,24,5,8,3,3,0,0,73,..,25,31,15,27,35,8,5,0,143,..,24,85,87,138,142,144,96,25,742,39,35,34,27,18,14,14,4,0,180,0,0,3,0,0,0,0,0,0,9,2641,1092,1326,1410,1278,1002,794,407,66,10024
UCL514001,..,13,6,0,0,0,0,0,0,22,..,8,6,4,10,9,9,4,0,52,..,12,24,29,65,117,98,81,47,466,15,17,12,0,5,11,6,5,3,81,0,0,0,0,0,0,0,0,0,0,542,318,382,364,427,451,409,213,69,3180,..,5,175,305,367,469,518,258,22,2123,..,89,230,144,127,79,51,6,0,729,..,7,76,93,76,36,20,14,13,340,1160,..,..,..,..,..,..,..,..,1160,..,208,..,..,..,..,..,..,..,208,..,221,84,34,26,12,9,0,0,383,..,36,23,5,10,28,20,7,9,135,..,23,15,18,4,6,0,0,0,61,..,22,24,13,25,22,16,5,0,131,..,29,52,83,129,224,221,129,64,936,39,34,26,14,12,17,10,3,3,170,0,0,0,0,0,0,0,0,0,0,1196,676,709,710,784,887,869,429,116,6368
UCL514002,..,11,12,0,0,3,0,0,0,28,..,19,41,7,4,9,3,0,0,81,..,12,21,22,41,47,87,61,26,314,11,11,3,7,3,4,8,7,0,57,0,0,0,0,0,5,0,0,0,8,719,211,330,550,470,338,364,189,49,3221,..,0,176,595,514,436,484,241,46,2490,..,25,210,181,119,59,48,12,0,651,..,0,6,75,107,25,6,5,0,234,1417,..,..,..,..,..,..,..,..,1417,..,225,..,..,..,..,..,..,..,225,..,124,39,16,8,3,0,0,0,193,..,11,8,7,4,3,4,0,7,52,..,8,31,10,3,3,0,0,0,62,..,40,70,20,21,20,7,7,0,183,..,16,32,54,78,79,138,86,30,514,15,19,15,18,23,6,17,8,4,115,0,0,0,0,0,5,0,6,0,10,1434,473,595,973,873,636,711,364,90,6150
UCL514003,..,15,29,12,0,5,4,0,0,62,..,29,47,15,11,16,7,0,0,130,..,3,19,28,42,67,95,59,24,335,14,0,12,13,3,5,6,3,5,63,0,0,3,3,0,0,0,0,0,8,726,260,417,648,480,340,284,123,49,3331,..,3,215,574,467,306,286,108,27,1988,..,38,262,249,165,89,30,7,0,843,..,0,17,113,131,51,20,3,10,348,1477,..,..,..,..,..,..,..,..,1477,..,239,..,..,..,..,..,..,..,239,..,173,53,19,5,4,0,0,0,254,..,22,8,10,6,5,14,9,0,77,..,28,43,25,5,4,11,0,0,119,..,62,155,48,39,31,14,0,3,353,..,14,46,79,104,119,146,74,35,618,26,15,25,24,14,14,7,0,5,126,0,0,9,5,0,0,0,0,0,11,1507,594,834,1139,931,640,522,206,79,6458
UCL514004,..,11,0,0,0,3,0,0,0,22,..,13,8,4,9,13,4,5,0,62,..,4,22,27,60,95,106,74,53,447,12,16,6,3,9,9,4,0,0,55,0,0,0,0,0,0,0,0,0,0,569,325,323,342,373,434,356,204,73,3000,..,19,177,301,320,413,407,210,30,1882,..,103,163,97,80,78,31,4,0,555,..,12,59,86,102,45,26,18,8,352,1118,..,..,..,..,..,..,..,..,1118,..,202,..,..,..,..,..,..,..,202,..,208,85,30,23,17,3,0,0,370,..,43,14,9,11,26,23,14,6,141,..,17,20,4,8,8,0,0,0,58,..,32,33,17,22,30,16,6,0,154,..,19,64,59,103,176,189,114,68,796,27,29,20,11,13,12,14,4,0,130,0,0,0,0,0,0,0,0,0,0,1143,678,636,621,685,802,701,375,121,5758
UCL515001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,4,6,..,0,0,5,10,23,37,24,26,128,0,0,3,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,52,27,33,43,64,92,127,75,41,537,..,0,17,33,54,97,147,89,26,454,..,7,29,15,20,15,15,9,0,104,..,0,0,8,6,5,0,0,6,29,96,..,..,..,..,..,..,..,..,96,..,14,..,..,..,..,..,..,..,14,..,22,4,3,6,4,0,0,0,39,..,0,0,0,4,0,0,0,0,7,..,3,0,0,0,0,0,0,0,6,..,0,3,0,0,4,0,0,4,15,..,0,8,11,17,34,65,44,45,219,3,0,4,3,3,4,7,0,0,27,0,0,0,0,0,0,0,0,0,0,96,52,59,73,109,168,240,145,73,1013
UCL515002,..,0,0,0,0,0,0,0,0,3,..,3,4,0,4,0,3,0,0,13,..,3,3,4,8,17,15,8,3,63,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,89,56,66,73,84,91,87,21,5,563,..,0,32,75,89,112,113,30,0,458,..,8,48,22,24,22,8,0,0,136,..,0,3,17,8,8,0,0,0,44,209,..,..,..,..,..,..,..,..,209,..,46,..,..,..,..,..,..,..,46,..,35,6,4,0,0,0,0,0,45,..,5,6,0,0,0,0,0,5,20,..,3,0,0,0,0,0,0,0,3,..,6,8,6,7,7,3,0,0,40,..,8,8,17,22,30,29,10,3,124,0,0,4,3,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,208,106,116,152,159,187,168,46,9,1148
UCL515003,..,0,0,0,0,0,0,0,0,0,..,5,0,0,0,3,6,0,0,14,..,4,5,5,23,42,59,40,16,200,7,0,4,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,173,94,87,96,138,189,207,89,31,1095,..,0,69,99,120,169,248,90,17,818,..,29,38,28,47,49,22,3,0,225,..,0,10,22,24,14,8,3,0,80,319,..,..,..,..,..,..,..,..,319,..,58,..,..,..,..,..,..,..,58,..,55,10,11,7,0,0,0,0,85,..,5,0,0,0,7,4,8,3,36,..,4,5,0,0,3,0,0,0,12,..,5,3,3,0,10,7,0,0,34,..,9,12,14,37,69,90,59,25,308,8,6,9,4,7,3,4,0,0,36,0,0,0,0,0,0,0,0,0,5,327,174,160,177,245,333,387,166,46,2011
UCL515004,..,0,3,0,0,0,0,0,0,10,..,0,0,0,4,0,5,0,0,11,..,0,8,5,12,10,13,5,9,68,0,4,4,0,0,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,236,101,195,130,124,87,73,27,13,982,..,3,131,128,104,78,86,39,0,570,..,35,114,51,41,15,3,0,0,259,..,4,29,34,34,10,4,3,3,123,513,..,..,..,..,..,..,..,..,513,..,74,..,..,..,..,..,..,..,74,..,85,19,5,4,4,0,0,0,117,..,18,7,0,3,13,10,0,0,50,..,3,8,0,8,0,0,0,0,20,..,0,5,0,10,5,7,0,0,20,..,3,28,16,15,22,32,12,10,137,7,10,5,0,3,4,7,0,0,37,0,0,0,0,0,0,0,0,0,5,523,240,344,239,215,147,147,62,12,1925
UCL515005,..,0,0,0,4,0,0,0,0,9,..,4,6,5,6,8,4,0,0,24,..,5,6,6,14,24,31,15,15,112,0,5,0,0,0,0,4,6,0,23,0,0,0,0,0,0,0,0,0,0,229,115,121,154,168,142,116,56,21,1133,..,5,71,125,166,128,141,70,10,714,..,27,67,61,58,51,17,6,0,284,..,3,25,40,30,12,11,7,3,124,478,..,..,..,..,..,..,..,..,478,..,96,..,..,..,..,..,..,..,96,..,73,10,17,11,7,0,0,0,117,..,7,4,0,0,12,3,0,0,30,..,6,3,3,4,0,0,0,0,12,..,7,16,3,16,9,6,0,0,61,..,11,15,25,29,38,61,31,13,217,5,11,7,3,0,3,4,4,0,38,0,0,0,0,0,0,0,0,0,0,480,239,210,276,309,258,249,118,34,2175
