UCL_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL515008,6,3,0,233,77,19,3,28,365,0,0,0,4,0,0,0,0,8,0,0,3,3,0,0,0,3,15,0,0,3,10,0,0,0,7,18,0,0,3,0,0,0,0,0,4,0,0,17,8,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,10,41,11,12,0,0,6,0,0,10,40,0,5,6,4,0,0,0,5,15,18,15,25,259,80,19,4,60,477
UCL515009,0,47,223,558,249,36,5,86,1214,0,6,17,32,3,0,0,9,67,0,0,0,0,0,0,0,0,0,0,6,17,32,3,0,0,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,6,0,0,0,59,74,0,0,0,0,0,0,0,0,5,5,63,246,594,256,36,5,152,1354
UCL515010,3,45,131,317,191,24,10,262,985,0,12,50,20,0,0,0,51,131,0,0,0,0,0,0,0,0,0,0,12,50,18,0,0,0,52,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,109,3,3,3,5,0,31,232,7,10,0,7,0,0,0,4,29,91,168,187,349,201,28,10,350,1384
UCL515011,5,5,90,428,433,36,8,42,1036,0,8,16,9,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,8,16,9,4,0,0,0,41,0,3,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,4,0,0,8,17,0,0,0,0,0,0,0,0,6,3,19,105,437,434,36,8,54,1101
UCL515012,3,3,18,141,554,36,3,26,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,18,141,554,36,3,26,782
UCL515013,10,34,79,522,265,34,10,59,1013,0,4,15,8,0,0,0,4,29,0,0,3,7,0,0,0,3,13,0,4,17,14,0,0,0,9,42,0,36,12,8,0,0,0,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,8,0,0,0,7,69,179,260,33,46,41,7,7,35,596,3,0,5,3,0,0,0,8,11,188,334,146,589,304,41,13,124,1738
UCL515014,0,11,86,136,47,4,0,18,306,0,6,25,12,0,0,0,0,51,0,0,5,3,0,0,0,0,9,0,6,32,11,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,3,0,7,0,0,40,105,0,3,0,3,0,0,0,3,13,27,54,124,154,55,4,6,68,487
UCL515015,0,12,113,484,343,30,3,32,1021,0,16,33,20,0,0,0,14,84,0,0,5,3,0,0,0,0,9,0,16,41,26,0,0,0,14,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,21,39,0,0,0,0,0,0,0,0,4,3,35,156,509,348,31,3,75,1161
UCL515016,0,12,46,249,272,27,4,55,669,0,0,8,14,0,0,0,3,25,0,0,0,10,0,0,0,0,9,0,4,8,19,0,0,0,8,40,0,0,0,4,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,9,11,19,3,0,0,0,0,10,44,0,3,0,0,0,0,0,0,4,13,28,61,273,273,34,7,70,763
UCL515017,8,4,72,201,91,8,8,63,459,0,0,38,17,0,0,0,19,85,0,0,10,17,7,0,0,10,39,0,3,49,34,5,0,0,31,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,104,24,11,5,0,0,12,263,13,18,8,8,0,0,0,16,59,119,138,151,256,105,13,8,121,905
UCL515018,0,6,15,343,144,10,0,77,594,0,0,44,4,0,0,0,18,69,0,0,16,0,0,0,0,6,20,0,0,57,4,0,0,0,24,91,0,0,12,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,83,344,141,10,0,105,705
UCL515019,7,18,143,613,333,43,9,117,1281,0,21,84,12,3,0,0,21,145,0,0,4,0,0,0,0,5,4,0,21,82,12,3,0,0,25,144,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,6,9,39,232,631,334,52,10,136,1441
UCL515020,4,8,64,439,273,26,3,155,974,3,34,80,80,8,0,0,60,261,0,5,4,22,5,0,0,10,37,3,40,80,97,13,0,0,64,300,0,10,65,44,0,0,0,36,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65,44,0,0,0,36,150,90,174,37,18,13,0,0,347,681,6,5,7,4,0,0,0,28,63,105,237,256,596,296,31,7,630,2163
UCL515021,0,7,36,231,243,39,7,13,573,0,32,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,17,5,0,0,0,10,62,0,0,0,0,0,0,0,0,0,7,67,49,231,240,39,7,27,669
UCL515022,4,10,117,749,481,65,13,75,1516,0,55,105,15,0,0,0,17,201,0,4,0,0,0,0,0,0,4,0,59,105,15,0,0,0,17,201,0,9,3,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,7,18,3,0,0,3,0,0,0,8,15,0,0,4,4,3,0,14,4,23,8,78,239,763,485,65,27,111,1776
UCL515023,4,24,129,445,245,27,6,89,966,0,12,20,11,0,0,0,18,60,0,0,0,0,0,0,0,0,0,0,8,20,11,0,0,0,18,65,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,25,28,0,0,3,0,0,0,0,0,7,3,43,149,463,245,27,9,138,1067
UCL515024,0,10,55,261,154,19,4,75,583,0,11,28,3,0,0,0,13,64,0,0,0,0,0,0,0,0,0,0,11,28,3,0,0,0,13,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,19,29,0,0,0,0,4,0,0,0,3,5,28,83,268,160,19,6,109,685
UCL515025,3,8,126,316,183,18,0,80,732,0,11,12,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,11,12,0,3,0,0,0,29,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,6,5,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,26,144,318,184,16,0,82,782
UCL515026,0,3,27,216,437,50,13,43,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,216,437,50,13,43,786
UCL515027,6,26,188,663,376,68,4,125,1454,0,24,89,26,0,0,0,24,159,0,0,0,0,0,0,0,0,0,0,24,89,26,0,0,0,24,159,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,3,0,0,0,0,15,24,0,0,0,0,0,0,0,0,4,6,53,286,690,376,68,4,164,1647
UCL515028,9,32,206,685,351,30,7,169,1492,0,13,19,5,0,0,0,7,43,0,15,6,0,0,0,0,8,27,0,28,27,5,0,0,0,11,69,0,7,47,0,0,0,0,20,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0,20,74,13,13,0,5,0,0,0,0,28,4,12,0,0,0,0,0,4,24,29,87,279,685,353,30,14,206,1687
UCL515029,0,0,14,269,39,3,0,54,386,0,0,11,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,28,273,39,3,0,51,411
UCL515030,0,12,60,412,614,74,18,74,1259,0,19,103,33,0,0,0,20,173,0,0,0,0,0,0,0,0,0,0,19,103,31,0,0,0,20,176,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,6,23,9,0,0,0,0,13,47,0,0,0,0,0,0,0,0,5,6,56,181,448,614,74,17,105,1490
UCL515031,3,24,76,436,389,42,4,94,1061,0,24,39,17,0,0,0,12,95,0,0,0,21,19,10,0,12,61,5,24,37,40,22,10,0,22,159,4,7,8,11,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,11,0,0,0,9,39,34,32,19,5,9,0,0,27,126,0,7,0,3,0,0,0,3,17,41,85,153,497,419,52,5,151,1401
UCL515032,0,3,18,90,284,52,17,28,490,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,90,284,53,17,28,497
UCL515033,0,7,30,596,151,3,3,123,907,0,15,14,6,4,0,0,0,37,0,0,0,0,4,0,0,0,4,0,15,14,6,10,0,0,0,46,0,0,0,12,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,19,0,5,0,0,0,0,0,0,6,0,7,0,8,0,0,0,5,15,4,31,45,619,156,3,6,125,993
UCL515034,0,3,83,449,445,62,3,60,1118,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,83,451,445,62,3,62,1127
UCL515035,0,5,86,259,124,19,0,58,553,0,10,23,0,0,0,0,6,40,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,6,38,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,13,110,260,126,19,0,66,601
UCL515036,0,12,69,333,349,45,6,39,849,0,12,50,21,6,0,0,12,97,0,0,0,0,0,0,0,0,0,0,12,50,21,9,0,0,12,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,13,0,0,0,3,0,0,0,0,3,0,32,125,351,352,45,10,51,967
UCL515037,0,0,10,224,146,5,3,63,447,0,3,77,55,0,0,0,48,190,0,0,0,0,0,0,0,0,0,0,3,77,55,0,0,0,50,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,86,280,149,5,3,112,644
UCL515038,5,24,171,447,248,38,12,91,1042,0,8,18,6,0,0,0,3,43,0,0,0,0,4,0,0,0,4,0,8,13,14,0,0,0,3,47,0,0,5,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,9,4,4,0,0,0,0,0,0,12,0,0,5,4,0,0,0,0,8,6,39,202,459,260,40,12,104,1120
UCL521001,0,4,14,68,79,20,0,8,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,14,69,85,20,0,8,194
UCL521002,0,4,27,111,103,16,7,32,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,111,103,16,7,32,303
UCL521003,6,15,80,203,60,10,0,35,402,0,0,5,5,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,25,85,206,60,10,0,41,427
UCL521004,0,0,28,108,17,0,0,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,107,17,0,0,3,159
UCL521005,0,0,40,161,169,10,4,38,428,0,5,9,5,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,5,9,5,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,3,12,50,166,172,10,4,46,463
UCL521006,0,8,46,125,132,14,0,16,336,0,0,0,4,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,46,131,132,18,0,25,349
UCL521007,0,4,54,125,35,4,0,28,248,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,53,123,42,7,0,31,259
UCL521008,0,3,41,97,42,4,3,24,213,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,93,42,4,3,30,224
UCL521009,0,7,32,86,42,13,0,22,201,0,4,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,3,9,3,13,43,87,43,13,0,29,236
UCL521010,0,3,40,151,71,3,0,29,298,0,0,12,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,59,156,74,3,0,27,328
UCL521011,0,4,7,72,99,12,0,6,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,12,72,101,12,0,9,213
UCL521012,0,0,16,78,77,5,0,11,189,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,0,0,0,5,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,5,0,0,0,0,0,42,0,20,6,0,0,0,0,0,29,8,54,25,80,82,5,0,19,271
UCL521013,0,8,25,118,145,14,3,15,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,118,148,14,3,15,338
UCL521014,0,12,36,145,56,7,0,70,313,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,16,10,12,0,0,0,0,0,8,22,0,0,0,0,0,0,0,4,4,10,26,40,151,56,7,0,78,360
UCL521015,0,9,40,133,66,9,0,15,268,0,10,3,0,0,0,0,3,14,0,6,0,0,0,0,0,3,5,0,13,3,0,0,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,22,43,137,66,9,0,23,298
UCL521016,0,6,44,111,61,22,9,17,266,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,53,115,63,22,9,18,290
UCL521017,0,0,17,94,54,23,8,22,221,0,3,10,3,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,6,0,9,20,0,3,0,0,0,0,0,0,3,0,14,29,96,58,23,8,34,263
