UCL_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
UCL101001,423157,856230,9563,56508,58633,275097,11796,56364,327234,1265952,407228,1653923,34108,149523,55579,197440,108783,364077,198474,711039,605701,2364957,2602,12688,12057,42563,5102,19147,58920,157107,78687,231512,8915,30229,21046,48819,74859,170452,104827,249506,183509,481018,21788,46655,1234155,3748859
UCL102001,3551,7109,72,400,389,1790,126,585,2537,9628,3129,12406,226,951,364,1267,822,2647,1415,4872,4542,17273,20,83,87,267,62,200,676,1715,847,2265,65,200,131,292,612,1330,812,1825,1652,4090,163,347,9919,28816
UCL102002,34916,70215,655,3642,3353,15474,1147,5341,18648,72931,23811,97392,1767,7452,2616,8917,7121,23025,11504,39392,35307,136781,252,1182,1140,3891,669,2464,6466,17472,8532,25004,663,2126,1437,3187,6776,14881,8878,20196,17406,45198,1167,2434,88800,254625
UCL102003,7886,15749,82,439,532,2439,192,838,3295,12793,4094,16510,268,1128,446,1504,1179,3784,1890,6421,5993,22931,43,196,200,692,111,398,1035,2702,1386,3993,101,306,275,605,1307,2804,1677,3723,3062,7711,254,531,17193,46922
UCL102004,37785,75648,560,3093,3545,16251,978,4407,20830,80465,25907,104216,1834,7670,3132,10661,7146,22806,12114,41140,38016,145353,172,803,1038,3502,621,2236,6008,15455,7843,21998,606,1868,1563,3425,6203,13506,8369,18799,16208,40807,1511,3143,93522,264950
UCL102005,28966,58318,557,3148,3046,14056,917,4264,16725,65370,21243,86837,1785,7627,2406,8443,6957,22804,11142,38874,32387,125714,185,853,858,2952,521,1911,4668,12459,6234,18182,556,1779,1150,2549,5406,11959,7115,16287,13347,34468,1112,2327,75811,220827
UCL111001,5708,11367,98,525,494,2294,151,709,3117,12154,3871,15683,220,914,353,1162,879,2772,1455,4850,5322,20533,34,162,209,725,108,405,1194,3149,1552,4445,82,253,219,469,812,1743,1109,2465,2661,6908,223,461,13913,39267
UCL111002,5783,11591,78,467,486,2298,157,736,2567,10164,3289,13674,180,742,323,1057,906,2868,1404,4661,4698,18333,30,141,194,650,124,442,1130,3007,1475,4241,78,268,231,507,1006,2173,1315,2946,2788,7185,199,419,13468,37529
UCL111003,9139,18324,184,1026,1004,4653,410,1894,6132,23669,7730,31235,479,2003,659,2214,1954,6258,3089,10479,10821,41714,78,352,334,1179,199,733,2027,5567,2633,7827,159,515,341,770,1556,3454,2063,4732,4693,12562,365,770,25021,73368
UCL112001,2078,4156,52,310,179,878,57,259,1017,3994,1299,5443,61,270,124,402,228,711,413,1384,1716,6817,19,83,78,327,24,86,424,1187,547,1677,34,117,100,198,278,590,413,910,959,2586,81,174,4825,13736
UCL112002,3606,7205,73,407,358,1689,127,594,2031,7976,2596,10668,164,687,260,869,576,1822,998,3377,3590,14046,30,138,150,538,90,308,808,2212,1071,3197,62,196,160,333,584,1229,805,1755,1878,4953,153,306,9224,26507
UCL112003,3699,7408,60,317,321,1462,80,381,1575,6068,2037,8221,128,549,302,990,580,1839,1007,3379,3040,11603,9,40,104,331,32,117,515,1308,654,1792,38,108,164,359,522,1105,728,1583,1385,3370,91,191,8217,22577
UCL112004,3399,6783,40,215,239,1094,68,315,1320,5215,1664,6842,89,363,217,712,435,1404,742,2479,2404,9321,14,85,60,208,19,63,250,653,345,1008,38,111,78,187,385,863,503,1164,849,2169,75,154,6725,18428
UCL112005,2086,4204,36,184,175,835,78,373,1066,4145,1358,5546,90,390,105,351,472,1527,668,2267,2026,7817,34,167,112,401,74,287,692,1964,915,2822,44,132,78,179,546,1199,663,1507,1577,4328,96,198,5782,16542
UCL112006,3732,7470,66,361,353,1673,112,537,2458,9580,2990,12141,125,511,198,628,600,1893,925,3032,3915,15176,24,115,111,389,96,365,959,2739,1194,3601,46,150,122,265,591,1295,763,1708,1956,5311,175,361,9770,28313
UCL112007,966,1934,4,46,74,324,12,59,388,1555,485,1983,39,147,58,202,113,333,214,681,696,2667,3,16,15,59,8,34,72,186,100,297,7,28,12,20,61,129,78,180,179,478,15,27,1861,5117
UCL112008,3241,6468,20,105,118,537,60,272,661,2578,856,3491,56,231,99,325,329,1043,492,1596,1341,5088,15,64,52,189,46,162,366,1023,477,1433,17,58,68,153,424,906,513,1110,991,2540,78,166,5654,14263
UCL112009,2476,4963,53,297,167,793,115,559,1271,5006,1611,6653,71,301,136,445,456,1446,658,2194,2267,8844,21,94,55,198,65,245,517,1452,661,1985,30,92,89,190,444,952,561,1237,1221,3217,88,196,6057,17221
UCL112010,2029,4098,57,338,201,941,74,355,1320,5161,1651,6795,111,468,133,455,472,1592,722,2511,2377,9311,15,83,64,209,39,138,341,1008,458,1440,32,109,49,108,322,728,403,941,860,2379,87,197,5355,15977
UCL112011,1932,3904,54,305,153,733,115,534,1225,4727,1551,6298,90,369,80,250,492,1576,658,2199,2204,8500,20,97,76,289,68,258,576,1619,737,2261,28,96,79,174,446,993,554,1267,1296,3526,89,186,5517,16109
UCL112012,2629,5284,48,281,230,1067,93,440,1304,5115,1675,6905,87,374,152,502,479,1530,714,2407,2390,9310,30,146,122,395,85,302,698,1797,930,2629,58,200,177,369,654,1424,891,1995,1823,4621,136,272,6978,19488
UCL112013,285,559,8,50,30,117,10,34,178,697,224,895,7,33,18,63,43,140,67,234,287,1135,0,10,5,13,8,20,34,80,40,124,4,23,12,36,18,48,39,100,80,220,5,10,661,1923
UCL112014,2682,5380,37,215,183,868,95,431,1208,4715,1519,6234,117,490,157,539,483,1526,754,2560,2274,8796,16,55,71,252,58,200,442,1206,574,1712,28,91,77,176,413,904,520,1174,1095,2884,74,163,6131,17215
UCL112015,3424,6871,57,325,281,1334,105,495,1816,7119,2257,9274,106,454,171,564,557,1766,836,2786,3093,12059,29,132,113,423,81,312,789,2236,1021,3108,48,141,135,302,652,1434,835,1874,1854,4983,158,329,8532,24246
UCL112016,3899,7769,84,475,417,1944,140,661,2610,10388,3250,13468,136,565,245,790,610,1927,987,3285,4240,16751,37,162,141,539,105,403,867,2382,1147,3485,58,183,126,265,587,1279,772,1728,1921,5210,165,349,10217,30076
UCL112017,6314,12616,62,347,508,2296,112,475,2339,9125,3015,12245,168,697,400,1341,739,2293,1309,4332,4321,16576,27,138,175,560,80,299,881,2311,1153,3307,63,201,198,413,843,1809,1110,2431,2265,5741,160,332,13067,35267
UCL112018,3576,7145,46,272,283,1343,115,548,1826,7146,2274,9318,102,417,206,664,526,1644,835,2722,3106,12040,33,152,130,494,91,360,995,2847,1248,3857,63,188,141,313,637,1368,834,1866,2086,5717,186,388,8949,25296
UCL112019,5022,9983,144,856,528,2549,192,921,2799,11113,3667,15444,208,893,364,1194,873,2740,1442,4823,5108,20273,27,136,168,602,111,429,1146,3123,1456,4292,98,290,189,389,793,1706,1072,2388,2525,6685,208,439,12863,37371
UCL113001,2478,4943,7,44,113,509,47,205,774,2964,938,3721,50,209,104,338,291,911,442,1462,1384,5180,13,63,68,214,23,87,359,913,467,1279,29,74,80,173,405,877,514,1126,980,2409,74,150,4913,12685
UCL113002,1743,3500,14,63,70,340,38,160,433,1704,555,2273,35,147,48,140,197,612,280,899,829,3165,12,40,45,187,32,132,269,728,362,1093,20,55,36,78,233,518,283,654,645,1740,45,90,3269,8504
UCL113003,1925,3805,21,109,123,566,56,257,725,2800,929,3733,48,208,73,230,340,1084,467,1519,1397,5250,13,62,45,154,51,209,479,1326,590,1745,24,85,69,141,378,822,469,1041,1062,2790,89,189,4465,12034
UCL113004,1065,2105,7,28,76,313,12,61,505,1916,601,2321,23,86,55,183,128,407,216,674,814,2996,0,13,31,90,13,34,151,366,190,508,10,18,44,95,118,260,170,366,365,875,25,55,2272,6027
UCL113005,1758,3525,26,150,134,615,61,315,778,3082,1002,4161,48,181,65,214,256,819,370,1207,1369,5369,16,74,66,244,68,240,526,1481,683,2039,40,123,68,141,357,756,460,1019,1141,3060,95,196,4357,12150
UCL113006,926,1859,19,122,45,226,46,252,375,1481,480,2075,27,116,37,133,159,508,221,759,708,2834,19,84,47,186,51,220,365,1089,476,1582,17,68,49,99,269,619,337,794,816,2374,74,165,2528,7231
UCL113007,2124,4246,23,125,143,674,40,176,871,3437,1083,4415,89,371,164,567,326,1028,573,1965,1661,6382,6,26,41,112,14,48,167,439,225,622,18,61,59,118,184,390,252,565,482,1190,42,92,4313,11907
UCL113008,1210,2414,17,112,81,382,38,181,470,1861,608,2529,25,96,61,186,205,674,287,955,898,3488,9,53,36,139,28,107,258,720,335,1023,23,63,33,71,276,597,336,734,669,1756,52,112,2836,7769
UCL113009,1062,2142,35,168,137,649,53,239,781,3089,1004,4146,68,275,89,307,245,776,397,1352,1401,5501,8,42,42,139,11,49,179,512,242,739,19,51,36,78,135,297,187,422,430,1161,14,35,2917,8844
UCL113010,1211,2421,28,158,100,466,37,191,783,3051,950,3867,33,128,62,196,183,568,274,890,1223,4759,5,17,35,112,39,131,262,709,328,969,9,33,26,57,175,391,215,475,549,1445,43,95,3029,8714
UCL113011,1062,2118,28,135,105,499,55,265,636,2502,817,3400,47,203,77,257,187,573,313,1038,1131,4438,7,33,47,201,33,120,294,827,384,1173,18,50,26,55,172,382,219,488,604,1669,39,84,2836,8305
UCL113012,2211,4399,20,92,130,611,53,242,615,2390,821,3339,55,206,114,383,297,936,466,1526,1288,4858,9,55,43,147,28,97,234,616,314,913,26,81,62,130,249,529,337,738,651,1654,35,76,4185,10988
UCL113013,1293,2604,39,247,111,533,59,260,713,2793,924,3837,55,248,73,246,291,929,424,1423,1346,5257,17,98,64,253,73,256,403,1178,562,1778,17,68,54,112,375,830,451,1009,1013,2787,69,138,3720,10782
UCL113014,1391,2753,31,178,159,727,60,283,963,3816,1217,5002,57,251,74,258,324,1036,462,1548,1678,6545,13,72,30,109,35,150,318,883,402,1221,16,49,45,102,227,495,293,650,695,1868,55,121,3818,11294
UCL113015,1580,3172,19,103,88,404,41,192,498,1916,647,2610,30,126,41,137,195,610,267,877,914,3487,9,46,28,112,28,107,223,634,294,902,14,53,42,87,279,597,339,746,631,1642,42,81,3167,8389
UCL113016,1935,3885,37,203,117,589,71,332,684,2770,910,3889,48,202,59,193,307,994,419,1375,1330,5272,19,92,76,277,70,262,506,1450,672,2083,25,87,74,159,430,936,532,1186,1202,3264,87,193,4555,12615
UCL113017,2185,4369,10,69,109,497,46,200,658,2597,822,3363,51,215,90,295,256,798,394,1305,1220,4671,12,38,55,200,21,83,260,678,348,997,18,47,54,111,277,601,350,762,696,1763,42,82,4141,10878
UCL113018,374,742,3,20,23,105,12,37,117,461,152,619,0,13,13,62,27,93,49,170,201,792,0,0,6,23,3,20,20,54,31,102,0,4,3,8,31,68,40,79,68,178,3,8,647,1717
UCL114001,695,1407,6,21,46,196,21,76,249,1005,317,1303,13,45,33,112,105,321,147,474,463,1781,4,31,14,54,8,26,101,263,132,379,7,27,33,74,95,189,132,284,263,661,20,47,1438,3894
UCL114002,1611,3229,7,57,26,122,20,84,212,837,270,1106,20,77,37,115,131,395,190,591,461,1693,3,26,20,69,9,32,91,252,127,382,9,23,35,69,121,253,163,346,289,729,16,37,2378,5690
UCL114003,1054,2116,12,50,63,307,26,141,419,1714,513,2207,22,95,37,121,177,574,236,793,753,2999,6,39,31,110,33,123,289,832,359,1112,19,66,41,85,227,495,286,649,643,1755,56,117,2511,6994
UCL114004,736,1450,8,53,50,235,15,83,342,1321,421,1697,15,58,23,80,122,403,163,544,580,2237,3,27,12,49,4,25,112,310,136,409,14,41,25,60,118,248,156,349,292,764,16,37,1628,4489
UCL114005,807,1623,10,63,53,236,15,79,238,933,312,1306,14,55,22,60,77,239,110,361,429,1667,0,13,34,135,8,38,107,312,147,498,9,23,24,53,100,203,128,278,277,782,20,43,1536,4116
UCL114006,768,1527,3,28,53,219,24,98,217,860,292,1206,15,80,32,97,101,306,153,479,444,1684,0,20,16,54,5,31,97,267,120,367,12,27,17,46,94,190,123,264,247,633,17,33,1467,3874
UCL114007,938,1869,26,177,72,338,36,167,322,1289,462,1975,18,76,57,172,153,474,229,726,691,2701,3,26,26,98,30,117,217,638,282,876,5,21,28,57,134,297,170,369,452,1251,42,89,2122,5911
UCL114008,806,1594,16,70,60,278,20,98,273,1092,363,1533,14,61,29,84,107,336,152,482,515,2014,6,20,23,68,22,67,97,279,144,430,7,25,19,40,98,210,121,272,266,704,32,65,1613,4371
UCL114009,546,1075,3,36,67,319,12,62,653,2515,743,2927,23,97,55,176,54,174,138,450,874,3376,0,3,18,56,8,15,74,213,99,286,5,24,15,36,35,81,62,140,157,423,21,42,1596,4920
UCL114010,791,1578,13,67,58,254,18,97,316,1306,405,1719,20,74,26,95,105,322,151,486,555,2208,5,19,25,88,16,75,164,482,213,664,11,32,28,61,127,266,166,368,383,1026,24,57,1756,4868
UCL114011,597,1172,9,35,35,161,12,62,196,754,249,1015,12,46,20,60,68,224,97,323,348,1341,0,17,17,68,14,44,146,409,182,535,8,17,20,42,99,216,129,277,312,815,31,57,1282,3382
UCL114012,503,1004,10,64,92,401,17,81,863,3244,979,3790,36,147,37,134,60,193,137,472,1111,4264,4,8,7,35,5,19,82,214,103,284,6,14,13,30,32,66,51,105,155,391,12,18,1778,5673
UCL114013,788,1580,11,73,67,338,26,110,490,1954,598,2479,18,59,28,97,128,411,174,566,778,3047,0,6,33,101,11,59,226,662,276,834,5,13,7,19,146,309,156,349,431,1184,50,109,2048,5914
UCL114014,543,1099,13,67,87,396,25,109,581,2301,708,2871,59,253,63,222,210,690,337,1159,1042,4032,0,8,21,73,0,8,68,168,99,253,15,46,23,54,87,192,130,293,224,548,13,28,1822,5705
UCL114015,985,1984,4,36,68,295,28,122,466,1815,559,2268,24,90,40,136,144,437,205,667,769,2931,3,28,35,148,31,108,297,847,369,1126,19,66,27,63,197,410,242,544,610,1667,48,101,2414,6690
UCL114016,757,1512,13,81,73,332,28,143,387,1538,501,2090,27,124,44,146,127,394,200,667,696,2754,5,28,23,84,14,57,182,508,220,671,11,39,20,43,101,219,133,298,355,968,31,67,1836,5308
UCL114017,846,1689,9,55,83,362,19,93,562,2209,675,2728,32,132,81,266,132,402,241,802,923,3527,0,15,23,73,8,25,129,296,165,410,10,16,33,71,90,186,128,274,288,687,27,50,2082,5951
UCL114018,1382,2750,5,34,64,294,14,79,339,1310,428,1710,25,94,54,168,127,389,204,651,630,2362,0,0,21,73,9,17,106,271,134,364,9,17,40,77,97,209,144,311,275,674,20,44,2314,5823
UCL114019,646,1293,3,17,46,189,12,78,324,1272,388,1546,12,47,21,66,99,317,139,431,528,1979,0,8,20,76,26,115,169,513,220,713,5,18,15,28,136,312,155,360,374,1074,43,105,1589,4446
UCL114020,1036,2086,13,86,86,400,23,118,550,2146,674,2754,35,151,56,203,176,554,268,904,948,3657,0,13,27,101,28,98,105,310,168,525,27,75,35,71,171,358,224,506,391,1030,35,67,2406,6837
UCL114021,985,1972,19,100,100,450,39,197,484,1898,643,2638,42,164,63,194,179,587,283,950,921,3591,3,29,42,148,39,153,248,654,334,984,18,60,56,112,212,440,289,613,621,1599,38,83,2570,7253
UCL114022,844,1684,9,35,34,187,16,71,201,774,255,1066,17,68,26,87,102,327,147,483,403,1550,6,42,28,105,18,76,125,374,181,603,10,24,18,38,161,346,182,408,365,1012,34,74,1645,4314
UCL114023,586,1170,3,30,38,173,15,73,281,1120,344,1392,12,52,26,89,103,324,141,466,483,1853,5,20,13,53,10,42,133,397,157,514,0,13,15,35,106,228,129,270,290,783,27,56,1389,3866
UCL114024,1031,2065,18,90,100,504,44,194,529,2100,686,2889,30,119,46,130,158,494,229,746,920,3632,12,67,36,141,30,115,241,705,321,1021,7,18,38,75,160,359,204,455,524,1474,30,68,2511,7240
UCL114025,791,1584,13,65,93,400,24,102,578,2284,707,2852,25,114,52,187,106,328,187,625,887,3482,3,12,33,94,14,40,129,351,174,493,13,42,27,59,83,175,125,281,296,773,17,34,1995,5880
UCL114026,608,1221,6,57,60,291,29,122,352,1353,449,1826,35,150,33,101,114,360,176,615,631,2439,6,19,17,48,5,34,118,307,150,415,20,56,25,55,104,221,145,328,294,739,15,28,1550,4432
UCL114027,930,1861,13,81,49,211,9,57,211,818,283,1171,21,77,39,125,97,320,161,524,443,1697,3,7,15,54,8,26,77,211,100,296,9,26,16,35,98,202,120,260,219,561,19,53,1623,4166
UCL114028,572,1137,0,21,64,294,19,80,299,1185,385,1581,16,73,43,120,79,249,139,442,524,2025,0,0,10,38,5,23,107,296,128,361,6,23,21,45,92,192,119,259,246,618,24,41,1365,3827
UCL114029,489,990,22,109,67,328,37,180,436,1739,562,2355,50,220,55,192,155,538,264,941,822,3301,5,18,10,29,6,22,60,180,81,253,8,27,15,34,73,182,101,242,182,495,13,25,1510,4804
UCL114030,966,1936,9,36,33,155,17,70,208,796,261,1053,7,39,14,60,94,294,124,395,384,1450,0,4,12,33,8,23,83,225,105,288,6,19,15,36,110,231,135,287,230,575,18,34,1596,3996
UCL114031,859,1736,15,95,59,266,21,101,356,1377,454,1841,36,155,39,143,167,537,244,833,698,2671,9,38,20,62,16,54,133,361,172,520,4,27,17,37,130,282,155,345,333,860,28,55,1913,5322
UCL114032,433,876,9,32,57,262,36,151,351,1406,447,1848,31,137,17,53,100,319,146,510,593,2353,8,29,16,59,19,55,127,374,171,520,8,29,14,31,130,285,148,340,325,861,20,38,1361,4132
UCL114033,734,1467,18,87,54,246,20,94,362,1436,454,1863,22,84,31,110,122,371,177,562,630,2422,9,24,21,72,17,62,151,411,195,574,10,26,17,39,120,253,147,316,340,889,23,44,1728,4828
UCL114034,919,1856,18,91,67,329,34,152,381,1539,501,2117,35,148,38,124,143,437,214,705,713,2818,13,46,38,124,24,97,207,630,284,895,8,32,24,57,190,412,227,504,506,1399,37,82,2181,6157
UCL114035,691,1401,8,35,34,155,15,75,309,1211,364,1478,21,90,48,158,104,355,172,601,539,2081,0,3,13,56,10,44,102,277,129,382,3,15,20,44,106,236,136,292,265,673,19,34,1514,4183
UCL114036,1082,2134,0,23,43,193,12,52,259,1008,314,1266,11,48,30,89,105,314,141,446,458,1711,5,12,11,46,10,42,89,233,114,330,11,25,21,40,126,262,155,325,264,657,23,50,1820,4549
UCL114037,598,1194,12,52,52,228,30,129,387,1520,478,1932,24,91,28,110,124,392,178,588,656,2521,8,20,20,50,16,42,99,286,130,391,16,49,27,58,99,212,141,316,273,706,21,45,1548,4471
UCL114038,772,1539,18,120,62,300,25,128,388,1578,506,2130,22,107,33,116,112,355,173,574,680,2703,15,45,32,123,25,91,207,580,279,835,11,42,31,62,141,304,184,412,463,1250,38,82,1948,5566
UCL115001,232,461,5,34,24,96,14,62,116,424,153,623,13,48,11,41,34,95,57,184,210,804,0,3,4,23,8,20,30,75,46,133,0,0,4,9,23,44,29,58,75,191,8,10,521,1461
UCL115002,502,1002,13,59,46,199,23,108,249,994,330,1366,19,92,50,164,117,355,187,612,513,1976,0,4,17,64,9,26,70,181,101,277,4,21,19,47,62,138,90,204,190,480,8,20,1214,3470
UCL115003,213,426,7,51,47,216,22,111,280,1160,360,1534,18,86,21,66,69,214,108,368,467,1898,0,4,7,30,4,10,48,123,67,171,0,0,12,27,36,82,45,108,111,281,8,8,791,2614
UCL115004,276,552,0,0,12,63,3,26,75,306,93,391,6,22,7,25,30,95,46,151,143,543,0,0,0,18,0,8,30,87,43,114,0,0,4,11,31,71,41,85,81,203,15,38,509,1326
UCL115005,119,231,0,0,8,31,6,15,49,178,52,227,3,11,3,16,18,67,28,89,83,315,0,11,0,8,0,4,21,59,22,81,4,4,3,10,16,26,22,38,45,120,3,6,249,668
UCL115006,197,393,4,15,23,98,5,29,196,772,226,910,9,31,23,75,38,106,65,213,292,1120,0,0,8,31,0,4,51,109,58,143,3,12,11,17,24,58,37,82,96,221,3,9,588,1739
UCL115007,358,720,6,45,49,242,12,56,202,820,272,1162,19,104,15,53,109,361,147,512,423,1675,0,9,4,29,13,44,50,147,71,232,14,34,8,22,51,117,74,174,145,407,4,13,934,2809
UCL115008,184,366,3,13,8,27,8,23,32,114,43,176,3,4,4,16,11,37,20,58,61,236,0,0,5,16,0,9,20,60,24,77,0,3,4,8,13,22,17,36,39,113,3,5,292,721
UCL115009,262,508,0,0,27,112,7,33,83,342,120,484,3,22,11,37,40,122,54,187,173,672,0,0,9,22,0,0,25,65,34,86,0,11,4,8,21,43,30,61,62,149,6,13,503,1344
UCL115010,142,282,0,0,3,21,4,22,28,107,37,149,0,4,3,7,6,25,15,35,46,181,0,5,5,5,0,0,21,62,28,77,0,0,3,6,23,54,31,60,55,136,6,18,250,617
UCL115011,208,417,0,19,21,89,10,30,72,282,106,419,5,23,17,49,25,74,48,143,151,568,0,0,7,24,0,9,27,87,37,121,0,3,3,13,25,63,31,73,73,199,7,6,436,1190
UCL115012,139,274,6,14,6,19,4,28,35,139,45,199,6,20,3,15,12,45,25,89,73,287,0,0,0,8,0,8,23,78,28,87,0,0,4,9,18,30,22,42,48,130,5,13,264,705
UCL115013,465,923,6,24,37,180,20,83,215,829,277,1114,5,29,14,52,63,195,85,277,362,1387,7,28,16,63,8,32,120,337,147,462,6,18,18,42,110,235,137,298,288,758,16,23,1124,3097
UCL115014,284,569,4,11,40,184,12,65,153,619,210,879,4,19,23,84,48,154,78,252,287,1129,3,21,32,98,12,36,98,246,145,400,12,29,23,51,47,95,80,173,222,571,12,21,806,2292
UCL115015,305,601,9,30,9,62,4,5,67,262,89,358,0,7,3,18,29,83,32,108,122,463,0,10,4,17,0,3,25,64,32,94,0,0,4,12,19,44,26,60,58,151,7,18,491,1234
UCL115016,111,223,0,10,7,31,6,14,57,221,71,276,8,25,3,18,19,60,33,104,101,380,0,0,0,13,0,0,9,32,19,45,0,4,6,14,23,49,28,62,48,112,4,6,260,719
UCL115017,431,855,0,0,32,136,0,9,126,505,162,652,11,36,17,53,36,109,63,198,222,853,0,0,6,11,0,4,23,63,28,79,0,9,7,13,29,63,36,80,64,161,4,7,726,1875
UCL115018,165,329,0,5,0,22,0,3,25,96,34,126,3,11,0,0,17,53,22,65,50,192,0,0,0,13,0,3,18,55,20,69,0,7,3,11,31,68,37,83,55,151,4,13,284,691
UCL115019,636,1254,4,32,24,124,6,34,215,802,256,991,10,27,33,101,67,197,105,332,364,1319,8,14,16,58,8,35,85,191,119,295,4,4,31,65,92,194,128,264,237,560,15,33,1260,3169
UCL115020,321,632,5,31,30,150,16,71,168,680,216,940,13,44,14,40,71,204,89,293,310,1228,3,19,18,52,12,40,70,198,101,305,8,12,13,29,53,105,66,148,169,455,14,25,811,2342
UCL115021,141,272,0,0,3,26,5,19,60,243,65,283,5,17,6,23,17,38,24,77,92,361,0,0,5,7,4,8,22,64,29,80,0,0,0,10,18,33,21,41,51,125,3,4,282,768
UCL115022,434,863,6,31,17,99,13,51,136,534,171,721,24,87,40,131,72,216,127,433,301,1156,4,15,3,8,3,17,35,95,47,125,4,14,12,27,42,96,60,140,103,269,8,13,843,2294
UCL115023,181,357,4,13,14,49,0,10,56,230,73,297,3,14,8,12,26,77,35,109,106,404,0,0,0,3,3,19,27,78,30,97,3,11,4,5,21,36,22,51,54,147,0,7,340,913
UCL115024,105,205,0,9,10,56,5,13,89,336,107,423,0,7,4,27,14,48,23,75,130,497,4,14,5,14,3,19,43,129,60,172,0,3,0,4,28,77,31,86,86,254,10,25,337,988
UCL115025,129,271,0,14,17,77,5,41,119,448,143,578,11,63,18,74,43,150,82,287,221,863,0,8,8,26,9,17,16,42,28,90,4,13,7,15,28,58,33,81,67,170,4,10,419,1314
UCL115026,194,377,0,5,11,70,7,25,69,253,87,358,3,8,0,0,23,74,31,90,112,448,0,5,12,34,0,9,20,56,40,103,0,0,4,4,9,20,12,25,53,125,3,8,364,959
UCL115027,297,591,4,37,29,134,12,52,216,860,261,1085,13,47,19,61,56,159,86,274,346,1362,6,18,13,42,8,20,74,186,93,265,11,29,11,21,41,96,65,142,158,410,14,35,812,2395
UCL115028,356,705,3,20,27,115,4,24,129,490,162,654,13,38,20,72,39,121,71,238,235,885,0,15,14,49,0,0,22,56,42,129,3,8,23,40,32,61,53,105,93,239,10,24,692,1853
UCL115029,171,339,0,0,10,54,5,20,77,289,98,364,4,10,10,37,24,73,35,124,128,484,0,0,8,15,0,11,29,70,39,92,4,12,8,19,45,94,62,132,93,225,10,17,404,1064
UCL115030,162,331,0,4,6,25,10,24,32,123,39,182,3,8,3,15,20,64,32,90,73,270,6,10,11,40,7,18,26,67,40,129,0,8,4,7,30,64,34,71,72,208,3,13,314,813
UCL115031,481,970,6,19,23,103,5,20,95,381,129,521,7,36,16,52,40,128,64,220,195,743,0,7,12,28,5,19,30,78,39,136,3,8,14,27,35,73,53,109,94,245,3,9,775,1970
UCL115032,291,579,8,24,23,104,5,16,124,472,154,625,10,40,28,84,44,143,79,275,232,900,0,3,5,26,0,13,25,71,38,116,3,14,8,19,30,64,43,89,82,207,9,17,608,1696
UCL115033,415,829,7,35,55,250,15,77,375,1442,450,1809,30,113,34,113,93,297,154,519,609,2331,0,0,5,21,3,10,58,156,73,182,0,6,7,18,32,80,43,99,114,281,6,14,1144,3456
UCL115034,170,344,4,27,8,53,12,63,133,539,164,677,18,66,18,56,35,129,68,251,232,924,0,0,11,36,6,25,29,70,48,134,0,11,3,14,27,75,40,98,85,231,5,7,491,1509
UCL115035,409,817,12,50,43,193,12,76,280,1105,353,1426,25,96,29,96,72,230,125,421,472,1849,3,9,14,48,6,16,88,253,113,335,10,18,23,52,48,107,72,170,189,508,6,27,1080,3198
UCL115036,487,973,6,48,27,123,8,41,121,471,164,680,20,84,22,73,68,200,110,362,275,1040,0,18,7,20,6,25,50,134,69,200,3,7,10,16,57,123,69,156,136,355,14,33,908,2398
UCL115037,144,280,8,39,25,101,5,19,70,280,102,441,10,35,20,61,42,124,67,223,174,667,0,4,0,11,0,4,19,58,24,73,0,0,0,0,15,31,16,33,39,112,3,5,356,1066
