UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL422063,0,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,4,15,10,28,8,0,0,0,60
UCL431001,183,230,414,436,573,513,165,21,0,2535,190,195,330,389,568,561,305,119,16,2667,4220,4950,10460,13324,17199,16697,6196,1267,119,74441
UCL479997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,22
UCL501001,2021,4328,9807,8553,7329,5403,1747,235,15,39442,2186,4696,11369,11163,9290,6340,2013,439,100,47593,55182,93507,224191,231089,203550,148292,41198,4597,334,1001946
UCL511001,80,166,318,271,299,212,60,9,0,1410,87,123,279,281,229,180,63,11,0,1263,2430,2794,6684,7536,7509,5696,1441,124,13,34235
UCL512001,38,64,125,121,98,106,46,3,0,601,45,43,85,88,84,72,24,9,0,451,1064,1075,2455,2629,2984,2650,789,93,14,13756
UCL512002,30,61,90,96,120,67,21,0,0,492,29,31,70,71,82,62,23,13,6,389,957,815,1930,2530,2837,2193,643,71,5,11998
UCL512003,53,85,134,126,110,91,33,12,0,638,40,53,103,99,116,79,38,11,4,553,1102,1225,2683,2912,3135,2610,738,94,14,14505
UCL512004,56,89,165,152,140,79,21,0,0,708,52,66,152,142,131,101,35,4,0,680,884,1445,3629,3358,3088,2467,593,51,0,15512
UCL513001,10,31,73,87,59,45,20,0,0,322,23,32,91,123,82,58,21,10,0,431,392,532,1995,2098,1808,1535,585,85,0,9046
UCL513002,19,27,64,47,51,32,9,0,0,245,13,28,40,35,44,42,15,3,0,215,320,384,915,945,1004,888,222,39,0,4719
UCL513003,27,33,105,99,66,29,9,0,0,363,26,50,132,147,101,63,13,0,0,524,488,667,2498,2749,2024,1169,243,13,0,9842
UCL513004,20,25,81,74,48,34,10,0,0,293,17,35,88,95,78,57,8,0,0,392,361,543,2396,2346,1683,1207,227,4,0,8763
UCL513005,10,12,68,46,34,30,4,0,0,201,8,18,45,41,43,19,7,0,0,191,247,336,993,1119,1020,669,132,9,0,4526
UCL514001,12,10,26,21,22,8,5,0,0,111,8,11,21,23,15,12,4,5,0,102,168,227,502,550,574,465,109,21,5,2618
UCL514002,11,0,29,31,29,20,11,0,0,123,11,21,16,41,35,23,9,3,0,155,225,139,549,914,802,514,205,25,0,3373
UCL514003,11,6,31,38,33,21,4,0,0,140,10,10,35,39,33,23,5,0,0,155,231,194,770,1008,862,528,154,13,0,3761
UCL514004,6,15,21,20,19,23,10,0,0,114,0,10,20,19,25,20,6,0,0,107,177,224,445,480,541,550,176,16,0,2614
UCL515001,0,0,6,0,0,9,0,0,0,13,0,0,3,6,8,6,0,0,0,17,13,19,60,66,90,112,51,8,3,421
UCL515002,4,0,3,5,3,4,5,0,0,16,0,0,3,0,5,0,0,0,0,15,35,40,96,126,142,124,33,0,0,603
UCL515003,4,0,6,0,6,7,4,0,0,28,0,3,3,3,6,3,0,0,0,25,45,47,135,151,211,212,75,14,0,895
UCL515004,0,10,19,4,10,7,4,0,0,55,3,9,12,10,9,6,0,0,0,49,60,139,304,202,182,100,32,0,0,1014
UCL515005,3,4,6,12,10,5,0,0,0,45,6,0,10,12,5,8,0,0,0,47,76,80,171,227,258,165,36,9,0,1017
UCL515006,4,8,10,8,17,14,5,0,0,63,5,7,11,18,17,14,7,0,0,80,68,123,342,344,409,434,151,16,0,1889
UCL515007,0,0,13,7,11,0,0,0,0,33,4,0,4,18,10,7,0,0,0,35,51,28,135,343,240,138,26,8,0,967
UCL515008,0,0,11,5,3,0,0,0,0,19,0,0,7,11,9,5,0,0,0,24,33,34,113,188,185,107,20,3,0,687
UCL515009,5,4,8,11,7,6,0,0,0,41,4,0,4,3,14,12,4,0,0,41,81,40,142,241,273,213,81,20,0,1091
UCL515010,0,4,15,9,16,12,0,0,0,50,0,3,16,4,6,10,10,0,0,41,34,86,263,208,237,288,121,8,0,1237
UCL515011,6,0,8,9,8,5,0,0,0,36,3,4,7,6,14,18,4,3,0,56,90,73,177,240,242,208,48,8,0,1095
UCL515012,9,3,13,9,10,4,0,0,0,43,3,4,8,9,0,6,3,0,0,38,90,74,273,233,253,142,32,0,0,1098
UCL515013,7,3,20,13,20,13,3,0,0,76,4,16,42,25,17,21,4,4,0,135,118,180,612,542,469,412,129,19,5,2492
UCL515014,0,0,4,3,4,0,0,0,0,18,0,0,3,0,4,5,0,0,0,8,11,35,135,95,101,86,34,5,0,500
UCL515015,5,0,4,9,9,10,0,0,0,32,0,3,10,10,15,6,4,0,0,46,63,85,301,235,244,179,52,10,0,1169
UCL515016,0,7,6,6,3,3,0,0,0,28,0,3,13,4,4,6,8,0,0,34,25,27,148,128,136,165,68,6,0,708
UCL515017,0,4,3,6,0,0,5,0,0,18,0,0,5,10,7,9,9,0,0,37,33,45,100,137,162,236,86,12,0,803
UCL515018,0,0,3,0,0,0,0,0,0,10,0,5,3,0,10,3,0,0,0,27,33,66,136,147,167,143,28,4,0,722
UCL515019,10,12,12,3,11,13,4,0,0,77,7,7,9,15,14,24,0,0,0,75,99,156,320,281,288,312,102,15,0,1572
UCL515020,6,7,23,27,22,19,5,0,0,100,5,9,35,23,30,18,11,3,0,132,81,166,656,492,456,426,140,14,0,2423
UCL515021,3,0,3,3,7,7,0,0,0,25,3,7,4,0,9,0,0,0,0,30,71,44,99,143,178,170,55,11,0,772
UCL515022,3,14,22,10,9,14,3,0,0,88,9,9,16,18,14,18,8,3,0,93,125,162,360,334,352,352,112,23,0,1822
UCL515023,5,12,15,14,8,0,3,0,0,63,0,4,6,3,9,12,3,0,0,45,74,104,229,194,213,197,71,8,0,1093
UCL515024,3,0,9,8,6,6,0,0,0,43,3,0,0,0,3,4,0,0,0,17,29,53,117,117,115,155,59,7,0,659
UCL515025,0,0,6,3,8,5,3,0,0,27,5,0,5,6,0,8,0,0,0,31,49,49,123,118,152,142,46,8,0,685
UCL515026,8,6,18,11,12,7,0,0,0,58,7,5,22,13,9,8,0,0,0,70,66,122,314,201,215,139,26,0,0,1089
UCL515027,9,10,21,16,13,17,4,0,0,91,3,3,10,10,14,19,4,3,0,66,90,154,331,298,321,310,119,15,0,1623
UCL515028,4,12,37,23,14,8,0,0,0,90,3,4,23,16,18,10,0,0,0,69,90,208,779,692,605,372,73,0,0,2816
UCL515029,0,3,8,3,0,0,0,0,0,23,4,0,3,3,5,0,0,0,0,20,16,45,189,225,189,139,12,0,0,816
UCL515030,5,8,10,5,9,14,0,0,0,51,3,6,10,12,3,13,3,0,0,44,128,122,218,272,299,269,66,10,0,1380
UCL515031,0,4,0,14,4,0,3,0,0,30,8,5,3,5,10,22,5,6,0,69,68,66,145,225,254,270,108,27,0,1159
UCL515032,3,6,9,6,9,4,0,0,0,37,5,6,3,11,15,12,0,0,0,45,51,61,125,144,199,127,23,0,0,733
UCL515033,3,5,7,13,7,0,0,0,0,39,8,7,10,9,10,5,0,0,0,46,68,81,377,509,336,214,40,3,0,1626
UCL515034,3,8,15,6,6,10,0,0,0,44,0,0,6,12,10,5,0,0,0,36,39,75,233,224,257,172,44,8,0,1049
UCL515035,4,3,5,3,4,5,0,0,0,29,0,0,6,6,11,5,0,0,0,28,29,30,91,83,89,124,47,8,0,481
UCL515036,3,3,7,6,5,5,0,0,0,26,3,4,5,3,8,4,0,0,0,37,48,68,137,154,191,193,47,7,0,843
UCL515037,0,5,7,11,0,0,0,0,0,30,3,8,13,9,7,4,0,0,0,45,53,84,336,357,234,155,18,0,0,1235
UCL515038,9,0,3,6,6,6,0,0,0,31,0,0,5,0,13,10,9,0,0,39,45,42,142,150,178,228,86,14,0,891
UCL521001,3,0,0,3,8,5,0,0,0,18,0,0,0,3,4,0,0,0,0,7,26,19,24,56,66,55,10,0,0,256
UCL521002,0,0,8,10,9,4,3,0,0,27,3,0,0,3,4,0,0,0,0,20,16,17,43,55,82,56,32,3,0,301
UCL521003,0,0,0,0,0,0,0,0,0,6,0,0,5,4,3,3,0,0,0,13,9,6,26,45,51,60,27,8,0,234
UCL521004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,37,24,26,15,0,0,0,120
UCL521005,0,0,4,4,0,4,0,0,0,21,0,0,0,3,4,4,0,3,0,19,6,36,84,98,93,116,28,3,0,462
UCL521006,0,3,0,4,5,5,0,0,0,13,0,0,0,3,4,5,0,0,0,24,25,27,49,84,81,101,16,3,0,393
UCL521007,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,3,9,21,31,33,34,39,14,3,0,190
UCL521008,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,3,14,35,29,35,38,19,8,0,184
UCL521009,0,0,0,5,0,7,0,0,0,10,0,0,0,4,0,3,0,0,0,8,6,16,40,46,44,45,11,3,0,210
UCL521010,0,4,9,0,3,0,0,0,0,13,0,0,5,0,0,6,0,0,0,16,20,29,53,49,73,53,14,0,0,285
UCL521011,0,0,4,0,6,5,0,0,0,17,0,0,0,6,0,0,0,0,0,3,21,27,49,91,73,37,4,0,0,299
UCL521012,0,0,4,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,12,15,11,44,38,60,62,21,0,0,238
UCL521013,0,0,6,0,7,0,0,0,0,22,0,3,0,4,6,0,0,0,0,10,34,25,77,71,107,89,24,0,0,428
UCL521014,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,10,0,0,0,16,11,19,69,77,97,84,30,0,0,387
UCL521015,4,3,0,3,4,0,4,0,0,19,0,0,0,0,5,4,4,0,0,12,19,20,61,47,56,60,33,3,0,299
UCL521016,0,0,0,0,3,0,3,0,0,9,4,3,4,0,3,3,0,0,0,17,15,27,70,49,63,46,23,0,0,293
UCL521017,0,0,7,7,0,5,0,0,0,22,6,4,6,3,0,4,4,0,0,19,10,34,82,79,51,57,26,9,0,347
UCL521018,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,17,27,54,48,58,28,12,4,0,247
UCL521019,0,0,8,4,6,9,0,0,0,21,0,0,10,4,3,3,0,0,0,19,13,28,105,107,116,185,47,13,0,616
UCL521020,0,0,6,0,4,0,0,0,0,13,0,0,6,8,8,0,0,0,0,22,15,18,35,46,75,63,8,3,0,272
UCL521021,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,8,0,0,0,15,19,27,65,93,78,70,23,9,0,379
UCL521022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,14,30,13,64,75,106,85,27,0,0,396
UCL521023,0,0,0,0,0,0,0,0,0,8,0,5,8,3,0,0,0,0,0,14,3,20,53,51,35,41,30,3,0,242
UCL521024,0,0,8,5,0,4,0,0,0,9,0,0,4,8,6,4,3,0,0,28,5,41,119,104,94,95,27,4,0,489
UCL521025,0,5,0,0,0,6,0,0,0,10,0,0,6,5,0,3,0,0,0,15,6,18,87,71,75,82,14,0,0,364
UCL521026,6,0,0,0,3,5,0,0,0,17,0,5,0,0,3,4,0,0,0,22,24,27,45,62,111,70,17,4,0,367
UCL521027,0,0,6,0,0,0,0,0,0,11,3,0,0,0,0,7,0,0,0,14,24,29,98,77,81,56,10,3,0,380
UCL521028,0,0,0,0,0,5,0,0,0,6,5,0,0,0,0,4,4,3,0,19,22,15,56,47,59,82,13,4,0,302
UCL521029,0,0,8,4,0,4,0,0,0,20,3,0,3,4,4,5,3,0,0,29,13,32,75,71,64,103,34,0,0,392
UCL521030,0,0,0,0,3,0,0,0,0,8,0,3,5,3,0,0,0,0,0,14,12,32,99,46,55,66,24,10,0,340
UCL521031,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,7,22,132,80,81,86,23,5,0,428
UCL521032,0,0,0,0,0,0,3,0,0,4,4,4,0,0,0,0,0,0,0,13,3,17,60,24,40,68,20,0,0,234
UCL521033,0,0,0,0,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,11,3,11,41,44,63,59,16,0,0,244
UCL521034,6,0,3,5,0,4,0,0,0,11,5,0,3,3,10,5,4,0,0,32,27,30,45,64,98,90,17,3,0,368
UCL521035,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,9,9,25,44,51,62,14,4,0,214
UCL521036,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,15,10,15,41,23,36,54,20,7,0,209
UCL521037,0,0,4,4,6,3,0,0,0,13,0,0,4,3,8,3,0,0,0,17,25,16,52,90,74,62,6,5,0,329
UCL521038,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,12,3,25,41,52,67,25,0,0,237
UCL521039,0,0,3,0,5,7,0,0,0,11,0,0,3,4,0,5,0,0,0,23,31,13,38,86,82,98,21,5,0,373
UCL521040,0,0,3,0,3,0,4,0,0,13,0,3,0,7,10,8,3,3,0,31,3,24,117,120,108,114,38,0,0,527
UCL521041,0,0,5,0,0,0,0,0,0,10,0,0,3,4,0,4,0,0,0,15,0,31,134,138,68,67,13,0,0,452
UCL521042,0,0,0,4,0,0,0,0,0,7,3,0,0,0,4,0,0,0,0,13,20,21,45,60,81,69,25,0,0,324
UCL521043,0,0,3,0,5,3,0,0,0,11,0,0,0,5,0,4,0,0,0,8,15,11,30,41,65,73,16,0,0,248
UCL521044,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,10,14,22,30,33,36,59,16,3,0,204
UCL521045,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,3,27,18,22,37,24,6,0,147
UCL521046,0,0,0,0,4,3,0,0,0,17,0,0,0,4,0,4,0,0,0,13,12,17,49,50,38,30,11,6,0,211
UCL521047,0,0,0,0,0,0,0,0,0,12,0,0,4,0,6,0,3,0,0,16,6,14,51,53,74,71,26,4,0,307
UCL521048,0,0,3,3,3,0,0,0,0,13,0,0,6,0,0,10,0,0,0,22,13,19,45,59,55,84,27,0,0,307
UCL521049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,24,21,11,8,0,0,98
UCL521050,3,0,0,3,3,0,0,0,0,15,3,5,6,0,3,7,0,0,0,24,22,31,61,68,55,63,28,4,0,341
UCL521051,0,5,0,0,3,0,0,0,0,10,0,0,0,0,5,7,0,0,0,22,24,40,52,53,77,91,13,0,0,350
UCL521052,0,0,4,0,0,0,0,0,0,6,0,0,3,0,7,0,0,0,0,13,10,13,59,61,73,55,17,4,0,292
UCL522001,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,3,10,30,12,22,9,7,0,0,97
UCL522002,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,12,22,17,22,18,10,0,0,114
UCL522003,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,27,18,20,8,0,0,0,76
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,3,4,0,0,0,33
UCL522005,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,9,4,0,19,28,12,8,5,0,0,78
UCL522006,0,0,0,5,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,5,17,25,26,41,56,41,15,0,0,221
UCL522007,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,12,20,14,13,24,18,0,0,105
UCL522008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,11,13,18,8,3,0,74
UCL522009,0,0,0,0,3,0,0,0,0,13,0,4,0,0,3,0,0,0,0,10,15,17,23,37,57,34,7,0,0,191
UCL522010,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,11,16,23,34,36,31,14,0,0,167
UCL522011,0,6,3,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,13,23,31,15,36,14,3,0,142
UCL522012,0,0,0,0,0,6,0,0,0,7,0,3,0,4,3,5,3,0,0,12,3,11,45,33,35,65,20,7,0,220
UCL522013,0,0,0,0,0,5,0,0,0,5,0,3,0,3,0,5,0,0,0,8,16,17,21,34,51,42,4,0,0,185
UCL522014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,18,20,18,15,0,0,0,88
UCL522015,0,3,4,5,7,0,0,0,0,20,0,0,6,0,0,3,0,0,0,14,14,49,125,121,72,104,30,4,0,523
UCL522016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,4,14,16,19,25,9,0,0,91
UCL522017,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,3,0,3,5,9,24,20,37,41,12,3,0,142
UCL522018,0,0,0,0,0,6,4,0,0,9,0,0,0,0,0,0,0,4,0,9,6,7,15,12,19,22,9,4,0,88
UCL522019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,11,25,8,0,0,62
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,18,9,29,8,0,0,83
UCL522021,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,15,16,40,35,23,21,0,0,152
UCL522022,0,5,0,0,6,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,7,21,12,23,27,4,3,0,97
UCL522023,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12,11,5,28,25,29,34,12,0,0,136
UCL522024,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,9,8,3,11,12,15,33,15,5,0,93
UCL522025,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,6,6,14,22,33,24,47,20,8,0,175
UCL522026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,19,37,14,5,0,91
UCL522027,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,9,5,13,22,31,32,39,4,0,0,144
UCL522028,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,7,29,19,5,10,3,0,0,85
UCL522029,0,0,0,6,0,0,0,0,0,10,0,0,0,4,4,0,0,0,0,11,13,6,30,44,29,26,4,0,0,161
UCL522030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,24,30,23,32,13,0,0,132
UCL522031,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,23,8,8,6,0,0,0,54
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,9,5,17,13,3,0,0,60
UCL522033,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,11,9,6,21,10,35,27,11,3,0,116
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,16,8,5,0,0,0,38
UCL522035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,9,25,33,13,0,0,106
UCL522036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,21,13,24,16,20,0,0,104
UCL522037,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,0,0,0,6,3,4,20,26,28,21,6,5,0,121
UCL522038,0,3,6,0,3,0,0,0,0,12,0,4,0,0,3,4,3,0,0,17,11,23,59,53,49,47,19,5,0,279
UCL522039,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,9,3,13,44,39,29,57,13,0,0,200
UCL522040,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,7,8,7,3,23,27,9,0,0,80
UCL522041,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,4,0,0,0,11,0,9,17,16,32,26,13,0,0,108
UCL522042,0,3,3,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,6,7,23,92,85,67,43,6,0,0,326
UCL522043,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,10,9,5,0,0,0,47
UCL522044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,10,20,7,21,36,11,3,0,111
UCL522045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,10,8,0,0,0,32
UCL522046,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,6,15,23,25,34,8,0,0,119
UCL522047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,24,29,21,43,6,0,0,140
UCL522048,0,0,3,0,0,0,6,3,0,14,0,0,0,0,0,0,0,0,0,3,5,4,19,24,21,24,11,3,0,121
UCL522049,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,18,23,28,7,0,0,94
UCL522050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,29,27,39,41,12,3,0,167
UCL522051,0,0,4,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,10,12,8,16,16,33,17,3,0,0,101
UCL522052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,12,14,12,3,0,0,64
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,10,8,0,0,0,31
UCL522054,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,14,10,12,27,15,4,0,0,82
UCL522055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,33,31,58,43,16,0,0,197
UCL522056,0,0,0,0,0,0,0,0,0,10,0,0,4,0,4,0,0,0,0,8,8,15,53,47,52,49,19,0,0,243
UCL522057,0,0,0,0,0,5,0,0,0,6,0,0,3,0,0,3,0,0,0,12,11,30,62,30,33,55,14,5,0,249
UCL522058,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,4,7,8,10,26,4,0,0,71
UCL522059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,4,6,19,37,25,28,12,0,0,132
UCL522060,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,18
UCL522061,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,6,23,18,32,45,10,0,0,136
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,13,12,3,0,0,3,0,37
UCL522063,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,7,10,16,3,3,0,47
UCL522064,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,11,0,13,32,25,30,12,8,0,0,121
UCL522065,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,3,16,14,8,35,9,3,0,96
UCL522066,0,0,4,0,0,5,0,0,0,7,0,0,0,0,0,4,0,0,0,8,3,12,42,46,35,30,8,3,0,178
UCL522067,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,18,70,67,74,45,7,0,0,292
UCL522068,0,0,0,4,0,0,0,0,0,4,0,6,0,3,0,3,0,0,0,14,13,13,26,32,43,38,12,3,0,182
UCL522069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,8,21,15,17,25,18,0,0,99
UCL522070,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,0,0,0,0,10,9,13,25,21,26,25,4,0,0,126
UCL522071,0,0,0,0,0,0,0,0,0,4,0,4,5,5,0,0,0,0,0,20,5,9,23,17,14,9,0,0,0,74
UCL531001,224,264,507,592,630,568,175,12,0,2977,233,264,489,599,798,747,333,122,16,3611,4258,6316,16051,19113,22971,21014,7188,1373,147,98440
UCL579997,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
UCL603001,109,313,998,722,592,491,157,34,0,3424,92,216,729,427,410,293,107,30,8,2308,4177,8342,26065,20036,18112,13999,3930,450,32,95146
UCL611001,73,183,387,278,294,228,71,10,0,1532,57,113,259,201,178,148,43,11,6,1021,2179,3636,9296,7490,7564,5974,1564,147,23,37880
UCL612001,16,42,105,69,68,45,11,0,0,356,12,17,46,43,32,42,23,3,4,232,562,865,1806,1656,1722,1511,338,32,4,8487
UCL612002,24,49,109,86,92,69,13,3,0,447,13,31,62,56,50,50,16,12,0,289,653,957,2425,1909,2085,1765,423,57,3,10261
UCL613001,6,25,43,38,36,37,9,3,0,193,4,16,24,23,32,30,8,3,0,140,341,442,929,922,1111,1040,237,32,4,5051
UCL614001,4,12,26,23,24,24,6,0,0,105,3,5,11,25,9,8,6,0,0,66,139,187,479,527,487,520,117,3,0,2460
UCL614002,3,9,18,24,14,11,7,0,0,90,0,7,33,18,19,13,3,0,0,89,122,230,575,491,482,394,92,11,0,2397
UCL614003,5,12,12,11,14,13,0,0,0,74,0,0,10,5,9,6,0,3,0,43,103,182,369,386,373,416,115,12,0,1962
UCL615001,0,0,7,0,4,0,0,0,0,14,4,6,0,4,4,5,0,3,0,25,18,32,65,84,70,89,20,0,0,372
UCL615002,0,0,0,4,0,5,0,0,0,12,0,0,6,0,5,8,3,0,0,24,13,33,68,51,95,96,39,3,0,403
UCL615003,3,0,0,0,6,0,6,0,0,18,0,0,4,0,3,0,0,0,0,8,28,41,117,78,109,149,47,4,0,569
UCL615004,3,0,0,5,0,0,0,0,0,18,0,0,0,0,0,3,4,0,0,14,19,29,68,75,83,53,21,3,0,355
UCL615005,3,7,7,7,0,4,0,0,0,28,0,5,6,7,15,8,0,0,0,43,51,107,192,184,198,182,66,13,0,987
UCL615006,4,0,3,0,3,4,3,0,0,24,0,0,3,0,4,0,0,3,0,18,26,18,76,59,96,130,32,9,0,444
UCL615007,0,4,3,3,0,4,0,0,0,14,0,3,0,7,5,0,3,0,0,13,21,42,59,73,106,103,26,3,0,428
UCL615008,0,6,14,3,3,11,5,0,0,39,0,0,13,14,8,11,3,0,0,67,85,124,261,263,298,257,65,7,0,1356
UCL615009,4,0,17,10,13,5,0,0,0,49,0,4,4,4,9,8,3,0,0,30,69,97,263,244,254,211,51,0,0,1189
UCL615010,3,4,6,4,0,6,0,0,0,25,0,5,7,5,8,0,3,0,0,30,37,77,218,168,146,106,33,3,0,790
UCL615011,0,7,31,10,13,4,0,0,0,81,0,0,5,5,6,9,0,0,0,35,113,191,455,356,360,308,75,8,0,1857
UCL615012,5,7,31,24,12,16,3,0,0,98,0,9,8,9,15,0,5,0,0,45,137,172,442,426,455,325,77,9,0,2044
UCL615013,4,8,16,18,14,5,5,0,0,68,3,13,17,4,10,13,6,6,0,67,72,143,340,251,308,301,87,13,0,1530
