UCL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
UCL521013,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,134,133,264,8,6,17,6,0,7,3,0,3,0,0,0,3,0,3,0,3,4,162,146,302,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,9,23,32,39,38,75,3,3,5,216,212,428
UCL521014,0,0,0,27,5,30,0,0,0,0,0,0,0,0,0,145,87,225,42,9,51,9,0,9,0,0,0,0,0,0,6,0,6,10,20,31,235,117,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,10,9,22,3,0,3,256,134,387
UCL521015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,87,204,0,7,11,9,0,9,0,0,0,3,0,9,5,0,9,4,16,22,140,117,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,17,12,7,21,0,0,4,160,137,299
UCL521016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,80,203,6,7,15,3,0,3,0,0,0,0,0,0,5,0,0,11,8,13,150,94,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,5,11,16,8,17,27,0,0,4,170,119,293
UCL521017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,100,265,5,14,20,0,0,0,0,0,0,0,0,0,0,0,0,11,13,26,190,129,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,9,15,0,0,0,200,144,347
UCL521018,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,99,78,181,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,114,87,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,17,21,36,0,0,0,135,112,247
UCL521019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,107,220,11,5,20,0,0,4,0,0,0,5,3,6,4,3,6,33,34,67,175,159,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,26,44,117,110,232,6,0,10,316,298,616
UCL521020,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,73,89,165,5,0,6,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,86,93,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,38,20,64,5,0,9,147,127,272
UCL521021,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,128,116,242,10,13,21,3,0,3,0,0,0,0,0,0,0,0,0,0,10,16,149,142,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,5,20,29,21,23,49,3,5,5,188,192,379
UCL521022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,129,239,5,4,14,4,0,4,0,0,0,4,5,4,0,0,0,8,0,8,130,133,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,55,22,44,62,3,3,11,185,206,396
UCL521023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,59,164,7,5,14,4,0,4,0,0,0,0,0,0,0,0,0,4,23,30,132,86,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,7,14,0,0,3,140,98,242
UCL521024,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,109,90,203,20,15,33,4,0,4,0,0,0,3,0,0,9,0,9,66,72,142,216,187,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,19,25,48,15,9,23,254,231,489
UCL521025,0,0,0,40,19,55,0,0,0,0,0,0,0,0,0,92,84,181,9,3,12,9,0,9,0,0,0,0,0,0,3,0,3,3,13,19,162,124,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,9,0,8,0,0,0,0,0,0,0,0,0,3,0,3,9,12,15,33,19,51,3,0,8,210,158,364
UCL521026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,120,233,5,5,8,3,0,3,0,0,0,0,0,0,7,0,9,8,3,8,132,135,269,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,18,27,33,29,66,0,0,4,181,187,367
UCL521027,0,0,0,43,6,48,0,0,0,0,0,0,0,0,0,124,81,205,32,6,35,0,0,0,0,0,0,0,0,0,14,3,17,6,8,9,216,109,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,7,0,7,0,0,0,7,0,7,0,0,0,3,0,3,0,0,6,27,14,38,0,0,8,259,125,380
UCL521028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,80,185,10,12,16,7,0,7,3,0,3,0,0,0,0,0,0,10,22,33,142,109,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,11,13,9,25,33,0,4,6,156,144,302
UCL521029,0,0,0,9,4,9,0,0,0,0,0,0,0,0,0,150,102,254,14,6,28,7,0,7,0,0,0,0,0,0,7,0,7,13,16,27,198,130,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,15,19,24,38,7,0,5,224,172,392
UCL521030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,66,153,19,48,67,0,0,0,0,0,0,10,5,10,4,0,4,12,10,23,128,131,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,15,25,28,18,47,0,6,6,170,166,340
UCL521031,0,0,0,47,3,52,0,0,0,0,0,0,0,0,0,102,64,160,39,13,55,6,0,6,0,0,0,0,0,0,24,8,37,35,23,60,255,108,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,17,9,22,17,9,25,0,0,0,3,0,3,0,0,5,5,0,5,6,6,12,11,8,19,4,0,7,305,133,428
UCL521032,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,72,52,128,9,7,16,4,0,4,0,0,0,0,0,0,0,0,0,22,28,48,108,85,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,6,21,3,5,9,126,102,234
UCL521033,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,75,41,117,15,8,19,10,0,10,0,0,0,0,0,0,9,3,12,11,18,35,134,70,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,7,22,0,4,5,158,94,244
UCL521034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,124,248,3,4,9,11,0,11,0,0,0,0,0,0,6,0,3,4,0,4,151,126,282,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,13,28,37,26,11,43,0,0,0,194,174,368
UCL521035,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,60,60,119,4,0,7,0,0,0,0,0,0,7,0,12,0,0,0,17,11,25,90,76,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,15,23,8,13,24,0,0,0,109,105,214
UCL521036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,39,99,7,10,16,7,0,7,0,0,4,3,6,9,0,0,0,17,20,37,86,82,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,8,13,21,0,3,3,100,105,209
UCL521037,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,103,104,206,13,3,14,0,0,0,0,0,0,0,0,0,3,5,10,0,3,3,127,113,240,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,43,30,71,0,0,0,177,152,329
UCL521038,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,66,76,141,7,3,10,0,0,0,0,0,0,0,0,0,0,7,4,0,4,7,87,90,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,12,18,17,18,28,6,0,9,115,117,237
UCL521039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,115,239,4,9,11,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,139,122,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,48,25,32,58,0,4,4,182,189,373
UCL521040,0,0,0,10,7,16,0,0,0,0,0,0,0,0,0,160,111,274,23,15,47,0,0,0,0,0,0,5,7,17,7,0,7,13,31,48,227,175,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,9,0,0,0,0,0,0,0,0,3,0,0,3,0,18,17,51,38,89,3,4,5,296,228,527
UCL521041,0,0,0,136,36,171,0,0,0,0,0,0,0,0,0,50,30,82,20,3,25,0,0,0,0,0,0,0,13,15,23,4,27,9,32,44,241,117,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,4,0,5,6,5,3,9,3,16,0,0,0,7,5,11,0,0,0,7,5,11,0,12,12,26,21,45,6,0,4,292,157,452
UCL521042,0,0,0,4,7,12,0,0,0,0,0,0,0,0,0,100,91,187,8,14,24,0,0,0,0,0,0,0,0,0,0,0,0,20,15,37,134,127,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,13,24,20,45,4,4,7,170,158,324
UCL521043,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,84,83,162,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,99,85,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,24,16,17,35,4,0,5,124,121,248
UCL521044,0,0,0,4,3,0,0,0,0,0,0,0,3,0,3,61,67,130,12,5,16,3,0,3,0,0,0,0,0,0,0,0,0,7,4,7,88,82,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,10,15,24,0,0,0,101,101,204
UCL521045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,35,93,0,3,8,5,0,4,0,0,0,0,0,0,7,0,7,10,9,16,78,56,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,8,10,0,0,0,83,65,147
UCL521046,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,62,58,124,19,15,31,0,0,0,0,0,0,0,0,0,3,0,3,8,20,25,97,96,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,7,13,0,5,8,112,103,211
UCL521047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,77,196,12,7,16,10,0,12,0,0,0,3,0,3,6,6,12,9,17,32,157,110,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,16,9,24,4,0,0,181,126,307
UCL521048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,112,205,7,10,15,5,0,5,0,0,0,0,0,0,0,0,0,9,5,16,119,121,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,22,14,20,37,0,0,0,143,158,307
UCL521049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,36,3,4,10,0,0,0,0,0,0,0,0,0,0,0,4,22,23,43,52,46,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,42,98
UCL521050,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,135,91,227,0,9,7,9,0,11,0,0,0,0,0,0,3,0,3,7,15,25,163,113,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,17,25,20,43,0,4,7,188,145,341
UCL521051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,128,251,10,13,24,6,0,6,0,0,0,0,0,0,4,0,4,0,3,5,146,141,286,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,23,20,44,0,0,0,177,167,350
UCL521052,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,84,54,149,17,12,28,3,0,3,3,0,3,0,0,3,5,4,11,16,31,41,146,103,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,10,18,29,4,0,5,166,124,292
UCL522001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34,3,4,12,0,0,4,0,0,0,0,0,0,0,0,0,18,27,44,34,54,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,36,54,97
UCL522002,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,25,30,55,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,38,39,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,10,8,19,0,3,3,55,57,114
UCL522003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,33,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,16,14,24,39,32,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,36,76
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,15,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,19,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,33
UCL522005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,29,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,18,26,26,38,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,0,31,40,78
UCL522006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,64,142,8,7,12,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,96,72,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,19,30,5,13,16,0,0,5,119,102,221
UCL522007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,50,7,7,7,0,0,0,0,0,0,0,0,0,5,0,5,5,9,9,37,41,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,19,24,0,0,0,49,55,105
UCL522008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,54,5,3,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,6,30,32,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,39,35,74
UCL522009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,64,142,0,6,9,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,83,69,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,11,8,19,4,0,6,103,92,191
UCL522010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,55,122,4,4,7,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,71,67,132,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,12,10,17,0,0,0,91,74,167
UCL522011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,44,99,4,0,3,5,0,5,0,0,0,4,0,7,4,0,4,3,8,11,68,55,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,0,0,0,77,63,142
UCL522012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,51,116,10,8,14,6,0,6,0,0,0,0,0,0,0,0,0,6,9,13,90,61,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,24,26,45,0,0,0,121,95,220
UCL522013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,63,127,0,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,75,70,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,12,10,20,3,0,4,96,89,185
UCL522014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,47,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,10,22,0,0,0,52,36,88
