LGA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
LGA48830,5130,10661,112,179,32,59,142,237,26,40,0,0,0,0,0,0,0,0,29,40,177,307,66,117,0,0,18,50,266,467,22,30,5586,11430,4708,..,10294,11430
LGA49399,1073,2262,16,26,4,0,17,31,27,42,0,0,0,0,0,0,10,26,35,62,159,301,39,65,96,186,11,16,311,564,280,478,1716,3408,1058,..,2771,3408
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
LGA50080,13967,33814,1052,1575,125,188,1175,1766,52,75,0,0,0,0,0,0,25,48,74,122,145,229,156,217,92,97,7,13,401,547,53,92,15664,36346,2295,..,17961,36346
LGA50210,30340,85366,2960,5476,54,103,3014,5577,156,238,59,90,0,0,0,0,36,92,252,418,116,151,139,186,32,39,20,50,312,419,43,87,33956,91866,2329,..,36279,91866
LGA50250,1702,4701,99,160,9,8,100,171,46,71,10,8,0,0,0,0,0,5,54,85,750,1426,41,73,17,42,0,0,808,1544,192,295,2862,6798,824,..,3681,6798
LGA50280,5972,14736,199,311,109,180,307,494,39,74,0,0,0,0,0,0,6,7,44,78,91,157,90,219,43,48,7,13,231,435,56,116,6612,15855,2240,..,8852,15855
LGA50350,5174,12883,962,1721,166,329,1137,2055,199,292,43,50,58,90,0,0,7,16,305,448,0,0,0,0,4,10,5,9,8,11,10,24,6632,15421,545,..,7179,15421
LGA50420,20382,51576,3511,6704,2145,4052,5655,10751,1473,2300,611,942,499,717,362,588,14,26,2961,4575,0,0,0,0,25,24,9,15,34,39,38,69,29068,67011,3075,..,32142,67011
LGA50490,11613,28868,2156,4184,1536,3165,3697,7342,638,1036,628,1005,518,816,803,1378,16,36,2604,4273,27,38,4,12,8,5,9,6,42,63,41,70,17996,40625,2329,..,20327,40625
LGA50560,724,1545,15,20,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,7,9,6,6,18,28,4,16,767,1603,208,..,966,1603
LGA50630,629,1534,28,40,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,5,4,0,0,15,23,6,3,670,1595,157,..,832,1595
LGA50770,753,1725,8,11,0,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,0,0,7,8,0,3,763,1755,159,..,922,1755
LGA50840,2106,4789,60,83,0,0,60,83,7,7,0,0,0,0,0,0,0,0,7,7,23,35,13,18,0,0,0,3,37,51,11,22,2217,4954,463,..,2682,4954
LGA50910,358,822,9,25,0,0,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,851,104,..,476,851
LGA50980,4694,14017,616,1290,272,509,886,1803,138,298,0,0,0,0,0,0,3,5,147,306,2288,4875,12,31,118,257,35,82,2461,5239,310,599,8495,21966,843,..,9343,21966
LGA51080,406,998,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,421,1017,157,..,577,1017
LGA51120,340,793,20,23,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,10,11,17,21,47,393,881,30,..,419,881
LGA51190,10653,25204,2314,3582,471,860,2785,4449,373,577,123,194,24,35,36,60,6,10,561,879,91,131,42,59,43,45,9,23,190,258,38,62,14228,30857,1696,..,15925,30857
LGA51260,14056,34945,1262,2087,247,497,1507,2590,42,64,0,0,20,33,0,0,31,64,85,158,130,241,224,347,72,102,15,51,438,735,50,93,16136,38519,5110,..,21248,38519
LGA51310,7750,22601,594,1146,648,1342,1234,2483,406,611,405,658,607,888,196,321,10,15,1626,2488,0,0,0,0,4,4,0,4,3,9,16,29,10634,27608,865,..,11497,27608
LGA51330,27272,77385,4970,11193,777,1916,5751,13112,987,2117,62,120,218,404,115,179,49,110,1425,2932,27,38,0,0,9,11,19,67,65,118,72,121,34578,93671,2638,..,37214,93671
LGA51400,6186,16891,192,307,15,17,203,325,75,96,0,0,0,0,0,0,0,0,75,96,10,23,7,15,4,0,0,11,25,50,12,23,6496,17382,605,..,7105,17382
LGA51470,253,506,24,23,0,0,24,23,5,4,0,0,0,0,0,0,0,0,5,4,11,11,0,0,6,6,0,0,13,16,7,9,300,553,70,..,370,553
LGA51540,1593,4096,271,480,35,68,310,550,67,98,0,0,0,0,0,0,0,4,71,99,1125,2327,40,79,37,67,0,3,1207,2484,133,266,3306,7500,432,..,3738,7500
LGA51610,548,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,60,0,3,3,3,3,9,44,80,3,7,594,1533,98,..,694,1533
LGA51680,2052,5542,4,11,0,3,6,14,14,27,0,0,0,0,0,0,0,0,17,29,3,4,4,3,3,0,0,0,11,11,7,8,2092,5604,310,..,2402,5604
LGA51710,223,581,95,228,15,41,111,264,94,151,54,155,9,20,0,0,0,0,152,329,0,0,0,0,0,0,0,0,3,3,6,11,499,1188,109,..,607,1188
LGA51750,2115,5805,627,1415,420,893,1042,2312,259,399,256,340,665,1110,259,405,0,0,1434,2260,0,0,0,0,0,0,0,0,0,0,3,9,4603,10390,641,..,5240,10390
LGA51820,36329,99189,4372,8072,1017,2006,5387,10085,682,992,924,1411,1032,1676,308,473,78,158,3030,4705,22,27,272,402,70,83,5,5,361,518,64,96,45173,114592,3219,..,48394,114592
LGA51860,159,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,10,11,168,596,23,..,190,596
LGA51890,3374,7911,123,182,0,0,123,182,116,170,0,0,0,0,0,0,0,8,112,170,19,35,0,3,8,12,5,9,32,59,12,26,3653,8350,462,..,4111,8350
LGA51960,1238,2938,72,126,53,62,128,191,32,43,0,0,0,0,0,0,0,0,32,43,19,32,4,3,6,9,3,6,29,41,30,47,1456,3263,325,..,1786,3263
LGA52030,475,973,15,14,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,17,36,0,0,0,0,0,0,19,39,9,20,519,1050,427,..,945,1050
LGA52100,398,879,14,17,5,10,24,30,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,4,8,15,0,0,427,925,68,..,501,925
LGA52170,2111,5774,144,296,245,520,391,821,178,291,366,540,92,151,0,0,3,9,642,993,0,0,0,0,0,0,0,0,0,0,3,3,3138,7593,475,..,3609,7593
LGA52240,442,1001,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8,5,8,10,0,0,0,3,11,18,8,10,468,1029,143,..,614,1029
LGA52310,388,842,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,4,5,12,0,0,397,856,84,..,485,856
LGA52380,88,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,93,0,0,3,4,0,0,66,96,13,19,161,273,37,..,206,273
LGA52450,469,1141,13,17,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,7,0,0,0,0,11,11,0,3,492,1171,169,..,658,1171
LGA52520,471,1237,14,20,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,4,3,9,34,22,50,8,19,519,1324,87,..,610,1324
LGA52590,1295,2834,32,68,8,13,44,84,5,14,0,0,0,0,0,0,0,0,5,14,72,137,13,23,34,71,3,9,125,238,21,41,1496,3211,1286,..,2787,3211
LGA52660,5084,13122,317,541,4,12,322,549,16,20,0,0,0,0,0,0,0,3,16,20,54,73,92,130,5,4,0,0,151,207,9,15,5578,13922,469,..,6048,13922
LGA52730,2417,5411,181,396,3,11,184,407,0,4,0,0,0,0,0,0,0,0,3,3,29,63,23,41,72,79,0,0,124,188,13,32,2745,6044,905,..,3643,6044
LGA52800,1976,5925,191,315,10,17,201,334,0,3,0,0,0,0,0,0,0,0,4,8,655,1307,5,6,56,89,22,52,729,1449,134,253,3043,7970,492,..,3536,7970
LGA52870,2361,5625,45,77,3,4,43,78,10,7,0,0,0,0,0,0,0,4,6,12,13,50,6,6,15,21,4,4,35,84,18,32,2470,5830,340,..,2808,5830
LGA52940,298,644,4,12,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,17,0,0,0,0,14,18,0,3,322,679,103,..,424,679
LGA53010,266,612,6,10,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,3,4,279,637,56,..,339,637
LGA53080,292,532,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,30,47,0,3,8,10,0,0,38,60,34,58,372,660,246,..,614,660
LGA53150,1982,5485,233,494,335,687,570,1182,60,91,163,229,182,289,35,65,4,3,449,675,0,0,0,0,3,3,9,20,18,27,3,4,3022,7377,296,..,3321,7377
LGA53220,1817,5205,43,65,27,40,73,103,82,93,0,0,0,0,0,0,0,0,82,93,326,628,4,0,37,68,0,0,371,703,119,168,2456,6268,1098,..,3550,6268
LGA53290,4837,11764,432,704,46,84,478,788,111,149,0,3,0,0,0,0,4,3,115,154,128,212,41,60,36,51,3,9,207,347,78,202,5720,13245,1091,..,6808,13245
LGA53360,1082,2986,29,62,13,27,42,85,69,96,0,0,0,0,0,0,0,4,71,96,1042,2211,60,149,56,122,16,54,1177,2533,37,78,2404,5777,247,..,2652,5777
LGA53430,8152,20201,1557,2777,1556,2936,3115,5707,415,593,612,948,1258,2029,69,97,51,102,2391,3763,3,6,169,265,93,93,26,54,297,423,46,71,14005,30167,1680,..,15687,30167
LGA53570,2104,4891,43,90,8,14,53,107,26,34,0,0,0,0,0,0,0,0,28,35,46,79,20,34,7,13,4,0,72,121,9,19,2268,5177,1827,..,4096,5177
LGA53640,470,1141,4,4,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,5,5,8,0,0,0,0,0,0,8,13,3,10,488,1178,179,..,665,1178
LGA53710,397,869,29,41,0,0,28,46,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,11,10,0,0,429,919,90,..,525,919
LGA53780,39238,112849,3459,6673,525,1032,3983,7700,520,1007,278,483,0,0,0,0,56,122,855,1612,135,182,3,0,31,34,68,132,247,354,56,86,44372,122611,2725,..,47097,122611
LGA53800,13318,33638,1417,2287,337,660,1757,2947,265,417,15,22,4,7,0,0,13,18,299,465,298,533,55,90,82,99,18,33,447,757,90,159,15910,37967,2057,..,17969,37967
LGA53920,862,3038,79,169,20,16,91,182,10,27,0,0,0,0,0,0,0,0,10,27,302,613,0,0,46,107,5,15,355,732,105,186,1430,4172,202,..,1639,4172
LGA53990,9835,26058,366,601,11,36,379,633,50,87,0,0,0,0,0,0,0,4,50,91,181,266,80,105,63,72,20,32,341,482,22,32,10626,27301,1232,..,11863,27301
LGA54060,1378,3140,95,135,61,130,159,270,39,56,0,0,0,0,0,0,0,0,39,56,65,127,60,103,10,7,3,14,137,256,24,39,1746,3756,410,..,2155,3756
LGA54130,447,1026,17,21,0,0,17,21,0,0,0,4,0,0,0,0,0,0,0,4,28,48,3,13,0,0,6,7,35,57,11,12,503,1120,398,..,899,1120
LGA54170,51879,142157,3738,6569,1337,2721,5074,9293,495,713,495,795,522,863,0,0,88,166,1595,2534,100,147,10,16,116,113,22,52,247,338,48,84,58848,154402,3288,..,62144,154402
LGA54200,20462,54050,1015,1647,82,144,1093,1795,50,80,0,0,0,0,0,0,41,91,96,173,36,85,109,158,75,104,36,96,262,441,29,60,21938,56510,1374,..,23315,56510
LGA54280,8778,23473,1588,2905,248,541,1837,3447,140,217,0,0,0,0,0,0,3,6,141,219,111,168,481,728,75,79,24,35,688,1005,54,103,11495,28243,1686,..,13189,28243
LGA54310,5730,17285,990,2026,188,335,1177,2356,171,275,83,114,57,102,192,280,0,0,501,774,531,1095,110,188,32,63,10,28,684,1370,199,330,8287,22118,1721,..,10014,22118
LGA54340,1439,3671,145,235,4,3,144,240,4,10,0,0,0,0,0,0,0,4,7,10,7,9,0,0,0,0,0,0,3,9,6,12,1602,3937,226,..,1831,3937
LGA54410,440,985,13,19,0,0,13,19,18,24,0,0,0,0,0,0,0,0,18,24,3,6,7,10,0,0,6,3,13,17,10,15,487,1058,132,..,619,1058
LGA54480,186,455,4,14,0,0,4,14,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,200,474,67,..,262,474
LGA54550,760,1736,28,47,0,0,28,47,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,4,0,0,9,13,10,9,810,1804,220,..,1028,1804
LGA54620,345,758,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,4,3,18,38,4,3,0,0,0,5,25,45,3,3,381,818,84,..,460,818
LGA54690,168,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,0,0,170,348,81,..,246,348
LGA54760,292,679,3,15,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,5,13,5,6,303,715,85,..,394,715
LGA54830,15129,41395,482,832,94,171,584,999,359,504,222,379,11,8,0,0,11,27,603,911,0,4,0,0,33,38,4,3,38,43,19,35,16373,43395,1242,..,17616,43395
LGA54900,486,1131,16,19,0,3,18,19,9,5,0,0,0,0,0,0,0,0,9,5,8,14,12,14,0,0,0,4,26,32,6,8,537,1197,204,..,743,1197
LGA54970,193,513,24,45,0,0,24,45,5,3,0,0,0,0,0,0,0,4,4,4,21,25,0,0,0,8,0,0,20,31,37,55,287,652,92,..,379,652
LGA55040,334,848,52,65,0,0,52,65,33,63,0,0,0,0,0,0,3,3,39,68,74,131,0,0,0,3,16,22,88,161,36,59,547,1201,264,..,815,1201
LGA55110,30586,74928,3672,5614,1133,1911,4807,7526,468,675,203,378,212,385,170,321,38,59,1087,1821,93,138,144,193,54,64,15,12,305,413,42,66,36833,84745,7267,..,44094,84745
LGA55180,3533,8149,213,268,4,4,213,276,25,33,0,0,0,0,0,0,5,8,29,40,23,44,5,11,17,30,0,0,44,84,52,67,3877,8611,1129,..,5000,8611
LGA55250,279,714,21,35,0,0,21,35,18,34,0,0,0,0,0,0,0,0,18,34,77,139,4,5,11,11,4,13,89,161,44,72,444,1019,136,..,584,1019
LGA55320,29867,81521,6077,11185,1355,3105,7432,14288,923,1402,428,639,639,1098,182,297,44,87,2219,3522,0,0,0,3,16,18,4,14,20,35,50,110,39588,99468,3297,..,42881,99468
LGA55390,53,121,0,0,0,0,0,0,12,26,0,0,0,0,0,0,0,0,12,26,36,56,3,3,5,9,3,5,41,71,26,32,138,252,90,..,229,252
LGA55460,1239,2830,60,99,0,0,65,98,6,13,0,0,0,0,0,0,0,0,6,13,32,29,0,0,0,0,0,9,32,40,7,18,1351,2999,271,..,1623,2999
LGA55530,171,388,3,8,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,45,85,5,12,6,14,0,8,62,123,5,9,239,523,28,..,268,523
LGA55600,857,2009,64,100,0,0,64,100,0,0,0,0,0,0,0,0,0,0,0,0,14,28,18,37,0,0,0,4,36,71,10,20,963,2190,186,..,1148,2190
LGA55670,230,542,6,23,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,32,66,0,0,0,0,0,0,32,66,13,15,278,649,33,..,320,649
LGA55740,2231,6331,302,533,235,447,538,981,91,130,376,504,412,622,45,75,0,0,925,1329,0,0,0,0,3,5,0,0,3,6,4,7,3702,8649,413,..,4113,8649
LGA55810,253,550,6,11,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,37,64,0,0,6,8,0,11,50,87,10,18,316,662,83,..,398,662
LGA55880,190,413,6,8,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,3,8,4,3,205,436,110,..,314,436
LGA55950,242,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,5,9,0,0,0,0,9,15,0,0,256,594,74,..,329,594
LGA56090,13365,34723,538,799,5,12,539,811,3,9,0,0,0,0,0,0,16,37,22,45,19,33,4,4,4,4,3,11,30,50,18,38,13971,35663,974,..,14945,35663
LGA56160,21,48,4,20,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,32,65,0,0,0,0,0,0,32,65,12,27,72,159,0,..,79,159
LGA56230,6488,16207,264,413,27,43,286,458,11,8,0,0,0,0,0,0,8,22,19,25,207,301,27,48,16,47,3,11,251,403,18,41,7075,17141,1117,..,8191,17141
LGA56300,661,1434,8,16,0,5,10,21,17,20,0,0,0,0,0,0,0,0,24,22,8,17,14,24,3,0,0,10,24,53,3,4,722,1527,282,..,1007,1527
LGA56370,298,686,22,30,0,0,22,30,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,0,0,3,15,0,4,325,732,72,..,395,732
LGA56460,1834,4166,159,230,0,0,159,230,6,10,0,0,0,0,0,0,0,0,5,15,8,13,0,0,10,10,4,11,26,33,0,3,2026,4437,366,..,2391,4437
LGA56580,6309,18447,551,1050,390,792,940,1845,301,523,38,49,162,294,0,0,6,23,509,892,0,0,0,0,0,0,0,0,4,0,11,14,7771,21198,617,..,8396,21198
LGA56620,360,1264,27,48,0,0,27,48,0,3,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,3,0,0,11,10,37,49,436,1378,164,..,599,1378
LGA56730,4188,10087,180,291,11,14,186,304,13,26,0,0,0,0,0,0,7,10,17,33,19,39,14,21,5,11,0,0,46,64,18,46,4456,10536,757,..,5217,10536
LGA56790,1244,2785,91,168,48,87,134,247,15,12,0,0,0,0,0,0,0,3,16,20,369,783,16,35,14,17,7,12,404,844,83,172,1880,4072,478,..,2361,4072
LGA56860,106,225,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,115,235,18,..,130,235
LGA56930,415,1221,8,13,56,95,62,108,19,44,39,54,0,0,0,0,0,0,67,93,0,0,0,0,0,0,0,0,0,0,0,3,540,1432,73,..,613,1432
LGA57000,164,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,19,21,0,0,0,0,35,46,9,17,209,452,42,..,249,452
LGA57080,389,972,63,126,802,1771,861,1887,524,974,1782,2995,4025,6893,5890,10199,0,3,12228,21067,3,3,0,0,360,360,0,0,366,370,54,79,13900,24378,3624,..,17527,24378
LGA57140,459,976,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,987,89,..,553,987
LGA57210,2114,4943,29,43,0,0,29,43,9,11,0,0,0,0,0,0,0,0,11,9,24,28,11,18,0,0,3,6,34,57,9,19,2187,5074,477,..,2662,5074
LGA57280,3944,11238,808,1758,313,727,1129,2487,419,618,137,204,148,225,0,0,0,0,705,1055,188,359,189,285,103,126,43,107,514,885,127,242,6418,15897,1501,..,7919,15897
LGA57350,406,879,9,11,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,10,426,904,71,..,496,904
LGA57420,840,1799,11,21,0,0,11,21,9,10,3,4,0,0,0,0,0,0,12,13,27,43,5,8,3,14,7,14,44,83,8,15,910,1920,485,..,1398,1920
LGA57490,45323,121389,2258,3438,626,1014,2882,4453,1127,1612,208,301,318,481,34,54,39,100,1720,2542,177,272,113,167,42,44,54,82,392,566,64,130,50382,129085,4486,..,54871,129085
LGA57630,44,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,51,0,0,5,0,0,0,25,54,3,11,75,147,17,..,94,147
LGA57700,10290,30210,82,159,0,0,82,159,15,20,0,0,0,0,0,0,21,41,35,57,13,17,95,152,3,17,17,30,127,215,27,49,10555,30691,673,..,11230,30691
LGA57770,355,796,27,46,3,16,34,56,8,15,0,0,0,0,0,0,0,0,8,15,597,1287,38,75,53,106,3,11,695,1487,42,58,1133,2412,146,..,1281,2412
LGA57840,8956,23951,2862,5095,3603,6938,6466,12033,971,1631,840,1281,621,1061,562,907,7,15,2996,4895,0,0,0,0,0,0,4,4,6,5,30,46,18454,40926,2401,..,20851,40926
LGA57910,53935,142823,23152,44372,7135,15058,30285,59427,5751,9203,2392,3996,1012,1602,340,600,47,105,9550,15502,80,147,28,55,46,64,13,19,166,285,82,145,94013,218185,8087,..,102101,218185
LGA57980,3513,9267,308,602,1096,2157,1406,2761,757,1224,974,1436,1156,1808,36,65,0,3,2922,4538,0,0,0,0,9,14,10,15,22,28,4,7,7872,16601,945,..,8820,16601
LGA58050,48282,136425,3952,7288,978,1810,4931,9098,402,632,375,582,110,181,63,91,74,137,1025,1625,105,170,173,244,410,428,28,53,715,894,117,217,55068,148260,3795,..,58859,148260
LGA58190,168,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,374,71,..,238,374
LGA58260,218,514,14,18,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,3,4,0,0,10,16,7,12,253,560,69,..,313,560
LGA58330,1897,4251,12,22,0,0,12,22,0,0,0,0,0,0,0,3,0,4,0,6,18,23,18,25,6,8,0,0,45,64,13,18,1970,4353,403,..,2377,4353
LGA58400,141,255,3,5,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,150,276,98,..,248,276
LGA58470,39,117,3,11,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,69,132,0,0,4,9,6,8,73,151,16,36,136,310,24,..,159,310
LGA58510,8677,21018,2508,4926,1427,2889,3938,7816,948,1619,761,1216,1178,1825,658,1188,0,0,3545,5849,0,0,0,0,16,18,6,7,21,24,27,46,16209,34760,1771,..,17982,34760
LGA58540,321,705,7,7,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0,0,0,0,0,15,31,7,15,349,762,56,..,407,762
LGA58570,7610,19442,1491,2954,2045,4146,3536,7100,1032,1595,1815,2888,2048,3226,31,50,12,16,4935,7773,0,0,0,0,50,48,58,113,108,165,28,51,16224,34529,1937,..,18159,34529
LGA58610,707,1558,40,41,0,0,38,46,4,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,3,5,4,5,9,4,8,760,1622,125,..,886,1622
LGA58680,222,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,4,3,0,0,228,514,31,..,260,514
LGA58760,67535,191835,4562,8327,749,1423,5310,9752,89,143,154,257,3,7,0,0,78,170,323,578,130,157,24,34,68,96,16,47,244,334,53,107,73463,202610,4561,..,78029,202610
LGA58820,1536,3679,101,164,0,0,105,166,0,0,0,0,0,0,0,0,0,3,0,3,23,39,0,0,3,10,8,10,35,59,15,23,1692,3932,525,..,2216,3932
LGA58890,323,726,11,12,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,5,6,336,752,41,..,376,752
LGA59030,113,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,115,242,30,..,147,242
LGA59100,269,625,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,629,56,..,333,629
LGA59170,388,950,14,23,0,0,14,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,5,5,7,412,986,90,..,503,986
LGA59250,112,282,13,24,0,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,3,7,0,0,10,12,18,26,156,350,113,..,264,350
LGA59310,527,1159,25,47,0,0,25,47,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,4,0,5,0,0,15,31,3,6,577,1241,104,..,680,1241
LGA59320,180,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,430,47,..,221,430
LGA59330,232,434,6,9,0,0,6,9,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,240,442,116,..,356,442
LGA59340,1798,5339,277,621,36,84,311,707,153,344,0,0,0,0,0,0,0,0,153,344,1190,2240,39,74,68,157,58,162,1354,2630,190,339,3806,9356,505,..,4315,9356
LGA59350,61,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,0,0,3,3,0,0,23,37,28,46,116,228,21,..,136,228
LGA59360,422,816,32,41,0,0,32,41,0,0,0,0,0,0,0,0,0,0,3,0,18,27,0,0,3,8,0,0,22,32,14,10,485,902,214,..,704,902
LGA59370,1485,3155,41,73,3,12,46,84,9,15,0,0,0,0,0,0,0,0,9,15,11,20,3,11,6,5,0,4,23,30,27,34,1587,3316,280,..,1869,3316
LGA59799,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
LGA60210,2973,6051,62,81,34,83,95,162,95,140,0,0,0,0,0,0,0,0,95,140,89,140,24,54,7,9,0,4,125,205,24,35,3313,6599,1520,..,4829,6599
LGA60410,6359,17209,103,174,30,68,133,243,691,1249,0,0,0,0,0,0,11,29,701,1274,0,13,0,0,0,0,0,0,6,12,4,11,7206,18744,324,..,7532,18744
LGA60610,7593,18003,521,773,161,260,689,1033,64,85,46,55,50,80,0,0,0,8,161,215,3,6,0,0,23,28,13,30,46,60,13,17,8491,19322,752,..,9236,19322
LGA60810,8650,20426,759,1057,31,61,781,1122,26,30,0,0,0,0,0,0,8,23,33,55,102,144,45,70,10,9,24,46,185,264,18,30,9671,21899,733,..,10404,21899
LGA61010,1105,2360,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,16,18,10,13,18,30,4,0,0,11,33,58,14,24,1166,2460,1570,..,2738,2460
LGA61210,3140,7528,120,159,4,23,131,181,31,59,0,0,0,0,0,0,0,3,33,66,17,32,10,23,3,10,10,26,34,86,7,13,3342,7875,687,..,4037,7875
LGA61410,22610,56261,867,1328,388,682,1256,2003,203,306,75,115,0,0,0,0,19,50,301,475,75,121,60,96,0,0,14,32,150,248,49,90,24363,59073,1492,..,25855,59073
LGA61510,4083,10259,120,173,31,49,151,224,72,120,0,0,0,0,0,0,0,5,71,124,51,77,5,14,0,3,13,20,69,112,7,11,4375,10722,353,..,4729,10722
