LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50350,152,133,286,422,348,769,123,132,257,71,68,134,619,550,1167,231,228,452,116,107,215,100,90,190,447,416,863,27,39,69,27,38,63,44,24,69,52,109,162,0,0,0,155,209,367,101,142,249,45,73,118,32,24,56,86,125,207,0,0,3,263,370,633,417,586,997,20,20,34,43,56,105,0,0,0,64,72,140,373,331,703,8,16,26,2084,2104,4183
LGA50420,623,566,1189,1476,1348,2824,648,612,1258,208,248,456,2335,2213,4544,1020,850,1867,637,582,1221,307,301,606,1963,1735,3698,185,135,319,199,273,479,145,76,223,278,400,675,7,4,7,810,891,1703,732,868,1600,385,423,809,134,148,281,361,568,930,6,0,15,1620,2017,3631,2431,2910,5342,124,107,228,197,286,483,3,5,9,323,396,720,1341,1246,2590,47,67,115,9073,9134,18207
LGA50490,320,279,602,767,704,1471,419,417,846,216,244,460,1405,1372,2780,519,513,1030,326,278,607,184,162,340,1028,952,1973,144,118,260,145,250,390,102,54,156,191,326,520,0,3,3,581,746,1329,392,519,906,267,315,585,84,106,191,201,281,485,4,0,7,950,1227,2175,1539,1981,3519,115,102,216,135,164,297,5,4,8,251,272,520,1435,1251,2691,96,57,159,6077,6165,12236
LGA50560,8,5,13,34,52,85,3,0,9,0,0,0,45,50,87,12,18,31,4,8,14,0,0,0,17,34,46,0,0,0,0,4,3,0,0,3,4,6,12,0,0,0,6,13,17,0,4,5,0,3,4,0,0,0,0,3,0,0,0,0,3,6,8,11,22,30,5,7,7,4,4,6,0,0,0,5,11,15,96,94,190,0,5,4,179,215,395
LGA50630,17,16,32,80,74,155,0,0,0,0,3,10,83,76,165,44,35,77,6,0,7,3,4,11,48,44,91,0,0,7,0,0,0,9,6,13,6,9,14,0,0,0,16,16,30,0,0,4,0,3,3,0,0,0,8,4,14,0,0,0,12,14,25,28,24,49,4,7,8,0,5,11,0,0,0,7,13,13,75,71,144,4,0,5,261,234,498
LGA50770,14,14,33,46,41,91,28,30,50,3,0,3,75,69,145,33,40,70,5,8,14,0,0,0,34,51,88,0,0,0,0,0,5,0,3,3,0,11,14,0,0,0,5,11,20,0,7,11,0,3,3,0,0,0,0,4,4,0,0,0,0,8,16,9,25,28,0,0,0,0,7,13,0,0,0,3,7,13,100,87,185,0,0,0,237,255,495
LGA50840,28,40,71,133,117,249,82,59,139,10,4,15,217,179,398,125,128,245,12,40,49,5,7,11,139,172,309,4,3,8,0,12,8,12,15,28,12,29,38,0,0,0,36,59,93,0,5,9,3,8,14,0,4,9,7,22,33,0,0,0,10,36,54,47,97,143,3,4,11,7,11,15,0,0,0,8,14,29,204,162,372,0,3,9,653,673,1328
LGA50910,6,4,18,28,35,65,0,3,3,0,0,0,29,40,70,9,13,19,0,0,0,0,0,0,9,11,20,0,0,0,0,0,0,3,0,3,6,5,11,0,0,0,4,10,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,7,3,13,17,0,0,0,0,0,0,0,0,0,0,0,0,43,36,80,0,0,0,97,114,209
LGA50980,170,150,318,725,665,1393,246,206,444,34,47,81,1000,914,1920,370,395,765,139,150,293,20,19,40,532,563,1102,15,23,33,17,14,32,37,31,70,72,154,224,0,0,0,136,224,358,24,81,111,20,79,102,0,28,34,58,179,244,0,0,0,109,380,487,251,601,846,24,28,55,23,58,73,0,0,0,47,87,137,1774,1862,3631,79,102,181,3852,4278,8128
LGA51080,7,3,10,40,63,101,7,0,7,0,0,3,49,63,111,15,19,34,0,0,0,0,4,3,20,17,36,3,0,5,0,0,0,0,0,4,0,15,14,0,0,0,4,18,22,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,4,5,7,8,18,28,0,0,0,0,4,4,0,0,0,0,6,7,55,73,128,0,0,0,139,183,319
LGA51120,11,7,18,29,34,66,5,0,3,6,0,6,38,42,76,18,25,47,0,0,0,0,0,0,18,25,47,4,0,4,0,0,0,3,3,5,0,4,11,0,0,0,6,10,19,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,7,9,9,10,24,0,0,0,0,0,0,0,0,0,0,0,6,94,60,153,0,0,0,172,138,315
LGA51190,264,233,503,870,760,1629,184,205,394,131,111,243,1190,1072,2266,632,652,1291,224,217,442,113,134,254,969,1010,1983,57,55,114,45,89,133,116,66,186,79,173,254,0,0,3,306,387,691,36,112,143,48,106,149,17,40,55,72,176,250,0,0,0,165,427,596,472,815,1285,25,37,59,71,103,173,4,0,4,94,143,238,1488,984,2472,27,24,52,4506,4293,8797
LGA51260,326,329,657,1088,971,2067,407,403,805,316,315,634,1815,1696,3510,792,696,1484,367,416,780,326,331,660,1489,1440,2927,64,33,98,25,83,113,141,79,222,113,226,341,0,0,3,346,426,772,36,109,142,31,113,144,11,33,41,68,254,327,0,0,0,148,509,658,493,939,1429,39,37,75,62,138,197,0,5,5,104,175,277,1090,1160,2252,40,38,74,5358,5776,11137
LGA51310,277,235,508,979,961,1935,210,209,417,224,186,410,1417,1360,2774,556,490,1047,326,309,641,509,423,929,1396,1218,2618,30,34,68,32,48,85,37,19,58,60,89,155,0,0,0,162,199,355,536,563,1100,112,151,262,68,97,163,169,263,428,0,0,0,881,1069,1958,1052,1269,2318,24,30,54,59,86,149,0,3,3,83,119,203,286,364,646,34,34,65,4542,4587,9134
LGA51330,771,769,1536,3236,2961,6194,475,466,945,422,410,832,4139,3838,7976,2755,2576,5326,405,379,785,414,435,847,3577,3390,6973,428,271,694,369,464,836,252,127,374,365,587,946,4,8,9,1414,1450,2866,1954,2109,4053,900,899,1802,237,255,492,383,563,946,5,10,16,3478,3832,7309,4903,5291,10200,276,276,549,223,333,561,9,7,10,506,611,1125,1642,1580,3229,181,161,342,15717,15654,31375
LGA51400,158,168,320,574,554,1127,137,130,273,232,205,443,949,900,1842,469,450,922,140,161,295,260,231,487,865,839,1709,29,33,66,17,41,54,88,42,131,52,130,180,0,0,0,184,242,432,27,70,96,22,52,71,13,15,26,50,134,183,0,0,0,110,268,379,290,514,809,18,24,44,30,62,94,3,0,6,52,87,143,356,366,728,3,6,9,2678,2883,5563
LGA51470,3,3,8,11,13,24,0,0,0,0,0,0,11,13,24,3,3,11,0,0,0,0,0,0,7,3,14,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,11,11,0,0,0,0,0,0,0,0,0,0,0,0,49,48,92,6,4,5,71,78,150
LGA51540,57,58,115,104,113,218,98,82,181,38,33,73,238,228,472,68,43,112,47,47,93,11,4,10,127,94,219,0,3,5,3,9,6,12,6,18,16,30,49,0,0,0,29,45,81,3,9,13,3,4,5,4,3,7,18,29,47,0,0,0,24,41,61,51,92,147,5,0,9,8,13,29,0,0,0,20,16,34,628,538,1163,75,32,109,1193,1065,2256
LGA51610,10,9,21,39,20,59,24,20,46,11,14,28,73,61,132,26,15,37,20,29,48,3,10,17,52,51,106,6,4,4,0,0,5,8,3,10,0,7,8,0,0,0,15,12,28,0,3,4,0,3,0,0,0,0,3,14,15,0,0,0,10,14,20,21,33,52,4,0,4,0,0,0,0,0,0,6,0,6,97,97,198,0,0,0,253,253,512
LGA51680,27,30,64,139,139,278,73,83,153,40,36,79,245,264,508,121,97,213,92,83,170,33,56,83,242,229,469,9,5,13,0,5,8,30,11,44,7,24,32,0,0,0,49,50,102,16,29,41,4,6,11,0,18,20,10,28,34,0,0,0,29,78,106,77,125,205,9,11,14,7,21,30,0,0,3,17,27,47,210,195,405,6,5,8,827,875,1704
LGA51710,14,11,26,66,58,122,0,0,0,0,0,0,66,58,122,35,51,85,0,0,0,0,0,0,38,51,84,0,0,0,4,0,4,3,3,5,13,7,21,0,0,0,21,13,31,0,0,0,0,3,3,0,0,4,3,3,8,0,0,3,10,8,21,28,23,53,0,0,0,3,3,10,0,0,0,0,3,9,429,168,594,3,0,5,583,311,889
LGA51750,79,76,155,241,226,468,34,50,89,125,100,219,398,378,778,106,87,187,53,95,152,432,279,713,595,464,1057,14,9,29,11,14,25,17,6,18,19,54,69,0,0,0,54,92,145,247,273,524,73,73,153,30,30,63,82,95,178,0,0,0,436,472,908,488,566,1057,9,10,17,20,38,60,0,0,0,31,45,74,201,249,448,26,19,44,1814,1794,3608
LGA51820,1194,1054,2251,3716,3616,7331,972,1026,1997,397,412,811,5089,5067,10153,2015,1841,3859,1299,1299,2596,600,557,1160,3918,3703,7618,223,223,446,184,303,482,404,219,619,393,687,1082,3,0,9,1205,1434,2638,1018,1503,2522,392,668,1057,212,298,506,505,943,1446,6,4,6,2123,3415,5539,3336,4852,8185,129,114,244,297,465,763,10,5,6,429,585,1009,1996,2000,3994,101,106,213,16076,17358,33433
LGA51860,4,5,8,37,24,58,0,0,0,0,0,0,37,24,58,17,11,26,0,0,0,0,0,0,17,11,26,0,0,0,0,0,0,0,3,3,4,0,3,0,0,0,3,9,9,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,74,74,148,3,0,3,138,123,259
LGA51890,54,80,132,256,212,477,75,67,147,5,3,8,342,294,634,234,188,419,35,34,76,11,20,33,278,249,525,15,20,40,3,11,17,29,23,48,29,46,76,0,0,0,74,100,176,4,23,27,6,19,15,3,3,10,5,16,26,0,0,0,14,56,75,90,159,253,14,11,26,13,23,33,0,0,0,27,38,60,373,337,705,8,3,3,1164,1148,2314
LGA51960,18,31,46,107,91,197,3,14,15,14,14,21,121,117,240,55,57,110,18,23,36,10,10,13,80,78,163,6,8,10,3,3,9,6,0,11,12,24,36,0,0,0,25,36,64,0,3,3,4,3,5,0,0,3,15,9,18,0,0,0,16,19,35,46,54,98,4,6,7,5,12,12,0,0,0,11,14,21,884,422,1303,3,0,3,1157,721,1875
LGA52030,3,6,16,34,19,55,0,0,0,0,0,0,36,18,54,10,12,28,0,0,0,0,0,0,10,12,28,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,5,10,9,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,7,5,8,15,0,0,5,0,0,3,0,0,0,0,0,4,69,57,130,0,0,0,129,114,241
LGA52100,13,11,21,27,49,75,0,0,0,0,0,0,27,49,75,10,9,17,0,0,0,0,0,0,7,13,19,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,10,11,0,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,10,10,3,22,21,0,0,0,0,0,0,0,0,0,0,0,4,35,32,63,0,0,4,87,127,214
LGA52170,65,69,137,174,171,350,23,20,45,86,67,153,280,264,543,61,64,128,38,37,83,227,194,425,327,305,636,8,4,13,10,12,18,8,0,14,15,18,30,0,0,0,39,30,71,164,177,346,38,50,82,25,27,47,38,70,111,0,0,0,265,323,590,308,351,665,0,4,5,13,26,43,0,3,5,20,30,52,131,137,267,27,24,51,1155,1191,2345
LGA52240,6,0,8,39,40,81,3,0,8,8,4,7,51,52,99,14,19,32,0,0,5,0,5,3,19,25,44,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,14,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,6,3,19,22,3,0,3,0,4,4,0,0,0,3,4,3,59,58,113,0,0,0,134,146,286
LGA52310,3,3,7,18,30,49,6,3,8,0,0,0,25,33,60,19,17,31,0,0,0,0,0,4,20,19,38,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,3,3,0,4,4,0,4,4,0,0,0,0,3,3,0,0,0,0,8,8,3,14,13,0,0,0,0,0,3,0,0,0,0,3,4,39,38,79,3,0,3,91,111,201
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,4,5,5,8,7,16,0,0,0,0,0,0,0,0,0,0,0,0,34,16,50,3,0,3,46,24,63
LGA52450,11,13,21,43,49,86,4,4,12,3,3,8,50,61,110,110,62,166,0,3,12,4,8,9,121,70,191,0,3,6,0,4,10,7,4,6,5,7,10,0,0,0,10,19,29,0,0,0,0,0,3,0,4,4,0,5,3,0,0,0,4,11,11,10,24,40,0,0,0,3,0,4,0,0,0,5,3,8,47,46,95,0,0,0,240,223,458
LGA52520,9,13,23,58,44,105,0,0,0,3,3,3,55,50,107,18,21,43,0,0,0,3,8,15,22,31,54,3,0,6,0,0,0,3,0,3,0,5,4,0,0,0,12,4,16,5,0,5,0,4,4,0,0,0,0,7,8,0,0,0,7,9,12,13,18,28,0,0,0,0,5,5,0,0,0,0,5,5,120,104,223,0,0,0,228,216,448
LGA52590,24,21,42,125,86,215,3,0,3,0,0,3,137,88,222,51,43,95,0,0,0,0,0,0,52,44,97,3,7,8,0,3,3,3,0,5,5,11,14,0,0,0,11,16,32,5,3,7,4,3,12,0,0,0,4,6,10,0,0,0,11,19,29,23,33,57,3,3,6,3,3,10,0,0,0,6,12,15,268,186,455,22,9,26,537,386,920
LGA52660,158,131,288,477,413,894,127,111,242,89,81,170,696,608,1302,328,327,653,88,114,201,68,73,142,483,518,999,36,24,58,15,39,55,65,27,93,45,83,123,0,3,0,158,178,327,19,34,50,5,33,41,5,20,20,32,74,106,0,0,0,62,166,224,219,339,553,12,18,35,23,45,69,0,0,0,41,67,108,343,346,688,9,9,17,1942,2016,3959
LGA52730,53,48,100,170,147,321,0,5,3,58,60,120,235,210,444,205,215,419,4,7,9,12,17,32,223,241,463,15,8,20,8,7,12,20,5,26,16,51,72,0,0,0,60,71,133,0,5,8,4,13,23,0,7,8,9,51,57,0,0,0,17,73,86,80,141,221,11,4,11,8,15,27,0,0,0,19,24,39,331,344,675,5,7,4,937,1011,1950
LGA52800,74,51,129,299,248,552,49,35,81,40,50,95,395,335,731,118,132,249,6,7,16,26,38,66,145,186,325,4,0,6,0,0,0,6,4,10,19,25,44,0,0,0,24,36,63,0,11,12,9,12,20,9,10,14,16,37,52,0,0,0,32,64,100,56,107,162,9,3,11,9,11,16,0,0,0,14,12,29,949,806,1758,15,26,42,1654,1515,3172
LGA52870,40,43,79,155,134,291,65,57,124,22,32,53,242,222,462,99,85,180,44,44,81,37,40,79,174,167,341,12,4,16,4,16,19,19,13,28,7,27,38,0,0,0,36,62,101,3,8,14,0,13,14,3,3,4,6,25,31,0,0,0,21,47,69,54,113,166,5,4,14,4,9,18,0,0,0,8,18,30,192,152,344,7,20,31,719,746,1461
LGA52940,12,8,16,29,25,57,3,0,0,0,0,0,31,29,63,11,7,26,0,0,0,0,0,6,15,10,28,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,6,4,0,7,0,5,5,0,0,0,0,0,0,0,0,0,4,13,7,5,16,17,0,0,0,0,0,0,0,0,0,0,0,0,31,24,52,0,0,0,91,90,180
LGA53010,3,9,10,32,30,57,0,0,0,0,0,0,32,30,57,3,5,10,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,87,49,134,0,0,5,127,105,231
LGA53080,0,0,0,12,11,23,0,0,0,3,0,4,15,9,25,8,8,18,0,0,0,0,0,0,8,4,17,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,6,6,12,0,0,0,5,5,16,15,11,20,0,0,0,0,5,7,0,0,0,0,3,5,151,87,237,9,5,7,203,122,321
LGA53150,62,62,123,230,258,486,29,49,80,32,17,48,289,331,621,125,130,253,112,134,250,77,71,147,313,334,645,12,10,23,12,10,22,12,13,27,13,32,40,0,0,0,53,71,120,118,117,233,33,48,81,22,27,48,26,76,107,0,0,0,204,271,476,254,345,593,9,10,16,11,18,35,0,0,0,21,30,55,129,135,272,34,3,34,1102,1242,2342
LGA53220,65,58,126,292,265,555,6,5,9,38,27,63,340,298,636,148,138,286,0,6,8,27,26,53,179,165,352,16,3,25,22,23,37,30,21,53,106,67,175,0,0,0,177,111,292,4,9,14,24,10,37,6,8,17,104,59,164,0,0,0,144,87,230,319,205,523,7,12,16,19,43,56,0,0,0,23,50,73,5108,1183,6291,95,30,126,6129,1999,8127
LGA53290,100,115,215,467,485,959,49,39,95,35,36,70,556,562,1118,375,352,729,9,13,25,87,87,184,476,458,935,38,38,80,7,11,16,42,37,76,25,97,123,0,3,3,116,181,298,4,33,41,8,23,32,6,8,19,17,45,69,0,0,0,32,119,150,157,296,448,12,9,15,17,34,49,0,0,0,25,42,70,812,680,1495,20,6,28,2148,2161,4309
LGA53360,37,33,72,186,167,349,11,10,27,14,10,25,209,185,399,69,59,129,4,10,9,4,9,12,77,76,151,3,0,4,0,3,3,10,8,13,14,25,43,0,0,0,26,38,64,11,7,19,10,14,26,0,11,11,10,42,52,0,0,0,27,77,100,51,116,167,9,8,18,7,13,22,0,0,0,13,23,39,216,195,414,19,26,45,637,651,1287
LGA53430,246,232,475,673,656,1333,125,144,265,98,100,197,895,902,1798,421,425,843,242,248,490,136,147,277,791,816,1612,34,33,69,31,72,107,57,39,99,109,145,257,0,0,0,230,291,527,309,497,812,166,284,447,72,77,149,211,351,557,3,0,8,764,1205,1968,996,1502,2497,29,25,50,90,121,210,3,0,3,120,145,268,1146,985,2128,107,84,192,4298,4670,8972
LGA53570,30,29,58,137,118,248,18,18,34,28,25,51,175,156,336,59,73,131,29,34,67,45,55,99,140,161,300,0,0,0,0,11,8,15,11,22,15,19,30,0,0,0,32,41,71,6,14,14,0,10,12,0,8,8,8,27,29,0,0,0,17,51,65,45,93,132,0,9,9,3,3,11,0,0,4,11,14,24,213,180,398,29,40,69,638,676,1312
LGA53640,7,8,19,41,43,87,0,0,0,10,6,11,52,48,100,14,11,25,0,3,3,6,5,16,24,20,42,0,0,0,0,0,0,3,0,0,6,6,9,0,0,0,5,7,11,0,0,0,0,5,6,0,0,3,0,0,5,0,0,0,3,9,13,13,14,26,4,0,4,3,7,4,0,0,0,4,3,12,54,45,101,0,0,0,150,146,298
LGA53710,6,3,16,24,28,50,18,24,37,0,0,0,35,49,84,11,11,28,3,5,8,0,0,3,15,19,35,0,0,5,0,0,0,5,0,7,4,5,12,0,0,0,12,11,21,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,12,12,22,0,0,0,0,0,0,0,0,0,0,0,0,54,50,103,0,0,0,123,134,260
LGA53780,1161,1135,2294,4259,4053,8315,743,742,1481,1023,1008,2030,6032,5816,11848,2990,2731,5718,745,699,1452,816,862,1684,4562,4305,8868,388,355,741,314,565,880,414,241,654,434,832,1263,10,11,25,1558,2008,3564,1263,1595,2862,441,579,1025,207,264,479,384,585,969,3,13,12,2308,3038,5339,3877,5045,8920,264,259,524,365,501,871,9,8,16,632,773,1405,3816,2993,6806,142,178,320,20214,20244,40460
LGA53800,344,332,679,970,824,1792,458,491,946,240,259,500,1673,1584,3255,717,660,1379,410,473,883,186,198,387,1319,1335,2654,61,100,164,41,82,117,150,121,279,143,323,466,0,5,0,396,633,1028,29,92,126,22,104,132,19,43,60,85,246,333,3,0,3,161,484,645,558,1119,1676,29,39,68,77,121,194,5,0,3,108,158,268,1892,1746,3640,33,21,52,5928,6299,12226
LGA53920,29,20,59,86,92,172,109,108,212,35,20,50,227,212,434,50,55,103,33,35,69,14,15,26,101,106,203,0,5,5,0,5,6,3,0,4,5,3,10,0,0,0,8,14,22,0,0,0,4,6,8,3,4,3,7,13,22,0,0,0,17,25,41,24,35,59,0,0,3,0,0,0,0,0,0,0,3,3,400,321,721,16,14,25,795,708,1504
LGA53990,260,225,489,1018,919,1938,246,228,481,154,125,283,1423,1285,2701,828,787,1613,246,239,485,123,146,269,1197,1170,2362,47,49,96,17,60,79,110,64,174,77,174,251,5,0,5,255,351,603,25,78,101,11,77,88,8,27,34,68,130,196,0,0,0,113,313,424,370,665,1030,27,21,45,62,80,142,0,0,0,92,95,187,627,532,1160,19,18,36,3986,3988,7971
LGA54060,23,20,40,104,111,215,3,0,6,3,3,6,104,117,228,60,41,100,42,54,99,8,12,23,112,106,224,4,3,12,0,3,3,7,9,14,0,15,18,0,0,0,15,28,42,0,3,5,0,11,11,5,3,7,3,15,17,0,0,0,10,30,43,27,57,85,4,5,5,7,9,15,0,0,0,11,10,20,261,198,457,0,0,4,537,515,1051
LGA54130,15,8,24,49,48,95,0,0,0,0,5,4,51,51,100,11,14,25,0,0,0,0,3,3,11,20,31,0,0,3,0,0,0,0,0,0,3,11,11,0,0,0,3,8,14,0,6,6,0,0,0,0,5,5,0,4,4,0,0,0,0,6,9,3,21,20,0,0,0,0,4,4,0,0,0,0,4,4,56,48,111,6,5,9,141,153,298
LGA54170,1376,1250,2629,5071,4649,9717,1210,1186,2398,942,939,1885,7236,6796,14031,3551,3250,6805,1258,1269,2527,1538,1500,3038,6350,6030,12379,334,320,648,161,289,448,584,234,828,421,676,1098,0,0,6,1503,1521,3024,1799,2195,3995,522,658,1185,301,369,667,567,1088,1655,9,5,16,3201,4321,7521,4705,5847,10554,154,170,325,379,576,956,5,3,10,538,751,1289,1885,1971,3859,98,111,211,22191,22753,44947
LGA54200,494,478,970,1981,1838,3815,314,324,642,342,357,703,2647,2522,5170,1245,1268,2512,675,502,1175,306,330,638,2232,2101,4332,116,110,227,58,123,182,236,127,362,192,297,486,0,4,4,601,655,1261,409,542,945,123,194,315,73,122,199,171,365,537,0,0,0,776,1218,1992,1380,1873,3255,72,68,142,120,191,311,10,0,11,194,266,463,971,984,1956,39,21,58,7956,8242,16200
LGA54280,290,298,589,1022,940,1968,253,235,490,79,83,168,1356,1273,2628,495,529,1025,311,279,589,68,48,121,882,863,1744,41,31,74,34,33,68,138,88,226,152,252,402,6,0,9,370,405,780,84,65,144,74,68,142,13,25,39,97,185,281,3,3,8,270,348,614,636,756,1392,40,19,60,58,104,165,4,4,6,102,126,231,2330,1478,3808,47,44,93,5648,4835,10487
LGA54310,254,225,479,975,906,1879,180,153,334,45,42,82,1203,1104,2300,533,477,1008,187,190,382,9,7,14,733,678,1406,22,22,39,25,22,40,73,53,121,138,194,336,6,0,6,258,289,545,10,25,38,20,43,67,4,18,22,87,159,249,0,0,0,123,246,371,383,532,913,13,13,30,43,76,120,0,0,0,58,91,151,4178,1845,6020,109,40,149,6916,4512,11420
LGA54340,26,27,52,130,121,251,30,27,54,8,8,13,158,157,312,103,86,188,0,0,0,9,15,20,109,101,211,4,3,8,0,8,10,14,12,26,8,36,48,3,0,3,35,62,100,0,6,6,0,7,7,0,5,4,7,9,18,0,0,0,10,28,35,49,86,132,3,3,10,4,11,11,0,0,0,8,17,25,249,198,447,3,0,3,612,583,1194
LGA54410,5,0,8,34,25,59,0,0,0,0,0,0,34,25,59,17,32,49,0,0,0,0,0,0,24,28,50,4,0,3,0,0,0,0,0,0,0,3,3,0,0,0,5,7,13,0,0,0,4,3,3,0,3,3,0,8,8,0,0,0,4,11,12,6,16,26,0,0,0,0,0,0,0,0,3,3,0,0,60,52,116,0,0,0,131,127,264
LGA54480,6,9,10,28,20,50,0,0,0,0,0,3,31,22,46,7,8,11,0,0,0,0,0,4,6,10,13,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,26,22,48,0,0,0,73,70,144
LGA54550,24,18,40,63,62,125,31,30,57,0,0,0,92,91,183,27,27,50,0,0,0,4,3,8,26,32,56,0,0,0,0,4,4,3,0,3,0,6,8,0,0,0,7,13,20,0,0,0,0,5,9,0,5,5,0,7,8,0,0,0,6,18,23,7,32,39,0,0,0,0,0,4,0,0,0,0,0,4,82,83,162,0,0,0,231,251,488
LGA54620,3,3,9,32,25,61,0,0,0,0,0,0,30,29,67,12,9,17,0,0,0,0,0,4,10,11,16,0,0,0,0,0,4,4,5,4,8,5,12,0,0,0,13,7,18,0,0,0,0,0,0,0,0,0,4,7,7,0,0,0,6,7,10,21,11,27,0,0,0,5,5,4,0,0,0,5,3,8,72,47,115,3,0,4,139,108,246
LGA54690,5,3,10,25,17,43,0,0,0,0,0,0,25,17,43,3,4,3,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,6,3,7,8,0,0,0,0,0,0,0,0,0,3,0,3,6,3,10,0,0,0,45,34,73
