POA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
POA5490,44,520,725,130,1437,0.8,1312,2.6
POA5491,47,975,734,210,1700,0.7,1268,2.2
POA5493,58,888,442,200,1083,0.7,762,2.2
POA5495,60,929,544,200,1315,0.7,965,1.9
POA5501,40,1587,750,290,1944,0.8,1698,2.8
POA5502,41,1213,726,295,1822,0.9,1545,2.6
POA5510,50,867,606,200,1392,0.7,1156,2.1
POA5520,51,630,536,150,1224,0.7,881,2.1
POA5521,49,602,493,175,1343,0.7,900,2.1
POA5522,61,1300,504,228,1316,0.7,957,1.9
POA5523,49,970,586,185,1593,0.7,1143,2.3
POA5540,44,958,569,185,1452,0.7,1060,2.2
POA5550,43,867,715,223,1474,0.8,1167,2.3
POA5552,41,729,627,193,1536,0.8,1279,2.5
POA5554,45,1127,607,250,1515,0.7,1166,2.3
POA5555,56,856,525,190,1212,0.7,1030,2.2
POA5556,55,1213,521,250,1166,0.7,930,2.1
POA5558,58,1224,542,250,1255,0.7,974,2.1
POA5560,49,845,521,155,1329,0.7,946,2.3
POA5570,60,800,456,200,947,0.7,797,1.9
POA5571,61,1083,526,230,1298,0.7,950,2
POA5572,48,650,749,165,2031,0.8,1421,2.4
POA5573,51,950,577,180,1429,0.7,1104,2.3
POA5575,56,1083,567,205,1332,0.7,1020,2.1
POA5576,55,975,554,200,1365,0.7,939,2.1
POA5577,54,728,618,165,1242,0.7,1012,2
POA5580,54,867,664,200,1447,0.7,1077,2.2
POA5581,64,1184,585,250,1161,0.6,1004,1.8
POA5582,61,1127,576,250,1333,0.7,948,2
POA5583,61,988,497,210,1136,0.6,862,1.9
POA5600,46,1300,822,200,2168,0.7,1576,2.2
POA5601,64,1300,612,0,1281,0.9,1125,2
POA5602,50,1002,686,218,1469,0.7,1232,2.3
POA5603,50,898,638,185,1330,0.8,1068,2.4
POA5604,58,1167,605,195,1625,0.7,916,1.8
POA5605,56,1200,629,220,1470,0.7,1076,2
POA5606,41,1300,720,240,1668,0.7,1245,2.3
POA5607,45,1394,767,250,1817,0.8,1481,2.5
POA5608,40,975,566,170,1367,0.7,989,2.1
POA5609,33,1580,1001,265,2356,0.7,1970,2.5
POA5611,54,412,487,130,900,0.7,575,1.8
POA5630,42,650,820,150,2291,0.8,1687,2.6
POA5631,41,1083,876,180,1935,0.8,1593,2.5
POA5632,32,731,1022,163,2229,0.8,1978,2.9
POA5633,39,433,720,120,1347,0.7,1125,2.3
POA5640,48,910,707,166,1567,0.7,1174,2.2
POA5641,44,860,736,150,1575,0.7,1287,2.4
POA5642,45,228,562,100,1160,0.8,1073,2.5
POA5650,33,1517,853,350,1978,1,1771,3.1
POA5651,54,1390,574,100,1437,0.7,1124,2.3
POA5652,44,931,881,160,1847,0.7,1404,2.3
POA5653,43,564,820,100,2250,0.9,1749,2.9
POA5654,46,511,777,100,1843,0.7,1270,2.3
POA5655,39,433,606,55,1268,0.9,1125,3
POA5660,32,0,900,50,2249,0.8,2124,2.8
POA5661,39,325,749,111,1375,0.8,1125,2.5
POA5670,49,1070,701,200,1819,0.8,1241,2.3
POA5671,51,823,557,100,1562,0.8,883,2.3
POA5680,52,1264,636,250,1454,0.8,1123,2.3
POA5690,41,1224,784,162,1721,0.8,1384,2.5
POA5700,41,1083,665,200,1542,0.7,1204,2.2
POA5701,60,0,550,140,900,1,1125,2.7
POA5710,35,1300,916,260,2148,0.7,1849,2.6
POA5713,44,0,1199,12,1625,0.7,1437,2
POA5715,44,0,949,0,2499,0.6,1624,2.4
POA5717,57,0,966,75,1375,0.9,1333,2.2
POA5719,43,967,949,330,2562,0.8,2042,1.9
POA5720,39,0,1823,116,1958,0.6,1771,1.7
POA5722,58,867,454,150,1213,0.8,701,1.7
POA5723,48,640,821,165,1395,0.8,895,1.9
POA5724,54,1540,883,340,2250,0.8,1463,2.1
POA5725,35,1517,1972,258,3467,0.8,3106,2.7
POA5730,55,611,708,200,1406,0.9,1449,2.4
POA5731,48,1555,1775,85,1458,0.7,1781,2.1
POA5732,52,1083,1227,98,949,0.9,1287,2
POA5733,54,800,1013,78,1687,0.7,1267,1.9
POA5734,50,2167,743,75,743,0.9,1325,2.6
POA5950,55,0,2147,0,0,0,0,0
POA6000,34,1950,1124,400,2505,1,1934,1.8
POA6003,33,1733,1092,380,2525,1,1797,1.8
POA6004,36,1950,1167,410,2563,1,2003,1.8
POA6005,35,1777,1232,400,2768,0.9,1915,1.8
POA6006,38,2473,1120,400,3161,0.8,2316,2.3
POA6007,36,2167,1310,420,3288,0.9,2339,2.1
POA6008,40,2600,1209,425,3339,0.9,2232,2.2
POA6009,37,3520,874,450,3768,0.8,2592,2.6
POA6010,43,3000,1124,460,3598,0.8,2412,2.4
POA6011,43,4000,1442,550,4652,0.8,3430,2.5
POA6012,42,3000,996,300,3456,0.8,2124,2.4
POA6014,39,2732,1080,315,3296,0.9,2284,2.5
POA6015,47,4000,1214,750,4592,0.7,3676,2.8
POA6016,36,2268,1083,345,3020,0.9,2319,2.5
POA6017,34,1546,909,290,1965,0.9,1474,1.9
POA6018,39,2200,1026,400,2888,0.8,2202,2.5
POA6019,37,2167,1174,415,2930,0.8,2182,2.3
POA6020,45,2500,984,430,2959,0.7,2371,2.7
POA6021,40,2000,822,350,2250,0.7,1793,2.5
POA6022,39,2000,875,380,2227,0.7,1851,2.6
POA6023,41,2208,940,460,2817,0.7,2389,2.8
POA6024,40,1950,840,400,2292,0.7,1894,2.6
POA6025,40,2000,920,400,2482,0.7,2101,2.6
POA6026,43,2100,841,438,2509,0.7,2127,2.7
POA6027,40,2000,864,380,2372,0.7,2005,2.6
POA6028,40,2167,938,420,2771,0.7,2532,2.9
POA6029,43,3000,1075,485,3525,0.8,2758,2.7
POA6030,36,1800,788,355,2123,0.7,1822,2.7
POA6031,32,1907,905,380,2263,0.8,2112,3
POA6032,47,2000,858,241,1937,0.7,1781,2.6
POA6033,43,2600,684,300,2441,0.8,2307,3.1
POA6034,29,1950,974,350,2151,0.8,2022,2.9
POA6035,35,1842,740,340,1990,0.7,1695,2.8
POA6036,32,1936,818,350,2181,0.8,1907,2.8
POA6037,39,1800,684,330,1862,0.7,1516,2.7
POA6038,30,1950,958,360,2247,0.8,2033,2.8
POA6041,49,1733,513,300,1557,0.7,1318,2.6
POA6042,62,1250,575,280,1375,0.6,979,1.8
POA6043,60,1300,621,250,1583,0.6,1176,1.7
POA6044,54,1581,682,253,1381,0.7,1117,2
POA6050,41,2383,1057,350,3241,0.8,2087,2.2
POA6051,36,1733,1028,300,2386,0.8,1622,1.9
POA6052,39,2167,991,340,2811,0.8,2042,2.4
POA6053,39,2000,991,350,2679,0.8,2029,2.4
POA6054,39,1733,791,320,2106,0.7,1597,2.4
POA6055,32,2000,974,373,2329,0.8,2153,2.9
POA6056,40,1703,744,300,1946,0.7,1455,2.4
POA6057,38,1800,829,380,2145,0.7,1815,2.6
POA6058,38,1733,789,350,1982,0.7,1608,2.5
POA6059,42,2000,783,340,2257,0.7,1679,2.4
POA6060,37,1842,953,321,2257,0.8,1639,2.1
POA6061,34,1517,704,320,1608,0.8,1370,2.4
POA6062,39,1779,732,350,1963,0.7,1613,2.5
POA6063,35,1684,688,340,1843,0.8,1628,2.9
POA6064,37,1517,617,300,1634,0.8,1421,2.7
POA6065,35,2000,871,400,2362,0.8,2129,2.9
POA6066,37,1703,707,350,1916,0.8,1723,2.9
POA6067,34,0,361,150,850,1.9,849,3
POA6068,54,0,899,120,3250,0.8,1375,2
POA6069,32,1950,898,365,2235,0.8,2040,2.9
POA6070,44,2100,917,420,2725,0.7,2382,2.7
POA6071,46,2000,878,400,2546,0.7,2156,2.6
POA6072,44,2000,901,350,2602,0.7,2153,2.7
POA6073,49,2000,703,340,2140,0.7,1769,2.5
POA6074,46,2000,731,440,2101,0.7,1823,2.7
POA6076,46,2138,797,360,2367,0.7,1941,2.6
POA6077,54,2167,686,300,1925,0.7,1440,2.6
POA6078,43,2817,756,375,2154,0.7,2160,3.1
POA6079,64,1000,589,280,2083,0.6,2062,2.3
POA6081,42,2000,879,400,2465,0.8,2221,2.8
POA6082,40,2048,796,383,2189,0.7,1937,2.7
POA6083,48,2167,844,340,2401,0.8,2231,2.8
POA6084,39,2000,847,350,2245,0.8,2070,2.9
POA6090,40,0,1406,750,7000,1.2,1562,1.4
POA6100,36,2000,1050,351,2464,0.8,1894,2.1
POA6101,35,2000,994,350,2559,0.8,1970,2.3
POA6102,32,1733,679,320,1902,0.8,1405,2.3
POA6103,34,1760,1002,350,2246,0.9,1724,2.1
POA6104,38,1747,885,350,2144,0.8,1665,2.3
POA6105,35,1733,792,340,1924,0.8,1557,2.4
POA6106,52,1000,1062,300,7000,0.9,1375,1.5
POA6107,33,1733,779,350,1975,0.8,1724,2.7
POA6108,38,1625,674,330,1825,0.8,1568,2.7
POA6109,36,1517,634,300,1620,0.8,1351,2.7
POA6110,35,1733,725,315,1930,0.8,1614,2.8
POA6111,40,1625,712,298,1902,0.7,1536,2.5
POA6112,33,1800,835,320,2106,0.8,1848,2.8
POA6121,42,2500,830,375,2435,0.8,2364,3.1
POA6122,31,1950,921,380,2238,0.8,2103,3
POA6123,31,1950,836,370,2078,0.8,1975,2.9
POA6124,41,1965,892,320,2383,0.8,2036,2.6
POA6125,44,2200,766,350,2247,0.8,2009,2.8
POA6126,51,1834,505,250,1857,0.8,1478,2.4
POA6147,38,1525,683,320,1745,0.8,1456,2.6
POA6148,41,2000,772,375,2328,0.8,1896,2.7
POA6149,43,2167,831,430,2509,0.7,2150,2.7
POA6150,44,2167,714,460,2361,0.7,2111,2.8
POA6151,40,2392,1114,380,3007,0.8,2108,2.2
POA6152,38,2167,912,350,2618,0.7,1913,2.3
POA6153,42,2700,1065,450,3066,0.7,2333,2.5
POA6154,42,2383,877,415,2707,0.7,2059,2.5
POA6155,37,2000,793,420,2377,0.8,2240,3.1
POA6156,40,2195,938,370,2854,0.8,2123,2.5
POA6157,41,2100,972,350,2675,0.7,1834,2.3
POA6158,44,2600,1048,420,3178,0.8,2270,2.5
POA6159,47,2600,1248,485,3261,0.8,2355,2.1
POA6160,42,2167,1021,380,2713,0.8,1799,2
POA6161,50,0,1017,676,2340,0.8,1694,1.9
POA6162,43,2200,901,355,2552,0.8,1868,2.3
POA6163,41,1814,794,350,2130,0.7,1635,2.3
POA6164,34,1950,974,395,2451,0.8,2207,2.8
POA6165,48,833,525,330,1749,0.7,1062,2.2
POA6166,42,2167,868,400,2486,0.7,2096,2.6
POA6167,35,1567,725,300,1869,0.7,1536,2.6
POA6168,45,1439,649,300,1574,0.7,1174,2.1
POA6169,40,1582,688,310,1857,0.7,1482,2.5
POA6170,31,1820,905,350,2153,0.8,2006,3
POA6171,31,1900,910,360,2291,0.8,2093,2.9
POA6172,35,1700,735,350,2112,0.7,1915,2.8
POA6173,33,2000,922,380,2685,0.8,2491,3.1
POA6174,30,1777,868,350,2148,0.8,1885,2.8
POA6175,34,1950,878,370,2386,0.7,2173,2.9
POA6176,30,1857,874,370,2192,0.8,2117,3
POA6180,32,1777,762,350,2034,0.8,1834,2.9
POA6181,45,2382,842,300,2687,0.7,2625,3.1
POA6182,0,0,0,0,0,0,0,0
POA6207,38,2200,718,250,2268,0.9,2196,3
POA6208,44,1733,601,310,1632,0.7,1300,2.4
POA6209,51,1846,559,250,1566,0.8,1132,2.4
POA6210,46,1680,609,300,1606,0.7,1219,2.3
POA6211,44,1842,618,350,1712,0.7,1431,2.6
POA6213,49,1829,648,279,1928,0.8,1433,2.4
POA6214,42,2000,703,277,2088,0.8,1812,2.9
POA6215,47,1625,623,260,1701,0.7,1324,2.4
POA6218,43,1594,580,270,1481,0.8,1081,2.4
POA6219,46,1882,592,300,1761,0.8,1536,2.6
POA6220,44,1517,747,280,1851,0.8,1467,2.5
POA6221,31,2084,408,300,1958,0.8,2083,2.9
POA6223,45,1950,817,300,2812,0.8,1624,2.6
POA6224,43,1398,607,241,1653,0.8,1370,2.5
POA6225,44,1300,601,250,1622,0.7,1235,2.3
POA6226,40,2240,917,320,2739,0.8,2465,3
POA6227,38,1742,912,298,2333,0.8,2083,2.8
POA6228,51,1517,628,250,1624,0.7,1375,2.3
POA6229,62,1437,584,200,1274,0.9,791,1.7
POA6230,40,1517,759,300,1919,0.7,1467,2.4
POA6232,37,1647,763,350,2044,0.7,1708,2.6
POA6233,37,1733,787,350,2127,0.7,1892,2.7
POA6236,47,1797,813,300,2289,0.7,1973,2.6
POA6237,45,1993,769,325,2168,0.8,1911,2.7
POA6239,46,1575,672,300,1774,0.7,1402,2.5
POA6240,59,2318,635,255,1562,0.7,1343,2.3
POA6243,50,975,530,200,1124,0.7,866,2.5
POA6244,48,1170,706,220,1605,0.7,1284,2.3
POA6251,51,1350,686,290,1645,0.8,1267,2.5
POA6252,54,1727,679,200,1437,0.9,1271,2.2
POA6253,57,1424,545,260,1279,0.8,977,2
POA6254,49,1083,783,200,1454,0.7,1091,2.1
POA6255,50,1500,612,300,1622,0.7,1205,2.3
POA6256,45,1842,807,231,1864,0.8,1578,2.5
POA6258,44,1300,703,235,1680,0.7,1275,2.3
POA6260,47,1324,796,290,1840,0.7,1326,2.3
POA6262,53,1000,579,187,1350,0.8,1052,2.3
POA6271,43,1517,714,330,1787,0.7,1466,2.5
POA6275,56,1404,573,260,1381,0.8,1098,2.1
POA6280,44,1733,707,353,1769,0.7,1377,2.4
POA6281,42,1950,874,450,2091,0.7,1802,2.6
POA6282,48,2350,991,580,2360,0.8,2284,2.6
POA6284,39,1950,881,380,2147,0.8,1901,2.7
POA6285,40,1700,828,380,1958,0.8,1640,2.6
POA6286,42,1910,796,300,1902,0.9,1671,2.4
POA6288,46,1733,731,258,1721,0.9,1327,2.5
POA6290,61,1500,546,275,1200,0.7,923,1.9
POA6302,55,1404,609,260,1536,0.7,1148,2.2
POA6304,56,1143,551,200,1409,0.7,1060,2.2
POA6306,50,1213,656,200,1669,0.8,1337,2.4
POA6308,51,1083,632,200,1489,0.7,1138,2.2
POA6309,50,806,660,200,1452,0.7,1125,2.2
POA6311,50,1230,672,200,1476,0.7,1277,2.3
POA6312,41,1170,727,240,1809,0.7,1314,2.2
POA6313,49,1255,716,150,1656,0.8,1312,2.5
POA6315,48,882,691,180,1754,0.7,1202,2.2
POA6316,42,1033,748,150,1635,0.8,1297,2.5
POA6317,39,1042,719,200,1649,0.8,1362,2.5
POA6318,43,1000,824,170,1978,0.7,1399,2.4
POA6320,40,708,777,164,1762,0.8,1318,2.6
POA6321,45,719,676,173,1518,0.7,1176,2.3
POA6322,49,1083,653,155,1410,0.8,1166,2.4
POA6323,52,1192,549,230,1349,0.7,1037,2.2
POA6324,46,1300,631,220,1523,0.8,1191,2.4
POA6326,48,1444,744,240,1711,0.8,1591,2.5
POA6327,45,1742,692,250,1875,0.9,1446,2.7
POA6328,37,984,755,162,1542,0.8,1316,2.5
POA6330,44,1517,706,300,1759,0.7,1347,2.4
POA6333,50,1517,628,300,1491,0.7,1117,2.3
POA6335,38,867,824,200,2022,0.7,1534,2.6
POA6336,38,395,900,135,1541,0.7,1375,2.3
POA6337,37,867,1084,160,2172,0.7,1699,2.5
POA6338,47,1083,861,223,1662,0.8,1366,2.3
POA6341,38,0,1125,98,2104,0.8,1728,2.6
POA6343,41,657,1100,180,2312,0.7,1792,2.5
POA6346,41,800,1698,210,1970,0.8,1826,2.4
POA6348,47,1083,774,250,2110,0.7,1619,2.1
POA6350,49,515,697,150,1518,0.6,1168,2.1
POA6351,40,0,743,50,1625,0.7,1187,2.7
POA6352,41,607,909,150,1875,0.7,1624,2.5
POA6353,39,1083,1018,180,2133,0.7,1689,2.4
POA6355,42,405,1109,200,2250,0.7,1773,2.4
POA6356,44,1000,1077,120,1437,0.7,1625,2.5
POA6357,46,847,949,163,2100,0.8,2050,2.8
POA6358,36,260,850,80,1874,0.7,1550,2.3
POA6359,43,1035,1677,200,2146,0.7,1404,2.3
POA6361,42,150,819,100,1875,0.8,1224,2.7
POA6363,44,0,1109,190,2624,0.8,2333,2.9
POA6365,43,598,1032,170,2150,0.8,1593,2.3
POA6367,51,650,759,120,1718,0.7,1125,2.1
POA6368,35,379,1078,60,1875,0.7,1625,2.6
POA6369,48,866,917,155,1823,0.7,1506,2.3
POA6370,46,1002,728,160,1625,0.7,1297,2.4
POA6372,55,719,627,100,1687,0.7,1093,2.2
POA6373,43,1580,979,0,2208,0.9,2125,2.9
POA6375,47,867,826,183,1886,0.7,1342,2.2
POA6383,54,779,613,130,1437,0.7,1120,2.2
POA6384,47,9999,1041,0,3625,0.8,3124,2.7
POA6385,64,0,1687,0,3750,0.5,2749,2
POA6386,40,652,1125,138,2749,0.8,1875,2.9
POA6390,43,1669,1290,280,2143,0.7,1729,2.5
POA6391,40,1300,989,200,2230,0.7,1754,2.4
POA6392,50,870,979,150,1888,0.7,1375,2.1
POA6393,46,825,533,83,1104,0.9,1053,2.6
POA6394,51,1142,852,180,1924,0.6,1420,2.3
POA6395,44,1083,914,200,2017,0.7,1426,2.3
POA6396,46,1285,1012,143,2147,0.7,1542,2.2
POA6397,50,542,489,160,1333,0.7,900,2.1
POA6398,57,1047,512,221,1088,0.6,825,1.9
POA6401,42,1300,641,250,1604,0.7,1271,2.4
POA6403,50,986,558,225,1375,0.7,1125,2.2
POA6405,39,1042,681,185,1600,0.8,1284,2.6
POA6407,32,1246,640,200,2086,0.7,1646,2.4
POA6409,48,661,705,162,1583,0.8,1181,2.5
POA6410,52,776,559,160,1491,0.7,942,2.2
POA6411,52,1701,884,190,2150,0.7,2083,2.4
POA6412,46,0,780,150,1625,0.9,1624,2.9
POA6413,61,1690,512,100,1312,0.8,900,2
POA6414,49,1813,724,150,1874,0.9,1625,2.6
POA6415,41,1072,774,220,1896,0.7,1410,2.3
POA6418,44,737,774,160,1699,0.7,1243,2.4
POA6419,46,1192,749,100,1187,0.9,1166,2.4
POA6420,41,224,979,150,2250,0.7,1542,2.3
POA6421,38,1174,825,120,1906,0.7,1458,2.8
POA6422,31,1300,1292,200,2625,0.9,2125,3
POA6423,52,400,1544,85,1359,0.7,1196,1.9
POA6424,53,600,1325,125,3100,0.6,2624,2.2
POA6425,55,1084,1111,150,2250,0.6,1625,2.4
POA6426,45,800,1588,150,1854,0.6,1400,2
POA6427,45,0,2356,0,0,0,2457,0
POA6428,45,542,833,0,2750,1,2250,3.2
POA6429,43,940,1309,238,1681,0.8,1224,2.2
POA6430,34,1701,1282,310,2970,0.8,2398,2.6
POA6431,38,986,1651,63,1054,1.2,1514,3.2
POA6432,36,1310,1020,300,2375,0.8,1982,2.5
POA6434,36,0,2289,0,0,0.5,1875,2.7
POA6436,45,397,1562,156,1312,0.8,1218,2
POA6437,36,520,2218,50,3020,0.9,2396,2.9
POA6438,40,714,1589,180,1671,0.9,1588,2.3
POA6440,41,426,2189,80,988,0.9,1343,2.5
POA6442,36,985,1140,200,2478,0.8,2130,2.4
POA6443,49,614,1042,150,1264,0.7,930,1.9
POA6445,48,661,660,128,1541,0.8,1024,2.8
POA6446,42,1000,1036,140,2062,0.7,1645,2.4
POA6447,36,2167,1312,115,2299,0.6,1875,2.6
POA6448,33,1149,551,270,1770,0.8,1521,2.7
POA6450,41,1560,805,270,2019,0.7,1507,2.4
POA6452,57,0,1500,170,2250,0.5,2250,2
POA6460,50,979,712,180,1726,0.7,1072,2.2
POA6461,48,672,763,163,1468,0.7,1177,2.2
POA6462,33,1200,833,118,1625,0.7,1292,2.7
POA6463,33,3059,850,175,2249,0.8,1687,2.4
POA6465,62,0,1025,50,1875,0.5,1187,1.7
POA6466,39,0,612,150,1749,0.8,1375,2.8
POA6467,51,0,1041,0,2250,0.9,1874,2.9
POA6468,44,683,1027,100,2035,0.7,1562,2.4
POA6470,17,0,1375,150,3250,0.8,1875,2.8
POA6472,46,650,977,155,1833,0.7,1812,2.6
POA6473,40,2583,425,0,1274,0.9,1625,3
POA6475,52,748,741,130,1458,0.7,1341,2.2
POA6476,55,750,749,400,1458,0.7,1208,2.3
POA6477,47,675,880,109,1875,0.6,1421,2.1
POA6479,47,758,754,160,1875,0.8,1445,2.3
POA6480,50,1600,924,125,1499,0.8,1374,2.9
POA6484,54,0,900,0,2749,0.7,1062,1.8
POA6485,53,550,601,150,1410,0.6,900,1.9
POA6487,47,0,900,135,1624,0.7,1375,2.5
POA6488,54,520,525,120,1100,0.6,928,1.8
POA6489,59,1040,471,120,933,0.7,739,1.8
POA6490,49,1042,656,88,1268,0.7,1100,2.1
POA6501,46,2000,740,360,2058,0.8,1859,2.7
POA6502,49,1690,646,300,1739,0.7,1375,2.4
POA6503,44,1733,718,265,1822,0.8,1487,2.5
POA6504,53,1875,642,320,1687,0.8,1292,2.6
POA6505,39,2000,747,243,1875,0.8,1666,2.7
POA6506,55,120,937,150,1875,0.7,1562,2
POA6507,44,1591,1212,220,2194,0.7,1875,2.4
POA6509,50,1750,1027,106,2166,0.8,1583,2.5
POA6510,43,1049,787,230,1907,0.7,1445,2.3
POA6511,56,1327,695,300,1401,0.6,1162,2
POA6512,54,850,845,250,1458,0.6,1375,2.2
POA6513,44,392,1035,170,2549,0.8,1674,2.5
POA6514,61,1325,534,228,1156,0.6,948,2
POA6515,47,650,771,150,1713,0.7,1452,2.3
POA6516,52,1625,634,320,1496,0.7,1221,2.2
POA6517,46,867,791,150,1875,0.7,1297,2
POA6518,54,867,751,150,971,0.6,1262,2.1
POA6519,44,650,779,138,1696,0.8,1321,2.3
POA6521,47,809,920,200,2047,0.8,1764,2.5
POA6522,54,729,850,200,1937,0.7,1583,2.4
POA6525,53,1530,632,260,1598,0.7,1195,2.2
POA6528,50,1554,584,250,1547,0.8,1286,2.3
POA6530,40,1517,750,250,1945,0.7,1473,2.4
POA6532,40,1800,873,320,2319,0.8,1954,2.7
POA6535,55,1196,583,200,1455,0.7,1108,2.2
POA6536,58,1530,662,280,1427,0.7,1276,2.1
POA6537,56,1387,791,273,1816,0.8,1338,2.1
POA6556,44,1950,802,375,2323,0.7,1971,2.7
POA6558,37,1686,727,360,2147,0.8,1895,2.6
POA6560,46,1400,690,250,1762,0.8,1519,2.5
POA6562,44,1800,687,300,1760,0.8,1550,2.6
POA6564,50,1500,627,235,1604,0.8,1343,2.3
POA6566,54,1500,600,280,1512,0.7,1192,2.2
POA6567,54,1670,593,300,1468,0.8,1369,2.4
POA6568,54,563,732,130,2094,0.7,1696,2.4
POA6569,43,500,963,180,2250,0.8,1583,2.4
POA6571,44,0,1406,168,3062,0.6,1708,2
POA6572,40,542,1149,170,2249,0.8,2249,2.9
POA6574,42,0,1138,200,2083,0.8,1812,2.8
POA6575,45,1228,1031,138,2583,0.7,1312,2.5
POA6603,42,1083,758,180,1785,0.7,1317,2.3
POA6605,46,0,1300,160,2416,0.7,1875,2.4
POA6606,51,433,657,145,1350,0.7,949,2.1
POA6608,44,780,911,275,2124,0.7,1562,2.8
POA6609,38,1083,1041,241,2224,0.8,1926,2.6
POA6612,52,1096,837,185,1937,0.8,1474,2.5
POA6613,50,1083,1187,0,2750,0.7,2416,2.5
POA6614,60,0,725,0,1124,0.6,1062,2.4
POA6616,53,394,680,0,2083,0.7,1562,2.1
POA6620,42,834,1884,170,2091,0.7,1671,2.3
POA6623,47,500,684,190,1649,0.7,1381,2.3
POA6625,38,0,949,250,1937,0.7,1812,2.7
POA6627,46,2000,850,88,1625,0.8,1875,2.8
POA6628,37,0,437,200,474,1.1,900,3.6
POA6630,51,650,588,150,1958,0.7,1148,2.3
POA6631,62,0,1499,0,3750,0.6,2624,1.7
POA6632,42,0,825,0,1875,0.9,1562,3.2
POA6635,39,223,1932,139,1583,1,1666,2.8
POA6638,44,542,1778,175,1375,0.8,1409,2.1
POA6639,54,902,643,144,1833,0.6,1078,1.5
POA6640,51,725,1703,120,1333,0.6,725,1.5
POA6642,41,650,1606,115,1292,0.9,1330,2.4
POA6646,37,500,1954,120,767,1,1412,2.4
POA6701,50,1309,738,231,1911,0.9,1354,2.3
POA6705,51,1452,821,75,1312,0.9,1692,2.9
POA6707,48,2000,879,350,2250,0.9,1682,2.5
POA6710,50,1700,1228,245,2919,0.9,1810,2.4
POA6712,43,0,2890,0,0,0.5,1074,1
POA6713,37,2383,1547,450,3941,0.9,3442,2.9
POA6714,35,1950,1642,323,3492,0.9,3046,2.8
POA6716,39,1192,2219,28,2625,1,1819,2.5
POA6718,34,1500,380,150,1006,1,1129,2.9
POA6720,37,1352,1622,139,3689,0.9,2983,2.8
POA6721,38,1824,1725,240,3905,0.9,3034,2.5
POA6722,34,1408,1478,250,3029,0.9,2477,2.7
POA6725,39,2167,921,270,2359,1,1811,2.7
POA6726,45,2167,1096,400,2563,0.9,1990,2.7
POA6728,36,1638,687,115,1153,1,1427,2.8
POA6740,39,1224,886,133,951,1.1,1401,3
POA6743,38,1950,1050,250,2186,1,1808,2.7
POA6751,39,1559,2138,51,3338,0.9,2476,2.9
POA6753,38,1083,2188,110,3194,0.9,2721,2.8
POA6754,37,1563,2035,30,3567,0.8,3172,2.5
POA6758,39,0,2651,40,780,1.1,1402,2.9
POA6760,43,1083,1837,100,767,1.1,1101,2.6
POA6762,37,0,2244,50,715,1.5,1208,4.2
POA6765,35,1625,441,100,863,1.1,1327,3
POA6770,35,1560,487,95,794,1.2,1238,3.2
POA7000,37,1850,909,400,2370,0.9,1851,2.3
POA7004,39,1680,946,400,2305,0.9,1817,2.2
POA7005,37,2167,853,420,2409,0.8,1900,2.4
POA7007,39,1768,899,333,2307,0.8,1884,2.6
POA7008,38,1701,855,350,2211,0.9,1742,2.4
POA7009,35,1387,725,340,1711,0.9,1426,2.4
POA7010,37,1300,646,320,1503,0.9,1220,2.4
POA7011,38,1300,692,320,1617,0.8,1295,2.4
POA7012,43,1328,822,305,1846,0.8,1652,2.7
POA7015,45,1625,835,400,2034,0.8,1591,2.3
POA7016,34,1083,606,320,1362,0.8,1185,2.5
POA7017,40,1528,870,400,2136,0.8,1877,2.6
POA7018,41,1600,816,360,2004,0.8,1574,2.4
POA7019,31,1361,730,320,1523,0.8,1304,2.5
POA7020,43,1690,949,400,2321,0.8,2154,2.8
POA7021,42,1600,927,400,2252,0.8,1884,2.6
POA7022,47,1517,827,350,1822,0.8,1390,2.4
POA7023,55,1430,730,435,1821,0.7,1281,2.1
POA7024,41,1733,1095,420,2522,0.8,2275,2.6
POA7025,49,1636,802,340,1926,0.8,1582,2.4
POA7026,38,1336,781,300,1837,0.8,1560,2.6
POA7027,42,1083,470,225,1343,0.8,880,2.1
POA7030,35,1300,669,266,1509,0.9,1296,2.6
POA7050,37,1625,762,380,1904,0.8,1517,2.5
POA7052,41,1662,881,400,2134,0.8,1806,2.5
POA7053,46,1785,871,425,2402,0.8,1913,2.5
POA7054,40,1690,835,375,2170,0.9,1886,2.8
POA7055,33,1647,873,415,2016,0.8,1783,2.7
POA7109,43,1430,683,290,1723,0.8,1396,2.5
POA7112,47,1213,532,285,1271,0.8,1016,2.3
POA7113,51,1300,519,315,1453,0.9,1194,2.4
POA7116,48,1138,559,278,1364,0.8,1137,2.4
POA7117,55,1181,506,295,1434,0.8,968,2.1
POA7119,39,650,530,0,1375,0.8,1024,2.8
POA7120,51,890,533,185,1365,0.7,1021,2.2
POA7139,49,0,2124,0,0,0.3,1625,1
POA7140,42,1192,612,270,1485,0.8,1203,2.4
POA7150,48,1428,747,290,1829,0.9,1452,2.4
POA7155,51,1517,662,365,1792,0.8,1404,2.4
POA7162,53,1777,651,350,1593,0.8,1478,2.5
POA7163,51,1400,613,300,1525,0.9,1408,2.4
