POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA6055,139,145,288,73,64,141,0,0,0,0,0,0,29,26,60,6270,5230,11502,242,399,642,105,4,106,43,3,42,33,9,44,181,37,215,82,66,150,7198,5980,13180,54,104,155,0,0,0,0,0,0,86,95,180,11,19,28,7,4,14,163,216,372,0,0,0,0,0,0,9,4,16,4,7,12,6,6,10,25,19,38,85,47,128,262,283,547,30,47,77,0,4,7,0,3,10,35,53,90,417,640,1055,851,1076,1927,21,17,41,8795,8044,16837
POA6056,136,181,319,113,98,212,0,0,0,0,0,0,30,36,62,6770,5913,12679,369,515,879,143,9,152,58,5,64,73,23,95,189,49,231,140,147,287,8019,6962,14979,86,81,161,0,0,0,0,0,0,79,96,171,12,19,31,12,6,16,190,200,384,0,0,0,0,0,0,10,8,17,4,11,18,13,4,18,22,22,45,70,45,116,280,268,545,24,43,72,4,4,7,0,3,4,24,50,74,441,698,1142,1130,1334,2467,57,52,111,9963,9360,19323
POA6057,11,22,38,93,67,156,0,0,0,0,0,0,12,11,25,3050,2697,5750,179,158,345,84,4,87,13,3,16,14,5,24,85,23,110,23,25,51,3579,3014,6594,8,9,19,0,0,0,0,0,0,29,22,45,4,0,4,0,0,0,40,33,69,0,0,0,0,0,0,4,9,12,8,10,15,7,4,9,17,19,33,32,15,49,87,63,151,7,7,12,0,0,4,0,0,0,7,8,14,182,317,498,443,583,1025,17,17,36,4315,4004,8313
POA6058,5,10,13,50,62,111,0,0,0,0,0,0,14,9,26,2430,2066,4493,124,120,240,55,0,55,27,0,24,9,0,9,69,8,78,28,21,51,2799,2307,5108,0,8,10,0,0,0,0,0,0,11,12,24,0,3,3,0,0,0,14,28,42,0,0,0,0,0,0,7,7,14,4,10,13,0,0,3,18,14,33,27,14,38,57,54,112,3,0,8,0,0,0,0,0,0,6,0,7,109,200,313,326,383,712,14,13,28,3321,2955,6276
POA6059,21,30,55,293,334,631,4,0,4,0,0,0,34,23,55,4259,3657,7919,224,386,610,50,0,52,28,4,35,43,8,54,81,22,102,35,37,74,5080,4495,9576,29,42,67,0,0,0,0,0,0,16,17,39,0,4,3,3,0,3,52,62,110,0,0,0,0,0,0,24,21,44,15,18,36,3,0,3,40,42,82,49,24,70,141,121,259,6,11,17,0,3,3,0,0,0,6,10,22,457,512,970,470,691,1160,22,11,36,6177,5848,12028
POA6060,57,68,132,453,532,991,0,0,0,0,0,0,34,39,67,4763,4335,9102,197,405,598,46,0,46,32,0,33,81,24,107,107,30,138,42,56,95,5819,5488,11308,79,98,178,0,0,0,0,0,0,25,29,55,4,9,11,6,0,6,106,137,248,0,0,0,0,0,0,23,29,50,19,18,32,0,5,12,47,52,98,43,36,73,196,224,416,25,25,48,11,3,21,6,0,6,44,30,73,455,588,1046,497,851,1349,31,25,55,7043,7208,14245
POA6061,50,84,133,356,498,856,0,0,3,0,0,0,90,67,149,7351,5706,13066,384,612,994,85,0,86,58,8,66,46,7,48,152,54,203,45,48,93,8620,7081,15702,84,115,205,0,0,0,0,0,0,39,51,93,0,10,10,4,0,4,126,182,309,0,0,0,0,0,0,29,35,72,15,38,53,14,17,28,62,87,146,76,41,116,262,312,581,30,52,82,10,13,24,0,5,0,43,65,110,367,452,818,741,974,1719,70,46,117,10104,8938,19034
POA6062,68,82,155,280,341,620,3,0,3,0,0,0,40,39,79,6194,4974,11171,309,485,787,81,0,83,47,0,45,69,17,86,123,25,151,55,59,111,7265,6024,13289,45,54,101,0,0,0,0,0,0,66,69,133,3,9,19,3,0,3,122,127,251,0,0,0,0,0,0,32,45,79,15,42,53,8,9,13,58,92,150,65,42,105,243,260,505,18,18,32,5,6,11,4,0,4,24,22,46,438,589,1030,707,981,1687,34,26,56,8706,7907,16615
POA6063,45,40,86,43,48,93,3,3,6,0,0,0,22,17,39,2738,2153,4901,166,210,378,49,0,51,23,0,23,14,4,16,64,21,87,10,26,31,3178,2533,5711,25,28,51,0,0,0,0,0,0,34,32,71,3,6,10,0,0,3,63,70,137,0,0,0,0,0,0,3,8,9,0,6,4,6,3,12,11,17,29,43,21,60,116,108,226,9,16,28,0,4,5,0,0,5,10,22,34,119,212,327,298,336,640,11,13,27,3737,3221,6956
POA6064,74,82,156,76,119,200,0,0,4,0,0,0,39,16,49,5429,4206,9635,320,410,729,107,0,107,31,4,37,25,4,29,114,35,153,37,39,75,6251,4915,11166,64,74,134,0,0,0,0,0,0,60,65,129,4,17,21,3,4,4,130,157,289,0,0,0,0,0,0,13,12,24,14,9,17,0,4,0,31,24,50,58,27,88,219,209,429,25,31,63,4,0,6,0,0,3,33,38,68,228,374,598,554,746,1299,35,29,63,7325,6308,13628
POA6065,322,334,658,162,110,273,3,0,7,5,0,3,53,28,76,12386,11259,23643,706,833,1543,222,10,228,69,3,74,36,6,38,301,50,349,88,90,174,14352,12722,27069,186,165,348,0,0,0,0,0,0,306,256,560,26,41,63,10,3,8,525,460,979,0,0,0,0,0,0,25,11,36,10,15,22,3,7,10,35,35,72,158,66,224,717,560,1279,84,96,184,6,4,13,4,0,4,101,103,199,964,1513,2481,1654,2164,3817,72,45,120,17855,17112,34965
POA6066,17,12,25,134,122,258,0,0,0,0,0,0,17,11,34,3457,2852,6303,181,259,434,65,0,61,17,0,20,22,0,23,70,14,85,14,34,47,3989,3304,7290,19,20,43,0,0,0,0,0,0,8,14,26,0,0,0,0,0,0,37,35,67,0,0,0,0,0,0,9,14,22,6,10,22,6,5,8,18,27,47,32,26,58,83,93,176,16,10,26,6,0,3,0,0,0,14,14,30,208,279,490,402,549,950,34,10,46,4736,4251,8984
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
POA6069,44,52,100,118,81,201,3,0,0,0,0,0,21,23,45,8083,7633,15724,478,584,1062,124,4,129,52,0,57,21,4,30,277,62,343,65,90,157,9287,8543,17832,63,67,133,0,0,0,0,0,0,118,127,245,9,22,28,0,0,0,192,212,408,0,0,0,0,0,0,4,16,17,8,14,24,12,6,19,22,35,57,80,55,132,298,303,601,24,40,64,3,0,7,4,0,10,32,42,81,514,879,1392,1281,1462,2747,41,36,79,11463,11261,22726
POA6070,22,10,32,5,7,9,0,0,0,0,0,0,0,0,4,579,549,1123,30,23,56,13,0,13,6,0,6,9,0,7,13,3,11,12,11,19,684,600,1282,3,6,9,0,0,0,0,0,0,23,8,32,0,0,0,0,0,0,21,14,35,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,6,7,12,35,21,52,3,8,9,0,0,0,0,0,0,3,8,9,116,125,240,81,132,216,9,4,13,921,892,1811
POA6071,8,11,19,3,5,16,0,0,0,0,0,0,0,0,4,557,530,1086,18,20,44,9,0,9,9,0,9,8,0,8,10,5,15,7,12,12,627,592,1221,3,0,3,0,0,0,0,0,0,22,9,29,4,0,8,0,0,0,24,12,37,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,8,0,8,38,16,53,0,3,6,0,0,0,0,0,0,0,7,7,84,125,214,102,135,238,0,0,3,860,873,1727
POA6072,0,3,3,9,0,9,0,0,0,0,0,0,0,0,0,158,135,293,5,13,24,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,187,156,337,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,9,10,0,0,0,0,0,0,0,0,0,0,0,0,16,23,33,8,18,35,0,0,0,216,204,417
POA6073,9,4,5,5,4,10,0,0,0,0,0,0,0,0,0,452,437,887,20,25,44,19,0,19,3,0,3,0,0,0,11,3,21,9,20,33,525,493,1021,0,0,0,0,0,0,0,0,0,11,18,23,0,0,3,0,0,0,15,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,20,42,4,0,3,0,0,0,0,0,0,4,0,3,66,85,150,91,86,180,6,0,8,713,690,1401
POA6074,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,156,141,299,9,3,14,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,187,149,331,3,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,33,53,35,32,65,0,0,6,250,220,470
POA6076,27,21,49,84,61,141,5,0,5,0,0,0,13,0,11,3566,3285,6849,147,186,334,96,0,102,34,0,37,23,6,30,71,13,82,86,67,156,4154,3646,7800,6,7,17,0,0,0,0,0,0,34,30,62,0,3,3,0,0,0,41,41,84,0,0,0,0,0,0,12,17,30,4,6,7,6,0,5,21,19,42,34,17,49,97,74,170,6,7,11,0,0,3,6,0,6,9,3,19,480,608,1088,541,727,1269,20,13,32,5299,5080,10376
POA6077,3,4,7,0,0,4,0,0,0,0,0,0,0,0,0,262,221,482,22,10,30,25,0,31,0,0,0,0,0,0,9,0,7,4,11,14,320,258,573,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,46,69,116,33,30,67,0,0,0,412,363,774
POA6078,5,9,8,0,0,0,0,0,0,0,0,0,0,0,3,157,112,271,3,9,15,17,0,13,3,0,3,0,0,0,6,4,11,12,5,19,203,136,341,0,3,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,29,39,72,19,29,44,0,0,0,258,211,467
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,5,12
POA6081,5,12,18,13,3,15,0,0,0,0,0,0,0,0,0,825,793,1616,39,52,97,36,5,42,8,0,8,4,0,10,28,4,33,7,6,7,970,884,1846,5,0,5,0,0,0,0,0,0,24,21,41,0,0,0,0,0,0,29,21,50,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,5,9,0,10,35,29,61,3,3,5,0,0,0,0,0,0,3,3,5,93,129,224,163,174,338,15,4,12,1273,1223,2492
POA6082,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,480,529,1008,29,25,55,20,0,22,3,0,3,0,0,0,24,4,30,9,0,13,582,568,1149,0,0,0,0,0,0,0,0,0,14,5,15,0,0,0,0,0,0,15,5,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,9,0,6,20,10,30,0,0,0,0,0,0,6,0,0,4,0,0,55,80,137,108,139,252,8,0,6,777,794,1574
POA6083,3,4,4,0,0,3,0,0,0,0,0,0,0,0,0,550,521,1073,29,27,56,24,0,29,4,0,4,0,0,0,27,0,35,25,14,35,665,572,1237,0,0,0,0,0,0,0,0,0,3,15,16,0,0,3,0,0,0,4,14,22,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,8,3,7,17,15,28,0,7,7,0,0,0,0,0,0,0,7,7,99,136,230,127,108,234,4,4,3,905,843,1746
POA6084,0,3,6,19,5,25,0,0,0,0,0,0,0,0,0,1523,1388,2911,78,81,157,71,3,75,10,0,6,4,0,8,57,11,75,59,34,93,1829,1533,3364,4,0,3,0,0,0,0,0,0,14,13,29,0,5,5,0,0,0,20,19,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7,15,8,24,34,29,63,0,0,5,0,0,0,0,0,0,4,0,3,142,264,410,280,279,565,23,11,37,2312,2126,4437
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,3,13
POA6100,118,136,260,490,455,947,0,0,0,0,0,0,28,36,60,2741,2284,5025,127,279,411,10,0,10,28,0,29,101,27,129,96,46,146,98,79,178,3851,3341,7192,58,61,118,0,0,0,0,0,0,8,10,16,3,0,5,9,0,9,75,68,142,0,0,0,0,0,0,24,9,33,11,13,27,21,9,31,56,38,94,33,17,49,160,127,287,15,33,53,3,4,8,3,0,11,25,42,67,384,386,771,521,613,1134,17,11,30,4964,4518,9481
POA6101,147,135,285,352,346,698,0,0,0,0,0,0,34,18,53,2963,2516,5486,171,293,460,23,0,25,27,5,30,89,25,110,78,20,97,70,72,144,3947,3442,7396,41,57,95,0,0,0,0,0,0,11,16,24,3,8,8,6,0,12,54,81,144,0,0,0,0,0,0,9,12,20,7,18,29,7,0,9,28,25,53,27,25,51,113,134,244,23,20,40,8,0,8,4,4,8,30,22,56,351,389,741,425,604,1032,19,11,34,4895,4605,9499
POA6102,38,35,76,261,288,549,0,0,0,0,0,0,16,24,44,2460,1673,4136,123,213,337,19,0,19,20,5,22,46,10,50,47,8,54,74,51,124,3098,2313,5408,42,40,87,0,0,0,0,0,0,13,8,22,3,3,4,5,0,5,60,54,112,0,0,0,0,0,0,5,8,19,4,24,29,10,12,27,22,44,70,26,18,45,103,124,230,20,11,31,4,3,11,0,0,0,30,18,47,169,169,342,329,399,727,33,7,42,3762,3032,6794
POA6103,32,21,53,277,241,515,0,0,0,0,0,0,32,26,59,2056,1655,3710,103,188,289,16,0,21,18,3,21,37,8,46,76,21,98,54,31,83,2710,2197,4899,29,18,53,0,0,0,0,0,0,14,8,22,0,3,5,0,0,0,43,36,80,0,0,0,0,0,0,7,15,17,3,17,20,8,9,20,21,38,56,35,10,46,97,84,180,8,17,24,6,3,11,0,0,3,12,20,32,193,183,384,327,375,700,25,12,36,3361,2875,6233
POA6104,19,21,45,180,189,376,0,0,0,0,0,0,32,31,58,2644,2135,4782,166,225,389,31,0,31,18,3,19,50,3,48,133,34,162,42,40,82,3301,2693,5990,26,20,45,0,0,0,0,0,0,26,22,51,3,0,5,0,0,0,54,44,98,0,0,0,0,0,0,8,13,20,6,8,11,10,4,11,18,22,45,33,15,50,103,84,190,8,7,17,9,3,10,0,0,0,20,16,34,226,263,485,494,456,945,29,10,44,4171,3514,7688
POA6105,28,33,65,168,224,394,0,0,0,0,0,0,43,34,74,2910,2202,5112,154,276,431,41,0,41,14,0,13,46,6,49,76,27,106,46,51,102,3518,2859,6380,25,34,59,0,0,0,0,0,0,13,23,38,7,3,6,0,0,0,45,62,108,0,0,0,0,0,0,15,7,22,3,13,22,7,3,10,23,30,52,27,18,40,102,103,205,10,24,29,6,5,11,0,0,5,16,30,42,172,220,393,372,431,802,30,16,46,4202,3656,7866
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,13
POA6107,393,492,889,228,337,561,0,6,4,0,0,0,85,62,147,9282,6319,15607,446,736,1180,151,0,156,64,6,71,74,24,88,210,45,255,101,115,218,11031,8142,19176,123,240,361,0,0,0,0,0,0,87,82,166,27,35,57,18,3,24,252,365,612,0,0,0,0,0,0,24,23,46,13,37,47,14,15,25,52,76,122,119,56,175,417,496,908,66,101,165,7,3,10,9,4,17,80,116,189,497,663,1164,1061,1312,2376,65,39,103,13158,10762,23922
POA6108,113,125,244,82,90,166,5,0,6,0,0,0,27,19,52,4065,3231,7301,222,291,519,54,0,53,20,0,22,18,4,19,86,21,112,29,28,57,4727,3820,8553,74,84,163,0,0,0,0,0,0,44,46,90,10,7,13,0,0,0,128,140,273,0,0,0,0,0,0,3,11,13,4,12,12,4,3,6,16,28,37,48,22,73,194,189,380,24,32,55,5,5,8,0,0,3,28,35,62,211,294,504,547,676,1219,31,13,40,5732,5025,10754
POA6109,61,69,130,38,36,76,4,0,4,0,0,0,23,12,33,2279,1511,3785,143,186,328,51,0,48,10,0,10,15,0,14,43,19,62,19,11,31,2672,1848,4525,27,45,72,0,0,0,0,0,0,11,21,33,7,13,16,0,0,5,45,76,127,0,0,0,0,0,0,0,3,6,0,5,5,0,0,0,5,11,17,32,15,45,80,104,185,13,23,40,0,0,6,4,0,4,18,25,42,74,133,198,254,264,520,24,12,34,3117,2386,5503
POA6110,167,192,359,113,79,198,0,4,4,0,0,0,52,26,72,7799,6199,13995,436,504,939,145,5,150,43,4,46,32,5,34,185,38,225,54,65,120,9018,7126,16146,149,156,306,0,0,0,0,0,0,92,88,180,22,19,41,7,4,11,272,263,535,0,0,0,0,0,0,9,20,29,11,22,30,8,4,6,20,44,67,75,41,118,374,347,719,55,64,117,5,0,4,0,0,5,59,70,130,409,601,1013,879,1136,2020,48,31,78,10793,9313,20104
POA6111,119,149,272,36,17,52,4,0,4,0,0,0,10,6,16,3904,3232,7141,205,195,399,91,7,98,37,4,41,19,3,21,90,17,105,53,44,97,4574,3677,8249,41,53,96,0,0,0,0,0,0,64,50,112,14,8,17,9,0,13,125,119,240,0,0,0,0,0,0,4,9,6,5,8,10,4,0,3,11,14,16,46,13,60,178,136,316,15,24,39,0,0,0,3,0,5,15,30,48,252,432,680,566,661,1232,23,20,41,5600,4953,10561
POA6112,325,326,650,142,123,258,4,0,10,0,0,6,53,33,87,12286,10260,22544,639,771,1411,161,10,169,53,4,61,48,7,58,309,82,394,105,115,218,14129,11734,25865,196,213,409,0,0,0,0,0,0,223,156,376,10,27,45,10,9,22,445,409,852,0,0,0,0,0,0,6,19,24,10,18,23,9,0,8,22,36,62,140,61,197,609,506,1111,85,122,207,7,4,17,3,3,8,98,131,226,737,1088,1824,1549,2144,3686,90,52,146,17209,15648,32854
POA6121,10,11,15,3,4,4,0,0,0,0,0,0,0,0,0,518,470,987,25,27,50,56,4,61,3,0,3,0,0,0,9,0,12,24,15,42,643,530,1178,0,0,0,0,0,0,0,0,0,8,11,22,0,0,0,0,0,0,8,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,14,15,32,3,0,3,0,0,0,0,0,0,3,0,3,68,136,207,91,112,203,6,0,4,828,792,1623
POA6122,37,63,104,50,17,68,0,0,3,0,0,0,9,11,20,3827,3471,7305,202,231,432,110,9,117,12,0,12,13,0,13,107,29,141,39,38,72,4418,3870,8289,18,19,35,0,0,0,0,0,0,56,44,102,9,7,18,0,0,0,78,72,155,0,0,0,0,0,0,0,3,10,0,3,4,0,0,4,3,7,14,48,20,68,131,102,239,12,28,41,0,0,5,4,0,4,15,32,45,211,410,622,600,719,1321,21,23,43,5402,5159,10557
POA6123,8,0,5,5,0,9,0,0,0,0,0,0,0,0,3,375,314,683,23,17,43,18,0,18,0,0,0,0,0,0,4,4,10,8,3,11,442,348,795,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,9,21,0,3,6,0,0,0,0,0,0,6,3,8,20,37,57,80,74,161,5,3,11,562,480,1034
POA6124,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,174,169,345,12,9,14,4,0,4,0,0,0,0,0,0,9,0,8,14,7,19,217,187,401,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,7,4,8,0,0,0,0,0,0,0,0,0,4,0,4,16,33,59,38,36,81,4,3,11,289,271,558
POA6125,4,4,10,10,3,8,0,0,0,0,0,0,0,0,0,494,475,965,37,24,62,31,3,35,0,0,0,0,0,0,17,3,19,18,19,37,608,532,1135,0,0,0,0,0,0,0,0,0,12,6,18,0,0,0,0,0,0,10,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,4,15,23,16,41,0,0,0,0,0,0,0,0,0,0,0,0,77,133,213,109,105,207,7,8,15,823,789,1609
POA6126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,62,0,5,5,5,0,5,0,0,4,0,0,0,0,0,0,0,5,6,37,38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,23,11,5,17,0,4,3,57,64,121
POA6147,34,51,77,63,75,141,0,0,0,0,0,0,27,15,37,2703,2074,4773,132,185,318,30,0,39,18,3,24,25,8,31,53,16,71,7,19,27,3098,2440,5538,59,63,121,0,0,0,0,0,0,41,27,72,0,11,13,0,4,3,102,105,209,0,0,0,0,0,0,12,7,18,0,4,3,5,0,3,17,10,29,24,10,34,137,128,265,27,28,53,0,0,0,0,0,0,31,29,56,136,202,339,318,385,705,8,20,27,3729,3201,6929
POA6148,84,71,153,71,79,149,0,0,0,0,0,4,13,10,21,2977,2662,5640,127,230,349,35,0,32,13,0,13,56,14,65,56,8,63,15,33,47,3446,3094,6540,139,102,240,0,0,0,0,0,0,48,28,78,5,5,13,3,0,6,207,136,337,0,0,0,0,0,0,4,3,13,10,16,30,0,0,0,18,27,45,25,22,45,249,180,429,24,23,55,5,6,9,0,0,0,28,32,61,379,426,794,351,529,884,19,21,39,4466,4279,8747
POA6149,192,129,322,38,43,82,0,0,0,0,0,0,12,7,18,2847,2651,5496,140,226,366,31,0,31,16,3,18,55,10,65,42,10,50,19,52,71,3396,3127,6524,191,127,318,0,0,0,0,0,0,49,34,86,8,12,18,10,0,10,260,177,433,0,0,0,0,0,0,3,5,11,9,5,12,4,0,6,14,9,26,34,17,54,304,205,513,39,22,59,0,0,5,0,0,0,39,20,60,477,456,931,398,608,1008,13,14,19,4629,4432,9060
POA6150,132,84,222,49,31,85,0,0,0,0,0,0,9,6,14,1879,1686,3567,110,176,286,16,0,16,7,0,7,32,4,39,30,4,34,28,36,65,2304,2039,4347,112,81,195,0,0,0,0,0,0,27,18,47,6,14,22,8,0,7,158,113,270,0,0,0,0,0,0,7,7,14,0,0,3,0,0,0,6,8,15,22,11,27,184,127,308,16,17,35,0,0,0,0,0,0,16,22,37,324,315,641,280,447,728,20,7,25,3127,2959,6085
POA6151,4,3,11,406,349,756,21,21,43,0,0,0,23,43,64,2787,2447,5228,145,280,426,17,0,17,21,3,22,160,40,198,75,24,99,90,81,169,3739,3284,7026,25,37,57,3,0,4,0,0,0,5,12,18,0,0,0,0,0,0,31,50,86,12,3,10,0,0,0,13,14,25,5,11,21,16,7,19,47,36,79,32,20,56,112,105,217,10,14,20,3,4,10,0,0,3,14,18,35,527,546,1073,371,557,931,15,10,26,4776,4524,9295
