SOS_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
SOS10,2025,51096,64140,39638,27536,17129,6801,1447,209817,463,6208,8791,7921,6304,4892,1583,307,36477,31577,129054,109749,74134,53250,36236,15214,4100,453313,13730,36821,43966,39750,30326,18795,8529,2532,194452,30368,73501,68195,69026,65038,44861,26029,8079,385095,3215,3136,2788,2356,2110,1465,685,142,15901,2182,4028,5491,6476,6969,6228,3301,915,35579,35769,80662,76472,77854,74113,52560,30013,9138,436580,1213,3166,3388,2819,2440,2192,1453,537,17202,21931,33579,28683,21853,18740,16063,13694,8701,163249,106718,340587,335187,263970,212720,147862,77287,26757,1511089,3182,65640,68385,37404,21731,11642,3478,570,212037,1859,12570,14879,13008,10494,7769,2313,428,63331,42151,164730,136835,90226,56559,33706,12710,3725,540643,17546,46912,52521,53967,42018,26939,11964,3845,255705,23991,43582,41611,39694,31655,14525,4834,1675,201565,4297,4023,4742,5658,5442,3468,1102,311,29043,3006,4760,6958,11804,13188,10520,5101,1846,57188,31291,52366,53316,57160,50283,28512,11040,3830,287795,1146,3055,3382,3115,3527,3612,2171,733,20753,18931,30389,25827,20350,19539,20336,20386,17840,173602,116119,375665,355145,275229,204142,132523,64068,30970,1553864,5209,116737
SOS11,139,3332,4004,3510,3368,3328,1460,328,19467,31,759,1264,1450,1647,1873,576,70,7669,2057,11736,11330,9642,8154,8486,3628,929,55962,1107,5509,7582,8277,8076,7051,3315,881,41800,12391,32269,28455,27809,29963,24604,13333,3577,172394,1491,1539,1023,830,776,670,259,60,6639,579,1007,1218,1421,1813,2196,1333,335,9909,14457,34815,30694,30062,32554,27472,14924,3968,188942,199,402,429,438,476,638,488,180,3244,7956,9644,8629,8152,7740,7816,6672,3523,60135,25948,66187,63936,61529,62013,56654,31069,9880,377222,219,5388,5625,4442,3918,2778,833,140,23352,382,2611,3214,3230,3273,2848,823,119,16498,4286,21913,20285,15566,12364,10328,4362,1182,90289,2909,10583,11918,13228,13573,10587,4893,1413,69098,11423,22466,19519,18515,16554,8127,2199,651,99456,1952,2207,1759,1938,2337,1794,533,129,12647,998,1510,1736,2915,4273,4161,2069,664,18329,14366,26185,23019,23371,23166,14085,4807,1445,130430,189,425,442,540,830,1182,843,308,4757,6802,7577,6992,6987,8147,9904,10551,7283,64234,29150,74694,71496,67364,65260,51716,27095,11893,398660,362,8723
SOS12,6,166,313,363,383,395,183,21,1817,0,48,101,149,202,222,53,3,769,151,758,943,998,1088,976,343,45,5298,94,379,656,857,946,800,278,45,4050,1089,2706,2836,3311,3696,3130,1211,233,18214,100,102,77,76,87,90,26,5,558,45,91,128,149,214,269,118,23,1033,1235,2904,3037,3534,4000,3487,1360,259,19804,16,25,31,39,59,73,42,10,303,758,703,767,887,1054,1145,677,260,6256,2255,4980,5850,6818,7722,7103,2931,644,38308,15,313,487,460,479,350,69,7,2191,28,197,294,341,383,328,62,12,1625,300,1615,1845,1760,1569,1160,301,53,8604,225,805,1132,1443,1566,1125,376,78,6747,921,1685,1728,1877,1901,878,179,27,9198,178,187,188,214,287,175,56,10,1296,96,101,132,311,481,409,128,21,1680,1194,1973,2046,2401,2673,1462,367,59,12169,19,23,34,66,95,128,58,19,444,712,688,753,845,1050,1213,867,403,6534,2487,5620,6588,7315,7814,5771,2101,626,38313,21,478
SOS13,19,503,993,1516,1797,1702,669,94,7291,11,140,329,571,678,711,151,10,2601,810,3024,3738,4749,4572,4498,1390,222,23010,419,1364,2481,3907,4055,3098,1106,182,16602,4840,9508,10929,13785,15176,10338,4072,707,69356,451,361,339,354,431,265,84,10,2301,200,277,454,723,1000,1005,396,57,4114,5495,10137,11731,14866,16608,11608,4551,775,75769,58,91,133,174,256,257,151,29,1154,3547,3360,3686,4231,4814,4329,2409,680,27040,10361,18614,23083,30016,32775,26206,10421,1990,153464,58,1123,1871,2163,2038,1380,301,26,8960,89,631,1092,1461,1582,1208,223,32,6303,1395,6126,8021,8306,6795,4720,1305,214,36885,930,2857,4110,6018,6394,4268,1428,241,26244,3200,5432,5953,6877,6203,2616,571,91,30935,593,537,645,920,1061,619,140,25,4539,376,431,666,1355,1912,1485,525,100,6845,4171,6400,7255,9154,9170,4718,1237,213,42324,84,124,152,237,386,403,235,47,1668,2932,2532,3095,3861,4647,4247,2530,835,24689,9665,19790,25592,31196,31012,20951,7257,1607,147074,78,1624
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,3416,51949,52241,29723,19545,12167,5204,948,175195,580,6989,9806,9171,7617,5440,1610,279,41485,28625,111883,98751,64689,42312,27900,11268,3119,388550,12848,37789,41390,33061,24664,17771,8745,2443,178709,27054,69165,59693,59566,52869,33770,19464,6204,327778,3450,3172,2449,1876,1426,820,311,71,13577,1606,3421,4416,4711,4422,3366,1737,518,24197,32113,75753,66554,66145,58725,37957,21510,6793,365554,930,2488,2687,1801,1561,1439,990,399,12293,17370,27590,21929,17455,14244,12107,10508,6198,127405,95883,314440,293351,222051,168661,114784,59844,20180,1289199,4176,64102,57354,29140,16594,8740,2624,491,183211,1957,16510,19781,18018,13091,8068,2460,405,80303,38547,142804,119868,77614,45245,28013,10918,3110,466112,14958,44265,48478,45788,34044,21644,9558,3171,221916,19049,39047,36138,34979,27335,12799,4115,1411,174869,3378,3563,3679,3513,3255,2135,671,151,20341,2243,4093,5506,7769,7586,5358,2791,1123,36471,24670,46703,45332,46258,38185,20292,7582,2684,231686,872,2375,2414,1876,1917,1996,1369,619,13447,15453,25204,20820,16696,15160,16335,16262,12834,138762,100636,341961,314040,235395,164235,105090,50779,23310,1335438,7590,116046
SOS21,115,2209,2849,2015,1749,1546,632,107,11221,41,578,1094,1149,1237,1241,361,49,5743,1385,7967,8179,6049,4777,4491,1823,390,35053,1035,4819,5744,5330,5048,4805,2171,494,29453,7605,21443,18705,17699,17030,13035,6511,1764,103791,909,860,645,466,359,276,95,18,3630,314,621,744,798,886,980,502,132,4987,8820,22926,20095,18968,18283,14292,7111,1918,112408,91,237,313,213,232,286,210,75,1657,3999,4614,4418,4304,4310,4405,3998,2145,32193,15482,43348,42684,38029,35643,31064,16305,5173,227733,267,4027,3859,2547,2048,1383,364,44,14533,343,2663,3094,2787,2466,1872,531,64,13819,2854,14726,13759,9663,7073,5841,2367,576,56857,2119,8488,9266,8909,8062,6074,2730,724,46365,5656,13420,11957,10922,9486,4738,1193,300,57669,970,1147,1179,1069,1029,760,198,57,6417,514,844,1078,1459,1449,1240,550,206,7341,7141,15417,14216,13452,11967,6735,1943,564,71430,95,281,283,254,310,448,377,160,2203,3720,4613,4454,4236,4676,6017,6078,4332,38120,16538,50207,48938,41845,36596,28359,14382,6466,243331,380,6235
SOS22,8,113,199,222,234,246,96,6,1133,6,43,106,127,147,172,44,6,640,132,596,683,661,642,608,187,34,3549,78,303,474,518,598,580,230,36,2819,669,1893,2003,2057,2347,1645,684,150,11449,74,61,46,43,41,44,13,4,321,16,49,67,66,112,130,57,16,522,763,2007,2116,2170,2494,1818,753,170,12287,3,19,19,26,29,32,16,13,163,549,460,447,583,684,736,454,196,4105,1536,3534,4040,4321,4831,4202,1779,453,24697,8,253,329,301,304,224,47,4,1472,24,192,272,317,332,204,47,10,1394,274,1200,1295,1149,1022,727,252,51,5966,161,644,841,906,1009,743,271,60,4639,491,1058,1027,1060,1134,527,134,15,5445,81,106,100,103,144,74,20,0,637,40,67,83,126,162,146,54,6,685,615,1230,1206,1292,1430,745,212,24,6765,7,18,18,30,37,44,29,9,199,517,387,476,553,739,733,584,394,4379,1608,3930,4438,4554,4872,3412,1441,554,24805,16,365
SOS23,38,383,616,942,1131,1044,384,53,4592,9,138,330,512,661,665,134,14,2457,578,2211,2851,3137,3120,2959,942,112,15907,380,1135,2056,2772,2947,2776,994,119,13180,3336,7250,8418,10666,11398,7068,2539,421,51097,325,258,223,169,223,178,52,4,1434,116,195,295,409,566,504,192,29,2301,3784,7698,8940,11242,12191,7746,2781,450,54835,28,59,84,111,139,136,102,16,686,2299,1859,2256,2846,3339,3191,1807,488,18080,7107,13486,17130,21570,23518,18525,7143,1251,109727,54,932,1293,1534,1409,909,191,19,6332,99,709,1175,1535,1479,1002,211,16,6223,1033,4488,5836,5728,4834,3405,958,144,26438,752,2406,3450,4595,4732,3026,969,156,20080,1820,3797,4230,4770,4422,1873,396,71,21381,429,356,512,475,543,305,61,7,2689,187,267,413,703,793,547,187,34,3133,2445,4422,5151,5946,5756,2732,643,121,27201,29,98,88,142,193,218,108,28,906,2128,1641,2090,2738,3357,3192,1899,590,17637,6550,14679,19079,22226,21755,14479,4975,1071,104812,94,1315
SOS27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,3,6,0,0,0,16,0,6,4,9,6,0,0,0,21,0,3,17,26,13,0,0,0,68,0,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,8,0,3,24,29,23,0,0,0,80,0,0,0,0,0,0,0,0,0,4,19,92,120,95,13,0,0,338,7,26,124,161,129,17,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,8,13,16,0,0,0,49,0,20,14,19,18,0,0,0,63,0,0
SOS30,950,16752,23143,17412,12480,8294,3442,623,83103,378,4332,5458,5871,4547,3068,988,164,24804,15289,56355,52053,39412,25224,18476,7895,1775,216491,8987,20931,25548,25815,20656,14007,6265,1423,123635,31893,65020,60171,56465,49891,36268,19130,5025,323867,7280,3330,2133,1544,1068,732,333,58,16479,2214,2810,3748,3734,3268,3177,1787,456,21198,41388,71161,66050,61738,54220,40186,21254,5545,361537,659,1320,1519,1412,1168,1214,913,305,8503,15088,19546,16065,14102,11586,10910,9009,4746,101057,82737,190394,189842,165766,129888,96153,49762,14589,919127,1380,22952,27254,17725,10916,5812,1588,209,87836,1348,10306,11690,11011,7686,4892,1371,243,48550,23907,82692,75419,52961,31182,19699,7696,1830,295385,13949,32250,36166,36554,27979,17128,7138,1859,173026,29355,40721,37648,35779,27878,13199,3539,814,188926,6852,4088,3289,2924,2689,2027,583,107,22554,2803,3557,4900,6420,6352,5153,2242,680,32118,39008,48375,45836,45123,36916,20374,6362,1599,243600,744,1267,1522,1486,1559,1643,1147,403,9781,14178,19273,16049,13665,12763,13308,13086,9805,112126,94515,217109,213945,178538,128997,82865,38388,15944,970306,2326,39708
SOS31,55,1176,1484,1482,1390,1218,475,91,7372,33,465,618,814,855,740,220,38,3788,1282,5653,5532,4654,3818,3521,1311,249,26014,681,2769,3974,4852,4974,4131,1647,328,23356,8166,20851,19896,18880,18789,15650,7325,1536,111092,2285,1083,672,485,376,299,117,17,5328,526,641,799,898,904,1050,534,120,5478,10977,22576,21365,20263,20081,17000,7970,1669,121898,109,263,243,290,307,346,297,77,1935,5302,7040,6469,6515,6355,5547,3991,1748,42965,18440,39945,39684,38873,37773,32501,15904,4203,227331,102,1843,2135,1896,1582,1021,221,27,8836,234,1502,1771,1827,1551,1092,291,33,8296,2921,11754,11202,8301,6384,4639,1797,392,47391,1694,5863,7189,7812,7601,5019,1939,445,37550,7687,13436,12617,11388,9988,4710,1111,186,61115,2396,1557,1359,983,906,693,182,23,8102,700,944,1218,1484,1553,1348,550,125,7930,10780,15945,15193,13858,12449,6749,1839,329,77141,112,227,225,275,350,428,293,91,2010,4587,5548,4990,4922,5291,5889,5227,3072,39536,20422,42689,42705,38890,35199,24842,11603,4401,220759,156,3023
SOS32,4,93,144,183,247,269,91,3,1033,0,56,68,107,148,129,43,0,562,137,499,586,675,669,772,240,40,3628,80,266,520,743,958,851,308,38,3759,1014,2520,2782,3062,3678,3330,1310,172,17869,313,150,118,108,91,68,30,0,875,66,68,108,152,182,229,94,11,907,1396,2730,3003,3324,3952,3627,1432,186,19649,15,25,25,38,53,64,45,9,278,843,911,891,1100,1249,1282,759,184,7217,2475,4588,5250,6177,7274,6987,2922,460,36129,11,167,298,311,351,212,48,0,1398,23,151,229,276,324,268,55,3,1317,328,1216,1358,1266,1235,950,285,31,6668,202,691,961,1255,1470,1016,325,49,5970,890,1693,1712,1736,1829,904,159,23,8938,287,214,215,181,210,115,37,0,1259,79,114,157,213,327,267,83,7,1241,1257,2022,2081,2129,2358,1290,278,29,11436,12,16,34,45,61,74,38,13,299,818,856,796,932,1207,1305,831,252,7005,2641,5122,5755,6212,7002,5116,1863,380,34091,15,260
SOS33,17,265,590,880,1008,868,310,37,3964,13,129,241,390,469,446,84,9,1781,534,1900,2511,3011,2715,2358,764,101,13896,382,949,1894,2998,3205,2354,782,82,12647,3849,8700,10251,11545,12192,9088,3052,416,59095,816,377,247,280,259,185,55,4,2226,181,251,377,592,689,631,256,33,3017,4850,9325,10878,12425,13143,9901,3367,452,64335,53,63,99,152,195,238,119,20,937,3101,3821,4310,5286,5136,3863,1948,411,27877,8950,16448,20515,25146,25866,20026,7379,1110,125431,29,531,1077,1286,1165,684,146,8,4930,66,474,795,1055,1044,646,153,16,4254,1077,4459,5850,5533,4369,2841,826,120,25079,796,2169,3344,4657,4634,2779,801,119,19307,2996,4728,5103,5638,5281,2322,404,55,26529,878,496,501,554,557,371,76,7,3443,286,355,560,854,986,660,220,23,3944,4154,5576,6160,7049,6822,3350,710,87,33916,55,87,111,157,228,259,103,16,1024,2520,2695,2807,3517,3948,3530,1863,442,21321,8702,15995,20148,23254,22218,14099,4602,806,109829,47,796
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,3,0,0,0,3,0,14,3,9,0,5,0,0,34,0,0,8,0,0,0,0,0,10,0,0,0,4,0,0,0,0,4,0,17,15,12,4,3,0,0,50,0,0,0,0,0,0,0,0,0,4,40,73,48,16,6,0,0,197,9,58,95,64,26,12,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,12,3,0,0,0,0,0,29,13,24,7,4,4,0,0,0,47,0,0
SOS40,573,7994,8895,5657,4021,3059,1383,342,31928,127,1451,1865,1845,1711,1367,451,76,8899,5861,21352,18478,12599,8978,7406,3125,763,78564,2129,6484,8043,7911,7136,5644,2491,620,40450,8536,19904,17946,18101,17153,12922,7136,2363,104060,1481,1584,983,659,504,347,126,32,5710,445,766,1081,1269,1323,1335,711,242,7172,10463,22252,20005,20030,18977,14609,7968,2633,116937,260,522,558,479,394,405,346,138,3099,3447,4568,4096,3751,3393,3103,2573,1611,26553,22870,64624,61943,52278,44613,35586,18332,6176,306423,588,10860,10197,5491,3756,2330,704,103,34036,303,2936,3816,3302,2959,2207,648,102,16259,8287,28737,24881,16424,10887,7723,3128,925,100987,2063,7917,9902,10619,9860,6937,2740,862,50905,8100,13753,12566,11455,9622,4686,1460,488,62138,1338,1700,1481,1199,989,663,203,64,7631,694,1071,1468,2205,2132,1743,874,338,10527,10130,16520,15517,14854,12742,7096,2537,894,80290,237,481,487,446,510,541,369,134,3201,3308,4180,3720,3476,3474,4134,4488,3194,29979,24919,71629,68518,54607,44182,30958,14624,6213,315653,1163,18856
SOS41,38,479,649,623,566,500,232,35,3130,3,170,238,284,348,349,132,15,1536,416,1983,2084,1981,1480,1613,663,152,10372,198,875,1338,1721,1807,1743,766,150,8597,2599,6811,5952,6021,6084,5046,2631,718,35864,405,509,305,212,189,122,45,11,1805,116,209,267,352,380,454,247,56,2084,3124,7530,6521,6585,6660,5624,2923,783,39753,61,94,104,85,117,128,110,39,739,1256,1329,1301,1503,1612,1541,1361,650,10560,5096,12467,12239,12777,12583,11510,6184,1830,74686,62,865,907,767,571,413,115,18,3710,73,503,678,728,658,613,151,25,3427,1078,4128,3947,3163,2357,1953,848,217,17681,314,1733,2284,2855,2937,2294,940,229,13581,2464,4622,4196,4103,3457,1895,498,124,21363,446,636,567,425,381,288,73,13,2825,199,318,453,594,547,523,251,78,2963,3103,5579,5212,5125,4377,2703,821,220,27157,38,65,85,114,122,138,124,40,728,1053,1191,1187,1276,1477,1990,2053,1270,11493,5722,14072,14297,14027,12508,10103,5047,2017,77778,101,1344
SOS42,0,48,50,42,71,60,27,3,312,3,10,24,35,61,59,18,0,204,43,218,208,206,194,236,80,12,1202,20,79,141,221,302,289,102,17,1172,355,935,904,961,1230,985,374,80,5820,56,69,47,31,42,26,5,4,273,10,30,44,53,85,86,40,5,360,418,1035,998,1049,1352,1096,419,88,6457,5,7,17,23,18,26,22,7,122,247,217,265,316,429,469,308,136,2388,741,1623,1694,1888,2425,2245,969,265,11845,11,113,90,71,103,64,16,6,464,3,52,71,83,109,92,18,0,431,113,525,485,373,378,352,120,22,2355,38,205,305,409,533,356,120,30,2005,289,564,576,611,655,320,60,13,3089,67,95,84,60,70,40,5,6,427,25,50,51,91,104,85,35,14,450,378,712,705,765,833,448,107,26,3968,0,10,13,18,18,26,17,11,112,223,201,233,295,402,451,364,221,2380,775,1815,1898,2011,2362,1779,758,310,11714,12,168
SOS43,11,126,203,281,317,302,116,7,1376,4,30,86,125,178,153,32,0,609,226,813,946,1005,942,855,289,35,5100,71,331,617,944,986,865,242,29,4083,1240,2783,3080,3456,3651,2407,855,125,17602,169,149,132,125,94,59,17,0,757,41,84,145,233,254,252,80,14,1102,1451,3019,3358,3810,4008,2717,956,141,19459,15,44,71,59,78,70,39,4,375,830,1005,1011,1234,1334,1008,563,126,7111,2606,5361,6288,7466,7836,5976,2233,350,38113,10,253,362,407,347,233,54,5,1667,16,168,292,348,384,239,45,5,1501,429,1584,1954,1683,1367,986,270,34,8316,124,577,965,1462,1588,1073,288,33,6101,888,1441,1649,1783,1690,683,126,20,8284,144,178,226,202,181,108,21,0,1068,77,82,170,288,295,187,58,4,1170,1106,1705,2049,2274,2165,981,200,30,10519,12,42,42,54,64,68,48,17,342,654,607,620,871,1047,961,543,171,5479,2354,4934,6282,7097,6972,4549,1453,296,33934,18,381
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,9,0,0,12,7,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,776,10301,14179,10026,7017,4644,1925,402,49269,183,2378,3317,3270,2660,1648,576,83,14100,8562,31439,32638,23652,16005,11257,4400,1053,129002,4087,11936,15181,13542,11046,8719,4087,983,69584,15022,34611,32375,29425,28018,20174,10058,2763,172444,5060,2029,1120,778,558,386,139,25,10101,871,1292,1643,1850,1715,1562,854,229,10009,20947,37938,35138,32054,30288,22119,11054,3020,192553,484,953,1242,1111,880,864,641,233,6411,6089,8555,8112,6790,5506,4943,4321,2699,47017,41122,103502,109807,90435,73403,54199,26997,8478,507944,858,13803,15582,9332,5473,2853,771,141,48818,611,5655,6902,6065,4538,2575,770,138,27267,12009,46795,45343,29961,18065,11395,4599,1251,169412,5545,15968,18721,18144,15495,9752,4182,1301,89102,14559,22639,19942,17456,13051,6335,1843,522,96350,5011,2458,2115,1820,1584,1052,412,87,14539,1239,1768,2831,4011,3918,2911,1493,534,18700,20813,26865,24881,23284,18551,10297,3751,1144,129584,420,1000,1199,1124,1139,1288,861,312,7343,5873,8639,7815,6518,6229,6905,6978,5442,54399,46121,118729,120443,94428,69491,45052,21913,9736,525913,1639,24110
