SOS_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SOS10,6909,149730,9213,206,166058,9428,171127,13401,476,194436,23121,381004,32442,1303,437868,36595,353924,26576,984,418077,44415,291743,19317,844,356315,43810,250581,15602,946,310942,25978,193250,11945,1057,232234,13389,106934,10046,337,130709,4228,35670,7037,81,47015,207877,1933968,145575,6238,2293651,7650,140060,8220,201,156131,11178,161425,10824,465,183893,33604,384258,28448,1145,447460,55472,346684,23167,757,426071,69861,284238,16691,786,371567,67373,245166,13829,1610,327972,38171,205806,12622,1336,257931,15811,124270,12960,369,153408,3255,58258,13996,109,75615,302356,1950171,140751,6771,2400041,14564,289789,17426,402,322182,20603,332555,24227,940,378324,56720,765262,60887,2446,885325,92064,700609,49740,1740,844154,114271,575977,36002,1629,727882,111186,495748,29425,2557,638913,64152,399058,24566,2394,490170,29194,231205,23004,710,284115,7474,93927,21035,195,122624,510231,3884140,286326,13003,4693696
SOS11,2137,40232,3987,27,46380,2235,36526,4131,130,43022,6159,78617,9191,420,94391,9048,70609,8028,250,87937,12014,70753,7129,137,90032,14452,75745,6286,119,96608,11214,76845,5671,92,93830,6292,45289,4646,48,56269,1793,14451,2522,9,18780,65345,509075,51599,1241,627259,2476,37887,3601,23,43990,3137,35694,3113,79,42029,10671,80120,7062,239,98089,16021,70403,6227,118,92777,20656,69707,5546,101,96012,24361,76116,5422,154,106051,16566,79372,5685,93,101718,7335,52374,6118,57,65891,1433,24831,4848,8,31125,102672,526503,47624,880,677675,4611,78122,7586,52,90375,5369,72222,7249,211,85056,16833,158736,16252,656,192475,25078,141013,14258,365,180712,32672,140464,12674,233,186050,38817,151857,11711,270,202663,27780,156212,11361,188,195537,13627,97662,10772,110,122166,3232,39284,7367,24,49901,168015,1035578,99225,2115,1304929
SOS12,217,3694,480,3,4391,189,2953,292,9,3440,488,5924,687,53,7150,825,6331,709,17,7882,1257,7578,782,21,9639,1744,9209,869,7,11827,1287,9060,847,9,11201,585,4330,488,7,5407,151,963,203,4,1314,6738,50031,5350,135,62252,243,3497,421,0,4162,256,2674,281,8,3220,822,5951,632,42,7450,1402,6316,656,12,8388,2173,7347,661,3,10191,2779,8551,748,10,12089,1756,8212,746,6,10724,584,3987,524,0,5100,94,1365,285,3,1744,10110,47904,4957,97,63070,456,7185,903,5,8550,443,5627,568,22,6655,1314,11878,1328,94,14603,2232,12646,1363,31,16279,3428,14928,1440,25,19828,4523,17759,1614,21,23923,3043,17274,1593,19,21927,1172,8315,1011,8,10503,240,2329,486,5,3061,16848,97937,10305,230,125324
SOS13,863,16526,2111,5,19501,758,12124,1583,49,14512,1750,20817,3232,163,25966,3075,24148,3450,92,30763,5439,32047,3832,55,41370,7118,37217,4163,36,48531,4611,33435,3442,39,41523,1858,14729,1815,9,18412,389,3087,490,4,3969,25856,194132,24104,466,244555,1021,14726,1723,10,17477,936,10301,1115,57,12412,2814,20271,2316,121,25523,5250,23708,2864,72,31893,8823,30003,3323,42,42190,10790,32292,3480,37,46604,5965,27063,2804,29,35858,1936,12030,1607,13,15588,278,3379,610,3,4275,37823,173777,19835,393,231818,1885,31252,3831,20,36983,1696,22426,2694,107,26926,4568,41090,5547,287,51485,8323,47855,6317,167,62657,14263,62050,7146,100,83560,17909,69512,7638,79,95131,10577,60499,6239,62,77380,3796,26760,3426,20,33997,668,6470,1102,10,8247,63676,367903,43941,853,476377
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,16,0,10,0,0,10,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,29,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,15,0,0,18,0,8,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,28,0,3,38
SOS20,5937,128558,7362,200,142052,8848,151961,11057,421,172279,23409,345419,27999,936,397759,35180,307791,21429,733,365134,44641,245703,15656,777,306770,43160,200072,11678,823,255732,25782,153426,8762,814,188778,13241,87612,7326,268,108445,4270,31530,4408,74,40289,204470,1652061,115671,5038,1977238,6774,121427,6766,188,135158,11401,143353,8974,365,164092,34903,344164,23925,828,403827,53481,300953,18609,526,373576,72286,237104,13700,651,323749,69074,193096,10725,1352,274248,39535,165498,9972,1130,216134,15974,105945,9336,336,131591,3058,53689,8335,82,65161,306494,1665239,110333,5466,2087531,12713,249982,14126,390,277207,20249,295312,20025,784,336373,58317,689581,51919,1768,801583,88662,608746,40043,1254,738707,116924,482808,29355,1435,630521,112235,393169,22405,2168,529979,65316,318928,18727,1945,404915,29215,193553,16661,603,240031,7336,85219,12743,151,105452,510961,3317294,226005,10508,4064770
SOS21,1307,24963,2214,17,28506,1515,22622,1872,38,26048,4303,51840,4569,158,60864,6440,47448,4201,101,58197,8086,45441,3809,69,57411,9395,45434,3439,81,58342,7273,43961,3223,56,54520,3746,24811,2691,20,31265,939,8182,1531,10,10660,43017,314705,27541,549,385811,1632,22920,2008,7,26567,2053,21037,1627,51,24768,7330,52747,4261,111,64442,11217,47376,3978,82,62651,14482,44243,3377,73,62168,16284,45278,3119,82,64762,10891,46026,3447,82,60446,4373,28741,3508,27,36651,698,14269,2761,18,17744,68953,322639,28088,527,420211,2939,47887,4223,20,55070,3566,43665,3499,89,50820,11635,104581,8826,264,125313,17660,94825,8184,186,120850,22564,89688,7188,141,119585,25679,90713,6554,165,123109,18173,89987,6670,137,114966,8118,53548,6196,50,67913,1633,22458,4288,24,28404,111974,637348,55627,1076,806023
SOS22,123,2142,310,4,2579,151,1915,235,11,2315,349,4077,412,34,4872,596,4167,425,15,5203,905,4804,501,13,6226,1187,5935,556,0,7677,892,5709,562,3,7163,363,2663,326,3,3354,85,697,149,0,930,4662,32116,3462,79,40320,161,2088,299,0,2552,161,1762,229,7,2159,576,4030,382,26,5007,1000,4084,448,5,5534,1473,4576,455,9,6510,1965,5400,543,12,7915,1157,4984,415,5,6568,442,2488,341,7,3275,64,1082,243,0,1392,6995,30499,3353,67,40918,286,4231,612,3,5137,312,3679,465,16,4473,923,8108,788,63,9882,1594,8251,871,15,10736,2375,9384,954,17,12736,3152,11337,1094,16,15597,2042,10697,977,9,13730,809,5148,664,5,6625,153,1782,391,0,2320,11655,62617,6817,146,81236
SOS23,696,11565,1464,7,13739,682,8738,1032,24,10476,1400,15080,2670,61,19211,2487,17914,2907,40,23343,4410,23570,2984,30,30987,5787,27458,2940,16,36209,3901,24680,2565,17,31162,1444,10727,1376,12,13561,279,2158,393,0,2832,21088,141888,18335,198,181510,769,10554,1333,0,12667,789,7345,717,25,8871,2211,14743,1519,51,18518,4085,17430,1929,14,23459,7390,21632,2309,13,31342,9118,23348,2457,26,34950,4934,19762,1992,19,26705,1444,8464,1229,3,11143,171,2386,423,4,2983,30915,125661,13906,160,170635,1468,22120,2800,14,26402,1468,16084,1750,44,19341,3612,29821,4184,118,37732,6574,35346,4835,45,46805,11802,45195,5287,42,62328,14911,50807,5401,40,71155,8830,44441,4555,32,57867,2888,19193,2601,16,24700,454,4545,819,4,5817,52003,267550,32246,354,352148
SOS27,0,0,0,0,0,0,4,9,0,4,4,12,19,0,30,3,39,84,0,131,3,43,121,0,163,3,35,99,0,141,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,16,138,335,0,493,0,0,0,0,0,0,0,0,0,0,0,7,16,0,17,0,5,8,0,14,0,7,13,0,18,0,6,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,72,0,0,0,0,0,0,4,9,0,4,4,13,38,0,52,3,43,96,0,140,3,48,129,0,182,3,49,111,0,158,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,16,159,383,0,565
SOS30,4708,102495,6598,156,113953,5359,107869,9137,439,122802,13683,221715,20238,1284,256926,21193,206206,15972,640,244003,26807,185987,12944,568,226305,26020,153593,9808,627,190049,18016,125008,8488,628,152134,9645,68437,6326,251,84656,2490,20236,3389,56,26176,127915,1191545,92903,4647,1417003,5412,98251,6147,156,109966,6907,108370,8028,388,123691,21928,229878,18056,981,270845,36406,210705,14346,486,261947,45623,186013,11426,487,243551,43712,154282,9337,800,208129,27252,133633,8493,681,170056,11176,78537,8024,225,97972,1751,34098,6702,67,42619,200166,1233770,90555,4264,1528766,10116,200740,12746,312,223919,12259,216241,17157,827,246490,35609,451591,38296,2263,527767,57590,416903,30323,1127,505947,72427,372006,24362,1057,469859,69734,307873,19145,1426,398179,45270,258637,16980,1304,322187,20827,146978,14353,479,182628,4237,54336,10096,123,68796,328080,2425315,183460,8911,2945773
SOS31,1284,24875,2600,22,28779,1215,21574,2926,258,25974,3199,47116,7430,912,58669,5105,43505,6493,323,55429,6547,44679,6156,106,57491,7513,46774,5558,123,59965,6231,45460,4485,93,56267,3461,24418,2848,46,30771,800,6744,1232,13,8788,35349,305142,39738,1902,382130,1417,23182,2291,18,26908,1591,21468,2272,137,25469,5934,48604,5244,475,60263,9573,44312,4439,134,58460,11227,43956,4204,80,59462,12976,46158,4090,118,63345,9161,44336,3928,104,57527,3825,25944,3258,50,33083,594,10624,2110,9,13330,56305,308582,31845,1121,397857,2700,48061,4893,39,55691,2807,43039,5194,400,51439,9138,95727,12678,1389,118935,14679,87814,10937,462,113894,17774,88634,10358,183,116955,20495,92931,9655,239,123313,15388,89793,8416,197,113792,7279,50363,6110,94,63854,1394,17365,3337,23,22123,91658,613729,71578,3027,779988
SOS32,189,3182,496,6,3870,151,2694,450,21,3316,465,5580,1102,149,7297,719,5893,1041,38,7693,1153,7209,1054,12,9426,1434,9331,1074,14,11861,1264,9698,1021,29,12015,565,4495,558,11,5635,96,785,142,5,1028,6050,48873,6939,280,62143,201,2873,411,6,3492,249,2535,346,13,3140,816,5850,752,78,7486,1365,5946,718,25,8055,1832,6940,767,10,9547,2400,8875,940,18,12227,1608,8372,908,16,10902,511,3797,517,9,4830,72,1041,175,3,1286,9043,46231,5526,175,60975,393,6056,910,4,7362,398,5229,790,37,6460,1285,11429,1851,221,14786,2088,11846,1762,60,15750,2978,14153,1819,21,18971,3835,18212,2013,34,24095,2867,18074,1930,46,22915,1079,8288,1079,22,10470,166,1824,318,0,2314,15093,95105,12466,452,123116
SOS33,665,11712,1691,9,14072,551,8851,1854,164,11420,1392,17498,4839,556,24278,2538,20658,4935,239,28372,4117,26719,5350,97,36287,5185,30924,4666,50,40822,3652,27761,3237,61,34702,1482,12028,1507,17,15041,258,2089,323,0,2674,19845,158235,28400,1186,207676,700,10757,1399,6,12865,629,7684,1140,87,9544,2229,16610,2709,226,21775,4212,19660,2687,66,26627,6755,24346,3168,48,34321,7892,26772,3200,44,37907,4708,22184,2524,46,29466,1397,9245,1193,14,11855,194,2006,287,0,2492,28731,139258,18321,545,186853,1373,22465,3085,16,26935,1189,16539,2996,245,20966,3624,34103,7554,783,46059,6749,40320,7626,304,55002,10880,51066,8516,147,70611,13076,57693,7870,92,78733,8361,49942,5762,112,64173,2884,21270,2699,38,26888,459,4096,612,3,5166,48581,297493,46721,1732,394529
SOS37,0,0,0,0,8,0,6,5,0,8,0,24,40,6,69,3,29,74,6,107,0,32,45,0,77,0,7,16,0,26,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,9,102,187,17,317,0,3,4,0,6,0,3,4,5,9,0,9,12,7,35,0,3,3,0,7,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,10,65,0,8,10,0,11,0,5,8,5,18,0,30,57,15,102,3,28,77,6,114,0,31,45,0,79,4,14,16,0,34,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,10,121,220,24,380
SOS40,1531,32718,1572,53,35872,2213,38047,1942,73,42285,5436,78041,4560,227,88267,8273,69765,3865,159,82056,10779,61696,3262,151,75880,12192,55600,2598,152,70541,8033,46908,2133,168,57243,4012,26595,1657,60,32322,1231,10272,1000,19,12519,53709,419637,22581,1059,496985,1739,30828,1437,42,34043,2740,36039,1728,56,40562,8394,76828,3914,190,89325,13169,68305,3326,138,84941,17124,58463,2678,131,78403,19524,54554,2346,244,76664,11861,51114,2316,247,65531,4852,32887,2375,71,40191,893,18072,1792,25,20777,80293,427088,21909,1148,530439,3270,63545,3010,92,69913,4960,74088,3670,132,82852,13832,154864,8473,418,177588,21444,138064,7189,297,166999,27910,120157,5936,284,154288,31717,110148,4944,400,147206,19891,98021,4451,415,122775,8860,59483,4029,132,72511,2121,28343,2789,42,33295,133999,846724,44486,2208,1027419
SOS41,431,8359,687,7,9487,492,7669,639,56,8856,1220,16289,1602,298,19413,1824,14863,1447,130,18262,2652,16042,1397,49,20135,3312,17077,1287,21,21692,2644,16842,1104,26,20610,1465,10039,893,5,12402,433,3271,449,5,4162,14465,110449,9497,604,135016,485,7774,577,0,8842,606,7277,420,3,8312,2093,16077,1100,49,19320,3261,14867,1040,33,19198,4520,15787,1037,16,21361,5457,16316,1020,32,22834,3960,17211,1149,30,22347,1607,11719,1084,12,14437,283,5472,719,5,6477,22283,112507,8153,187,143133,918,16136,1265,9,18328,1096,14950,1063,66,17171,3317,32368,2702,346,38733,5086,29735,2486,162,37463,7170,31830,2431,62,41496,8771,33394,2303,58,44528,6608,34052,2252,55,42956,3075,21759,1982,18,26839,713,8744,1165,11,10636,36743,222956,17655,793,278149
SOS42,80,1083,140,0,1298,75,976,89,3,1141,178,2086,205,8,2478,272,2014,237,6,2525,439,2442,270,0,3155,580,3296,336,4,4211,507,3380,361,0,4242,214,1632,222,0,2066,55,500,100,0,651,2395,17407,1948,20,21769,66,995,138,0,1198,84,872,81,3,1037,315,2064,195,0,2573,471,1973,191,0,2643,666,2223,235,0,3128,929,2997,299,9,4242,662,2927,306,3,3906,246,1626,216,0,2084,34,762,152,0,955,3472,16446,1813,17,21754,149,2071,279,0,2496,154,1848,169,0,2178,496,4147,397,6,5043,742,3991,431,3,5167,1103,4669,508,0,6282,1509,6291,642,11,8455,1170,6307,666,7,8150,458,3259,431,0,4153,91,1266,249,0,1601,5869,33856,3763,42,43526
SOS43,198,3800,439,6,4445,191,3078,430,38,3738,488,6059,1155,130,7828,828,6913,1261,64,9068,1432,8912,1303,25,11668,1982,10520,1221,7,13719,1250,8825,872,13,10961,476,3674,453,5,4611,82,675,104,5,865,6924,52445,7234,296,66900,224,3314,400,5,3942,215,2535,234,14,3000,638,5229,554,23,6449,1315,6247,529,11,8098,2300,7535,746,18,10591,2938,8251,801,10,12000,1532,6964,669,11,9174,456,2815,369,3,3641,53,681,123,0,854,9671,43571,4422,88,57752,423,7112,846,13,8389,402,5616,666,58,6734,1129,11288,1709,153,14280,2142,13156,1784,73,17164,3727,16446,2046,34,22253,4918,18767,2019,15,25719,2777,15788,1542,27,20137,935,6485,821,12,8252,135,1355,224,3,1723,16593,96014,11660,386,124656
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,5,19,0,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,11,7,40
