SA2_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
405021117,0,0,8,5,11,14,39,63,32,170,0,0,3,0,0,6,0,0,0,9,15,9,26,25,37,68,56,39,17,299,78,182,376,500,658,893,778,409,121,3989
405021118,0,0,0,8,9,44,56,53,35,211,0,0,4,0,0,0,0,0,3,7,16,14,26,40,31,53,57,36,22,292,95,138,337,381,504,776,660,324,107,3315
405021119,0,0,14,15,26,52,111,152,100,476,0,0,4,0,5,4,0,0,0,13,29,31,47,54,78,104,96,95,51,584,185,383,859,910,1167,1469,1419,771,298,7459
405031120,0,3,5,0,9,19,47,87,48,217,0,0,0,0,3,4,0,3,0,14,10,12,20,33,28,35,33,42,9,226,79,177,388,468,535,729,675,389,135,3587
405031121,0,0,3,9,15,34,88,93,61,302,0,0,0,0,0,0,0,3,3,17,30,13,50,73,96,121,133,80,40,640,112,155,417,506,682,1116,1083,522,176,4773
405031122,6,7,19,20,33,91,224,307,175,892,0,0,0,6,10,5,0,9,11,49,42,62,141,115,141,137,141,109,47,942,367,883,1620,1405,1797,1881,1624,1083,431,11087
405031123,0,0,4,3,4,13,45,59,26,156,0,0,0,0,0,0,6,0,0,9,10,0,12,18,34,22,27,21,9,140,53,120,282,343,416,515,454,266,83,2539
405041124,0,0,3,8,13,21,62,93,56,263,0,0,0,0,5,3,0,4,0,12,18,24,35,28,35,60,36,46,33,320,125,257,563,577,644,746,665,429,180,4177
405041125,0,0,5,5,4,29,82,96,39,267,0,0,0,0,3,0,3,0,0,10,8,10,24,27,37,61,92,85,49,401,80,145,397,356,571,862,1143,667,201,4414
405041126,0,0,4,3,8,28,74,100,50,273,0,0,3,0,0,0,3,0,0,7,15,13,23,47,34,64,65,65,13,329,69,171,314,404,505,781,866,492,132,3749
405041127,0,0,7,8,12,28,119,172,91,432,0,0,0,0,0,0,0,0,0,3,23,14,46,46,53,94,132,98,42,547,101,223,567,661,765,1304,1512,838,313,6286
405041128,0,0,0,0,4,19,64,77,32,196,0,0,0,0,0,4,0,0,0,7,9,12,27,35,38,60,72,48,8,309,56,142,309,329,439,830,905,468,103,3582
406011129,0,0,4,9,5,14,38,35,20,125,0,0,0,0,0,0,0,0,0,11,16,15,47,33,57,46,31,25,12,276,72,154,411,296,404,381,365,157,42,2291
406011130,0,0,4,0,6,25,62,122,61,282,0,0,0,0,0,3,0,3,0,5,14,13,27,30,55,71,85,57,27,372,127,199,610,719,897,1096,1072,536,189,5449
406011131,0,0,0,4,7,15,58,69,51,204,0,0,0,0,0,0,9,0,5,6,9,14,38,39,54,46,49,46,23,313,54,153,438,445,500,676,620,317,124,3330
406011132,0,0,6,3,8,7,25,30,29,99,0,0,0,0,0,3,0,0,0,6,12,7,13,23,26,47,34,15,15,199,48,74,213,271,267,416,324,127,61,1806
406011133,4,4,18,16,27,51,159,199,136,625,0,0,5,0,5,0,7,3,0,25,67,66,145,153,147,154,134,103,55,1016,379,837,1963,1914,2053,2124,1794,1019,436,12510
406011134,3,5,3,8,18,25,45,43,33,178,0,0,0,0,0,0,3,0,0,13,20,19,41,55,63,70,72,27,13,386,75,137,368,419,520,674,653,191,68,3114
406011135,5,0,7,7,13,0,4,0,0,32,0,0,0,0,0,0,0,0,0,6,4,0,16,23,11,3,5,0,0,68,6,11,69,64,51,44,14,4,0,261
406011136,12,10,21,36,37,104,218,269,94,801,0,3,15,7,16,7,10,13,6,79,69,95,200,178,237,221,181,181,98,1460,490,1242,2787,2389,2995,3040,2085,1394,441,16866
406011137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406021138,11,10,25,39,53,47,32,8,3,243,0,0,0,0,3,11,3,4,4,36,16,23,63,20,41,32,9,3,7,215,151,227,478,313,286,219,80,27,19,1788
406021139,3,0,4,0,11,13,33,42,0,102,0,0,0,0,0,0,5,5,0,13,14,10,51,44,61,76,103,78,18,452,40,59,245,220,246,383,398,247,28,1874
406021140,0,0,0,0,5,8,34,39,15,115,0,0,0,0,0,0,0,0,0,0,9,6,26,22,23,60,68,31,10,245,35,83,205,186,277,495,509,215,55,2055
406021141,0,4,3,5,12,28,20,23,4,102,0,0,0,0,3,0,5,0,0,12,22,80,246,189,249,253,127,42,8,1220,96,301,837,695,855,1005,627,153,27,4602
406021142,4,13,49,38,41,79,178,219,100,726,0,4,20,14,6,20,15,16,4,91,72,73,200,185,196,197,170,132,35,1268,373,767,2131,1671,1722,1857,1442,799,257,11017
406021143,0,0,6,14,10,9,8,5,0,50,0,0,0,3,0,0,0,0,0,6,45,102,401,309,276,174,23,4,0,1335,114,423,1726,1404,1087,743,113,20,3,5631
407011144,0,4,3,14,4,23,92,168,105,414,0,0,0,3,5,0,8,7,0,27,18,17,27,47,51,78,136,160,91,623,169,322,773,943,1231,1868,2812,1855,615,10581
407011145,0,3,3,3,3,8,30,55,28,145,0,0,0,0,0,3,0,0,0,6,19,17,40,41,58,98,85,48,37,440,88,173,515,520,620,895,819,394,120,4143
407011146,0,0,7,11,9,20,51,78,48,228,0,0,0,0,0,3,3,3,5,17,14,12,45,27,52,36,66,77,54,367,155,379,750,765,990,1043,1105,691,225,6113
407011147,4,0,5,8,13,27,45,53,22,172,0,0,0,3,0,0,3,5,0,19,26,17,41,45,64,87,84,36,10,401,194,328,641,875,1173,1347,1136,421,76,6184
407011148,0,6,3,25,20,30,150,222,176,644,0,5,5,4,5,4,3,9,4,37,15,16,40,39,58,81,141,138,111,636,222,475,989,1231,1517,2227,3410,2323,912,13302
407011149,0,0,5,3,11,12,60,80,42,212,0,0,0,0,3,0,0,0,0,9,11,13,22,38,57,66,73,58,16,353,97,194,436,553,774,1193,1331,602,181,5363
407021150,0,3,11,19,14,21,73,62,25,222,0,0,0,0,7,3,0,0,0,10,26,29,53,70,97,94,75,71,46,556,133,280,610,820,902,883,741,312,109,4799
407021151,0,0,0,8,4,15,53,56,41,186,0,0,7,3,0,0,0,0,0,11,10,10,14,17,24,44,43,42,13,211,56,163,347,383,448,639,698,376,117,3226
407021152,0,0,9,0,9,37,73,94,72,298,4,0,0,0,0,7,0,4,0,21,26,16,37,42,43,58,59,48,38,360,147,241,442,510,664,790,733,413,207,4149
407021154,6,3,13,21,14,13,69,77,56,270,0,6,23,40,35,20,4,0,4,138,16,28,63,69,44,71,50,61,29,428,127,322,830,856,726,748,653,451,197,4904
407021155,0,0,5,6,0,0,18,13,7,48,0,0,0,0,4,0,0,0,0,11,6,5,16,23,25,31,30,15,6,160,41,105,209,282,336,396,291,107,16,1792
407021156,0,0,7,0,4,16,43,52,20,144,3,0,0,5,8,10,0,0,0,23,14,9,22,12,41,38,28,15,7,191,72,121,293,331,442,468,408,204,54,2393
407021157,4,4,11,15,14,31,56,89,57,278,0,8,5,17,26,13,4,3,4,66,28,39,88,83,94,77,58,34,15,524,157,395,870,838,952,909,720,408,169,5418
407021158,0,0,5,12,3,13,55,30,21,136,0,0,0,0,0,5,0,0,0,12,18,0,9,36,43,44,50,36,6,241,88,95,277,363,451,576,543,229,44,2665
407021173,4,4,22,32,34,71,160,189,148,653,0,8,10,7,10,12,4,10,7,71,39,47,129,100,125,95,68,115,93,816,363,762,1785,1713,1977,1926,1543,870,421,11364
407021174,6,8,27,37,37,50,167,229,127,687,0,3,16,21,16,13,15,16,6,105,40,57,76,106,100,100,132,117,59,776,401,838,1816,1635,1749,1844,1659,1035,394,11370
407031159,0,0,18,8,24,36,99,127,72,391,0,0,0,3,0,3,5,19,10,44,17,17,38,28,41,62,71,49,24,345,145,295,640,638,840,1016,933,452,191,5154
407031160,0,0,5,15,17,27,58,68,52,243,0,0,0,0,0,5,8,6,0,22,3,11,33,37,28,52,55,26,24,273,100,265,521,485,514,525,556,296,158,3413
407031161,0,0,3,5,4,13,47,40,37,157,0,0,3,0,0,0,3,0,0,15,16,12,14,44,39,48,33,34,20,252,58,114,327,328,345,447,386,213,105,2330
407031162,0,5,4,3,19,24,88,142,87,366,0,0,0,4,0,4,0,7,7,19,20,15,39,45,60,42,63,43,20,339,119,236,602,560,692,723,721,479,212,4354
407031163,0,0,0,0,3,6,27,18,9,64,0,0,0,0,0,0,0,0,0,0,7,5,19,9,17,20,15,18,3,110,43,52,169,163,271,297,244,110,25,1371
407031164,0,0,5,7,16,36,124,137,62,388,0,0,0,5,0,7,0,0,3,8,27,15,53,50,77,103,132,71,19,541,123,213,502,503,886,1215,1315,640,173,5563
407031165,9,10,39,65,65,98,281,377,214,1155,3,6,15,11,14,15,21,20,4,105,64,69,162,162,169,150,160,128,71,1125,421,1049,2294,2036,2147,2363,2088,1459,569,14428
407031166,4,4,3,11,8,22,43,57,27,170,0,0,0,0,0,0,4,0,5,9,10,8,24,17,43,43,36,29,6,214,86,157,361,366,541,629,474,208,53,2884
407031167,6,0,5,14,15,40,71,97,66,306,0,0,9,11,17,13,3,12,6,82,13,12,36,28,39,57,54,50,33,321,97,258,653,524,560,627,671,413,198,4000
407031168,0,0,8,6,16,47,66,67,28,238,0,0,0,8,3,6,12,11,8,47,23,28,61,44,63,62,60,32,7,382,125,280,597,553,719,800,635,259,71,4038
407031169,0,0,3,5,16,27,100,111,45,313,0,0,0,0,0,9,5,3,0,11,40,30,70,54,72,69,65,53,29,470,115,242,600,538,629,917,734,483,138,4395
407031170,3,5,12,7,19,45,90,99,79,361,0,0,0,3,6,0,3,0,0,20,26,20,54,66,66,84,143,90,16,564,131,260,620,712,850,1081,1166,526,187,5534
497979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,16,10,0,0,0,0,34
501011001,6,0,0,3,0,10,18,24,33,84,0,0,0,0,0,0,0,4,0,5,11,11,56,98,82,71,64,42,21,457,101,138,547,954,860,995,886,403,148,5042
501011003,0,4,5,3,4,4,30,34,20,106,0,0,0,0,0,0,0,0,0,5,28,16,111,116,107,127,123,65,10,708,236,298,1143,1691,1664,1654,1620,686,145,9116
501011004,4,9,27,14,12,9,18,20,11,119,0,0,0,0,3,0,0,0,0,9,36,36,118,101,139,110,84,37,41,703,203,318,1210,1594,1522,1245,955,338,136,7519
501011293,5,3,8,9,14,30,45,76,39,222,0,4,9,9,3,4,6,5,0,30,28,16,67,57,62,75,72,60,22,472,197,402,911,1006,1241,1232,1284,684,186,7141
501011294,6,0,7,11,23,33,87,147,172,496,0,3,19,0,18,12,9,3,13,75,50,29,111,98,112,135,150,146,136,964,477,696,1760,2318,2415,2384,2415,1468,712,14639
501021005,5,0,19,13,16,36,62,95,42,292,0,0,4,0,0,12,3,10,0,33,40,35,82,67,67,96,86,52,19,538,512,824,2124,2548,2288,2219,1730,838,189,13267
501021007,0,0,4,4,8,9,29,27,15,96,0,0,0,0,0,0,5,0,0,12,23,12,29,34,53,48,42,26,13,283,133,209,452,627,748,799,641,286,56,3969
501021008,4,0,7,8,17,25,46,70,49,227,0,0,3,5,14,17,11,5,3,56,34,46,120,84,85,61,62,43,33,555,176,471,1033,940,888,870,679,394,208,5653
501021009,3,4,4,9,16,32,94,87,42,293,0,0,0,4,0,8,10,3,0,25,51,32,76,91,86,77,94,83,59,642,254,406,902,990,1117,1258,1129,545,179,6784
501021010,0,0,0,0,0,5,18,21,12,57,0,0,0,0,0,0,3,0,0,7,0,6,10,15,38,26,30,19,5,151,79,120,264,375,489,498,404,181,48,2458
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,11
501021012,5,0,10,14,9,23,65,108,50,286,0,0,3,5,6,5,5,4,0,26,14,24,61,52,62,52,67,87,96,511,308,587,1550,1566,1389,1312,1110,755,315,8896
501021014,0,6,7,14,21,20,86,104,57,315,0,0,9,4,0,0,3,5,0,23,52,21,55,76,81,81,82,63,46,558,278,400,984,1066,1268,1314,1104,554,207,7173
501021015,0,0,7,7,12,17,46,79,38,208,0,0,6,4,0,3,4,4,3,24,16,14,54,28,45,37,50,25,15,282,167,402,960,831,842,894,727,458,159,5449
501021016,0,0,0,3,3,20,42,61,28,158,0,0,0,0,0,0,0,4,4,12,16,17,30,38,59,40,38,53,31,324,127,168,351,475,575,640,565,289,98,3294
501021251,0,3,3,10,13,15,29,34,7,116,0,0,0,3,0,0,0,9,0,16,34,18,45,51,34,32,26,21,0,261,330,531,1164,1404,1359,891,563,275,42,6557
501021252,0,0,0,0,0,0,5,9,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,5,11,17,12,0,3,55,87,115,185,311,487,471,350,99,25,2143
501021253,4,0,12,4,8,20,60,94,105,315,0,0,9,0,6,8,9,4,7,35,17,39,104,96,101,92,88,78,117,728,274,566,1487,1538,1741,1758,1531,876,536,10301
501021254,0,11,3,3,12,21,55,45,8,166,3,0,0,0,3,3,3,0,0,15,20,27,59,57,54,54,46,32,17,353,181,324,632,638,659,632,554,254,54,3935
501031017,0,0,3,3,11,20,38,59,27,163,0,0,0,0,0,0,0,3,0,13,17,24,43,69,83,95,95,77,19,518,136,228,542,749,917,1181,1116,563,137,5558
501031018,3,0,7,8,15,16,35,61,25,166,0,0,7,0,4,4,6,6,3,26,26,8,31,34,42,42,65,60,17,327,158,218,483,649,801,949,903,454,120,4739
501031019,0,0,6,7,13,13,47,70,40,192,0,0,8,10,7,3,4,3,8,46,25,12,23,44,64,46,39,35,25,309,153,266,566,597,661,790,597,335,126,4097
501031020,0,0,5,0,15,15,28,49,29,136,0,0,0,6,5,6,0,8,0,19,24,10,56,73,78,119,87,63,16,529,128,128,468,581,749,1016,891,414,109,4484
502011021,5,0,4,5,9,10,50,53,17,160,0,0,0,0,0,0,0,0,0,3,23,14,24,35,39,35,38,32,12,244,187,301,713,921,994,1044,1206,578,76,6024
502011022,6,3,6,9,5,24,60,82,37,231,0,0,0,3,6,8,6,8,4,31,21,13,31,28,39,28,45,37,11,249,251,411,789,935,1150,1369,1499,706,181,7290
502011023,6,3,7,9,24,34,73,146,94,394,0,0,3,0,3,0,8,12,6,29,25,27,49,63,40,47,78,139,149,615,265,521,977,919,1054,1190,1155,1076,519,7681
502011024,3,0,3,16,20,30,97,154,99,427,0,0,3,8,3,8,4,5,3,39,25,24,57,52,61,54,108,162,81,626,484,834,1588,1883,2263,2519,2737,1890,564,14752
502011025,4,6,9,15,24,40,84,101,77,370,4,0,4,4,3,9,12,0,0,40,50,64,122,132,144,122,148,162,127,1080,275,596,1119,1018,1274,1459,1524,883,391,8537
502011026,0,0,3,0,10,19,58,67,27,189,0,0,3,0,6,4,7,5,0,22,16,13,47,26,45,35,59,49,12,313,177,301,582,564,747,915,995,555,122,4971
502011027,11,0,10,23,17,38,94,120,86,401,0,0,0,8,8,12,10,7,6,39,33,46,84,69,83,61,66,77,90,614,576,1110,2576,2753,2409,2041,1721,1089,459,14730
502011028,4,3,4,20,21,48,101,151,73,430,0,4,0,5,7,0,6,5,4,29,35,31,53,61,72,69,115,121,105,667,279,529,951,986,1228,1504,1723,1193,489,8878
502011029,0,0,5,7,18,32,68,107,63,302,0,0,7,0,5,0,3,0,3,17,50,28,60,86,73,72,93,102,53,626,311,442,989,1167,1184,1211,1183,751,257,7498
503011030,0,0,0,0,0,0,7,21,23,51,0,0,0,0,0,5,0,0,4,8,7,3,7,7,23,15,23,27,9,127,208,368,368,561,1075,962,606,556,305,5017
503011031,0,0,0,5,6,0,9,20,17,55,0,0,0,0,0,4,3,0,0,6,27,32,59,45,53,47,54,52,55,424,249,586,1037,962,1121,1020,974,876,448,7282
503011032,0,0,0,0,0,0,0,17,12,33,0,0,0,0,0,0,0,0,0,4,12,14,20,36,26,32,32,45,49,259,200,437,817,794,1055,1000,851,521,202,5871
503011033,0,0,0,0,0,0,4,7,16,28,0,0,0,0,3,3,6,0,3,16,6,10,7,11,14,23,21,17,7,106,252,433,517,1027,1380,1178,722,395,161,6077
503011034,0,0,0,4,14,5,19,27,21,89,0,0,0,0,4,8,4,0,0,31,24,24,53,55,44,52,58,55,49,419,292,638,1080,1218,1520,1296,1100,665,259,8065
503011035,3,0,0,4,0,13,17,34,46,111,0,0,0,3,0,4,3,0,7,28,84,89,135,142,90,110,149,156,77,1024,1204,2221,2127,2167,2286,2030,2043,1367,586,16030
503011036,0,0,0,6,0,8,15,13,10,55,0,0,0,5,5,0,0,0,0,12,12,15,38,27,28,36,52,44,67,324,241,521,789,1023,1406,1141,971,581,284,6946
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,4,0,12,0,3,0,0,7,15,12,8,0,45
503021038,5,0,0,0,9,12,37,73,75,210,0,4,0,4,0,3,7,14,12,40,9,44,102,46,41,28,18,19,15,326,228,633,1890,1924,1723,1193,746,361,228,8927
503021039,5,0,3,4,8,21,48,87,95,273,0,0,0,5,5,14,4,14,25,76,17,32,96,84,78,55,93,89,65,618,406,1196,2803,2514,2145,1991,1525,709,395,13682
503021040,0,0,0,5,3,10,33,91,95,248,0,0,5,0,0,11,5,23,36,84,5,22,65,59,26,45,53,43,34,342,157,619,1663,1520,1238,1128,730,402,250,7704
503021042,0,0,7,14,12,24,24,27,45,145,0,0,5,5,3,0,7,3,0,26,26,45,129,126,106,86,135,139,84,875,318,1017,2602,2447,2174,1990,1942,1186,449,14119
503021043,0,0,5,12,5,25,46,62,75,228,0,0,16,6,8,12,7,5,11,73,21,27,143,109,64,51,116,90,114,723,315,1064,3396,3290,2258,1725,1536,819,595,15004
503021295,3,0,4,5,15,8,26,30,9,107,0,5,12,12,5,7,13,5,8,64,37,85,383,334,243,202,139,68,17,1510,175,1014,3607,2296,1518,1447,1017,372,109,11557
503021296,0,0,16,8,15,16,40,31,30,152,0,3,14,4,7,21,8,12,15,78,18,67,282,162,105,101,54,58,19,880,135,977,3591,2095,1135,975,644,291,103,9940
503021297,0,3,16,9,9,14,27,21,18,121,0,10,19,15,5,10,7,3,0,63,59,281,634,402,360,269,201,84,46,2348,264,1547,4496,2559,1623,1343,870,402,169,13276
504011044,8,3,9,23,24,59,82,133,90,432,0,4,9,9,14,19,15,12,9,85,23,56,122,99,84,90,84,73,26,658,343,865,2145,2314,2075,1917,1520,812,353,12334
504011045,4,8,26,30,45,68,114,172,161,626,0,3,9,11,25,19,24,25,25,147,43,46,130,123,109,96,94,112,100,852,506,1246,3630,3822,3245,2723,2019,1186,688,19057
504011046,5,0,9,15,17,40,38,45,31,198,0,0,0,3,7,10,9,10,0,46,15,49,150,126,86,65,69,79,59,689,175,915,3055,2372,1518,1201,1040,482,166,10935
504011047,5,10,33,54,77,117,200,282,136,920,0,0,25,23,52,53,47,54,38,296,45,59,125,127,112,98,85,90,44,789,476,1416,3538,3162,2684,2505,2193,1444,504,17927
504011048,0,0,7,6,21,30,79,108,63,319,0,0,0,5,12,16,16,15,15,78,9,4,23,19,18,20,36,33,18,183,205,452,855,874,977,1063,1103,601,210,6353
504021049,3,0,15,15,6,12,8,9,4,81,0,0,3,23,43,29,4,8,0,111,11,17,85,73,53,47,20,10,0,327,104,288,839,841,711,619,337,120,33,3906
504021050,0,0,0,0,3,0,7,23,10,55,0,0,0,3,0,0,0,0,0,6,12,10,16,19,27,32,24,18,10,166,183,293,484,830,1072,1005,846,435,110,5269
504021051,0,0,4,6,3,21,27,47,12,118,0,0,4,10,0,0,0,4,3,26,13,8,33,22,16,23,27,19,5,171,139,338,705,652,691,699,665,399,80,4362
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,15
504021053,5,0,4,5,8,24,54,49,34,191,0,3,0,3,5,9,3,4,0,22,23,21,50,60,56,55,58,35,24,388,348,578,1182,1494,1857,1915,1483,762,249,9859
504021054,4,5,6,13,29,45,102,131,76,409,0,0,9,4,4,6,5,9,0,46,36,35,90,87,93,77,70,114,116,715,371,762,1521,1485,1601,1624,1397,872,354,9990
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
504031056,9,0,40,63,68,100,120,89,41,528,0,6,46,57,70,65,35,23,9,323,46,36,99,82,81,71,69,41,9,532,591,1297,2327,2197,2427,2709,1501,652,190,13890
504031057,4,6,59,107,81,106,131,73,41,618,4,3,37,55,73,64,42,32,10,323,47,46,166,134,77,86,71,37,12,669,602,1356,3458,3383,2441,2158,1433,519,145,15501
504031058,0,0,10,8,7,13,24,26,3,95,0,0,0,4,3,5,6,0,0,14,25,34,53,42,61,42,27,16,7,306,189,373,679,628,809,703,518,197,35,4139
504031060,0,0,0,0,0,3,8,11,9,37,0,0,0,0,4,0,0,0,0,9,12,7,3,16,26,20,22,13,4,122,92,132,167,281,518,467,286,139,38,2123
504031061,6,0,3,4,13,10,20,36,24,106,0,0,0,0,0,3,0,8,0,15,0,5,23,23,13,13,17,13,9,119,113,241,819,843,666,600,487,229,61,4056
504031062,0,3,17,22,37,68,86,63,22,314,0,0,11,18,22,23,20,6,7,102,30,43,73,74,66,54,55,40,7,453,276,710,1931,2012,1524,1301,895,411,89,9151
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,9,5,3,0,4,0,0,22
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,3,0,12,9,15,24,39,66,24,188,0,0,6,5,6,4,3,6,5,38,14,23,52,77,74,53,58,32,9,390,183,339,726,718,758,797,618,345,109,4577
504031066,15,4,7,18,31,34,75,100,89,367,0,4,10,11,9,12,9,17,22,90,41,93,184,184,206,164,149,157,202,1380,312,835,1726,1528,1537,1400,1063,682,458,9538
504031067,0,0,3,5,12,22,37,31,20,138,0,0,0,4,0,0,4,0,0,27,5,14,41,32,26,23,25,23,10,190,210,418,944,928,982,857,466,230,63,5105
504031068,0,3,9,7,24,15,49,42,15,162,0,0,8,14,7,6,4,0,3,37,20,11,36,54,39,26,33,18,0,229,361,642,1424,1761,1664,1349,953,407,79,8633
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031298,4,3,10,16,18,18,32,31,10,145,0,0,3,9,10,9,9,0,0,50,32,24,70,68,46,18,32,16,3,312,395,895,2722,2672,1776,1079,661,261,57,10511
504031299,4,3,11,17,21,21,29,20,6,129,0,3,5,15,16,4,11,4,0,65,16,14,66,44,18,22,10,8,5,199,258,643,2606,1934,1031,701,360,148,28,7706
504031300,0,5,18,28,39,24,60,76,51,304,0,0,17,26,28,23,22,0,8,126,62,46,155,128,97,62,54,59,51,720,629,1198,2378,2783,2385,1564,1002,725,313,12979
505011070,0,0,14,5,8,25,35,32,13,130,0,0,0,0,9,5,4,3,0,26,18,12,53,42,40,26,25,32,20,265,222,531,1808,1636,1192,1103,888,383,103,7859
505011071,4,0,0,14,4,14,38,33,18,134,0,0,7,0,3,3,4,4,6,24,22,21,40,31,44,33,36,29,21,282,444,958,1524,1631,2185,1889,1025,464,145,10260
505011072,4,0,0,3,0,11,26,58,67,166,0,0,3,5,3,4,4,4,3,24,8,4,29,41,38,27,53,75,25,287,357,648,1152,2215,2244,1699,1849,982,318,11454
505011073,0,0,12,6,10,12,48,58,27,174,3,0,4,7,4,3,0,6,4,33,11,20,33,66,40,43,52,42,5,313,327,646,1527,1951,1761,1366,1668,834,178,10256
505011074,0,0,8,9,13,11,38,28,13,113,0,4,0,0,0,3,0,8,0,23,21,25,51,66,69,50,24,23,13,344,259,603,1371,1523,1346,1377,1012,402,120,8023
505011075,0,0,4,0,6,10,16,33,34,101,0,0,0,4,0,7,5,8,0,21,13,10,36,35,34,28,40,30,19,239,332,608,851,1290,1596,1660,1380,534,164,8421
505011076,0,3,0,9,6,6,17,4,4,53,0,0,5,0,0,4,4,0,0,10,10,11,12,12,21,10,19,6,0,101,328,604,619,1089,1816,1607,792,231,53,7146
505011077,0,4,4,9,9,20,37,41,21,147,0,0,6,3,6,7,4,4,0,33,22,58,124,103,84,107,124,193,237,1055,360,1128,1990,1789,1656,1889,1429,771,428,11446
505011078,0,0,3,7,9,9,49,76,104,241,0,0,0,0,6,0,5,17,19,48,9,8,18,21,37,24,43,49,44,256,293,595,1053,1762,1591,1685,1730,756,569,10036
505011079,0,0,0,3,4,13,32,43,22,122,0,0,3,0,0,3,8,0,0,21,15,9,23,34,38,31,34,28,20,229,319,603,982,1432,1652,1494,1316,575,190,8564
505011080,3,0,0,4,7,3,31,22,13,87,0,0,0,0,6,3,5,3,0,15,10,15,33,27,25,31,18,27,10,192,240,486,607,899,1234,1179,934,344,118,6042
505011081,0,3,4,4,7,8,17,45,20,103,0,0,5,4,0,4,0,0,0,16,4,3,22,29,28,12,15,12,14,139,186,342,1090,1343,1051,905,838,375,97,6226
505011082,0,0,0,4,7,0,28,50,21,112,0,0,0,4,0,0,0,3,0,14,6,6,10,20,28,13,31,34,21,177,263,521,608,1100,1421,1389,1403,666,199,7568
505011083,4,0,5,0,0,12,22,29,24,111,0,0,0,0,3,5,6,4,3,21,4,6,14,27,15,16,16,17,16,123,287,565,706,1171,1305,1540,1057,416,172,7214
505021084,0,5,12,16,22,28,160,264,152,661,0,0,9,18,15,21,32,39,30,163,29,30,101,94,85,72,73,96,112,683,289,776,2426,2401,1881,1595,1607,1134,486,12596
505021085,12,11,110,149,164,174,180,159,45,1005,0,7,87,140,122,107,81,46,24,611,89,135,277,289,194,116,100,72,26,1301,482,1516,3776,3029,2247,2017,1518,738,197,15520
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,0,0,6,17,23,23,54,104,74,305,0,0,6,9,12,18,13,20,4,77,23,39,155,113,78,63,80,121,129,792,365,1026,3516,2974,2089,1825,1352,829,469,14450
505021089,3,0,4,4,7,22,64,120,106,327,0,0,4,4,5,10,11,13,13,55,14,7,53,43,54,41,78,129,164,585,454,954,1667,3138,3085,2315,2392,1590,771,16371
505021090,3,6,40,63,66,89,129,136,82,623,0,9,34,46,52,56,39,37,21,295,47,109,291,237,136,146,105,67,24,1159,359,1352,4418,3501,1951,1716,1253,709,293,15551
