GCCSA_PEP_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
1GSYD,349,370,786,1323,1939,2860,4031,4466,3072,19202,299,291,507,1008,2723,6175,9524,8395,3834,32745,6434,34632,41166,33778,32510,27419,16942,9946,6616,209442,67,113,260,623,1420,2501,3991,4873,3585,17430,12788,15174,23909,27609,31821,37431,32868,20388,13330,215302,393367,221078,295099,275679,212335,150883,86449,33616,9658,1678169,34123,22307,29791,26898,22670,18940,14348,10447,8974,188499,466636,307125,408728,391277,339203,294866,228986,133562,64783,2635166,736,2234,7739,17149,38768,73587,97444,76436,35803,349885,54510,47634,54926,52700,45407,39264,32329,18396,6892,352063,843,1119,2872,6590,14170,25949,35775,27616,10719,125646,48,60,100,151,482,1377,4517,12632,16210,35587,1252,2891,6572,16808,31500,55685,66132,42803,14097,237737,1360,1353,2180,4730,12807,31023,50638,46088,24399,174579,905,797,1498,2626,4075,6512,9608,9722,5679,41425,745,627,1049,2029,5026,11704,18322,16450,7009,62963,14146,53031,64840,56123,55001,46695,29000,15867,9114,343816,196,237,519,1237,2982,6218,10136,10984,6525,39035,33143,28487,38921,47164,56081,67261,58976,35039,19955,385027,792958,469790,600002,557586,425413,299108,164214,64217,17225,3390516
1RNSW,189,265,529,788,1478,2505,4256,4854,3218,18077,299,240,395,1017,3119,7873,11659,9142,3507,37254,6531,28053,31279,28167,28954,27422,17511,8566,5302,181777,66,93,230,500,1292,2383,3754,4353,3043,15717,8607,9314,13364,15762,19561,24890,21729,12819,8387,134425,191679,94898,99997,95296,94059,85343,58302,24260,6621,750452,24812,15148,14467,14499,14997,15205,12771,9067,5619,126587,247027,155325,168252,166903,179824,196043,175782,105978,47847,1442975,541,1846,5763,13309,32185,71002,98909,72388,31057,327005,42430,31368,34386,34405,33668,36505,34424,19010,6292,272500,481,639,1609,3630,8940,20055,32702,24531,8732,101322,36,39,79,125,329,1108,3848,10046,11441,27050,942,2028,3892,7366,16868,32495,45524,31523,9675,150312,909,946,1480,2820,8500,23701,43058,39661,19963,141040,527,564,953,1470,2828,5216,9038,9622,5406,35627,674,521,854,1919,5626,14880,23287,18196,6639,72598,14301,43537,48574,45924,48587,47250,31443,14785,7437,301833,151,185,425,901,2429,5402,9269,9882,5410,34064,22228,17288,21335,25730,33561,44686,40323,22893,12614,240653,384474,205758,208457,194289,190369,169279,114596,46975,11743,1525947
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5,0,0,0,28
2GMEL,342,372,814,1261,1918,2765,3903,4440,3255,19073,324,262,536,995,2665,5531,8715,7754,3693,30476,7224,39535,52785,40875,37232,30138,18973,11460,8375,246599,96,152,310,669,1555,2492,4083,4949,4086,18384,12752,16346,26962,28715,32541,35069,30183,20212,13246,216024,363776,203916,271055,249846,192942,133273,76074,30083,8827,1529799,30739,20528,27181,23860,20952,16769,12641,8664,5991,167321,432877,292895,396418,370186,321492,270284,210571,126159,61346,2482226,577,2304,8155,17053,37967,69744,91579,74175,36535,338091,52327,49517,66233,61095,50754,41331,34532,20559,7831,384183,836,1071,2919,6191,13639,24395,34560,26807,10996,121416,63,69,116,143,393,1096,3925,11646,15587,33040,1300,2815,6811,16585,29921,48545,58248,39862,14580,218679,1537,1240,2236,4403,12003,27957,45502,42979,24289,162163,925,772,1557,2509,3921,6110,8878,9392,5797,39857,748,594,1130,1990,4901,10560,16630,15119,6832,58503,15134,59276,82156,67554,61929,50054,31400,18090,11591,397180,293,289,582,1318,3253,6042,10054,11170,7183,40176,32708,30028,43016,48564,56165,62451,53075,33860,19896,379761,731915,435992,558834,508051,387051,264959,145273,57437,15793,3105301
2RVIC,118,148,275,420,733,1320,2012,2157,1454,8636,157,131,252,592,1739,4073,6129,4493,1848,19420,3715,14742,18541,16741,16895,15968,10252,4548,3056,104454,47,65,147,305,770,1397,2174,2308,1550,8757,4912,5439,8156,9165,11515,14114,12471,7023,4933,77723,105503,51010,55014,53167,52800,48380,32637,12795,3652,414955,12958,7803,7627,7934,8248,8177,7210,5000,3236,68193,134861,83295,94362,94412,101531,110129,98042,56122,25835,798589,282,983,3452,7505,17968,37856,52595,37241,15840,173719,22059,17816,20992,20773,19901,20904,19388,10485,3448,155751,262,355,828,2076,4932,11155,17878,13301,4737,55535,23,47,52,67,164,560,1888,4525,5435,12762,484,1125,2196,4298,9382,17763,25113,16519,5325,82206,556,516,851,1557,4815,13302,24341,21086,10676,77695,320,300,494,758,1404,2666,4345,4377,2469,17129,347,259,493,1081,3029,7668,12105,9217,3463,37670,7949,22965,28449,26823,28071,26913,18189,7930,4257,171548,108,140,254,546,1495,3148,5353,5281,2822,19148,12263,10100,12775,14757,19360,24928,22516,12442,7165,136303,211880,111040,115951,107750,106729,96090,64831,25015,6552,845837
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,0,0,0,18,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,0,0,4,0,6,0,0,0,15,0,0,0,5,4,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,3,10,34,38,31,7,0,0,123
3GBRI,174,252,563,792,1127,1563,2171,2537,1606,10791,427,252,450,869,2393,5100,7287,5737,2163,24682,5938,27406,32079,26495,24536,18766,11186,5475,3322,155205,61,81,205,451,1003,1702,2548,2604,1620,10268,9203,10817,15758,17857,19809,19941,16798,9860,5790,125825,191510,105974,119759,113570,92122,62863,36783,13888,3575,740040,17947,12397,13605,12247,10802,8276,6261,4286,3157,88994,235190,163200,189899,183896,168105,139960,111261,62134,26846,1280494,422,1836,5877,12142,26370,43996,56152,39049,15592,201443,30205,29271,35878,35317,31167,25575,21443,11326,3429,223605,475,740,1839,4130,8959,15109,21003,15561,5277,73090,35,38,85,93,261,679,2538,6094,6705,16532,755,1812,3774,8248,16779,25984,30433,18808,5098,111698,901,1011,1589,2956,8129,17834,28841,24814,11481,97543,430,497,940,1437,2260,3394,4981,5136,2766,21849,951,551,882,1707,4312,9465,13822,11225,3846,46748,13018,41931,50353,43597,40915,31545,19971,9470,4673,255475,137,167,382,839,2016,3819,5948,5813,2853,21979,23386,19586,25351,29717,34067,35366,30008,17035,8499,223013,385745,226282,245813,229498,186188,124999,70266,26333,6241,1501364
3RQLD,145,236,389,662,1093,1950,3019,3333,2070,12895,356,210,349,879,2540,6915,10023,7270,2471,31013,5746,21413,24387,23457,24152,22387,13668,6440,3570,145211,73,82,190,482,1113,2190,3314,3494,2039,12979,8066,8293,11681,14538,18305,22302,18833,11011,6008,119050,185720,98601,105996,103006,97563,81467,53588,20569,4819,751332,23501,15766,17480,16343,16560,16228,13159,7864,3995,130902,233953,151065,168710,170480,178149,180677,155848,85304,32802,1356986,453,1634,4994,12067,28744,58843,80895,55070,19904,262596,29891,24366,28534,30037,29447,29618,27336,14360,3962,217541,441,617,1484,3673,8853,18537,29123,20455,6435,89619,50,44,64,131,295,1080,3347,7977,8372,21360,836,1741,3236,6767,15494,28061,36718,23457,6222,122548,964,1008,1495,2896,8349,21790,38276,32896,14205,121877,388,436,734,1230,2253,4104,6737,6986,3627,26485,843,459,749,1778,4864,13025,20011,15129,4655,61519,12585,33137,37678,38224,40745,38518,25560,11686,5225,243351,161,185,368,890,2168,4832,8059,8016,3711,28392,20803,15621,18781,24003,31770,39925,35024,19907,9258,215090,374659,207690,215489,204633,195011,160944,106331,41003,8813,1514566
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,0,0,0,21,0,6,12,3,0,0,0,0,0,29,0,13,23,7,3,5,0,0,0,53,0,0,0,3,0,0,3,0,0,9,0,0,4,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,27,23,27,7,3,0,0,98
4GADE,128,147,250,355,501,795,1238,1305,1061,5778,151,106,162,410,1149,2693,3909,3279,1619,13472,2351,12576,15657,13189,12761,11478,7400,4070,3108,82593,36,40,99,190,488,921,1452,1784,1469,6482,4309,5143,7878,8904,10471,12081,10563,6448,4573,70374,96161,56107,63651,59245,49392,39600,25020,10298,3088,402558,7399,5189,5333,5304,5154,4629,3600,2660,1693,40961,115595,82578,96768,93621,88480,86110,73227,44494,22497,703380,207,847,2887,6139,14157,27152,36434,28222,14497,130548,15120,14651,17920,17765,15882,15221,13521,7707,2992,120782,238,320,750,1832,4155,8468,12883,9673,4197,42517,10,27,38,63,148,475,1664,4541,6419,13385,420,971,2117,4850,9703,16660,20681,13971,5428,74802,416,433,723,1333,4123,10173,17173,16016,9828,60219,305,314,459,675,1058,1818,2757,2798,1876,12064,386,242,387,759,2048,4988,7436,6293,2926,25464,4709,19175,24690,21980,21900,19541,12781,6600,4280,135659,78,74,177,361,1047,2214,3600,3863,2579,13998,11037,9348,12374,14701,18011,21417,18710,10964,6741,123308,193305,120514,132905,120512,100679,78052,47248,19149,5456,817824
4RSAU,27,33,44,99,162,297,466,457,275,1870,40,41,52,146,477,1127,1614,1174,423,5090,645,2870,3702,3434,3846,4098,2631,1271,712,23194,4,14,38,74,166,333,486,586,347,2043,1083,1043,1618,1978,2716,3588,3069,1681,1030,17809,25305,11551,12336,12126,13103,12749,9576,3927,1043,101722,2981,1620,1752,1728,2122,2335,2100,1367,731,16737,31855,18227,20632,21076,24835,29327,27448,15758,6534,195697,77,253,795,1873,4719,10812,14652,10432,4157,47775,4884,3917,4565,4627,4915,5764,5422,2943,870,37922,58,72,182,441,1136,2789,4756,3565,1149,14143,0,3,6,15,45,166,586,1460,1632,3921,132,264,555,1140,2851,5928,8233,5454,1727,26292,122,128,198,391,1322,3865,6796,5946,2767,21536,69,71,98,187,335,688,1063,1026,500,4031,100,73,118,270,869,2248,3375,2494,861,10419,1358,4496,5774,5593,6542,7122,4963,2202,1016,39067,8,19,60,110,339,807,1313,1352,674,4692,2758,2034,2643,3260,4863,6731,5874,3052,1568,32773,50765,25609,26646,25395,27284,26374,19212,7718,1848,210852
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18
5GPER,142,173,284,486,712,1066,1586,1727,1211,7391,213,145,265,498,1391,3276,5055,4222,1801,16866,3743,18646,22603,19232,16540,13421,7903,3977,2501,108570,59,50,120,320,660,1110,1779,2084,1550,7718,6485,7478,10533,12509,13611,14902,12690,7605,4613,90430,163407,84870,102259,101900,81423,59417,36064,13290,3671,646297,13353,8928,10234,9660,8812,7108,5527,4061,2909,70590,195032,124676,152136,153858,137117,120283,96546,54350,25027,1059009,371,1315,3860,8357,18011,32542,43281,32198,14331,154267,22197,19576,23477,23760,20728,17724,14731,8042,2765,153001,391,493,1208,2996,6389,11519,16741,12319,4564,56623,16,36,33,70,158,560,1864,5185,6208,14134,636,1311,2630,6317,12468,20119,25272,16166,5408,90327,499,500,811,1846,5503,13155,21783,19328,9694,73121,361,332,535,974,1436,2329,3536,3870,2285,15653,491,311,523,982,2549,6024,9679,8242,3296,32096,7982,28097,34908,31150,27416,22159,13638,6673,3511,175525,98,109,221,616,1322,2546,4309,4776,2765,16777,16271,13576,16695,20152,23316,25963,22765,13101,7035,158876,330011,180766,205337,203631,162820,117353,68570,25521,6476,1300481
5RWAU,36,23,68,137,265,378,540,483,273,2199,73,43,45,138,432,1125,1640,1009,365,4870,908,3621,4929,4793,4687,4210,2479,1003,512,27141,11,11,43,88,209,341,593,553,352,2192,1522,1284,2083,2654,3309,4090,3252,1670,897,20761,40113,17462,22133,22155,20006,18107,11289,3740,842,155853,6468,3790,5163,4691,4702,4586,3349,1656,693,35097,51208,27427,36252,37134,37497,39352,31540,14763,5424,280595,111,319,1029,2453,5887,11939,15413,9067,3276,49493,6112,4412,5829,6288,6005,6076,5193,2243,641,42802,82,87,283,718,1682,3757,5450,3459,1002,16520,6,7,22,25,61,188,537,1278,1352,3479,173,363,817,1716,3883,6687,8001,4343,1229,27210,168,157,267,549,1754,4439,7130,5206,2205,21871,97,59,166,266,536,839,1208,1067,511,4758,149,85,119,250,806,2228,3507,2271,692,10112,1931,5597,7556,7712,7876,7403,4688,1810,753,45323,19,18,73,148,402,805,1472,1301,611,4838,3741,2540,3335,4437,5761,7431,6275,3112,1377,38014,81069,38109,48171,48667,44801,38669,23713,7688,1614,332503
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,3,20,43,24,30,46,21,5,0,190,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,0,0,6,13,26,28,28,3,0,114,0,3,18,34,23,17,15,0,0,115,0,0,0,0,5,8,11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,4,4,0,37,0,0,0,0,5,13,13,6,0,38,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,15,0,0,21,24,19,6,0,4,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,9,21,11,7,0,0,59,3,79,249,445,397,225,56,7,0,1457
