SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL41666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL41667,10,30,21,12,12,0,0,83,4,16,14,17,7,14,0,72,3,9,8,9,10,14,0,53,0,4,0,0,9,38,0,50,100,158,112,70,105,92,0,638
SAL41668,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9
SAL41669,5,11,0,0,0,5,0,19,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,57,15,26,24,65,0,219
SAL41670,0,6,0,0,0,0,0,7,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,21,26,8,9,7,6,0,74
SAL41671,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5
SAL41672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL41673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,9
SAL41674,0,4,5,0,0,3,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,8,9,8,7,0,50
SAL41675,24,54,28,15,21,7,0,145,23,56,28,29,44,3,0,184,14,25,21,22,35,13,0,124,5,5,6,7,48,0,0,72,132,229,133,108,203,32,0,845
SAL41676,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,12
SAL41677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,12
SAL41678,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,13
SAL41679,0,0,0,4,0,0,0,7,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,8,0,5,4,6,0,40
SAL41680,10,17,5,4,6,0,0,44,0,10,11,3,13,0,0,41,3,3,8,10,5,0,0,21,0,0,0,0,0,0,0,5,44,70,29,27,40,8,0,215
SAL41681,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,8,3,0,20
SAL41682,10,24,11,4,7,0,0,56,11,12,3,8,4,0,0,36,3,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,59,91,41,38,38,9,0,270
SAL41683,0,6,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,19,8,5,7,12,0,52
SAL41684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL41685,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,5,0,11
SAL41686,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,11
SAL41687,0,4,0,3,5,5,0,15,0,5,0,3,4,0,0,11,0,3,0,3,3,0,0,7,0,0,0,0,0,0,0,0,6,11,14,6,20,3,0,57
SAL41688,7,0,0,5,0,0,0,11,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,5,4,0,0,21
SAL41689,17,45,28,17,33,9,0,154,24,31,36,26,52,11,0,189,3,18,15,20,23,8,0,87,5,9,0,0,12,0,0,30,126,187,128,111,172,69,0,796
SAL41690,8,13,12,10,12,0,0,52,5,13,14,9,14,3,0,56,3,8,3,8,10,0,0,29,0,0,3,0,0,0,0,5,25,61,35,30,48,8,0,205
SAL41691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL41692,3,3,0,0,0,6,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,4,3,6,5,0,42
SAL41693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL41694,10,8,7,4,0,0,0,27,3,10,0,0,5,0,0,19,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,39,46,16,9,17,0,0,132
SAL41695,0,0,0,0,6,0,0,15,9,0,0,0,3,0,0,11,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,16,13,0,0,21,6,0,51
SAL41696,3,0,0,0,0,0,0,3,6,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,22
SAL49797,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
SAL50001,0,5,3,3,0,0,0,9,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,13,10,15,7,5,5,0,60
SAL50002,22,57,30,15,22,11,0,148,22,46,39,31,29,7,0,167,11,12,10,9,17,0,0,63,3,3,3,0,4,0,0,22,192,274,179,119,166,49,6,980
SAL50003,0,3,5,0,6,5,0,15,4,5,3,0,0,0,0,6,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,19,18,13,7,9,18,0,80
SAL50004,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,3,0,0,0,0,30
SAL50005,0,0,0,0,5,0,0,12,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,5,11,11,0,0,52
SAL50006,53,108,41,18,24,22,3,277,42,80,44,41,52,12,0,277,25,29,11,10,24,8,0,117,5,12,3,0,13,0,0,38,263,410,173,97,270,125,7,1348
SAL50007,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,4,3,0,0,26
SAL50008,213,378,123,111,305,25,0,1154,101,141,129,79,224,24,0,699,35,69,42,27,123,18,0,313,17,15,14,0,58,0,0,103,1372,1564,653,478,1947,181,10,6199
SAL50009,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9
SAL50010,62,143,55,27,37,6,0,328,37,83,49,40,57,4,0,273,16,53,22,24,57,3,0,177,9,19,4,4,25,7,0,68,566,710,289,201,425,47,8,2240
SAL50011,106,210,95,50,187,20,6,668,37,110,61,43,134,8,4,400,11,25,15,9,70,16,0,146,0,5,0,0,27,0,0,39,1534,2037,768,655,1914,242,12,7157
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16
SAL50013,12,25,19,18,19,5,0,101,5,8,9,19,12,7,0,64,4,6,3,3,5,0,0,23,0,0,0,0,0,0,0,3,105,128,82,72,77,8,0,469
SAL50014,3,5,3,5,0,0,0,25,0,0,6,8,6,3,0,23,3,4,0,3,3,0,0,13,0,0,0,0,0,0,0,0,25,30,18,19,12,13,0,110
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,10
SAL50016,14,24,23,3,5,0,0,76,8,20,10,10,4,0,0,56,0,5,4,0,5,5,0,12,0,0,0,0,0,0,0,3,99,111,78,45,54,23,0,411
SAL50017,0,4,0,0,0,0,0,5,6,9,3,0,4,4,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,17,29,6,3,3,3,0,67
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
SAL50019,8,12,8,11,8,0,0,48,0,9,6,5,14,0,0,33,0,0,0,0,3,5,0,11,0,0,0,0,0,0,0,0,46,49,22,30,53,18,0,222
SAL50020,3,0,0,0,0,6,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,12,3,4,0,4,0,37
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,184,325,150,90,141,39,6,946,128,292,158,121,145,26,5,872,67,137,102,62,113,19,7,494,30,34,18,14,71,4,0,173,1398,1771,783,569,1129,231,38,5914
SAL50023,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,13,9,4,13,3,0,47
SAL50024,89,192,106,55,72,9,4,532,70,152,98,73,82,8,4,488,32,68,48,38,58,7,0,257,11,21,14,14,35,6,0,98,875,1112,513,356,662,84,19,3630
SAL50025,21,42,28,13,10,4,0,107,4,22,17,8,9,0,0,67,6,4,0,0,9,3,0,22,0,4,0,3,0,0,0,4,90,139,95,48,67,25,0,459
SAL50026,246,381,181,132,497,104,8,1551,178,280,182,168,511,85,0,1411,79,136,97,75,378,86,0,853,29,36,20,19,184,52,0,337,1876,2322,1040,957,3528,1032,8,10768
SAL50027,0,0,0,3,0,0,0,10,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,12,3,8,8,7,0,44
SAL50028,0,0,0,0,0,5,0,11,0,0,0,3,9,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,10,26,0,44
SAL50029,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,7,3,6,9,0,49
SAL50030,3,0,3,6,5,0,0,19,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,3,19,8,0,0,55
SAL50031,90,159,53,44,118,29,0,502,47,115,65,39,97,22,0,376,24,33,28,17,45,50,0,202,3,11,0,0,19,78,0,115,586,735,279,182,734,324,34,2869
SAL50032,49,70,25,25,54,6,0,236,40,79,38,24,74,4,0,258,20,57,40,30,92,15,0,259,11,16,10,5,34,13,0,90,452,605,265,199,594,72,6,2197
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50034,31,39,19,10,39,10,0,153,12,36,12,10,46,5,0,119,10,16,10,9,26,3,0,76,0,8,5,0,9,5,0,26,226,336,117,87,289,85,0,1143
SAL50035,182,319,149,67,110,19,0,852,109,185,95,81,126,16,0,609,54,126,73,66,116,6,0,443,27,40,17,24,77,13,0,203,1309,1564,717,506,1038,112,10,5258
SAL50036,177,314,103,92,171,16,4,872,64,132,79,54,123,14,5,476,29,48,29,29,63,10,0,206,10,5,5,4,20,0,0,45,1771,2030,830,599,1632,169,20,7053
SAL50037,68,134,48,28,90,0,4,373,43,68,51,28,81,3,0,280,12,25,11,9,57,3,0,126,4,6,0,0,70,4,0,84,1023,1403,588,418,1123,101,7,4662
SAL50038,45,79,48,33,32,14,0,248,40,75,79,63,72,17,4,358,21,36,42,36,45,11,0,192,12,11,10,3,44,16,0,99,219,324,236,168,271,91,13,1325
SAL50039,281,568,258,175,348,78,6,1710,157,369,216,199,363,55,0,1353,85,158,126,94,211,33,0,715,20,39,18,14,74,10,0,168,2337,3437,1496,1282,2588,453,13,11618
SAL50040,177,295,125,72,250,25,7,956,83,153,97,65,174,16,3,592,23,49,35,32,87,6,0,236,8,10,5,5,15,0,0,47,2175,2891,1043,899,2593,309,19,9932
SAL50041,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,0,8
SAL50043,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,5,9,0,42
SAL50044,3,7,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,10,0,0,6,6,0,29
SAL50045,0,3,6,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,5,4,5,5,0,36
SAL50046,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,5,5,0,0,17
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8
SAL50048,11,7,4,0,3,0,0,22,0,10,0,4,4,4,0,25,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,37,44,9,14,48,22,11,176
SAL50049,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,20
SAL50050,0,5,4,0,0,0,0,11,0,4,0,0,5,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,10,9,4,11,7,0,40
SAL50051,19,55,21,18,23,8,0,149,27,35,45,22,45,22,0,187,3,14,15,11,21,4,0,71,0,0,0,0,4,0,0,4,147,247,162,122,191,99,0,965
SAL50052,7,9,0,3,6,0,0,32,0,4,0,0,0,0,0,11,4,5,0,3,0,0,0,11,0,0,0,0,0,0,0,0,25,55,12,9,19,12,0,142
SAL50053,188,323,125,99,300,51,3,1096,126,252,151,110,273,49,13,975,111,161,124,86,265,53,0,800,50,74,29,15,218,35,0,422,1883,2464,978,702,2482,484,22,9012
SAL50054,522,833,398,267,651,82,14,2764,237,474,269,226,625,87,10,1919,101,218,141,126,383,64,0,1035,26,34,9,12,76,9,0,167,5560,7325,3002,2512,6692,1090,40,26215
SAL50055,165,263,102,63,424,84,13,1126,117,196,87,92,345,63,4,901,56,103,44,46,220,49,0,516,22,23,9,4,59,13,0,121,1883,2267,789,751,3993,1039,28,10757
SAL50056,14,36,25,14,11,0,0,104,19,36,36,14,21,7,0,141,3,14,13,10,14,4,0,56,3,0,0,0,6,0,0,13,76,156,110,67,75,26,3,502
SAL50057,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,19
SAL50058,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,14
SAL50059,0,4,3,8,0,0,0,17,4,4,4,0,3,0,0,15,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,12,19,12,9,10,4,0,62
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL50061,470,825,374,277,692,61,12,2708,206,365,217,173,485,55,6,1502,77,149,83,62,254,34,0,652,24,35,12,13,91,12,0,192,3058,3602,1513,1193,4624,559,22,14574
SAL50062,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,4,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,5,5,6,3,0,27
SAL50063,3,7,0,3,8,0,0,11,0,4,0,3,10,0,0,20,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,5,14,10,9,27,0,0,57
SAL50064,0,5,5,0,5,0,0,10,0,0,5,3,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,16,11,3,6,10,0,48
SAL50065,4,5,4,0,4,0,0,20,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,6,4,17,4,0,59
SAL50066,10,19,3,8,12,3,0,51,8,5,8,6,10,0,0,36,0,7,7,5,9,0,0,32,0,0,0,0,0,0,0,0,54,84,27,32,46,27,0,277
SAL50067,8,8,0,0,36,73,0,130,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,60,21,5,200,492,4,849
SAL50068,32,72,36,33,41,0,0,208,12,36,22,29,34,3,0,139,11,7,6,3,27,7,0,61,0,7,0,0,10,0,0,18,236,301,143,116,302,30,0,1127
SAL50069,125,212,65,55,257,25,9,740,62,81,55,46,111,10,3,373,22,23,3,7,50,6,0,107,0,0,0,0,7,0,0,18,1799,2151,787,663,2318,289,18,8017
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,15,6,4,5,5,0,52
SAL50072,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,4,4,0,16
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,7,0,0,14
SAL50074,0,0,0,4,0,5,0,10,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,4,10,7,0,37
SAL50075,21,39,22,10,34,4,0,134,15,18,19,14,32,9,0,108,6,10,8,8,21,6,0,56,3,0,0,0,6,0,0,13,138,170,110,87,198,35,4,740
SAL50076,3,4,0,0,14,24,0,48,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,3,0,63,186,4,301
SAL50077,6,15,9,9,6,0,0,43,6,15,13,4,12,0,0,43,6,6,10,0,10,0,0,29,0,0,0,0,0,0,0,3,53,79,50,24,49,7,0,252
SAL50078,268,467,194,93,264,65,6,1353,121,300,172,119,284,36,5,1037,47,114,68,73,199,39,0,546,27,31,24,13,144,17,0,264,1886,2749,1105,702,1813,387,23,8667
SAL50079,68,168,84,43,67,7,0,438,37,111,81,68,93,6,0,395,31,57,39,33,81,6,0,239,10,10,7,5,73,0,0,101,656,897,418,277,721,72,4,3040
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,63,113,47,27,74,71,3,396,14,37,18,13,59,51,0,197,8,10,0,6,4,12,0,44,0,0,0,0,0,0,0,0,679,982,339,256,671,492,11,3447
SAL50082,60,146,78,23,57,10,0,378,42,112,66,35,70,19,0,351,25,58,39,42,61,13,0,239,19,12,11,9,19,3,0,74,523,784,366,242,480,87,0,2489
SAL50083,340,646,217,127,343,61,0,1724,166,380,198,135,362,49,0,1301,98,128,93,86,283,48,0,736,52,40,26,17,246,56,0,431,2770,3923,1431,934,2760,486,15,12317
SAL50084,27,56,25,13,59,17,0,196,18,26,25,15,44,15,0,152,9,11,9,6,40,19,0,95,6,9,0,4,14,8,0,40,213,293,139,96,308,104,0,1157
SAL50085,0,6,0,5,0,0,0,23,0,3,0,4,5,0,0,14,3,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,19,21,11,18,12,13,0,97
SAL50086,123,254,78,48,104,30,0,638,70,154,102,66,137,22,0,542,32,69,46,41,113,12,0,317,11,28,13,14,64,8,0,139,946,1316,586,376,790,194,7,4208
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,5,6,3,0,3,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,7,7,4,0,44
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,8,6,0,0,34
SAL50090,109,210,90,62,221,26,7,723,72,128,90,86,231,27,8,633,44,69,36,35,116,24,0,324,4,18,7,4,54,8,0,97,1257,1667,675,583,2510,472,29,7181
SAL50091,122,236,107,51,131,17,0,665,63,127,90,49,133,17,0,483,36,52,43,29,94,16,0,262,21,9,13,5,53,5,0,113,1044,1406,599,362,973,158,6,4541
SAL50092,78,168,76,53,55,8,0,444,32,79,60,48,42,0,0,261,20,35,40,21,16,7,0,141,0,3,0,0,20,0,0,30,504,742,368,275,403,56,0,2344
SAL50093,170,328,158,135,403,47,0,1240,119,222,122,95,315,45,3,920,46,71,30,37,138,18,0,347,14,12,6,5,56,10,0,107,1358,1693,700,594,2424,401,13,7186
SAL50094,7,4,0,0,11,0,0,14,3,6,0,0,4,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,27,23,7,10,21,0,0,93
SAL50095,5,7,3,3,3,5,0,26,0,6,4,5,4,3,0,32,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,19,43,13,19,37,49,8,193
SAL50096,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,11,11,6,5,12,0,47
SAL50097,4,4,10,3,0,0,0,20,4,9,3,0,5,6,0,22,0,0,4,0,3,0,0,8,0,0,0,0,0,0,0,0,7,22,21,12,10,8,0,92
SAL50098,154,233,105,65,214,28,0,806,70,126,71,55,128,17,5,476,27,29,16,21,75,8,0,170,9,10,5,3,28,3,0,57,1479,1746,711,567,1702,222,9,6431
SAL50099,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,22
SAL50100,5,0,4,0,3,3,0,18,3,3,3,5,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,17,9,15,13,0,84
SAL50101,5,3,7,6,0,0,0,20,0,8,0,0,4,0,0,14,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,18,23,23,28,15,9,0,116
SAL50102,76,187,70,43,112,16,0,503,41,98,47,55,108,11,0,362,18,26,18,13,41,12,0,121,8,7,0,0,17,0,0,41,702,954,364,312,729,87,3,3147
SAL50103,12,25,9,13,8,3,0,63,4,10,9,4,9,0,0,39,0,5,0,6,0,0,0,19,0,0,0,0,4,0,0,3,59,62,29,31,45,0,0,239
SAL50104,30,61,35,15,56,15,0,208,19,35,24,16,52,11,0,156,8,8,6,6,26,7,0,56,0,0,4,0,19,0,0,27,223,331,133,104,353,75,4,1220
SAL50105,135,211,77,48,200,48,6,724,82,135,58,62,187,29,4,563,34,44,32,32,100,9,0,263,18,23,11,6,56,3,0,120,1255,1434,484,418,1896,455,29,5980
SAL50106,4,13,6,3,15,5,0,38,4,9,0,4,6,0,0,16,3,0,0,7,7,0,0,10,0,0,0,0,8,0,0,9,31,55,9,15,37,13,0,156
SAL50107,0,8,9,9,3,0,0,25,0,0,3,4,0,0,0,10,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,22,36,26,14,15,0,0,120
SAL50108,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,3,0,0,21
SAL50109,9,9,3,0,5,0,0,18,5,5,3,5,0,5,0,22,4,4,0,0,0,3,0,10,0,0,0,0,0,0,0,0,17,35,15,14,7,15,0,113
SAL50110,80,154,46,55,211,21,6,562,36,76,24,25,105,7,8,288,18,15,8,8,50,5,0,107,10,0,0,0,15,0,0,22,905,995,381,380,1573,183,14,4428
SAL50111,83,100,48,30,166,47,6,482,71,118,66,39,174,73,4,553,78,116,64,48,250,192,3,751,48,43,16,12,249,306,0,673,1575,1449,482,363,3082,1184,46,8178
SAL50112,33,67,29,25,37,17,0,205,20,54,32,28,33,15,0,177,16,9,22,6,21,4,0,83,0,9,7,4,8,0,0,28,226,364,153,122,262,78,0,1206
SAL50113,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,4,0,4,7,0,32
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,64,100,50,32,108,20,3,375,24,50,37,34,68,6,4,222,10,19,9,7,38,4,0,86,0,0,0,3,10,0,0,12,823,1107,476,429,1283,175,11,4310
SAL50116,27,41,28,19,41,16,0,166,22,65,30,36,52,22,0,233,7,24,18,28,32,14,0,124,7,4,4,0,20,8,0,46,125,227,121,124,211,112,4,927
SAL50117,142,296,123,89,159,16,0,832,71,175,98,80,163,18,3,610,29,86,42,51,135,28,0,373,21,38,9,20,58,28,0,177,1016,1412,575,470,1117,165,5,4752
SAL50118,20,34,23,14,13,7,0,114,14,19,15,19,8,0,0,78,0,5,7,8,9,0,0,36,4,4,0,4,7,0,0,13,119,182,90,80,84,16,0,565
SAL50119,184,359,152,76,119,23,3,917,103,238,149,105,169,28,4,792,65,86,74,53,152,49,0,478,35,31,34,10,124,27,0,264,1325,1728,744,461,1091,226,13,5595
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,6,0,20
SAL50121,6,9,3,0,11,0,0,38,3,18,0,12,6,0,0,43,0,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,23,57,29,26,38,8,0,181
